捉,[zhuō] to clutch; to grab; to capture; 
块,[kuài] lump (of earth); chunk; piece; classifier for pieces of cloth, cake, soap etc; colloquial word for yuan (or other unit of currency such as Hong Kong or US dollar etc), usually as 塊錢|块钱; 
大,[dà] big; huge; large; major; great; wide; deep; older (than); oldest; eldest; greatly; very much; (dialect) father; father's elder or younger brother; [dài] see 大夫[dai4 fu5]; 
小,[xiǎo] small; tiny; few; young; 
见,[jiàn] to see; to meet; to appear (to be sth); to interview; [xiàn] to appear; also written 現|现[xian4]; 
就,[jiù] at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning; 
心,[xīn] heart; mind; intention; center; core; CL:顆|颗[ke1],個|个[ge4]; 
怎,[zěn] how; 
要,[yāo] to demand; to request; to coerce; [yào] important; vital; to want; to ask for; will; going to (as future auxiliary); may; must; (used in a comparison) must be; probably; if; 
意,[Yì] Italy; Italian; abbr. for 意大利[Yi4 da4 li4]; [yì] idea; meaning; thought; to think; wish; desire; intention; to expect; to anticipate; 
我,[wǒ] I; me; my; 
手,[shǒu] hand; (formal) to hold; person engaged in certain types of work; person skilled in certain types of work; personal(ly); convenient; classifier for skill; CL:雙|双[shuang1],隻|只[zhi1]; 
蝶,[dié] butterfly; CL:隻|只[zhi1]; 
放,[fàng] to release; to free; to let go; to put; to place; to let out; to set off (fireworks); 
蝴,[hú] butterfly; 
条,[tiáo] strip; item; article; clause (of law or treaty); classifier for long thin things (ribbon, river, road, trousers etc); 
来,[lái] to come; to arrive; to come round; ever since; next; 
样,[yàng] manner; pattern; way; appearance; shape; CL:個|个[ge4]; 
气,[qì] gas; air; smell; weather; to make angry; to annoy; to get angry; vital energy; qi; 
蜻,[qīng] see 蜻蜓[qing1 ting2]; 
没,[méi] (negative prefix for verbs); have not; not; [mò] drowned; to end; to die; to inundate; 
河,[hé] river; CL:條|条[tiao2],道[dao4]; 
蜓,[tíng] see 蜻蜓[qing1 ting2]; 
猫,[māo] cat; CL:隻|只[zhi1]; (dialect) to hide oneself; (coll.) modem; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
能,[Néng] surname Neng; [néng] to be able to; to be capable of; ability; capability; able; capable; can possibly; (usually used in the negative) to have the possibility of; 
看,[kān] to look after; to take care of; to watch; to guard; [kàn] to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (an illness); to depend on; to feel (that); (after verb) to give it a try; Watch out! (for a danger); 
老,[lǎo] prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity; old (of people); venerable (person); experienced; of long standing; always; all the time; of the past; very; outdated; (of meat etc) tough; 
真,[zhēn] really; truly; indeed; real; true; genuine; 
着,[zhāo] (chess) move; trick; all right!; (dialect) to add; [zháo] to touch; to come in contact with; to feel; to be affected by; to catch fire; to fall asleep; to burn; [zhe] aspect particle indicating action in progress; [zhuó] to wear (clothes); to contact; to use; to apply; 
空,[kōng] empty; air; sky; in vain; [kòng] to empty; vacant; unoccupied; space; leisure; free time; 
竿,[gān] pole; 
鱼,[Yú] surname Yu; [yú] fish; CL:條|条[tiao2],尾[wei3]; 
回到,[huí dào] to return to; 
的话,[de huà] if (coming after a conditional clause); 
河边,[hé biān] river bank; 
气人,[qì rén] to anger; to annoy; 
蜻蜓,[qīng tíng] dragonfly; 
放下,[fàng xia] to put down; to let go; to set aside; to digress; 
蝴蝶,[hú dié] butterfly; CL:隻|只[zhi1]; 
钓鱼,[diào yú] to fish (with line and hook); to dupe; 
怎么,[zěn me] how?; what?; why?; [zěn me] variant of 怎麼|怎么[zen3 me5]; 
小猫,[xiǎo māo] kitten; 
看见,[kàn jiàn] to see; to catch sight of; 
不要,[bù yào] don't!; must not; 
不着,[bù zháo] no need; need not; 
不大,[bù dà] not very; not too; not often; 
这么,[zhè me] so much; this much; how much?; this way; like this; 
一样,[yī yàng] same; like; equal to; the same as; just like; 
一会儿,[yī huì r] a moment; a while; in a moment; now...now...; also pr. [yi1 hui3 r5]; 
一块儿,[yī kuài r] erhua variant of 一塊|一块[yi1 kuai4]; 
空着手,[kōng zhe shǒu] empty-handed; 
三心二意,[sān xīn èr yì] in two minds about sth (idiom); half-hearted; shilly-shallying; 
一心一意,[yī xīn yī yì] concentrating one's thoughts and efforts; single-minded; bent on; intently; 
