是,[shì] is; are; am; yes; to be; 
象,[xiàng] elephant; CL:隻|只[zhi1]; shape; form; appearance; to imitate; 
就,[jiù] at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning; 
己,[jǐ] self; oneself; sixth of the ten Heavenly Stems 十天干[shi2 tian1 gan1]; sixth in order; letter "F" or roman "VI" in list "A, B, C", or "I, II, III" etc; hexa; 
想,[xiǎng] to think; to believe; to suppose; to wish; to want; to miss (feel wistful about the absence of sb or sth); 
我,[wǒ] I; me; my; 
说,[shuì] to persuade; [shuō] to speak; to say; to explain; to scold; to tell off; a theory (usually in compounds such as 日心说 heliocentric theory); 
搬,[bān] to move (i.e. relocate oneself); to move (sth relatively heavy or bulky); to shift; to copy indiscriminately; 
觉,[jiào] a nap; a sleep; CL:場|场[chang2]; [jué] to feel; to find that; thinking; awake; aware; 
摔,[shuāi] to throw down; to fall; to drop and break; 
明,[Míng] Ming Dynasty (1368-1644); surname Ming; Ming (c. 2000 BC), fourth of the legendary Flame Emperors, 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God; [míng] bright; opposite: dark 暗[an4]; (of meaning) clear; to understand; next; public or open; wise; generic term for a sacrifice to the gods; 
见,[jiàn] to see; to meet; to appear (to be sth); to interview; [xiàn] to appear; also written 現|现[xian4]; 
要,[yāo] to demand; to request; to coerce; [yào] important; vital; to want; to ask for; will; going to (as future auxiliary); may; must; (used in a comparison) must be; probably; if; 
更,[gēng] to change or replace; to experience; one of the five two hour periods into which the night was formerly divided; watch (e.g. of a sentry or guard); [gèng] more; even more; further; still; still more; 
有,[yǒu] to have; there is; there are; to exist; to be; 
木,[Mù] surname Mu; [mù] tree; wood; coffin; wooden; simple; numb; one of the eight ancient musical instruments 八音[ba1 yin1]; 
西,[Xī] the West; abbr. for Spain 西班牙[Xi1 ban1 ya2]; Spanish; [xī] west; 
本,[běn] roots or stems of plants; origin; source; this; the current; root; foundation; basis; classifier for books, periodicals, files etc; originally; 
蛇,[shé] snake; serpent; CL:條|条[tiao2]; 
来,[lái] to come; to arrive; to come round; ever since; next; 
虎,[hǔ] tiger; CL:隻|只[zhi1]; 
树,[shù] tree; CL:棵[ke1]; to cultivate; to set up; 
比,[Bǐ] Belgium; Belgian; abbr. for 比利時|比利时[Bi3 li4 shi2]; [bǐ] (particle used for comparison and "-er than"); to compare; to contrast; to gesture (with hands); ratio; [bì] to associate with; to be near; 
气,[qì] gas; air; smell; weather; to make angry; to annoy; to get angry; vital energy; qi; 
河,[hé] river; CL:條|条[tiao2],道[dao4]; 
泳,[yǒng] swimming; to swim; 
游,[Yóu] surname You; [yóu] to swim; variant of 遊|游[you2]; [yóu] to walk; to tour; to roam; to travel; 
自,[zì] from; self; oneself; since; 
爬,[pá] to crawl; to climb; to get up or sit up; 
爸,[bà] father; dad; pa; papa; 
能,[Néng] surname Neng; [néng] to be able to; to be capable of; ability; capability; able; capable; can possibly; (usually used in the negative) to have the possibility of; 
狮,[shī] lion; 
老,[lǎo] prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity; old (of people); venerable (person); experienced; of long standing; always; all the time; of the past; very; outdated; (of meat etc) tough; 
生,[shēng] to be born; to give birth; life; to grow; raw; uncooked; student; 
用,[yòng] to use; to employ; to have to; to eat or drink; expense or outlay; usefulness; hence; therefore; 
白,[Bái] surname Bai; [bái] white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
看,[kān] to look after; to take care of; to watch; to guard; [kàn] to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (an illness); to depend on; to feel (that); (after verb) to give it a try; Watch out! (for a danger); 
第,[dì] (prefix indicating ordinal number, e.g. first, number two etc); 
睡,[shuì] to sleep; to lie down; 
空,[kōng] empty; air; sky; in vain; [kòng] to empty; vacant; unoccupied; space; leisure; free time; 
小河,[xiǎo hé] brook; 
睡觉,[shuì jiào] to go to bed; to sleep; 
狮子,[Shī zǐ] Leo (star sign); Shihtzu township in Pingtung County 屏東縣|屏东县[Ping2 dong1 Xian4], Taiwan; [shī zi] lion; CL:隻|只[zhi1],頭|头[tou2]; 
老虎,[lǎo hǔ] tiger; CL:隻|只[zhi1]; 
爸爸,[bà ba] (informal) father; CL:個|个[ge4],位[wei4]; 
游泳,[yóu yǒng] swimming; to swim; 
自己,[zì jǐ] oneself; one's own; 
来到,[lái dào] to come; to arrive; 
本事,[běn shì] source material; original story; [běn shi] ability; skill; 
木头,[mù tou] slow-witted; blockhead; log (of wood, timber etc); CL:塊|块[kuai4],根[gen1]; 
一声,[yī shēng] first tone in Mandarin (high level tone); 
要是,[yào shi] if; 
明白,[míng bai] clear; obvious; unequivocal; to understand; to realize; 
搬走,[bān zǒu] to carry; 
我们,[wǒ men] we; us; ourselves; our; 
看见,[kàn jiàn] to see; to catch sight of; 
妈妈,[mā ma] mama; mommy; mother; CL:個|个[ge4],位[wei4]; 
天空,[tiān kōng] sky; 
跟头,[gēn tou] to trip; to fall down; to tumble; a somersault; to fall head over heels; 
大河,[dà hé] large river (esp the Yellow River); 
哎哟,[āi yō] hey; ow; ouch; interjection of pain or surprise; 
可是,[kě shì] but; however; (used for emphasis) indeed; 
可以,[kě yǐ] can; may; possible; able to; 
力气,[lì qi] strength; CL:把[ba3]; 
东西,[dōng xī] east and west; [dōng xi] thing; stuff; person; CL:個|个[ge4],件[jian4]; 
不能,[bù néng] cannot; must not; should not; 
下来,[xià lai] to come down; (after verb of motion, indicates motion down and towards us, also fig.); (indicates continuation from the past towards us); to be harvested (of crops); to be over (of a period of time); to go among the masses (said of leaders); 
不会,[bù huì] improbable; unlikely; will not (act, happen etc); not able; not having learned to do sth; 
鼻子,[bí zi] nose; CL:個|个[ge4],隻|只[zhi1]; 
飞来飞去,[fēi lái fēi qù] to fly about; to fly hither and thither; to flit; to swarm; to spiral; 
