已,[yǐ] already; to stop; then; afterwards; 
习,[Xí] surname Xi; [xí] to practice; to study; habit; 
门,[Mén] surname Men; [mén] gate; door; CL:扇[shan4]; gateway; doorway; CL:個|个[ge4]; opening; valve; switch; way to do something; knack; family; house; (religious) sect; school (of thought); class; category; phylum or division (taxonomy); classifier for large guns; classifier for lessons, subjects, branches of technology; (suffix) -gate (i.e. scandal; derived from Watergate); 
了,[le] (modal particle intensifying preceding clause); (completed action marker); [liǎo] to finish; to achieve; to understand; 
五,[wǔ] five; 5; 
重,[chóng] to repeat; repetition; again; re-; classifier: layer; [zhòng] heavy; serious; to attach importance to; 
人,[rén] man; person; people; CL:個|个[ge4],位[wei4]; 
里,[lǐ] variant of 裡|里[li3]; [lǐ] lining; interior; inside; internal; also written 裏|里[li3]; [Lǐ] Li (surname); [lǐ] li (Chinese mile); 500 meters (modern); home; hometown; village; neighborhood; administrative unit; 
代,[dài] to substitute; to act on behalf of others; to replace; generation; dynasty; age; period; (historical) era; (geological) eon; 
以,[Yǐ] abbr. for Israel 以色列[Yi3 se4 lie4]; [yǐ] to use; according to; so as to; by means of; in order to; by; with; because; 
们,[men] plural marker for pronouns, and nouns referring to individuals; 
传,[chuán] to pass on; to spread; to transmit; to infect; to transfer; to circulate; to conduct (electricity); [zhuàn] biography; historical narrative; commentaries; relay station; 
那,[Nā] surname Na; [Nuó] surname Nuo; [nǎ] variant of 哪[na3]; [nà] that; those; then (in that case); commonly pr. [nei4] before a classifier, esp. in Beijing; [nuó] (archaic) many; beautiful; how; old variant of 挪[nuo2]; 
似,[sì] to seem; to appear; to resemble; similar; -like; pseudo-; (more) than; 
使,[shǐ] to make; to cause; to enable; to use; to employ; to send; to instruct sb to do sth; envoy; messenger; 
依,[yī] to depend on; to comply with or listen to sb; according to; in the light of; 
进,[jìn] to advance; to enter; to come (or go) into; to receive or admit; to eat or drink; to submit or present; (used after a verb) into, in; to score a goal; 
俗,[sú] custom; convention; popular; common; coarse; vulgar; secular; 
候,[hòu] to wait; to inquire after; to watch; season; climate; (old) period of five days; 
做,[zuò] to do; to make; to produce; to write; to compose; to act as; to engage in; to hold (a party); to be; to become; to function (in some capacity); to serve as; to be used for; to form (a bond or relationship); to pretend; to feign; to act a part; to put on appearance; 
像,[xiàng] to resemble; to be like; to look as if; such as; appearance; image; portrait; image under a mapping (math.); 
儿,[ér] son; [r] non-syllabic diminutive suffix; retroflex final; 
元,[Yuán] surname Yuan; the Yuan or Mongol dynasty (1279-1368); [yuán] unit of money (in PRC: Chinese yuan, in USA: dollar, etc); primary; first; 
迎,[yíng] to welcome; to meet; to face; to forge ahead (esp. in the face of difficulties); 
八,[bā] eight; 8; 
其,[qí] his; her; its; their; that; such; it (refers to sth preceding it); 
几,[jī] small table; [jī] almost; [jǐ] how much; how many; several; a few; 
分,[fēn] to divide; to separate; to distribute; to allocate; to distinguish (good and bad); part or subdivision; fraction; one tenth (of certain units); unit of length equivalent to 0.33 cm; minute; a point (in sports or games); 0.01 yuan (unit of money); [fèn] part; share; ingredient; component; 
则,[zé] conjunction used to express contrast with a previous sentence or clause; standard; norm; rule; to imitate; to follow; then; principle; classifier for written items (such as an official statement); 
制,[zhì] system; to control; to regulate; variant of 製|制[zhi4]; [zhì] to manufacture; to make; 
加,[Jiā] abbr. for Canada 加拿大[Jia1 na2 da4]; [jiā] to add; plus; (used after an adverb such as 不, 大, 稍 etc, and before a disyllabic verb, to indicate that the action of the verb is applied to sth or sb previously mentioned); to apply (restrictions etc) to (sb); to give (support, consideration etc) to (sth); 
包,[Bāo] surname Bao; [bāo] to cover; to wrap; to hold; to include; to take charge of; to contract (to or for); package; wrapper; container; bag; to hold or embrace; bundle; packet; CL:個|个[ge4],隻|只[zhi1]; 
千,[qiān] thousand; 
过,[Guò] surname Guo; [guò] (experienced action marker); to cross; to go over; to pass (time); to celebrate (a holiday); to live; to get along; excessively; too-; 
辞,[cí] old variant of 辭|辞[ci2]; [cí] to resign; to dismiss; to decline; to take leave; ballad (archaic poetic genre); variant of 詞|词[ci2]; 
原,[yuán] former; original; primary; raw; level; cause; source; 
载,[zǎi] to record in writing; to carry (i.e. publish in a newspaper etc); Taiwan pr. [zai4]; year; [zài] to carry; to convey; to load; to hold; to fill up; and; also; as well as; simultaneously; 
去,[qù] to go; to go to (a place); to cause to go or send (sb); to remove; to get rid of; (when used either before or after a verb) to go in order to do sth; to be apart from in space or time; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation); (of a time or an event etc) just passed or elapsed; 
发,[fā] to send out; to show (one's feeling); to issue; to develop; classifier for gunshots (rounds); [fà] hair; Taiwan pr. [fa3]; 
贵,[guì] expensive; noble; your (name); precious; 
口,[kǒu] mouth; classifier for things with mouths (people, domestic animals, cannons, wells etc); classifier for bites or mouthfuls; 
财,[cái] money; wealth; riches; property; valuables; 
古,[Gǔ] surname Gu; [gǔ] ancient; old; paleo-; 
象,[xiàng] elephant; CL:隻|只[zhi1]; shape; form; appearance; to imitate; 
可,[kě] can; may; able to; to approve; to permit; to suit; (particle used for emphasis) certainly; very; [kè] see 可汗[ke4 han2]; 
调,[diào] to transfer; to move (troops or cadres); to investigate; to enquire into; accent; view; argument; key (in music); mode (music); tune; tone; melody; [tiáo] to harmonize; to reconcile; to blend; to suit well; to season (food); to provoke; to incite; 
吃,[chī] to eat; to consume; to eat at (a cafeteria etc); to eradicate; to destroy; to absorb; to suffer; to stammer (Taiwan pr. for this sense is [ji2]); 
各,[gè] each; every; 
说,[shuì] to persuade; [shuō] to speak; to say; to explain; to scold; to tell off; a theory (usually in compounds such as 日心说 heliocentric theory); 
吉,[Jí] surname Ji; abbr. for Jilin Province 吉林省[Ji2 lin2 Sheng3]; [jí] lucky; giga- (meaning billion or 10^9); 
许,[Xǔ] surname Xu; [xǔ] to allow; to permit; to promise; to praise; somewhat; perhaps; 
味,[wèi] taste; smell; classifier for drugs (in TCM); 
和,[Hé] surname He; Japanese (food, clothes etc); [hé] and; together with; with; sum; union; peace; harmony; Taiwan pr. [han4] when it means "and"; [hè] to compose a poem in reply (to sb's poem) using the same rhyme sequence; to join in the singing; to chime in with others; [hú] to complete a set in mahjong or playing cards; [huó] soft; warm; [huò] to mix together; to blend; 
品,[pǐn] article; commodity; product; goods; kind; grade; rank; character; disposition; nature; temperament; variety; to taste sth; to sample; to criticize; to comment; to judge; to size up; 
因,[yīn] cause; reason; because; 
要,[yāo] to demand; to request; to coerce; [yào] important; vital; to want; to ask for; will; going to (as future auxiliary); may; must; (used in a comparison) must be; probably; if; 
花,[Huā] surname Hua; [huā] flower; blossom; CL:朵[duo3],支[zhi1],束[shu4],把[ba3],盆[pen2],簇[cu4]; fancy pattern; florid; to spend (money, time); 
团,[tuán] round; lump; ball; to roll into a ball; to gather; regiment; group; society; [tuán] dumpling; 
节,[jiē] see 節骨眼|节骨眼[jie1 gu5 yan3]; [jié] festival; holiday; node; joint; section; segment; part; to economize; to save; to abridge; moral integrity; classifier for segments, e.g. lessons, train wagons, biblical verses; CL:個|个[ge4]; 
国,[Guó] surname Guo; [guó] country; nation; state; national; CL:個|个[ge4]; 
圆,[yuán] circle; round; circular; spherical; (of the moon) full; unit of Chinese currency (Yuan); tactful; to justify; 
在,[zài] (located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress); 
地,[de] -ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct; [dì] earth; ground; field; place; land; CL:片[pian4]; 
自,[zì] from; self; oneself; since; 
域,[yù] field; region; area; domain (taxonomy); 
增,[zēng] to increase; to expand; to add; 
联,[lián] to ally; to unite; to join; 
夕,[xī] dusk; evening; Taiwan pr. [xi4]; 
外,[wài] outside; in addition; foreign; external; 
多,[duō] many; much; often; a lot of; numerous; more; in excess; how (to what extent); multi-; Taiwan pr. [duo2] when it means "how"; 
老,[lǎo] prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity; old (of people); venerable (person); experienced; of long standing; always; all the time; of the past; very; outdated; (of meat etc) tough; 
头,[tóu] head; hair style; the top; end; beginning or end; a stub; remnant; chief; boss; side; aspect; first; leading; classifier for pigs or livestock; CL:個|个[ge4]; [tou] suff. for nouns; 
好,[hǎo] good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness); (of an unmarried couple) to be close; to be keen on each other; [hào] to be fond of; to have a tendency to; to be prone to; 
如,[rú] as; as if; such as; 
婚,[hūn] to marry; marriage; wedding; to take a wife; 
子,[zǐ] son; child; seed; egg; small thing; 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat; Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; [zi] (noun suffix); 
季,[Jì] surname Ji; [jì] season; the last month of a season; fourth or youngest amongst brothers; classifier for seasonal crop yields; 
缕,[lǔ:] strand; thread; detailed; in detail; classifier for wisps (of smoke, mist or vapor), strands, locks (of hair); 
它,[tā] it; 
宜,[Yí] surname Yi; [yí] proper; should; suitable; appropriate; 
宝,[bǎo] variant of 寶|宝[bao3]; [bǎo] jewel; gem; treasure; precious; 
家,[Jiā] surname Jia; [jiā] home; family; (polite) my (sister, uncle etc); classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian; CL:個|个[ge4]; 
富,[Fù] surname Fu; [fù] rich; abundant; wealthy; 
寓,[yù] to reside; to imply; to contain; residence; 
统,[tǒng] to gather; to unite; to unify; whole; 
小,[xiǎo] small; tiny; few; young; 
结,[jiē] to bear fruit; to produce; firm; solid; [jié] knot; sturdy; bond; to tie; to bind; to check out (of a hotel); 
少,[shǎo] few; less; to lack; to be missing; to stop (doing sth); seldom; [shào] young; 
尤,[Yóu] surname You; [yóu] outstanding; particularly, especially; a fault; to express discontentment against; 
经,[Jīng] surname Jing; [jīng] classics; sacred book; scripture; to pass through; to undergo; to bear; to endure; warp (textile); longitude; menstruation; channel (TCM); abbr. for economics 經濟|经济[jing1 ji4]; 
就,[jiù] at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning; 
展,[Zhǎn] surname Zhan; [zhǎn] to spread out; to open up; to exhibit; to put into effect; to postpone; to prolong; exhibition; 
系,[xì] system; department; faculty; 
粉,[fěn] powder; cosmetic face powder; food prepared from starch; noodles or pasta made from any kind of flour; whitewash; white; pink; 
带,[dài] band; belt; girdle; ribbon; tire; area; zone; region; CL:條|条[tiao2]; to wear; to carry; to take along; to bear (i.e. to have); to lead; to bring; to look after; to raise; 
程,[Chéng] surname Cheng; [chéng] rule; order; regulations; formula; journey; procedure; sequence; 
年,[Nián] surname Nian; [nián] year; CL:個|个[ge4]; 
形,[xíng] to appear; to look; form; shape; 
种,[zhǒng] seed; species; kind; type; classifier: type, kind, sort; [zhòng] to plant; to grow; to cultivate; 
征,[zhēng] journey; trip; expedition; to go on long campaign; to attack; 
很,[hěn] (adverb of degree); quite; very; awfully; 
意,[Yì] Italy; Italian; abbr. for 意大利[Yi4 da4 li4]; [yì] idea; meaning; thought; to think; wish; desire; intention; to expect; to anticipate; 
扁,[Piān] surname Pian; [biǎn] flat; (coll.) to beat (sb) up; old variant of 匾[bian3]; [piān] small boat; 
祥,[xiáng] auspicious; propitious; 
承,[Chéng] surname Cheng; Cheng (c. 2000 BC), third of the legendary Flame Emperors 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God; [chéng] to bear; to carry; to hold; to continue; to undertake; to take charge; owing to; due to; to receive; 
破,[pò] broken; damaged; worn out; lousy; rotten; to break, split or cleave; to get rid of; to destroy; to break with; to defeat; to capture (a city etc); to expose the truth of; 
据,[jù] variant of 據|据[ju4]; [jū] see 拮据[jie2 ju1]; [jù] variant of 據|据[ju4]; [jù] according to; to act in accordance with; to depend on; to seize; to occupy; 
新,[Xīn] abbr. for Xinjiang 新疆[Xin1 jiang1] or Singapore 新加坡[Xin1 jia1 po1]; surname Xin; [xīn] new; newly; meso- (chemistry); 
日,[Rì] abbr. for 日本[Ri4 ben3], Japan; [rì] sun; day; date, day of the month; 
着,[zhāo] (chess) move; trick; all right!; (dialect) to add; [zháo] to touch; to come in contact with; to feel; to be affected by; to catch fire; to fall asleep; to burn; [zhe] aspect particle indicating action in progress; [zhuó] to wear (clothes); to contact; to use; to apply; 
旧,[jiù] old; opposite: new 新; former; worn (with age); 
早,[zǎo] early; morning; Good morning!; long ago; prematurely; 
相,[Xiāng] surname Xiang; [xiāng] each other; one another; mutually; [xiàng] appearance; portrait; picture; government minister; (physics) phase; 
时,[shí] old variant of 時|时[shi2]; [Shí] surname Shi; [shí] o'clock; time; when; hour; season; period; 
皮,[Pí] surname Pi; [pí] leather; skin; fur; CL:張|张[zhang1]; pico- (one trillionth); naughty; 
是,[shì] is; are; am; yes; to be; 
更,[gēng] to change or replace; to experience; one of the five two hour periods into which the night was formerly divided; watch (e.g. of a sentry or guard); [gèng] more; even more; further; still; still more; 
有,[yǒu] to have; there is; there are; to exist; to be; 
皆,[jiē] all; each and every; in all cases; 
来,[lái] to come; to arrive; to come round; ever since; next; 
栗,[Lì] surname Li; [lì] chestnut; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
样,[yàng] manner; pattern; way; appearance; shape; CL:個|个[ge4]; 
用,[yòng] to use; to employ; to have to; to eat or drink; expense or outlay; usefulness; hence; therefore; 
此,[cǐ] this; these; 
比,[Bǐ] Belgium; Belgian; abbr. for 比利時|比利时[Bi3 li4 shi2]; [bǐ] (particle used for comparison and "-er than"); to compare; to contrast; to gesture (with hands); ratio; [bì] to associate with; to be near; 
生,[shēng] to be born; to give birth; life; to grow; raw; uncooked; student; 
民,[Mín] surname Min; [mín] the people; nationality; citizen; 
状,[zhuàng] accusation; suit; state; condition; strong; great; -shaped; 
爱,[ài] to love; affection; to be fond of; to like; 
古代,[gǔ dài] ancient times; olden times; 
民间,[mín jiān] among the people; popular; folk; non-governmental; involving people rather than governments; 
样子,[yàng zi] appearance; manner; pattern; model; 
栗子,[lì zi] chestnut; 
有了,[yǒu le] I've got a solution!; to have a bun in the oven (abbr. for 有了胎[you3 le5 tai1]); 
时候,[shí hou] time; length of time; moment; period; 
皮儿,[pí r] wrapper; cover; 
一种,[yī zhǒng] one kind of; one type of; 
相似,[xiāng sì] to resemble; similar; like; resemblance; similarity; 
日子,[rì zi] day; a (calendar) date; days of one's life; 
承载,[chéng zài] to bear the weight; to sustain; 
扁圆,[biǎn yuán] oblate; 
形状,[xíng zhuàng] form; shape; CL:個|个[ge4]; 
带有,[dài yǒu] to have; to involve; 
已经,[yǐ jīng] already; 
饺子,[jiǎo zi] dumpling; pot-sticker; CL:個|个[ge4],隻|只[zhi1]; 
不分,[bù fēn] not divided; irrespective; not distinguishing between; 
小小,[xiǎo xiǎo] very small; very few; very minor; 
结婚,[jié hūn] to marry; to get married; CL:次[ci4]; 
寓意,[yù yì] moral (of a story); lesson to be learned; implication; message; import; metaphorical meaning; 
季节,[jì jié] time; season; period; CL:個|个[ge4]; 
多样,[duō yàng] diverse; diversity; manifold; 
食品,[shí pǐn] foodstuff; food; provisions; CL:種|种[zhong3]; 
增加,[zēng jiā] to raise; to increase; 
联系,[lián xì] variant of 聯繫|联系[lian2 xi4]; [lián xì] connection; contact; relation; to get in touch with; to integrate; to link; to touch; 
地域,[dì yù] area; district; region; 
个人,[gè rén] individual; personal; oneself; 
团圆,[tuán yuán] to have a reunion; 
因此,[yīn cǐ] thus; consequently; as a result; 
花生,[huā shēng] peanut; groundnut; CL:粒[li4]; 
因为,[yīn wèi] because; owing to; on account of; 
吉祥,[jí xiáng] lucky; auspicious; propitious; 
许多,[xǔ duō] many; a lot of; much; 
风俗,[fēng sú] social custom; CL:個|个[ge4]; 
可以,[kě yǐ] can; may; possible; able to; 
调制,[tiáo zhì] to modulate; modulation; 
比如,[bǐ rú] for example; for instance; such as; 
,
口味,[kǒu wèi] a person's preferences; tastes (in food); flavor; 
财富,[cái fù] wealth; riches; 
发展,[fā zhǎn] development; growth; to develop; to grow; to expand; 
原因,[yuán yīn] cause; origin; root cause; reason; CL:個|个[ge4]; 
千年,[qiān nián] millennium; 
中国,[Zhōng guó] China; 
过年,[guò nián] to celebrate the Chinese New Year; 
过程,[guò chéng] course of events; process; CL:個|个[ge4]; 
元宝,[Yuán bǎo] Yuanbao district of Dandong city 丹東市|丹东市[Dan1 dong1 shi4], Liaoning; [yuán bǎo] a silver or gold ingot; mock ingot (burnt as offering in worship); a name for ancient currency; a rare genius; 
迎新,[yíng xīn] to see in the New Year; to welcome new guests; by extension, to receive new students; 
依据,[yī jù] according to; basis; foundation; 
进去,[jìn qù] to go in; 
传统,[chuán tǒng] tradition; traditional; convention; conventional; CL:個|个[ge4]; 
那么,[nà me] like that; in that way; or so; so; so very much; about; in that case; 
人们,[rén men] people; 
里头,[lǐ tou] inside; interior; 
里面,[lǐ miàn] inside; interior; 
,
重要,[zhòng yào] important; significant; major; 
习俗,[xí sú] custom; tradition; local tradition; convention; 
之际,[zhī jì] during; at the time of; 
之外,[zhī wài] outside; excluding; 
主要,[zhǔ yào] main; principal; major; primary; 
除了,[chú le] besides; apart from (... also...); in addition to; except (for); 
除夕,[Chú xī] lunar New Year's Eve; 
馅儿,[xiàn r] erhua variant of 餡|馅[xian4]; 
中国人,[Zhōng guó rén] Chinese person; 
尤其是,[yóu qí shì] especially; most of all; above all; in particular; 
一家人,[yī jiā rén] household; the whole family; 
五花八门,[wǔ huā bā mén] myriad; all kinds of; all sorts of; 
千丝万缕,[qiān sī wàn lǔ:] linked in countless ways; 
各种各样,[gè zhǒng gè yàng] various sorts and varieties; 
自古以来,[zì gǔ yǐ lái] since ancient times; 
老少皆宜,[lǎo shào jiē yí] suitable for both the young and the old; 
早生贵子,[zǎo shēng guì zǐ] give birth to a son soon (propitiatory compliment to the newly-weds); 
