惨,[cǎn] miserable; wretched; cruel; inhuman; disastrous; tragic; dim; gloomy; 
局,[jú] office; situation; classifier for games: match, set, round etc; 
年,[Nián] surname Nian; [nián] year; CL:個|个[ge4]; 
警,[jǐng] to alert; to warn; police; 
应,[Yìng] surname Ying; [yīng] to agree (to do sth); should; ought to; must; (legal) shall; [yìng] to answer; to respond; to comply with; to deal or cope with; 
开,[kāi] to open; to start; to turn on; to boil; to write out (a prescription, check, invoice etc); to operate (vehicle); abbr. for 開爾文|开尔文 degrees Kelvin; 
引,[yǐn] to draw (e.g. a bow); to pull; to stretch sth; to extend; to lengthen; to involve or implicate in; to attract; to lead; to guide; to leave; to provide evidence or justification for; old unit of distance equal to 10 丈[zhang4], one-thirtieth of a km or 33.33 meters; 
弗,[fú] not; 
德,[Dé] Germany; German; abbr. for 德國|德国[De2 guo2]; [dé] virtue; goodness; morality; ethics; kindness; favor; character; kind; 
心,[xīn] heart; mind; intention; center; core; CL:顆|颗[ke1],個|个[ge4]; 
解,[Xiè] surname Xie; [jiě] to divide; to break up; to split; to separate; to dissolve; to solve; to melt; to remove; to untie; to loosen; to open; to emancipate; to explain; to understand; to know; a solution; a dissection; [jiè] to transport under guard; [xiè] acrobatic display (esp. on horseback) (old); variant of 懈[xie4] and 邂[xie4] (old); 
必,[bì] certainly; must; will; necessarily; 
怎,[zěn] how; 
联,[lián] to ally; to unite; to join; 
恩,[ēn] favor; grace; kindness; 
悠,[yōu] long or drawn out; remote in time or space; leisurely; to swing; pensive; worried; 
者,[zhě] (after a verb or adjective) one who (is) ...; (after a noun) person involved in ...; -er; -ist; (used after a number or 後|后[hou4] or 前[qian2] to refer to sth mentioned previously); (used after a term, to mark a pause before defining the term); (old) (used at the end of a command); (old) this; 
考,[kǎo] to check; to verify; to test; to examine; to take an exam; to take an entrance exam for; deceased father; 
手,[shǒu] hand; (formal) to hold; person engaged in certain types of work; person skilled in certain types of work; personal(ly); convenient; classifier for skill; CL:雙|双[shuang1],隻|只[zhi1]; 
打,[dá] dozen (loanword); [dǎ] to beat; to strike; to hit; to break; to type; to mix up; to build; to fight; to fetch; to make; to tie up; to issue; to shoot; to calculate; to play (a game); since; from; 
续,[xù] to continue; to replenish; 
系,[xì] system; department; faculty; 
扰,[rǎo] to disturb; 
批,[pī] to ascertain; to act on; to criticize; to pass on; classifier for batches, lots, military flights; tier (for the ranking of universities and colleges); 
报,[bào] to announce; to inform; report; newspaper; recompense; revenge; CL:份[fen4],張|张[zhang1]; 
第,[dì] (prefix indicating ordinal number, e.g. first, number two etc); 
故,[gù] happening; instance; reason; cause; intentional; former; old; friend; therefore; hence; (of people) to die, dead; 
教,[Jiào] surname Jiao; [jiāo] to teach; [jiào] religion; teaching; to make; to cause; to tell; 
无,[wú] not to have; no; none; not; to lack; un-; -less; 
窃,[qiè] to steal; secretly; (humble) I; 
时,[shí] old variant of 時|时[shi2]; [Shí] surname Shi; [shí] o'clock; time; when; hour; season; period; 
称,[chèn] to fit; balanced; suitable; [chēng] to weigh; to state; to name; name; appellation; to praise; [chèng] variant of 秤[cheng4]; steelyard; 
普,[pǔ] general; popular; everywhere; universal; 
曼,[màn] handsome; large; long; 
有,[yǒu] to have; there is; there are; to exist; to be; 
秘,[bì] see 秘魯|秘鲁[Bi4 lu3]; [mì] secret; secretary; 
样,[yàng] manner; pattern; way; appearance; shape; CL:個|个[ge4]; 
案,[àn] (legal) case; incident; record; file; table; 
死,[sǐ] to die; impassable; uncrossable; inflexible; rigid; extremely; damned; 
神,[Shén] God; abbr. for 神舟[Shen2 zhou1]; [shén] deity; soul; spirit; unusual; mysterious; lively; expressive; expression; look; CL:個|个[ge4]; (slang) awesome; amazing; 
没,[méi] (negative prefix for verbs); have not; not; [mò] drowned; to end; to die; to inundate; 
灵,[líng] quick; alert; efficacious; effective; to come true; spirit; departed soul; coffin; 
破,[pò] broken; damaged; worn out; lousy; rotten; to break, split or cleave; to get rid of; to destroy; to break with; to defeat; to capture (a city etc); to expose the truth of; 
狠,[hěn] fierce; very; 
生,[shēng] to be born; to give birth; life; to grow; raw; uncooked; student; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
盗,[dào] to steal; to rob; to plunder; thief; bandit; robber; 
着,[zhāo] (chess) move; trick; all right!; (dialect) to add; [zháo] to touch; to come in contact with; to feel; to be affected by; to catch fire; to fall asleep; to burn; [zhe] aspect particle indicating action in progress; [zhuó] to wear (clothes); to contact; to use; to apply; 
魂,[hún] soul; spirit; immortal soul, i.e. that can be detached from the body; 
盗窃,[dào qiè] to steal; 
灵魂,[líng hún] soul; spirit; 
死者,[sǐ zhě] the dead; the deceased; 
专业,[zhuān yè] specialty; specialized field; main field of study (at university); major; CL:門|门[men2],個|个[ge4]; professional; 
神秘,[shén mì] mysterious; mystery; 
有着,[yǒu zhe] to have; to possess; 
时间,[shí jiān] time; period; CL:段[duan4]; 
无故,[wú gù] without cause or reason; 
报应,[bào yìng] retribution; judgment; 
打破,[dǎ pò] to break; to smash; 
打扰,[dǎ rǎo] to disturb; to bother; to trouble; 
惨死,[cǎn sǐ] to die tragically; to meet with a violent death; 
丧妻,[sàng qī] deceased wife; 
一切,[yī qiè] everything; every; all; 
怎样,[zěn yàng] how; why; 
联系,[lián xì] variant of 聯繫|联系[lian2 xi4]; [lián xì] connection; contact; relation; to get in touch with; to integrate; to link; to touch; 
人称,[rén chēng] person (first person, second person etc in grammar); called; known as; 
解开,[jiě kāi] to untie; to undo; 
年轻,[nián qīng] young; 
警局,[jǐng jú] police department; police station; abbr. of 警察局; 
将会,[jiāng huì] auxiliary verb introducing future action: may (be able to); will (cause); should (enable); going to; 
盗墓,[dào mù] to rob a tomb; 
如何,[rú hé] how; what way; what; 
失踪,[shī zōng] to be missing; to disappear; unaccounted for; 
大批,[dà pī] large quantities of; 
吸引,[xī yǐn] to attract (interest, investment etc); CL:個|个[ge4]; 
同时,[tóng shí] at the same time; simultaneously; 
古墓,[gǔ mù] old tomb (archaeology); 
发生,[fā shēng] to happen; to occur; to take place; to break out; 
附近,[fù jìn] (in the) vicinity; nearby; neighboring; next to; 
连续,[lián xù] continuous; in a row; serial; consecutive; 
倒霉,[dǎo méi] to have bad luck; to be out of luck; 
遭到,[zāo dào] to suffer; to meet with (sth unfortunate); 
博士,[bó shì] doctor; court academician (in feudal China); Ph.D.; 
僵局,[jiāng jú] impasse; deadlock; 
重重,[chóng chóng] layer upon layer; one after another; [zhòng zhòng] heavily; severely; 
谜团,[mí tuán] riddle; enigma; unpredictable situation; elusive matters; 
印第安,[Yìn dì ān] (American) Indian; native American; indigenous peoples of the Americas; 
传教士,[chuán jiào shì] missionary; 
历史悠久,[lì shǐ yōu jiǔ] long-established; time-honored; 
心狠手辣,[xīn hěn shǒu là] vicious and merciless (idiom); 
,
神出鬼没,[shén chū guǐ mò] lit. Gods appear and devils vanish (idiom); to appear and disappear unpredictably; to change rapidly; 
