换,[huàn] to exchange; to change (clothes etc); to substitute; to switch; to convert (currency); 
前,[qián] front; forward; ahead; first; top (followed by a number); future; ago; before; BC (e.g. 前293年); former; formerly; 
剧,[jù] drama; play; show; severe; 
动,[dòng] to use; to act; to move; to change; abbr. for 動詞|动词[dong4 ci2], verb; 
却,[què] old variant of 卻|却[que4]; [què] but; yet; however; while; to go back; to decline; to retreat; nevertheless; even though; 
原,[yuán] former; original; primary; raw; level; cause; source; 
去,[qù] to go; to go to (a place); to cause to go or send (sb); to remove; to get rid of; (when used either before or after a verb) to go in order to do sth; to be apart from in space or time; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation); (of a time or an event etc) just passed or elapsed; 
又,[yòu] (once) again; also; both... and...; and yet; (used for emphasis) anyway; 
发,[fā] to send out; to show (one's feeling); to issue; to develop; classifier for gunshots (rounds); [fà] hair; Taiwan pr. [fa3]; 
只,[zhǐ] only; merely; just; but; 
可,[kě] can; may; able to; to approve; to permit; to suit; (particle used for emphasis) certainly; very; [kè] see 可汗[ke4 han2]; 
吃,[chī] to eat; to consume; to eat at (a cafeteria etc); to eradicate; to destroy; to absorb; to suffer; to stammer (Taiwan pr. for this sense is [ji2]); 
后,[Hòu] surname Hou; [hòu] empress; queen; [hòu] back; behind; rear; afterwards; after; later; 
吧,[bā] bar (loanword) (serving drinks, or providing Internet access etc); to puff (on a pipe etc); (onom.) bang; abbr. for 貼吧|贴吧[tie1 ba1]; [ba] (modal particle indicating suggestion or surmise); ...right?; ...OK?; ...I presume.; 
听,[yǐn] smile (archaic); [tīng] to listen; to hear; to obey; a can (loanword from English "tin"); classifier for canned beverages; [tìng] (literary pronunciation, still advocated in Taiwan) to rule; to sentence; to allow; 
和,[Hé] surname He; Japanese (food, clothes etc); [hé] and; together with; with; sum; union; peace; harmony; Taiwan pr. [han4] when it means "and"; [hè] to compose a poem in reply (to sb's poem) using the same rhyme sequence; to join in the singing; to chime in with others; [hú] to complete a set in mahjong or playing cards; [huó] soft; warm; [huò] to mix together; to blend; 
哥,[gē] elder brother; 
哪,[nǎ] how; which; [na] (particle equivalent to 啊 after noun ending in -n); [něi] which? (interrogative, followed by classifier or numeral-classifier); 
啊,[ā] interjection of surprise; Ah!; Oh!; [á] interjection expressing doubt or requiring answer; Eh?; what?; to show realization; to stress; [ǎ] interjection of surprise or doubt; Eh?; My!; what's up?; [à] interjection or grunt of agreement; uhm; Ah, OK; expression of recognition; Oh, it's you!; [a] modal particle ending sentence, showing affirmation, approval, or consent; 
啥,[shá] dialectal equivalent of 什麼|什么[shen2 me5]; 
嗝,[gé] hiccup; belch; 
嗯,[ēn] (a groaning sound); [èn] (nonverbal grunt as interjection); OK, yeah; what?; [en] interjection indicating approval, appreciation or agreement; 
嘛,[ma] modal particle indicating that sth is obvious; particle indicating a pause for emphasis; 
嘴,[zuǐ] mouth; beak; nozzle; spout (of teapot etc); CL:張|张[zhang1],個|个[ge4]; 
四,[sì] four; 4; 
在,[zài] (located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress); 
地,[de] -ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct; [dì] earth; ground; field; place; land; CL:片[pian4]; 
堪,[kān] to endure; may; can; 
声,[shēng] sound; voice; tone; noise; classifier for sounds; 
多,[duō] many; much; often; a lot of; numerous; more; in excess; how (to what extent); multi-; Taiwan pr. [duo2] when it means "how"; 
大,[dà] big; huge; large; major; great; wide; deep; older (than); oldest; eldest; greatly; very much; (dialect) father; father's elder or younger brother; [dài] see 大夫[dai4 fu5]; 
天,[tiān] day; sky; heaven; 
太,[tài] highest; greatest; too (much); very; extremely; 
奶,[nǎi] breast; milk; to breastfeed; 
好,[hǎo] good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness); (of an unmarried couple) to be close; to be keen on each other; [hào] to be fond of; to have a tendency to; to be prone to; 
妈,[mā] ma; mom; mother; 
始,[shǐ] to begin; to start; then; only then; 
姥,[lǎo] grandma (maternal); [mǔ] governess; old woman; 
子,[zǐ] son; child; seed; egg; small thing; 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat; Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; [zi] (noun suffix); 
完,[wán] to finish; to be over; whole; complete; entire; 
对,[duì] right; correct; couple; pair; towards; at; for; to face; opposite; to treat (sb a certain way); to match together; to adjust; to fit; to suit; to answer; to reply; classifier: couple; 
小,[xiǎo] small; tiny; few; young; 
鸡,[jī] fowl; chicken; CL:隻|只[zhi1]; (slang) prostitute; 
鬼,[guǐ] ghost; sly; crafty; CL:個|个[ge4]; 
少,[shǎo] few; less; to lack; to be missing; to stop (doing sth); seldom; [shào] young; 
就,[jiù] at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning; 
常,[Cháng] surname Chang; [cháng] always; ever; often; frequently; common; general; constant; 
开,[kāi] to open; to start; to turn on; to boil; to write out (a prescription, check, invoice etc); to operate (vehicle); abbr. for 開爾文|开尔文 degrees Kelvin; 
影,[yǐng] picture; image; film; movie; photograph; reflection; shadow; trace; 
很,[hěn] (adverb of degree); quite; very; awfully; 
得,[dé] to obtain; to get; to gain; to catch (a disease); proper; suitable; proud; contented; to allow; to permit; ready; finished; [de] structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc; [děi] to have to; must; ought to; to need to; 
心,[xīn] heart; mind; intention; center; core; CL:顆|颗[ke1],個|个[ge4]; 
忍,[rěn] to bear; to endure; to tolerate; to restrain oneself; 
快,[kuài] rapid; quick; speed; rate; soon; almost; to make haste; clever; sharp (of knives or wits); forthright; plain-spoken; gratified; pleased; pleasant; 
怎,[zěn] how; 
怕,[Pà] surname Pa; [pà] to be afraid; to fear; to dread; to be unable to endure; perhaps; 
急,[jí] urgent; pressing; rapid; hurried; worried; to make (sb) anxious; 
总,[zǒng] always; to assemble; gather; total; overall; head; chief; general; in every case; 
悲,[bēi] sad; sadness; sorrow; grief; 
想,[xiǎng] to think; to believe; to suppose; to wish; to want; to miss (feel wistful about the absence of sb or sth); 
惹,[rě] to provoke; to irritate; to vex; to stir up; to anger; to attract (troubles); to cause (problems); 
成,[Chéng] surname Cheng; [chéng] to succeed; to finish; to complete; to accomplish; to become; to turn into; to be all right; OK!; one tenth; 
我,[wǒ] I; me; my; 
才,[cái] ability; talent; sb of a certain type; a capable individual; only; only then; just now; 
打,[dá] dozen (loanword); [dǎ] to beat; to strike; to hit; to break; to type; to mix up; to build; to fight; to fetch; to make; to tie up; to issue; to shoot; to calculate; to play (a game); since; from; 
把,[bǎ] to hold; to contain; to grasp; to take hold of; handle; particle marking the following noun as a direct object; classifier for objects with handle; classifier for small objects: handful; [bà] handle; 
抢,[qiāng] see 搶風|抢风[qiang1 feng1]; [qiǎng] to fight over; to rush; to scramble; to grab; to rob; to snatch; 
护,[hù] to protect; 
三,[Sān] surname San; [sān] three; 3; 
掉,[diào] to fall; to drop; to lag behind; to lose; to go missing; to reduce; fall (in prices); to lose (value, weight etc); to wag; to swing; to turn; to change; to exchange; to swap; to show off; to shed (hair); (used after certain verbs to express completion, fulfillment, removal etc); 
排,[pái] a row; a line; to set in order; to arrange; to line up; to eliminate; to drain; to push open; platoon; raft; classifier for lines, rows etc; 
撒,[sā] to let go; to cast; to let loose; to discharge; to give expression to; [sǎ] to scatter; to sprinkle; to spill; 
改,[gǎi] to change; to alter; to transform; to correct; 
教,[Jiào] surname Jiao; [jiāo] to teach; [jiào] religion; teaching; to make; to cause; to tell; 
整,[zhěng] exactly; in good order; whole; complete; entire; in order; orderly; to repair; to mend; to renovate; (coll.) to fix sb; to give sb a hard time; to mess with sb; 
文,[Wén] surname Wen; [wén] language; culture; writing; formal; literary; gentle; (old) classifier for coins; Kangxi radical 118; 
旁,[páng] beside; one side; other; side; self; the right-hand side of split Chinese character, often the phonetic; 
早,[zǎo] early; morning; Good morning!; long ago; prematurely; 
时,[shí] old variant of 時|时[shi2]; [Shí] surname Shi; [shí] o'clock; time; when; hour; season; period; 
明,[Míng] Ming Dynasty (1368-1644); surname Ming; Ming (c. 2000 BC), fourth of the legendary Flame Emperors, 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God; [míng] bright; opposite: dark 暗[an4]; (of meaning) clear; to understand; next; public or open; wise; generic term for a sacrifice to the gods; 
是,[shì] is; are; am; yes; to be; 
有,[yǒu] to have; there is; there are; to exist; to be; 
骨,[gǔ] bone; 
本,[běn] roots or stems of plants; origin; source; this; the current; root; foundation; basis; classifier for books, periodicals, files etc; originally; 
来,[lái] to come; to arrive; to come round; ever since; next; 
果,[guǒ] fruit; result; resolute; indeed; if really; 
根,[gēn] root; basis; classifier for long slender objects, e.g. cigarettes, guitar strings; CL:條|条[tiao2]; radical (chemistry); 
次,[cì] next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time; 
正,[zhēng] first month of the lunar year; [zhèng] just (right); main; upright; straight; correct; positive; greater than zero; principle; to correct; to rectify; 
死,[sǐ] to die; impassable; uncrossable; inflexible; rigid; extremely; damned; 
毛,[Máo] surname Mao; [máo] hair; feather; down; wool; mildew; mold; coarse or semifinished; young; raw; careless; unthinking; nervous; scared; (of currency) to devalue or depreciate; classifier for Chinese fractional monetary unit ( = 角[jiao3] , = one-tenth of a yuan or 10 fen 分[fen1]); 
气,[qì] gas; air; smell; weather; to make angry; to annoy; to get angry; vital energy; qi; 
没,[méi] (negative prefix for verbs); have not; not; [mò] drowned; to end; to die; to inundate; 
油,[yóu] oil; fat; grease; petroleum; to apply tung oil, paint or varnish; oily; greasy; glib; cunning; 
饱,[bǎo] to eat till full; satisfied; 
洋,[yáng] ocean; vast; foreign; silver dollar or coin; 
洗,[xǐ] to wash; to bathe; to develop (photo); 
滑,[Huá] surname Hua; [huá] to slip; to slide; smooth; slippery; cunning; 
澡,[zǎo] bath; 
点,[diǎn] point; dot; drop; speck; o'clock; point (in space or time); to draw a dot; to check on a list; to choose; to order (food in a restaurant); to touch briefly; to hint; to light; to ignite; to pour a liquid drop by drop; (old) one fifth of a two-hour watch 更[geng1]; dot stroke in Chinese characters; classifier for items; 
烧,[shāo] to burn; to cook; to stew; to bake; to roast; to boil (tea, water etc); fever; 
猪,[zhū] hog; pig; swine; CL:口[kou3],頭|头[tou2]; 
现,[xiàn] to appear; present; now; existing; current; 
生,[shēng] to be born; to give birth; life; to grow; raw; uncooked; student; 
甩,[shuǎi] to throw; to fling; to swing; to leave behind; to throw off; to dump (sb); 
病,[bìng] illness; CL:場|场[chang2]; disease; to fall ill; defect; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
盘,[pán] plate; dish; tray; board; hard drive (computing); to build; to coil; to check; to examine; to transfer (property); to make over; classifier for food: dish, helping; to coil; classifier for coils of wire; classifier for games of chess; 
直,[Zhí] surname Zhi; Zhi (c. 2000 BC), fifth of the legendary Flame Emperors 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God; [zhí] straight; to straighten; fair and reasonable; frank; straightforward; (indicates continuing motion or action); vertical; vertical downward stroke in Chinese characters; 
真,[zhēn] really; truly; indeed; real; true; genuine; 
睡,[shuì] to sleep; to lie down; 
瞧,[qiáo] to look at; to see; to see (a doctor); to visit; 
知,[zhī] to know; to be aware; 
碗,[wǎn] bowl; cup; CL:隻|只[zhi1],個|个[ge4]; 
碟,[dié] dish; plate; 
等,[děng] class; rank; grade; equal to; same as; to wait for; to await; et cetera; and so on; et al. (and other authors); after; as soon as; once; 
算,[suàn] to regard as; to figure; to calculate; to compute; 
糕,[gāo] cake; 
紧,[jǐn] tight; strict; close at hand; near; urgent; tense; hard up; short of money; to tighten; 
红,[Hóng] surname Hong; [hóng] red; popular; revolutionary; bonus; 
给,[gěi] to; for; for the benefit of; to give; to allow; to do sth (for sb); (passive particle); [jǐ] to supply; to provide; 
绝,[jué] to cut short; extinct; to disappear; to vanish; absolutely; by no means; [jué] variant of 絕|绝[jue2]; 
胖,[pán] healthy; at ease; [pàng] fat; plump; 
能,[Néng] surname Neng; [néng] to be able to; to be capable of; ability; capability; able; capable; can possibly; (usually used in the negative) to have the possibility of; 
腿,[tuǐ] leg; CL:條|条[tiao2]; 
臭,[chòu] stench; stink; smelly; to smell (bad); [xiù] sense of smell; smell bad; 
舌,[shé] tongue; 
菜,[cài] dish (type of food); vegetable; cuisine; CL:盤|盘[pan2],道[dao4]; (coll.) (one's) type; 
蛋,[dàn] egg; oval-shaped; CL:個|个[ge4],打[da2]; 
要,[yāo] to demand; to request; to coerce; [yào] important; vital; to want; to ask for; will; going to (as future auxiliary); may; must; (used in a comparison) must be; probably; if; 
觉,[jiào] a nap; a sleep; CL:場|场[chang2]; [jué] to feel; to find that; thinking; awake; aware; 
让,[ràng] to yield; to permit; to let sb do sth; to have sb do sth; to make sb (feel sad etc); 
,
讲,[jiǎng] to speak; to explain; to negotiate; to emphasise; to be particular about; as far as sth is concerned; speech; lecture; 
设,[shè] to set up; to arrange; to establish; to found; to display; 
证,[zhèng] to admonish; variant of 證|证[zheng4]; [zhèng] certificate; proof; to prove; to demonstrate; to confirm; variant of 症[zheng4]; 
话,[huà] dialect; language; spoken words; speech; talk; words; conversation; what sb said; CL:種|种[zhong3],席[xi2],句[ju4],口[kou3],番[fan1]; [huà] old variant of 話|话[hua4]; 
说,[shuì] to persuade; [shuō] to speak; to say; to explain; to scold; to tell off; a theory (usually in compounds such as 日心说 heliocentric theory); 
贪,[tān] to have a voracious desire for; to covet; greedy; corrupt; 
赶,[gǎn] to overtake; to catch up with; to hurry; to rush; to try to catch (the bus etc); to drive (cattle etc) forward; to drive (sb) away; to avail oneself of (an opportunity); until; 
起,[qǐ] to rise; to raise; to get up; to set out; to start; to appear; to launch; to initiate (action); to draft; to establish; to get (from a depot or counter); verb suffix, to start; (before place or time) starting from; classifier for occurrences or unpredictable events: case, instance; classifier for groups: batch, group; 
跑,[páo] (of an animal) to paw (the ground); [pǎo] to run; to run away; to escape; to run around (on errands etc); (of a gas or liquid) to leak or evaporate; (verb complement) away; off; 
跟,[gēn] heel; to follow closely; to go with; to marry sb (of woman); with; towards; as (compared to); from (different from); and (in addition to); 
踪,[zōng] footprint; trace; tracks; 
蹄,[tí] hoof; pig's trotters; 
身,[shēn] body; life; oneself; personally; one's morality and conduct; the main part of a structure or body; pregnant; classifier for sets of clothes: suit, twinset; Kangxi radical 158; 
还,[Huán] surname Huan; [hái] still; still in progress; still more; yet; even more; in addition; fairly; passably (good); as early as; even; also; else; [huán] to pay back; to return; 
这,[zhè] this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing); 
追,[duī] to sculpt; to carve; musical instrument (old); [zhuī] to chase after; to seek; to do one's utmost to seek or procure sth; to recall; 
道,[dào] direction; way; road; path; CL:條|条[tiao2],股[gu3]; principle; truth; morality; reason; skill; method; Dao (of Daoism); to say; to speak; to talk; classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process; province (of Korea or Japan); 
那,[Nā] surname Na; [Nuó] surname Nuo; [nǎ] variant of 哪[na3]; [nà] that; those; then (in that case); commonly pr. [nei4] before a classifier, esp. in Beijing; [nuó] (archaic) many; beautiful; how; old variant of 挪[nuo2]; 
都,[Dū] surname Du; [dōu] all; both; entirely; (used for emphasis) even; already; (not) at all; [dū] capital city; metropolis; 
里,[lǐ] variant of 裡|里[li3]; [lǐ] lining; interior; inside; internal; also written 裏|里[li3]; [Lǐ] Li (surname); [lǐ] li (Chinese mile); 500 meters (modern); home; hometown; village; neighborhood; administrative unit; 
问,[wèn] to ask; 
面,[miàn] face; side; surface; aspect; top; classifier for flat surfaces such as drums, mirrors, flags etc; 
顿,[dùn] to stop; to pause; to arrange; to lay out; to kowtow; to stamp (one's foot); at once; classifier for meals, beatings, scoldings etc: time, bout, spell, meal; 
题,[Tí] surname Ti; [tí] topic; problem for discussion; exam question; subject; to inscribe; to mention; CL:個|个[ge4],道[dao4]; 
饭,[fàn] food; cuisine; cooked rice; meal; CL:碗[wan3],頓|顿[dun4]; 
开始,[kāi shǐ] to begin; beginning; to start; initial; CL:個|个[ge4]; 
,
鸡腿,[jī tuǐ] chicken leg; drumstick; CL:根[gen1]; 
整天,[zhěng tiān] all day long; whole day; 
睡觉,[shuì jiào] to go to bed; to sleep; 
天哪,[tiān na] Good gracious!; For goodness sake!; 
哥哥,[gē ge] older brother; CL:個|个[ge4],位[wei4]; 
知道,[zhī dào] to know; to become aware of; also pr. [zhi1 dao5]; 
原来,[yuán lái] original; former; originally; formerly; at first; so, actually, as it turns out; 
心里,[xīn li] chest; heart; mind; 
奶奶,[nǎi nai] (informal) grandma (paternal grandmother); (respectful) mistress of the house; CL:位[wei4]; (coll.) boobies; breasts; 
明天,[míng tiān] tomorrow; 
一点,[yī diǎn] a bit; a little; one dot; one point; 
好吃,[hǎo chī] tasty; delicious; [hào chī] to be fond of eating; to be gluttonous; 
怎么,[zěn me] how?; what?; why?; [zěn me] variant of 怎麼|怎么[zen3 me5]; 
红烧,[hóng shāo] simmer-fried (dish); 
好在,[hǎo zài] luckily; fortunately; 
偷吃,[tōu chī] to eat on the sly; to pilfer food; to be unfaithful; 
绝对,[jué duì] absolute; unconditional; 
来说,[lái shuō] to have one's say; to interpret a topic (from a certain point of view); now we come to talk about it, ...; 
妈妈,[mā ma] mama; mommy; mother; CL:個|个[ge4],位[wei4]; 
他们,[tā men] they; 
根本,[gēn běn] fundamental; basic; root; simply; absolutely (not); (not) at all; CL:個|个[ge4]; 
悲剧,[bēi jù] tragedy; CL:出[chu1]; 
发现,[fā xiàn] to find; to discover; 
正在,[zhèng zài] in the process of (doing something or happening); while (doing); 
蛋糕,[dàn gāo] cake; CL:塊|块[kuai4],個|个[ge4]; 
姥姥,[lǎo lao] (coll.) mother's mother; maternal grandmother; 
要是,[yào shi] if; 
死鬼,[sǐ guǐ] devil; You devil! (as joke or insult); the departed; 
个人,[gè rén] individual; personal; oneself; 
毛病,[máo bìng] fault; defect; shortcomings; ailment; CL:個|个[ge4]; 
只能,[zhǐ néng] can only; obliged to do sth; to have no other choice; 
不动,[bù dòng] motionless; 
设想,[shè xiǎng] to imagine; to assume; to envisage; tentative plan; to have consideration for; 
没了,[méi le] to be dead; not to be, or cease to exist; 
证明,[zhèng míng] proof; certificate; identification; testimonial; CL:個|个[ge4]; to prove; to testify; to confirm the truth of; 
没有,[méi yǒu] haven't; hasn't; doesn't exist; to not have; to not be; 
才能,[cái néng] talent; ability; capacity; 
作文,[zuò wén] to write an essay; composition (student essay); CL:篇[pian1]; 
贪吃,[tān chī] gluttonous; voracious; 
不堪,[bù kān] cannot bear; cannot stand; utterly; extremely; 
赶紧,[gǎn jǐn] hurriedly; without delay; 
洋洋,[yáng yáng] vast; impressive; self-satisfied; immensely pleased with oneself; 
起身,[qǐ shēn] to get up; to leave; to set forth; 
后果,[hòu guǒ] consequences; aftermath; 
洗澡,[xǐ zǎo] to bathe; to take a shower; 
不好,[bù hǎo] no good; 
踪影,[zōng yǐng] trace; vestige; presence; 
保护,[bǎo hù] to protect; to defend; to safeguard; protection; CL:種|种[zhong3]; 
换成,[huàn chéng] to exchange (sth) for (sth else); to replace with; to convert into; 
就是,[jiù shì] (emphasizes that sth is precisely or exactly as stated); precisely; exactly; even; if; just like; in the same way as; 
就算,[jiù suàn] granted that; even if; 
这个,[zhè ge] this; this one; 
猪蹄,[zhū tí] pig trotters; 
排骨,[pái gǔ] pork chop; pork cutlet; spare ribs; 
现在,[xiàn zài] now; at present; at the moment; modern; current; nowadays; 
那么,[nà me] like that; in that way; or so; so; so very much; about; in that case; 
不怕,[bù pà] fearless; not worried (by setbacks or difficulties); even if; even though; 
生气,[shēng qì] to get angry; to take offense; angry; vitality; liveliness; 
一旁,[yī páng] aside; to the side of; 
问题,[wèn tí] question; problem; issue; topic; CL:個|个[ge4]; 
甩掉,[shuǎi diào] to throw off; to abandon; to cast off; to get rid of; to dump; 
面子,[miàn zi] outer surface; outside; honor; reputation; face (as in "losing face"); self-respect; feelings; (medicinal) powder; 
大声,[dà shēng] loud voice; in a loud voice; loudly; 
改掉,[gǎi diào] to drop a bad habit; 
的话,[de huà] if (coming after a conditional clause); 
撒腿,[sā tuǐ] to take to one's heels; to scram; 
有一次,[yǒu yī cì] once; once upon a time; 
小时候,[xiǎo shí hou] in one's childhood; 
油嘴滑舌,[yóu zuǐ huá shé] glib; oily-mouthed and smooth talking; 
小菜一碟,[xiǎo cài yī dié] a small appetizer; a piece of cake; very easy (idiom); 
