扮,[bàn] to disguise oneself as; to dress up; to play (a role); to put on (an expression); 
子,[zǐ] son; child; seed; egg; small thing; 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat; Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; [zi] (noun suffix); 
家,[Jiā] surname Jia; [jiā] home; family; (polite) my (sister, uncle etc); classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian; CL:個|个[ge4]; 
论,[Lún] abbr. for 論語|论语[Lun2 yu3], The Analects (of Confucius); [lùn] opinion; view; theory; doctrine; to discuss; to talk about; to regard; to consider; per; by the (kilometer, hour etc); 
对,[duì] right; correct; couple; pair; towards; at; for; to face; opposite; to treat (sb a certain way); to match together; to adjust; to fit; to suit; to answer; to reply; classifier: couple; 
小,[xiǎo] small; tiny; few; young; 
许,[Xǔ] surname Xu; [xǔ] to allow; to permit; to promise; to praise; somewhat; perhaps; 
尚,[Shàng] surname Shang; [shàng] still; yet; to value; to esteem; 
就,[jiù] at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning; 
议,[yì] to comment on; to discuss; to suggest; 
岩,[yán] cliff; rock; 
虾,[há] see 蝦蟆|虾蟆[ha2 ma5]; [xiā] shrimp; prawn; 
岸,[àn] bank; shore; beach; coast; CL:個|个[ge4]; 
舌,[shé] tongue; 
底,[de] (equivalent to 的 as possessive particle); [dǐ] background; bottom; base; end (of the month, year etc); remnants; 
得,[dé] to obtain; to get; to gain; to catch (a disease); proper; suitable; proud; contented; to allow; to permit; ready; finished; [de] structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc; [děi] to have to; must; ought to; to need to; 
臭,[chòu] stench; stink; smelly; to smell (bad); [xiù] sense of smell; smell bad; 
德,[Dé] Germany; German; abbr. for 德國|德国[De2 guo2]; [dé] virtue; goodness; morality; ethics; kindness; favor; character; kind; 
心,[xīn] heart; mind; intention; center; core; CL:顆|颗[ke1],個|个[ge4]; 
意,[Yì] Italy; Italian; abbr. for 意大利[Yi4 da4 li4]; [yì] idea; meaning; thought; to think; wish; desire; intention; to expect; to anticipate; 
懒,[lǎn] variant of 懶|懒[lan3]; [lǎn] lazy; 
我,[wǒ] I; me; my; 
自,[zì] from; self; oneself; since; 
打,[dá] dozen (loanword); [dǎ] to beat; to strike; to hit; to break; to type; to mix up; to build; to fight; to fetch; to make; to tie up; to issue; to shoot; to calculate; to play (a game); since; from; 
膀,[bǎng] upper arm; wing; [bàng] to flirt; [pāng] puffed (swollen); [páng] bladder; 
扭,[niǔ] to turn; to twist; to wring; to sprain; to swing one's hips; 
耳,[ěr] ear; handle (archaeology); and that is all (classical Chinese); 
拍,[pāi] to pat; to clap; to slap; to swat; to take (a photo); to shoot (a film); racket (sports); beat (music); 
者,[zhě] (after a verb or adjective) one who (is) ...; (after a noun) person involved in ...; -er; -ist; (used after a number or 後|后[hou4] or 前[qian2] to refer to sth mentioned previously); (used after a term, to mark a pause before defining the term); (old) (used at the end of a command); (old) this; 
捕,[bǔ] to catch; to seize; to capture; 
早,[zǎo] early; morning; Good morning!; long ago; prematurely; 
翅,[chì] wing; 
时,[shí] old variant of 時|时[shi2]; [Shí] surname Shi; [shí] o'clock; time; when; hour; season; period; 
羽,[yǔ] feather; 5th note in pentatonic scale; 
是,[shì] is; are; am; yes; to be; 
晒,[shài] variant of 曬|晒[shai4]; [shài] (of the sun) to shine on; to bask in (the sunshine); to dry (clothes, grain etc) in the sun; (fig.) to expose and share (one's experiences and thoughts) on the Web (loanword from "share"); (coll.) to give the cold shoulder to; 
晨,[chén] morning; dawn; daybreak; 
晾,[liàng] to dry in the air; (fig.) to cold-shoulder; 
最,[zuì] most; the most; -est (superlative suffix); 
服,[fú] clothes; dress; garment; to serve (in the military, a prison sentence etc); to obey; to convince; to admire; to acclimatize; to take (medicine); mourning clothes; to wear mourning clothes; [fù] dose (measure word for medicine); 
来,[lái] to come; to arrive; to come round; ever since; next; 
美,[Měi] the Americas; abbr. for 美洲[Mei3 zhou1]; USA; abbr. for 美國|美国[Mei3 guo2]; [měi] beautiful; very satisfactory; good; to be pleased with oneself; 
梳,[shū] a comb; to comb; 
续,[xù] to continue; to replenish; 
继,[jì] to continue; to follow after; to go on with; to succeed; to inherit; then; afterwards; 
欢,[huān] variant of 歡|欢[huan1]; [huān] joyous; happy; pleased; [huān] hubbub; clamor; variant of 歡|欢[huan1]; [huān] a breed of horse; variant of 歡|欢[huan1]; 
正,[zhēng] first month of the lunar year; [zhèng] just (right); main; upright; straight; correct; positive; greater than zero; principle; to correct; to rectify; 
窝,[wō] nest; pit or hollow on the human body; lair; den; place; to harbor or shelter; to hold in check; to bend; classifier for litters and broods; 
每,[měi] each; every; 
突,[tū] to dash; to move forward quickly; to bulge; to protrude; to break through; to rush out; sudden; Taiwan pr. [tu2]; 
毛,[Máo] surname Mao; [máo] hair; feather; down; wool; mildew; mold; coarse or semifinished; young; raw; careless; unthinking; nervous; scared; (of currency) to devalue or depreciate; classifier for Chinese fractional monetary unit ( = 角[jiao3] , = one-tenth of a yuan or 10 fen 分[fen1]); 
没,[méi] (negative prefix for verbs); have not; not; [mò] drowned; to end; to die; to inundate; 
洗,[xǐ] to wash; to bathe; to develop (photo); 
海,[Hǎi] surname Hai; [hǎi] ocean; sea; CL:個|个[ge4],片[pian4]; great number of people or things; (dialect) numerous; 
礁,[jiāo] reef; shoal rock; 
石,[Shí] surname Shi; [dàn] dry measure for grain equal to ten dou 斗; ten pecks; one hundred liters; [shí] rock; stone; stone inscription; one of the eight ancient musical instruments 八音[ba1 yin1]; 
瞧,[qiáo] to look at; to see; to see (a doctor); to visit; 
着,[zhāo] (chess) move; trick; all right!; (dialect) to add; [zháo] to touch; to come in contact with; to feel; to be affected by; to catch fire; to fall asleep; to burn; [zhe] aspect particle indicating action in progress; [zhuó] to wear (clothes); to contact; to use; to apply; 
漂,[piāo] to float; to drift; [piǎo] to bleach; [piào] elegant; polished; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
点,[diǎn] point; dot; drop; speck; o'clock; point (in space or time); to draw a dot; to check on a list; to choose; to order (food in a restaurant); to touch briefly; to hint; to light; to ignite; to pour a liquid drop by drop; (old) one fifth of a two-hour watch 更[geng1]; dot stroke in Chinese characters; classifier for items; 
理,[lǐ] texture; grain (of wood); inner essence; intrinsic order; reason; logic; truth; science; natural science (esp. physics); to manage; to pay attention to; to run (affairs); to handle; to put in order; to tidy up; 
然,[rán] correct; right; so; thus; like this; -ly; 
照,[zhào] according to; in accordance with; to shine; to illuminate; to reflect; to look at (one's reflection); to take (a photo); photo; as requested; as before; 
燕,[Yān] Yan, a vassal state of Zhou in modern Hebei and Liaoning; north Hebei; the four Yan kingdoms of the Sixteen Kingdoms, namely: Former Yan 前燕 (337-370), Later Yan 後燕|后燕 (384-409), Southern Yan 南燕 (398-410), Northern Yan 北燕 (409-436); surname Yan; [yàn] swallow (family Hirundinidae); old variant of 宴[yan4]; 
特,[tè] special; unique; distinguished; especially; unusual; very; 
爱,[ài] to love; affection; to be fond of; to like; 
鸥,[ōu] common gull; 
爱美,[ài měi] love of beauty; wishing to appear beautiful; to set store by one's appearance; 
特别,[tè bié] especially; special; particular; unusual; 
点头,[diǎn tóu] to nod; 
漂亮,[piào liang] pretty; beautiful; 
的话,[de huà] if (coming after a conditional clause); 
海鸥,[hǎi ōu] seagull; 
海鸟,[hǎi niǎo] seabird; 
海岸,[hǎi àn] coastal; seacoast; 
海上,[hǎi shàng] maritime; 
礁石,[jiāo shí] reef; 
每天,[měi tiān] every day; everyday; 
突然,[tū rán] sudden; abrupt; unexpected; 
正在,[zhèng zài] in the process of (doing something or happening); while (doing); 
梳理,[shū lǐ] to comb; fig. to sort out; 
继续,[jì xù] to continue; to proceed with; to go on with; 
梳洗,[shū xǐ] to make oneself presentable; to freshen up; 
来说,[lái shuō] to have one's say; to interpret a topic (from a certain point of view); now we come to talk about it, ...; 
美丽,[měi lì] beautiful; 
美德,[Měi Dé] USA and Germany; [měi dé] virtue; 
美的,[Měi dí] Midea (brand); 
时候,[shí hou] time; length of time; moment; period; 
羽毛,[yǔ máo] feather; plumage; plume; 
早晨,[zǎo chén] early morning; CL:個|个[ge4]; 
翅膀,[chì bǎng] wing; CL:個|个[ge4],對|对[dui4]; 
拍打,[pāi dǎ] to slap; 
一起,[yī qǐ] in the same place; together; with; altogether (in total); 
打扮,[dǎ ban] to decorate; to dress; to make up; to adorn; manner of dressing; style of dress; 
我们,[wǒ men] we; us; ourselves; our; 
高尚,[gāo shàng] noble; lofty; refined; exquisite; 
得意,[dé yì] proud of oneself; pleased with oneself; complacent; 
臭美,[chòu měi] to show off one's good looks shamelessly; 
岸边,[àn biān] shore; 
岩石,[yán shí] rock; 
就是,[jiù shì] (emphasizes that sth is precisely or exactly as stated); precisely; exactly; even; if; just like; in the same way as; 
燕窝,[yàn wō] swallow's nest; 
小雨,[xiǎo yǔ] light rain; drizzle; 
家伙,[jiā huo] household dish, implement or furniture; domestic animal; (coll.) guy; chap; weapon; 
嫉妒,[jí dù] to be jealous; to envy; to hate; 
姑娘,[gū niang] girl; young woman; young lady; daughter; paternal aunt (old); CL:個|个[ge4]; 
妈妈,[mā ma] mama; mommy; mother; CL:個|个[ge4],位[wei4]; 
不和,[bù hé] not to get along well; to be on bad terms; to be at odds; discord; 
大海,[dà hǎi] sea; ocean; 
身子,[shēn zi] body; pregnancy; health; 
身躯,[shēn qū] body; 
喜欢,[xǐ huan] to like; to be fond of; 
后来,[hòu lái] afterwards; later; 
十分,[shí fēn] to divide into ten equal parts; very; hundred percent; completely; extremely; utterly; absolutely; 
飞过,[fēi guò] to fly over; to fly past; 
这儿,[zhè r] here; 
劳动,[láo dòng] work; toil; physical labor; CL:次[ci4]; 
刺耳,[cì ěr] ear-piercing; 
那是,[nà shi] (coll.) of course; naturally; indeed; 
那边,[nà bian] over there; yonder; 
你们,[nǐ men] you (plural); 
伤心,[shāng xīn] to grieve; to be broken-hearted; to feel deeply hurt; 
他们,[tā men] they; 
镜子,[jìng zi] mirror; CL:面[mian4],個|个[ge4]; 
不服,[bù fú] not to accept sth; to want to have sth overruled or changed; to refuse to obey or comply; to refuse to accept as final; to remain unconvinced by; not to give in to; 
队伍,[duì wǔ] ranks; troops; CL:個|个[ge4],支[zhi1]; 
中午,[zhōng wǔ] noon; midday; CL:個|个[ge4]; 
不许,[bù xǔ] not to allow; must not; can't; 
议论,[yì lùn] to comment; to talk about; to discuss; discussion; CL:個|个[ge4]; 
为什么,[wèi shén me] why?; for what reason?; 
劳动者,[láo dòng zhě] worker; laborer; 
天底下,[tiān dǐ xia] in this world; under the sun; 
一会儿,[yī huì r] a moment; a while; in a moment; now...now...; also pr. [yi1 hui3 r5]; 
一点儿,[yī diǎn r] erhua variant of 一點|一点[yi1 dian3]; 
七嘴八舌,[qī zuǐ bā shé] lively discussion with everybody talking at once; 
自以为是,[zì yǐ wéi shì] to believe oneself infallible (idiom); to be opinionated; 
