来,[lái] to come; to arrive; to come round; ever since; next; 
还,[Huán] surname Huan; [hái] still; still in progress; still more; yet; even more; in addition; fairly; passably (good); as early as; even; also; else; [huán] to pay back; to return; 
小,[xiǎo] small; tiny; few; young; 
就,[jiù] at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning; 
底,[de] (equivalent to 的 as possessive particle); [dǐ] background; bottom; base; end (of the month, year etc); remnants; 
过,[Guò] surname Guo; [guò] (experienced action marker); to cross; to go over; to pass (time); to celebrate (a holiday); to live; to get along; excessively; too-; 
怎,[zěn] how; 
起,[qǐ] to rise; to raise; to get up; to set out; to start; to appear; to launch; to initiate (action); to draft; to establish; to get (from a depot or counter); verb suffix, to start; (before place or time) starting from; classifier for occurrences or unpredictable events: case, instance; classifier for groups: batch, group; 
想,[xiǎng] to think; to believe; to suppose; to wish; to want; to miss (feel wistful about the absence of sb or sth); 
我,[wǒ] I; me; my; 
走,[zǒu] to walk; to go; to run; to move (of vehicle); to visit; to leave; to go away; to die (euph.); from; through; away (in compound verbs, such as 撤走[che4 zou3]); to change (shape, form, meaning); 
把,[bǎ] to hold; to contain; to grasp; to take hold of; handle; particle marking the following noun as a direct object; classifier for objects with handle; classifier for small objects: handful; [bà] handle; 
时,[shí] old variant of 時|时[shi2]; [Shí] surname Shi; [shí] o'clock; time; when; hour; season; period; 
是,[shì] is; are; am; yes; to be; 
有,[yǒu] to have; there is; there are; to exist; to be; 
上,[shǎng] see 上聲|上声[shang3 sheng1]; [shàng] on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); 
梳,[shū] a comb; to comb; 
说,[shuì] to persuade; [shuō] to speak; to say; to explain; to scold; to tell off; a theory (usually in compounds such as 日心说 heliocentric theory); 
次,[cì] next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time; 
毛,[Máo] surname Mao; [máo] hair; feather; down; wool; mildew; mold; coarse or semifinished; young; raw; careless; unthinking; nervous; scared; (of currency) to devalue or depreciate; classifier for Chinese fractional monetary unit ( = 角[jiao3] , = one-tenth of a yuan or 10 fen 分[fen1]); 
水,[Shuǐ] surname Shui; [shuǐ] water; river; liquid; beverage; additional charges or income; (of clothes) classifier for number of washes; 
池,[Chí] surname Chi; [chí] pond; reservoir; moat; 
没,[méi] (negative prefix for verbs); have not; not; [mò] drowned; to end; to die; to inundate; 
袋,[dài] a pouch; bag; sack; pocket; 
活,[huó] to live; alive; living; work; workmanship; 
浅,[jiān] sound of moving water; [qiǎn] shallow; light (color); 
,
理,[lǐ] texture; grain (of wood); inner essence; intrinsic order; reason; logic; truth; science; natural science (esp. physics); to manage; to pay attention to; to run (affairs); to handle; to put in order; to tidy up; 
用,[yòng] to use; to employ; to have to; to eat or drink; expense or outlay; usefulness; hence; therefore; 
白,[Bái] surname Bai; [bái] white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera; 
膀,[bǎng] upper arm; wing; [bàng] to flirt; [pāng] puffed (swollen); [páng] bladder; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
看,[kān] to look after; to take care of; to watch; to guard; [kàn] to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (an illness); to depend on; to feel (that); (after verb) to give it a try; Watch out! (for a danger); 
真,[zhēn] really; truly; indeed; real; true; genuine; 
着,[zhāo] (chess) move; trick; all right!; (dialect) to add; [zháo] to touch; to come in contact with; to feel; to be affected by; to catch fire; to fall asleep; to burn; [zhe] aspect particle indicating action in progress; [zhuó] to wear (clothes); to contact; to use; to apply; 
短,[duǎn] short; brief; to lack; weak point; fault; 
站,[zhàn] station; to stand; to halt; to stop; branch of a company or organization; website; 
笑,[xiào] laugh; smile; CL:個|个[ge4]; 
第,[dì] (prefix indicating ordinal number, e.g. first, number two etc); 
脖,[bó] neck; 
羽,[yǔ] feather; 5th note in pentatonic scale; 
脑,[nǎo] brain; mind; head; essence; 
翅,[chì] wing; 
能,[Néng] surname Neng; [néng] to be able to; to be capable of; ability; capability; able; capable; can possibly; (usually used in the negative) to have the possibility of; 
姐姐,[jiě jie] older sister; CL:個|个[ge4]; 
翅膀,[chì bǎng] wing; CL:個|个[ge4],對|对[dui4]; 
脑袋,[nǎo dài] head; skull; brains; mental capability; CL:顆|颗[ke1],個|个[ge4]; 
不动,[bù dòng] motionless; 
脖子,[bó zi] neck; CL:個|个[ge4]; 
,
没有,[méi yǒu] haven't; hasn't; doesn't exist; to not have; to not be; 
梳理,[shū lǐ] to comb; fig. to sort out; 
我们,[wǒ men] we; us; ourselves; our; 
走过,[zǒu guò] to walk past; to pass by; 
怎么,[zěn me] how?; what?; why?; [zěn me] variant of 怎麼|怎么[zen3 me5]; 
起来,[qǐ lai] to stand up; to get up; [qi lai] (after a verb) indicating the beginning and continuation of an action or a state; indicating an upward movement (e.g. after 站[zhan4]); bringing things together (e.g. after 收拾[shou1 shi5]); (after a perception verb, e.g. 看[kan4]) expressing preliminary judgement; 
底下,[dǐ xia] the location below sth; afterwards; 
不能,[bù néng] cannot; must not; should not; 
羽毛,[yǔ máo] feather; plumage; plume; 
这时,[zhè shí] at this time; at this moment; 
好好,[hǎo hǎo] well; carefully; nicely; properly; 
天哪,[tiān na] Good gracious!; For goodness sake!; 
,
假如,[jiǎ rú] if; 
钻进,[zuān jìn] to get into; to dig into (studies, job etc); to squeeze into; 
伸出,[shēn chū] to extend; 
他们,[tā men] they; 
中站,[Zhōng zhàn] Zhongzhan district of Jiaozuo city 焦作市[Jiao1 zuo4 shi4], Henan; 
,
了不起,[liǎo bu qǐ] amazing; terrific; extraordinary; 
对不起,[duì bu qǐ] unworthy; to let down; I'm sorry; excuse me; pardon me; if you please; sorry? (please repeat); 
第一次,[dì yī cì] the first time; first; number one; 
