惜,[xī] to cherish; to begrudge; to pity; Taiwan pr. [xi2]; 
尽,[jǐn] to the greatest extent; (when used before a noun of location) furthest or extreme; to be within the limits of; to give priority to; [jìn] to use up; to exhaust; to end; to finish; to the utmost; exhausted; finished; to the limit (of sth); 
觉,[jiào] a nap; a sleep; CL:場|场[chang2]; [jué] to feel; to find that; thinking; awake; aware; 
屁,[pì] fart; flatulence; nonsense; (usu. in the negative) what; (not) a damn thing; 
被,[bèi] quilt; by; (indicates passive-voice clauses); (literary) to cover; to meet with; 
开,[kāi] to open; to start; to turn on; to boil; to write out (a prescription, check, invoice etc); to operate (vehicle); abbr. for 開爾文|开尔文 degrees Kelvin; 
落,[là] to leave out; to be missing; to leave behind or forget to bring; to lag or fall behind; [lào] see 落枕[lao4 zhen3] and 落炕[lao4 kang4]; [luò] to fall or drop; (of the sun) to set; (of a tide) to go out; to lower; to decline or sink; to lag or fall behind; to fall onto; to rest with; to get or receive; to write down; whereabouts; settlement; 
当,[dāng] (onom.) dong; ding dong (bell); [dāng] to be; to act as; manage; withstand; when; during; ought; should; match equally; equal; same; obstruct; just at (a time or place); on the spot; right; just at; [dàng] at or in the very same...; suitable; adequate; fitting; proper; to replace; to regard as; to think; to pawn; (coll.) to fail (a student); 
径,[jìng] footpath; track; diameter; straight; directly; 
得,[dé] to obtain; to get; to gain; to catch (a disease); proper; suitable; proud; contented; to allow; to permit; ready; finished; [de] structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc; [děi] to have to; must; ought to; to need to; 
营,[yíng] camp; barracks; battalion; to build; to operate; to manage; to strive for; 
想,[xiǎng] to think; to believe; to suppose; to wish; to want; to miss (feel wistful about the absence of sb or sth); 
意,[Yì] Italy; Italian; abbr. for 意大利[Yi4 da4 li4]; [yì] idea; meaning; thought; to think; wish; desire; intention; to expect; to anticipate; 
感,[gǎn] to feel; to move; to touch; to affect; feeling; emotion; (suffix) sense of ~; 
获,[huò] to catch; to obtain; to capture; [huò] to reap; to harvest; 
我,[wǒ] I; me; my; 
持,[chí] to hold; to grasp; to support; to maintain; to persevere; to manage; to run (i.e. administer); to control; 
捷,[Jié] Czech; Czech Republic; abbr. for 捷克[Jie2 ke4]; [jié] victory; triumph; quick; nimble; prompt; 
舔,[tiǎn] to lick; to lap; 
是,[shì] is; are; am; yes; to be; 
更,[gēng] to change or replace; to experience; one of the five two hour periods into which the night was formerly divided; watch (e.g. of a sentry or guard); [gèng] more; even more; further; still; still more; 
有,[yǒu] to have; there is; there are; to exist; to be; 
能,[Néng] surname Neng; [néng] to be able to; to be capable of; ability; capability; able; capable; can possibly; (usually used in the negative) to have the possibility of; 
股,[gǔ] share; portion; section; part; thigh; classifier for smells, electric currents, spirals etc; whiff; 
条,[tiáo] strip; item; article; clause (of law or treaty); classifier for long thin things (ribbon, river, road, trousers etc); 
极,[jí] extremely; pole (geography, physics); utmost; top; 
枝,[zhī] branch; classifier for sticks, rods, pencils etc; 
枪,[Qiāng] surname Qiang; [qiāng] gun; firearm; rifle; spear; thing with shape or function similar to a gun; CL:支[zhi1],把[ba3],桿|杆[gan3],條|条[tiao2],枝[zhi1]; to substitute for another person in a test; to knock; classifier for rifle shots; [qiāng] variant of 槍|枪[qiang1]; rifle; spear; 
树,[shù] tree; CL:棵[ke1]; to cultivate; to set up; 
置,[zhì] to install; to place; to put; to buy; 
根,[gēn] root; basis; classifier for long slender objects, e.g. cigarettes, guitar strings; CL:條|条[tiao2]; radical (chemistry); 
棵,[kē] classifier for trees, cabbages, plants etc; 
正,[zhēng] first month of the lunar year; [zhèng] just (right); main; upright; straight; correct; positive; greater than zero; principle; to correct; to rectify; 
终,[zhōng] end; finish; 
气,[qì] gas; air; smell; weather; to make angry; to annoy; to get angry; vital energy; qi; 
没,[méi] (negative prefix for verbs); have not; not; [mò] drowned; to end; to die; to inundate; 
粪,[fèn] manure; dung; 
洋,[yáng] ocean; vast; foreign; silver dollar or coin; 
第,[dì] (prefix indicating ordinal number, e.g. first, number two etc); 
火,[Huǒ] surname Huo; [huǒ] fire; urgent; ammunition; fiery or flaming; internal heat (Chinese medicine); hot (popular); classifier for military units (old); 
端,[duān] end; extremity; item; port; to hold sth level with both hands; to carry; regular; 
点,[diǎn] point; dot; drop; speck; o'clock; point (in space or time); to draw a dot; to check on a list; to choose; to order (food in a restaurant); to touch briefly; to hint; to light; to ignite; to pour a liquid drop by drop; (old) one fifth of a two-hour watch 更[geng1]; dot stroke in Chinese characters; classifier for items; 
牛,[Niú] surname Niu; [niú] ox; cow; bull; CL:條|条[tiao2],頭|头[tou2]; (slang) awesome; 
现,[xiàn] to appear; present; now; existing; current; 
立,[Lì] surname Li; [lì] to stand; to set up; to establish; to lay down; to draw up; at once; immediately; 
理,[lǐ] texture; grain (of wood); inner essence; intrinsic order; reason; logic; truth; science; natural science (esp. physics); to manage; to pay attention to; to run (affairs); to handle; to put in order; to tidy up; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
目,[mù] eye; item; section; list; catalogue; table of contents; order (taxonomy); goal; name; title; 
真,[zhēn] really; truly; indeed; real; true; genuine; 
眺,[tiào] to gaze into the distance; 
鸡,[jī] fowl; chicken; CL:隻|只[zhi1]; (slang) prostitute; 
现在,[xiàn zài] now; at present; at the moment; modern; current; nowadays; 
火鸡,[huǒ jī] turkey; 
不能,[bù néng] cannot; must not; should not; 
为何,[wèi hé] why; 
没有,[méi yǒu] haven't; hasn't; doesn't exist; to not have; to not be; 
粪便,[fèn biàn] excrement; feces; night soil; 
正在,[zhèng zài] in the process of (doing something or happening); while (doing); 
终于,[zhōng yú] at last; in the end; finally; eventually; 
树枝,[shù zhī] branch; twig; 
主意,[zhǔ yi] plan; idea; decision; CL:個|个[ge4]; 
有了,[yǒu le] I've got a solution!; to have a bun in the oven (abbr. for 有了胎[you3 le5 tai1]); 
捷径,[jié jìng] shortcut; 
感觉,[gǎn jué] to feel; to become aware of; feeling; sense; perception; CL:個|个[ge4]; 
获取,[huò qǔ] to gain; to get; to acquire; 
一点,[yī diǎn] a bit; a little; one dot; one point; 
营养,[yíng yǎng] nutrition; nourishment; CL:種|种[zhong3]; 
开枪,[kāi qiāng] to open fire; to shoot a gun; 
屁股,[pì gu] buttocks; bottom; butt; back part; 
尽力,[jìn lì] to strive one's hardest; to spare no effort; 
觉得,[jué de] to think; to feel; 
对面,[duì miàn] (sitting) opposite; across (the street); directly in front; to be face to face; 
寓言,[yù yán] fable; CL:則|则[ze2]; 
立即,[lì jí] immediately; 
足够,[zú gòu] enough; sufficient; 
大树,[Dà shù] Tashu township in Kaohsiung county 高雄縣|高雄县[Gao1 xiong2 xian4], southwest Taiwan; 
在地,[zài dì] local; 
迅速,[xùn sù] rapid; speedy; fast; 
呵呵,[hē hē] (onom.) gentle laughter; chuckle; 
可是,[kě shì] but; however; (used for emphasis) indeed; 
远眺,[yuǎn tiào] to gaze into the distance; 
可惜,[kě xī] it is a pity; what a pity; unfortunately; 
发现,[fā xiàn] to find; to discover; 
力气,[lì qi] strength; CL:把[ba3]; 
别人,[bié ren] other people; others; other person; 
农夫,[nóng fū] peasant; farmer; 
里面,[lǐ miàn] inside; interior; 
公牛,[gōng niú] bull; 
长久,[cháng jiǔ] (for a) long time; 
保持,[bǎo chí] to keep; to maintain; to hold; to preserve; 
位置,[wèi zhi] position; place; seat; CL:個|个[ge4]; 
顶端,[dǐng duān] summit; peak; 
顶部,[dǐng bù] roof; topmost part; top (of tree, wall etc); apex; 
寓意,[yù yì] moral (of a story); lesson to be learned; implication; message; import; metaphorical meaning; 
有道理,[yǒu dào li] to make sense; reasonable; 
第二天,[dì èr tiān] next day; the morrow; 
洋洋得意,[yáng yáng dé yì] immensely pleased with oneself (idiom); proud; complacent; 
