怪,[guài] bewildering; odd; strange; uncanny; devil; monster; to wonder at; to blame; quite; rather; 
从,[Cóng] surname Cong; [cōng] lax; yielding; unhurried; [cóng] from; via; passing through; through (a gap); past; ever (followed by negative, meaning never); (formerly pr. [zong4] and related to 縱|纵) to follow; to comply with; to obey; to join; to engage in; adopting some mode of action or attitude; follower; retainer; accessory; accomplice; related by common paternal grandfather or earlier ancestor; [zòng] second cousin; 
他,[tā] he or him; (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); other; another; 
们,[men] plural marker for pronouns, and nouns referring to individuals; 
会,[huì] can; to be possible; to be able to; will; to be likely to; to be sure to; to assemble; to meet; to gather; to see; union; group; association; CL:個|个[ge4]; a moment (Taiwan pr. for this sense is [hui3]); [kuài] to balance an account; accountancy; accounting; 
似,[sì] to seem; to appear; to resemble; similar; -like; pseudo-; (more) than; 
路,[Lù] surname Lu; [lù] road; CL:條|条[tiao2]; journey; route; line (bus etc); sort; kind; 
但,[dàn] but; yet; however; only; merely; still; 
足,[jù] excessive; [zú] foot; to be sufficient; ample; 
低,[dī] low; beneath; to lower (one's head); to let droop; to hang down; to incline; 
你,[nǐ] you (informal, as opposed to courteous 您[nin2]); 
信,[xìn] letter; mail; CL:封[feng1]; to trust; to believe; to profess faith in; truthful; confidence; trust; at will; at random; 
起,[qǐ] to rise; to raise; to get up; to set out; to start; to appear; to launch; to initiate (action); to draft; to establish; to get (from a depot or counter); verb suffix, to start; (before place or time) starting from; classifier for occurrences or unpredictable events: case, instance; classifier for groups: batch, group; 
候,[hòu] to wait; to inquire after; to watch; season; climate; (old) period of five days; 
做,[zuò] to do; to make; to produce; to write; to compose; to act as; to engage in; to hold (a party); to be; to become; to function (in some capacity); to serve as; to be used for; to form (a bond or relationship); to pretend; to feign; to act a part; to put on appearance; 
傲,[ào] proud; arrogant; to despise; unyielding; to defy; 
像,[xiàng] to resemble; to be like; to look as if; such as; appearance; image; portrait; image under a mapping (math.); 
儿,[ér] son; [r] non-syllabic diminutive suffix; retroflex final; 
况,[kuàng] moreover; situation; 
准,[zhǔn] to allow; to grant; in accordance with; in the light of; [zhǔn] horizontal (old); accurate; standard; definitely; certainly; about to become (bride, son-in-law etc); quasi-; para-; 
走,[zǒu] to walk; to go; to run; to move (of vehicle); to visit; to leave; to go away; to die (euph.); from; through; away (in compound verbs, such as 撤走[che4 zou3]); to change (shape, form, meaning); 
出,[chū] to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; classifier for dramas, plays, operas etc; 
贝,[Bèi] surname Bei; [bèi] cowrie; shellfish; currency (archaic); 
分,[fēn] to divide; to separate; to distribute; to allocate; to distinguish (good and bad); part or subdivision; fraction; one tenth (of certain units); unit of length equivalent to 0.33 cm; minute; a point (in sports or games); 0.01 yuan (unit of money); [fèn] part; share; ingredient; component; 
说,[shuì] to persuade; [shuō] to speak; to say; to explain; to scold; to tell off; a theory (usually in compounds such as 日心说 heliocentric theory); 
刚,[gāng] hard; firm; strong; just; barely; exactly; 
该,[gāi] should; ought to; probably; must be; to deserve; to owe; to be sb's turn to do sth; that; the above-mentioned; 
初,[chū] at first; (at the) beginning; first; junior; basic; 
话,[huà] dialect; language; spoken words; speech; talk; words; conversation; what sb said; CL:種|种[zhong3],席[xi2],句[ju4],口[kou3],番[fan1]; [huà] old variant of 話|话[hua4]; 
到,[dào] to (a place); until (a time); up to; to go; to arrive; (verb complement denoting completion or result of an action); 
诚,[chéng] honest; sincere; true; 
试,[shì] to test; to try; experiment; examination; test; 
刻,[kè] quarter (hour); moment; to carve; to engrave; to cut; oppressive; classifier for short time intervals; 
前,[qián] front; forward; ahead; first; top (followed by a number); future; ago; before; BC (e.g. 前293年); former; formerly; 
包,[Bāo] surname Bao; [bāo] to cover; to wrap; to hold; to include; to take charge of; to contract (to or for); package; wrapper; container; bag; to hold or embrace; bundle; packet; CL:個|个[ge4],隻|只[zhi1]; 
十,[shí] ten; 10; 
诉,[sù] to complain; to sue; to tell; 
,
让,[ràng] to yield; to permit; to let sb do sth; to have sb do sth; to make sb (feel sad etc); 
升,[shēng] to ascend; to rise to the rank of; to promote; to hoist; liter; measure for dry grain equal to one-tenth dou 斗[dou3]; 
却,[què] old variant of 卻|却[que4]; [què] but; yet; however; while; to go back; to decline; to retreat; nevertheless; even though; 
卷,[juǎn] to roll up; roll; classifier for small rolled things (wad of paper money, movie reel etc); [juàn] scroll; book; volume; chapter; examination paper; classifier for books, paintings: volume, scroll; 
去,[qù] to go; to go to (a place); to cause to go or send (sb); to remove; to get rid of; (when used either before or after a verb) to go in order to do sth; to be apart from in space or time; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation); (of a time or an event etc) just passed or elapsed; 
又,[yòu] (once) again; also; both... and...; and yet; (used for emphasis) anyway; 
发,[fā] to send out; to show (one's feeling); to issue; to develop; classifier for gunshots (rounds); [fà] hair; Taiwan pr. [fa3]; 
见,[jiàn] to see; to meet; to appear (to be sth); to interview; [xiàn] to appear; also written 現|现[xian4]; 
口,[kǒu] mouth; classifier for things with mouths (people, domestic animals, cannons, wells etc); classifier for bites or mouthfuls; 
另,[lìng] other; another; separate; separately; 
要,[yāo] to demand; to request; to coerce; [yào] important; vital; to want; to ask for; will; going to (as future auxiliary); may; must; (used in a comparison) must be; probably; if; 
叫,[jiào] to shout; to call; to order; to ask; to be called; by (indicates agent in the passive mood); 
可,[kě] can; may; able to; to approve; to permit; to suit; (particle used for emphasis) certainly; very; [kè] see 可汗[ke4 han2]; 
同,[tóng] like; same; similar; together; alike; with; 
被,[bèi] quilt; by; (indicates passive-voice clauses); (literary) to cover; to meet with; 
名,[míng] name; noun (part of speech); place (e.g. among winners); famous; classifier for people; 
向,[Xiàng] surname Xiang; [xiàng] towards; to face; to turn towards; direction; to support; to side with; shortly before; formerly; always; all along; 
告,[gào] to tell; to inform; to say; 
行,[háng] a row; series; age order (of brothers); profession; professional; relating to company; [xíng] to walk; to go; to travel; a visit; temporary; makeshift; current; in circulation; to do; to perform; capable; competent; effective; all right; OK!; will do; behavior; conduct; Taiwan pr. [xing4] for the behavior-conduct sense; 
啊,[ā] interjection of surprise; Ah!; Oh!; [á] interjection expressing doubt or requiring answer; Eh?; what?; to show realization; to stress; [ǎ] interjection of surprise or doubt; Eh?; My!; what's up?; [à] interjection or grunt of agreement; uhm; Ah, OK; expression of recognition; Oh, it's you!; [a] modal particle ending sentence, showing affirmation, approval, or consent; 
喜,[xǐ] to be fond of; to like; to enjoy; to be happy; to feel pleased; happiness; delight; glad; 
回,[huí] to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book); 
虽,[suī] although; even though; 
在,[zài] (located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress); 
地,[de] -ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct; [dì] earth; ground; field; place; land; CL:片[pian4]; 
落,[là] to leave out; to be missing; to leave behind or forget to bring; to lag or fall behind; [lào] see 落枕[lao4 zhen3] and 落炕[lao4 kang4]; [luò] to fall or drop; (of the sun) to set; (of a tide) to go out; to lower; to decline or sink; to lag or fall behind; to fall onto; to rest with; to get or receive; to write down; whereabouts; settlement; 
堂,[táng] (main) hall; large room for a specific purpose; relationship between cousins etc on the paternal side of a family; of the same clan; classifier for sets (or suites) of furniture, classes etc; CL:間|间[jian1]; 
备,[bèi] variant of 備|备[bei4]; [bèi] to prepare; get ready; to provide or equip; 
天,[tiān] day; sky; heaven; 
脸,[liǎn] face; CL:張|张[zhang1],個|个[ge4]; 
失,[shī] to lose; to miss; to fail; 
脚,[jiǎo] foot; leg (of an animal or an object); base (of an object); CL:雙|双[shuang1],隻|只[zhi1]; classifier for kicks; [jué] variant of 角[jue2]; role; 
头,[tóu] head; hair style; the top; end; beginning or end; a stub; remnant; chief; boss; side; aspect; first; leading; classifier for pigs or livestock; CL:個|个[ge4]; [tou] suff. for nouns; 
脑,[nǎo] brain; mind; head; essence; 
奇,[jī] odd (number); [qí] strange; odd; weird; wonderful; surprisingly; unusually; 
背,[bēi] to be burdened; to carry on the back or shoulder; [bèi] the back of a body or object; to turn one's back; to hide something from; to learn by heart; to recite from memory; unlucky (slang); hard of hearing; 
她,[tā] she; 
好,[hǎo] good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness); (of an unmarried couple) to be close; to be keen on each other; [hào] to be fond of; to have a tendency to; to be prone to; 
肯,[kěn] to agree; to consent; to be ready (to do sth); willing; 
如,[rú] as; as if; such as; 
考,[kǎo] to check; to verify; to test; to examine; to take an exam; to take an entrance exam for; deceased father; 
,
老,[lǎo] prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity; old (of people); venerable (person); experienced; of long standing; always; all the time; of the past; very; outdated; (of meat etc) tough; 
完,[wán] to finish; to be over; whole; complete; entire; 
定,[dìng] to set; to fix; to determine; to decide; to order; 
宝,[bǎo] variant of 寶|宝[bao3]; [bǎo] jewel; gem; treasure; precious; 
,
实,[shí] real; true; honest; really; solid; fruit; seed; definitely; 
续,[xù] to continue; to replenish; 
家,[Jiā] surname Jia; [jiā] home; family; (polite) my (sister, uncle etc); classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian; CL:個|个[ge4]; 
对,[duì] right; correct; couple; pair; towards; at; for; to face; opposite; to treat (sb a certain way); to match together; to adjust; to fit; to suit; to answer; to reply; classifier: couple; 
小,[xiǎo] small; tiny; few; young; 
继,[jì] to continue; to follow after; to go on with; to succeed; to inherit; then; afterwards; 
就,[jiù] at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning; 
尽,[jǐn] to the greatest extent; (when used before a noun of location) furthest or extreme; to be within the limits of; to give priority to; [jìn] to use up; to exhaust; to end; to finish; to the utmost; exhausted; finished; to the limit (of sth); 
已,[yǐ] already; to stop; then; afterwards; 
给,[gěi] to; for; for the benefit of; to give; to allow; to do sth (for sb); (passive particle); [jǐ] to supply; to provide; 
师,[Shī] surname Shi; [shī] teacher; master; expert; model; army division; (old) troops; to dispatch troops; 
希,[xī] to hope; to admire; variant of 稀[xi1]; 
经,[Jīng] surname Jing; [jīng] classics; sacred book; scripture; to pass through; to undergo; to bear; to endure; warp (textile); longitude; menstruation; channel (TCM); abbr. for economics 經濟|经济[jing1 ji4]; 
帮,[bāng] old variant of 幫|帮[bang1]; [bāng] old variant of 幫|帮[bang1]; [bāng] to help; to assist; to support; for sb (i.e. as a help); hired (as worker); side (of pail, boat etc); outer layer; group; gang; clique; party; secret society; 
平,[Píng] surname Ping; [píng] flat; level; equal; to tie (make the same score); to draw (score); calm; peaceful; see also 平聲|平声[ping2 sheng1]; 
紧,[jǐn] tight; strict; close at hand; near; urgent; tense; hard up; short of money; to tighten; 
应,[Yìng] surname Ying; [yīng] to agree (to do sth); should; ought to; must; (legal) shall; [yìng] to answer; to respond; to comply with; to deal or cope with; 
算,[suàn] to regard as; to figure; to calculate; to compute; 
底,[de] (equivalent to 的 as possessive particle); [dǐ] background; bottom; base; end (of the month, year etc); remnants; 
张,[Zhāng] surname Zhang; [zhāng] to open up; to spread; sheet of paper; classifier for flat objects, sheet; classifier for votes; 
当,[dāng] (onom.) dong; ding dong (bell); [dāng] to be; to act as; manage; withstand; when; during; ought; should; match equally; equal; same; obstruct; just at (a time or place); on the spot; right; just at; [dàng] at or in the very same...; suitable; adequate; fitting; proper; to replace; to regard as; to think; to pawn; (coll.) to fail (a student); 
很,[hěn] (adverb of degree); quite; very; awfully; 
得,[dé] to obtain; to get; to gain; to catch (a disease); proper; suitable; proud; contented; to allow; to permit; ready; finished; [de] structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc; [děi] to have to; must; ought to; to need to; 
签,[qiān] to sign one's name; visa; variant of 籤|签[qian1]; [qiān] Japanese variant of 籤|签[qian1]; [qiān] inscribed bamboo stick (used in divination, gambling, drawing lots etc); small wood sliver; label; tag; 
等,[děng] class; rank; grade; equal to; same as; to wait for; to await; et cetera; and so on; et al. (and other authors); after; as soon as; once; 
心,[xīn] heart; mind; intention; center; core; CL:顆|颗[ke1],個|个[ge4]; 
忘,[wàng] to forget; to overlook; to neglect; 
快,[kuài] rapid; quick; speed; rate; soon; almost; to make haste; clever; sharp (of knives or wits); forthright; plain-spoken; gratified; pleased; pleasant; 
怎,[zěn] how; 
第,[dì] (prefix indicating ordinal number, e.g. first, number two etc); 
竟,[jìng] unexpectedly; actually; to go so far as to; indeed; 
思,[sī] to think; to consider; 
立,[Lì] surname Li; [lì] to stand; to set up; to establish; to lay down; to draw up; at once; immediately; 
突,[tū] to dash; to move forward quickly; to bulge; to protrude; to break through; to rush out; sudden; Taiwan pr. [tu2]; 
情,[qíng] feeling; emotion; passion; situation; 
礼,[Lǐ] surname Li; abbr. for 禮記|礼记[Li3 ji4], Classic of Rites; [lǐ] gift; rite; ceremony; CL:份[fen4]; propriety; etiquette; courtesy; 
惊,[jīng] to start; to be frightened; to be scared; alarm; 
知,[zhī] to know; to be aware; 
意,[Yì] Italy; Italian; abbr. for 意大利[Yi4 da4 li4]; [yì] idea; meaning; thought; to think; wish; desire; intention; to expect; to anticipate; 
慕,[mù] to admire; 
成,[Chéng] surname Cheng; [chéng] to succeed; to finish; to complete; to accomplish; to become; to turn into; to be all right; OK!; one tenth; 
我,[wǒ] I; me; my; 
着,[zhāo] (chess) move; trick; all right!; (dialect) to add; [zháo] to touch; to come in contact with; to feel; to be affected by; to catch fire; to fall asleep; to burn; [zhe] aspect particle indicating action in progress; [zhuó] to wear (clothes); to contact; to use; to apply; 
手,[shǒu] hand; (formal) to hold; person engaged in certain types of work; person skilled in certain types of work; personal(ly); convenient; classifier for skill; CL:雙|双[shuang1],隻|只[zhi1]; 
真,[zhēn] really; truly; indeed; real; true; genuine; 
打,[dá] dozen (loanword); [dǎ] to beat; to strike; to hit; to break; to type; to mix up; to build; to fight; to fetch; to make; to tie up; to issue; to shoot; to calculate; to play (a game); since; from; 
扣,[kòu] to fasten; to button; button; buckle; knot; to arrest; to confiscate; to deduct (money); discount; to knock; to smash, spike or dunk (a ball); to cover (with a bowl etc); fig. to tag a label on sb; 
把,[bǎ] to hold; to contain; to grasp; to take hold of; handle; particle marking the following noun as a direct object; classifier for objects with handle; classifier for small objects: handful; [bà] handle; 
拖,[tuō] to drag; to tow; to trail; to hang down; to mop (the floor); to delay; to drag on; 
拿,[ná] to hold; to seize; to catch; to apprehend; to take; (used in the same way as 把[ba3]: to mark the following noun as a direct object); 
挨,[āi] in order; in sequence; close to; adjacent to; [ái] to suffer; to endure; to pull through (hard times); to delay; to stall; to play for time; to dawdle; 
掉,[diào] to fall; to drop; to lag behind; to lose; to go missing; to reduce; fall (in prices); to lose (value, weight etc); to wag; to swing; to turn; to change; to exchange; to swap; to show off; to shed (hair); (used after certain verbs to express completion, fulfillment, removal etc); 
改,[gǎi] to change; to alter; to transform; to correct; 
看,[kān] to look after; to take care of; to watch; to guard; [kàn] to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (an illness); to depend on; to feel (that); (after verb) to give it a try; Watch out! (for a danger); 
目,[mù] eye; item; section; list; catalogue; table of contents; order (taxonomy); goal; name; title; 
敢,[gǎn] to dare; daring; (polite) may I venture; 
数,[shǔ] to count; to enumerate; to criticize (i.e. enumerate shortcomings); [shù] number; figure; several; CL:個|个[ge4]; [shuò] frequently; repeatedly; 
整,[zhěng] exactly; in good order; whole; complete; entire; in order; orderly; to repair; to mend; to renovate; (coll.) to fix sb; to give sb a hard time; to mess with sb; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
早,[zǎo] early; morning; Good morning!; long ago; prematurely; 
番,[Pān] surname Pan; [fān] foreign country; foreigner; foreign (non-Chinese); barbarian; classifier for occurrences (of an action or deed); -fold (as in twofold etc); kind; sort; 
时,[shí] old variant of 時|时[shi2]; [Shí] surname Shi; [shí] o'clock; time; when; hour; season; period; 
由,[yóu] to follow; from; it is for...to; reason; cause; because of; due to; to; to leave it (to sb); by (introduces passive verb); 
是,[shì] is; are; am; yes; to be; 
晚,[wǎn] evening; night; late; 
生,[shēng] to be born; to give birth; life; to grow; raw; uncooked; student; 
有,[yǒu] to have; there is; there are; to exist; to be; 
望,[wàng] full moon; to hope; to expect; to visit; to gaze (into the distance); to look towards; towards; 
朝,[Cháo] abbr. for 朝鮮|朝鲜[Chao2 xian3] Korea; [cháo] imperial or royal court; government; dynasty; reign of a sovereign or emperor; court or assembly held by a sovereign or emperor; to make a pilgrimage to; facing; towards; [zhāo] morning; 
现,[xiàn] to appear; present; now; existing; current; 
来,[lái] to come; to arrive; to come round; ever since; next; 
松,[Sōng] surname Song; [sōng] pine; CL:棵[ke1]; 
果,[guǒ] fruit; result; resolute; indeed; if really; 
校,[jiào] to proofread; to check; to compare; [xiào] school; military officer; CL:所[suo3]; 
样,[yàng] manner; pattern; way; appearance; shape; CL:個|个[ge4]; 
正,[zhēng] first month of the lunar year; [zhèng] just (right); main; upright; straight; correct; positive; greater than zero; principle; to correct; to rectify; 
步,[Bù] surname Bu; [bù] a step; a pace; walk; march; stages in a process; situation; 
气,[qì] gas; air; smell; weather; to make angry; to annoy; to get angry; vital energy; qi; 
沉,[chēn] see 黑沉沉[hei1 chen1 chen1]; [chén] to submerge; to immerse; to sink; to keep down; to lower; to drop; deep; profound; heavy; 
狱,[yù] prison; 
物,[wù] thing; object; matter; abbr. for physics 物理; 
没,[méi] (negative prefix for verbs); have not; not; [mò] drowned; to end; to die; to inundate; 
爸,[bà] father; dad; pa; papa; 
漏,[lòu] to leak; to divulge; to leave out by mistake; waterclock or hourglass (old); 
然,[rán] correct; right; so; thus; like this; -ly; 
默,[mò] silent; to write from memory; 
漏掉,[lòu diào] to miss; to leave out; to omit; to be omitted; to be missing; to slip through; to leak out; to seep away; 
爸爸,[bà ba] (informal) father; CL:個|个[ge4],位[wei4]; 
沉默,[chén mò] taciturn; uncommunicative; silent; 
沉重,[chén zhòng] heavy; hard; serious; critical; 
朝阳,[Cháo yáng] Chaoyang district in east and northeast Beijing, a county level district of Beijing municipality; Chaoyang prefecture level city in Liaoning province 遼寧省|辽宁省 in northeast China; Chaoyang district of Changchun city 長春市|长春市, Jilin; Chaoyang county in Chaoyang 朝陽|朝阳, Liaoning; [cháo yáng] to be exposed to the sun; in a position facing the sun; [zhāo yáng] the morning sun; 
现在,[xiàn zài] now; at present; at the moment; modern; current; nowadays; 
晚上,[wǎn shang] evening; night; CL:個|个[ge4]; in the evening; 
生气,[shēng qì] to get angry; to take offense; angry; vitality; liveliness; 
时候,[shí hou] time; length of time; moment; period; 
早上,[zǎo shang] early morning; CL:個|个[ge4]; 
整整,[zhěng zhěng] whole; full; 
改正,[gǎi zhèng] to correct; to amend; to put right; correction; CL:個|个[ge4]; 
改成,[gǎi chéng] to convert; to turn into (sth else); to adapt (a story to another medium); 
看见,[kàn jiàn] to see; to catch sight of; 
手里,[shǒu lǐ] in hand; (a situation is) in sb's hands; 
我们,[wǒ men] we; us; ourselves; our; 
惊喜,[jīng xǐ] nice surprise; to be pleasantly surprised; 
情况,[qíng kuàng] circumstances; state of affairs; situation; CL:個|个[ge4],種|种[zhong3]; 
礼物,[lǐ wù] gift; present; CL:件[jian4],個|个[ge4],份[fen4]; 
高分,[gāo fēn] high marks; high score; 
突然,[tū rán] sudden; abrupt; unexpected; 
思考,[sī kǎo] to reflect on; to ponder over; 
立刻,[lì kè] forthwith; immediate; prompt; promptly; straightway; thereupon; at once; 
怎样,[zěn yàng] how; why; 
竟然,[jìng rán] unexpectedly; to one's surprise; in spite of everything; in that crazy way; actually; to go as far as to; 
怎么,[zěn me] how?; what?; why?; [zěn me] variant of 怎麼|怎么[zen3 me5]; 
骄傲,[jiāo ào] pride; arrogance; conceited; proud of sth; 
得到,[dé dào] to get; to obtain; to receive; 
等于,[děng yú] to equal; to be tantamount to; 
得了,[dé le] all right!; that's enough!; [dé liǎo] (emphatically, in rhetorical questions) possible; 
签名,[qiān míng] to sign (one's name with a pen etc); to autograph; signature; 
应该,[yīng gāi] ought to; should; must; 
算了,[suàn le] let it be; let it pass; forget about it; 
平时,[píng shí] ordinarily; in normal times; in peacetime; 
紧张,[jǐn zhāng] nervous; keyed up; intense; tense; strained; in short supply; scarce; CL:陣|阵[zhen4]; 
希望,[xī wàng] to wish for; to desire; hope; CL:個|个[ge4]; 
已经,[yǐ jīng] already; 
小心,[xiǎo xīn] to be careful; to take care; 
继续,[jì xù] to continue; to proceed with; to go on with; 
实地,[shí dì] on-site; 
题目,[tí mù] subject; title; topic; CL:個|个[ge4]; 
,
,
老师,[lǎo shī] teacher; CL:個|个[ge4],位[wei4]; 
如果,[rú guǒ] if; in case; in the event that; 
考卷,[kǎo juàn] exam paper; 
好像,[hǎo xiàng] as if; to seem like; 
肯定,[kěn dìng] to be sure; to be certain; sure; certain; definite; to confirm; to affirm; affirmative; to approve; approval; recognition; 
奇怪,[qí guài] strange; odd; to marvel; to be baffled; 
头脑,[tóu nǎo] brains; mind; skull; (fig.) gist (of a matter); leader; boss; 
失去,[shī qù] to lose; 
脚步,[jiǎo bù] footstep; step; 
没有,[méi yǒu] haven't; hasn't; doesn't exist; to not have; to not be; 
地狱,[dì yù] hell; infernal; underworld; 
回家,[huí jiā] to return home; 
虽然,[suī rán] although; even though; even if; 
告诉,[gào su] to tell; to inform; to let know; 
,
另一,[lìng yī] another; the other; 
发现,[fā xiàn] to find; to discover; 
十足,[shí zú] ample; complete; hundred percent; a pure shade (of some color); 
十分,[shí fēn] to divide into ten equal parts; very; hundred percent; completely; extremely; utterly; absolutely; 
十万,[shí wàn] hundred thousand; 
到底,[dào dǐ] finally; in the end; when all is said and done; after all; to the end; to the last; 
试题,[shì tí] exam question; test topic; 
到了,[dào liǎo] at last; finally; in the end; 
诚实,[chéng shí] honest; honesty; honorable; truthful; 
初升,[chū shēng] rising (sun, moon etc); 
刚刚,[gāng gang] just recently; just a moment ago; 
分数,[fēn shù] (exam) grade; mark; score; fraction; 
出现,[chū xiàn] to appear; to arise; to emerge; to show up; 
准备,[zhǔn bèi] preparation; to prepare; to intend; to be about to; reserve (fund); 
走去,[zǒu qù] to walk over (to); 
信心,[xìn xīn] confidence; faith (in sb or sth); CL:個|个[ge4]; 
但是,[dàn shì] but; however; 
似的,[shì de] seems as if; rather like; Taiwan pr. [si4 de5]; 
路上,[lù shang] on the road; on a journey; road surface; 
今天,[jīn tiān] today; at the present; now; 
轻快,[qīng kuài] light and quick; brisk; spry; lively; effortless; relaxed; agile; blithe; 
人生,[rén shēng] life (one's time on earth); 
人意,[rén yì] people's expectations; 
交给,[jiāo gěi] to give; to deliver; to hand over; 
于是,[yú shì] thereupon; as a result; consequently; thus; hence; 
书包,[shū bāo] schoolbag; satchel; CL:個|个[ge4],隻|只[zhi1]; 
这些,[zhè xiē] these; 
