执,[zhí] to execute (a plan); to grasp; 
加,[Jiā] abbr. for Canada 加拿大[Jia1 na2 da4]; [jiā] to add; plus; (used after an adverb such as 不, 大, 稍 etc, and before a disyllabic verb, to indicate that the action of the verb is applied to sth or sb previously mentioned); to apply (restrictions etc) to (sb); to give (support, consideration etc) to (sth); 
却,[què] old variant of 卻|却[que4]; [què] but; yet; however; while; to go back; to decline; to retreat; nevertheless; even though; 
又,[yòu] (once) again; also; both... and...; and yet; (used for emphasis) anyway; 
吸,[xī] to breathe; to suck in; to absorb; to inhale; 
迷,[mí] to bewilder; crazy about; fan; enthusiast; lost; confused; 
和,[Hé] surname He; Japanese (food, clothes etc); [hé] and; together with; with; sum; union; peace; harmony; Taiwan pr. [han4] when it means "and"; [hè] to compose a poem in reply (to sb's poem) using the same rhyme sequence; to join in the singing; to chime in with others; [hú] to complete a set in mahjong or playing cards; [huó] soft; warm; [huò] to mix together; to blend; 
回,[huí] to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book); 
这,[zhè] this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing); 
因,[yīn] cause; reason; because; 
身,[shēn] body; life; oneself; personally; one's morality and conduct; the main part of a structure or body; pregnant; classifier for sets of clothes: suit, twinset; Kangxi radical 158; 
在,[zài] (located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress); 
地,[de] -ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct; [dì] earth; ground; field; place; land; CL:片[pian4]; 
坚,[jiān] strong; solid; firm; unyielding; resolute; 
贴,[tiē] to stick; to paste; to post (e.g. on a blog); to keep close to; to fit snugly; to subsidize; allowance (e.g. money for food or housing); sticker; classifier for sticking plaster: strip; 
女,[nǔ:] female; woman; daughter; [rǔ] archaic variant of 汝[ru3]; 
说,[shuì] to persuade; [shuō] to speak; to say; to explain; to scold; to tell off; a theory (usually in compounds such as 日心说 heliocentric theory); 
孩,[hái] child; 
定,[dìng] to set; to fix; to determine; to decide; to order; 
害,[hài] to do harm to; to cause trouble to; harm; evil; calamity; 
对,[duì] right; correct; couple; pair; towards; at; for; to face; opposite; to treat (sb a certain way); to match together; to adjust; to fit; to suit; to answer; to reply; classifier: couple; 
见,[jiàn] to see; to meet; to appear (to be sth); to interview; [xiàn] to appear; also written 現|现[xian4]; 
己,[jǐ] self; oneself; sixth of the ten Heavenly Stems 十天干[shi2 tian1 gan1]; sixth in order; letter "F" or roman "VI" in list "A, B, C", or "I, II, III" etc; hexa; 
年,[Nián] surname Nian; [nián] year; CL:個|个[ge4]; 
弃,[qì] to abandon; to relinquish; to discard; to throw away; 
引,[yǐn] to draw (e.g. a bow); to pull; to stretch sth; to extend; to lengthen; to involve or implicate in; to attract; to lead; to guide; to leave; to provide evidence or justification for; old unit of distance equal to 10 丈[zhang4], one-thirtieth of a km or 33.33 meters; 
强,[Qiáng] surname Qiang; [jiàng] stubborn; unyielding; [qiáng] strong; powerful; better; slightly more than; vigorous; violent; best in their category, e.g. see 百強|百强[bai3 qiang2]; [qiǎng] to force; to compel; to strive; to make an effort; [jiàng] variant of 強|强[jiang4]; [qiáng] variant of 強|强[qiang2]; [qiǎng] variant of 強|强[qiang3]; 
当,[dāng] (onom.) dong; ding dong (bell); [dāng] to be; to act as; manage; withstand; when; during; ought; should; match equally; equal; same; obstruct; just at (a time or place); on the spot; right; just at; [dàng] at or in the very same...; suitable; adequate; fitting; proper; to replace; to regard as; to think; to pawn; (coll.) to fail (a student); 
蛾,[é] moth; 
彼,[bǐ] that; those; (one) another; 
般,[bān] sort; kind; class; way; manner; [pán] see 般樂|般乐[pan2 le4]; 
心,[xīn] heart; mind; intention; center; core; CL:顆|颗[ke1],個|个[ge4]; 
怜,[lián] to pity; 
自,[zì] from; self; oneself; since; 
恋,[liàn] to feel attached to; to long for; to love; 
患,[huàn] to suffer (from illness); to contract (a disease); misfortune; trouble; danger; worry; 
悲,[bēi] sad; sadness; sorrow; grief; 
背,[bēi] to be burdened; to carry on the back or shoulder; [bèi] the back of a body or object; to turn one's back; to hide something from; to learn by heart; to recite from memory; unlucky (slang); hard of hearing; 
情,[qíng] feeling; emotion; passion; situation; 
惜,[xī] to cherish; to begrudge; to pity; Taiwan pr. [xi2]; 
或,[huò] maybe; perhaps; might; possibly; or; 
而,[ér] and; as well as; and so; but (not); yet (not); (indicates causal relation); (indicates change of state); (indicates contrast); 
扑,[pū] to throw oneself at; to pounce on; to devote one's energies; to flap; to flutter; to dab; to pat; to bend over; 
者,[zhě] (after a verb or adjective) one who (is) ...; (after a noun) person involved in ...; -er; -ist; (used after a number or 後|后[hou4] or 前[qian2] to refer to sth mentioned previously); (used after a term, to mark a pause before defining the term); (old) (used at the end of a command); (old) this; 
终,[zhōng] end; finish; 
报,[bào] to announce; to inform; report; newspaper; recompense; revenge; CL:份[fen4],張|张[zhang1]; 
接,[jiē] to receive; to answer (the phone); to meet or welcome sb; to connect; to catch; to join; to extend; to take one's turn on duty; to take over for sb; 
知,[zhī] to know; to be aware; 
放,[fàng] to release; to free; to let go; to put; to place; to let out; to set off (fireworks); 
着,[zhāo] (chess) move; trick; all right!; (dialect) to add; [zháo] to touch; to come in contact with; to feel; to be affected by; to catch fire; to fall asleep; to burn; [zhe] aspect particle indicating action in progress; [zhuó] to wear (clothes); to contact; to use; to apply; 
敢,[gǎn] to dare; daring; (polite) may I venture; 
方,[Fāng] surname Fang; [fāng] square; power or involution (mathematics); upright; honest; fair and square; direction; side; party (to a contract, dispute etc); place; method; prescription (medicine); just when; only or just; classifier for square things; abbr. for square or cubic meter; 
无,[wú] not to have; no; none; not; to lack; un-; -less; 
真,[zhēn] really; truly; indeed; real; true; genuine; 
相,[Xiāng] surname Xiang; [xiāng] each other; one another; mutually; [xiàng] appearance; portrait; picture; government minister; (physics) phase; 
时,[shí] old variant of 時|时[shi2]; [Shí] surname Shi; [shí] o'clock; time; when; hour; season; period; 
明,[Míng] Ming Dynasty (1368-1644); surname Ming; Ming (c. 2000 BC), fourth of the legendary Flame Emperors, 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God; [míng] bright; opposite: dark 暗[an4]; (of meaning) clear; to understand; next; public or open; wise; generic term for a sacrifice to the gods; 
更,[gēng] to change or replace; to experience; one of the five two hour periods into which the night was formerly divided; watch (e.g. of a sentry or guard); [gèng] more; even more; further; still; still more; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
曾,[Zēng] surname Zeng; [céng] once; already; ever (in the past); former; previously; (past tense marker used before verb or clause); [zēng] great-grand (father, child etc); 
服,[fú] clothes; dress; garment; to serve (in the military, a prison sentence etc); to obey; to convince; to admire; to acclimatize; to take (medicine); mourning clothes; to wear mourning clothes; [fù] dose (measure word for medicine); 
机,[Jī] surname Ji; [jī] machine; engine; opportunity; intention; aircraft; pivot; crucial point; flexible (quick-witted); organic; CL:臺|台[tai2]; 
杀,[shā] to kill; to murder; to fight; to weaken or reduce; to smart (dialect); to counteract; (used after a verb) extremely; 
柔,[róu] soft; flexible; supple; yielding; rho (Greek letter Ρρ); 
次,[cì] next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time; 
此,[cǐ] this; these; 
没,[méi] (negative prefix for verbs); have not; not; [mò] drowned; to end; to die; to inundate; 
症,[zhèng] disease; illness; 
法,[Fǎ] France; French; abbr. for 法國|法国[Fa3 guo2]; Taiwan pr. [Fa4]; [fǎ] law; method; way; Buddhist teaching; Legalist; 
温,[Wēn] surname Wen; [wēn] warm; lukewarm; temperature; to warm up; mild; soft; tender; to review; to revise; epidemic; 
父,[fù] father; 
火,[Huǒ] surname Huo; [huǒ] fire; urgent; ammunition; fiery or flaming; internal heat (Chinese medicine); hot (popular); classifier for military units (old); 
然,[rán] correct; right; so; thus; like this; -ly; 
爱,[ài] to love; affection; to be fond of; to like; 
当年,[dāng nián] in those days; then; in those years; during that time; 
爱上,[ài shàng] to fall in love with; to be in love with; 
温柔,[wēn róu] gentle and soft; tender; 
父亲,[fù qīn] father; also pr. [fu4 qin5]; CL:個|个[ge4]; 
面对,[miàn duì] to confront; to face; 
更加,[gèng jiā] more (than sth else); even more; 
无法,[wú fǎ] unable; incapable; 
相信,[xiāng xìn] to be convinced (that sth is true); to believe; to accept sth as true; 
无力,[wú lì] powerless; lacking strength; 
真爱,[zhēn ài] true love; 
放弃,[fàng qì] to renounce; to abandon; to give up; 
接机,[jiē jī] jointing machine; riveter; welder; sealer; to meet a plane (i.e. to meet sb at airport); to service a plane (of airport workers); 
知道,[zhī dào] to know; to become aware of; also pr. [zhi1 dao5]; 
执着,[zhí zhuó] attachment; stubborn; be attached to; persistent; persevering; 
终于,[zhōng yú] at last; in the end; finally; eventually; 
一次,[yī cì] first; first time; once; (math.) linear (of degree one); 
或者,[huò zhě] or; possibly; maybe; perhaps; 
悲剧,[bēi jù] tragedy; CL:出[chu1]; 
背弃,[bèi qì] abandon; desert; renounce; 
怜惜,[lián xī] to take pity on; to feel tenderness toward; 
自己,[zì jǐ] oneself; one's own; 
自杀,[zì shā] to kill oneself; to commit suicide; 
彼此,[bǐ cǐ] each other; one another; 
爱情,[ài qíng] romance; love (romantic); CL:個|个[ge4],份[fen4]; 
对方,[duì fāng] counterpart; other person involved; opposite side; other side; receiving party; 
女孩,[nǔ: hái] girl; lass; 
说服,[shuō fú] to persuade; to convince; to talk sb over; Taiwan pr. [shui4 fu2]; 
坚强,[jiān qiáng] staunch; strong; 
因为,[yīn wèi] because; owing to; on account of; 
身上,[shēn shang] on the body; at hand; among; 
回报,[huí bào] (in) return; reciprocation; payback; retaliation; to report back; to reciprocate; 
吸引,[xī yǐn] to attract (interest, investment etc); CL:個|个[ge4]; 
迷恋,[mí liàn] to be infatuated with; to indulge in; 
到了,[dào liǎo] at last; finally; in the end; 
逃避,[táo bì] to escape; to evade; to avoid; to shirk; 
偶然,[ǒu rán] incidentally; occasional; occasionally; by chance; randomly; 
体贴,[tǐ tiē] considerate (of other people's needs); 
伤害,[shāng hài] to injure; to harm; 
重症,[zhòng zhèng] acute (of medical condition); grave; 
他们,[tā men] they; 
互相,[hù xiāng] each other; mutually; mutual; 
降临,[jiàng lín] to descend; to arrive; to come; 
没办法,[méi bàn fǎ] there is nothing to be done; one can't do anything about it; 
下定决心,[xià dìng jué xīn] to make a firm resolution; 
一见钟情,[yī jiàn zhōng qíng] love at first sight (idiom); 
飞蛾扑火,[fēi é pū huǒ] the moth flies into the flame; fatal attraction; 
