抚,[fǔ] to comfort; to console; to stroke; to caress; an old term for province or provincial governor; 
补,[bǔ] to repair; to patch; to mend; to make up for; to fill (a vacancy); to supplement; 
少,[shǎo] few; less; to lack; to be missing; to stop (doing sth); seldom; [shào] young; 
属,[shǔ] category; genus (taxonomy); family members; dependents; to belong to; subordinate to; affiliated with; be born in the year of (one of the 12 animals); to be; to prove to be; to constitute; [zhǔ] to join together; to fix one's attention on; to concentrate on; 
庆,[qìng] to celebrate; 
至,[zhì] to arrive; most; to; until; 
度,[dù] to pass; to spend (time); measure; limit; extent; degree of intensity; degree (angles, temperature etc); kilowatt-hour; classifier for events and occurrences; [duó] to estimate; Taiwan pr. [duo4]; 
总,[zǒng] always; to assemble; gather; total; overall; head; chief; general; in every case; 
者,[zhě] (after a verb or adjective) one who (is) ...; (after a noun) person involved in ...; -er; -ist; (used after a number or 後|后[hou4] or 前[qian2] to refer to sth mentioned previously); (used after a term, to mark a pause before defining the term); (old) (used at the end of a command); (old) this; 
恤,[xù] anxiety; sympathy; to sympathize; to give relief; to compensate; 
成,[Chéng] surname Cheng; [chéng] to succeed; to finish; to complete; to accomplish; to become; to turn into; to be all right; OK!; one tenth; 
为,[wéi] as (in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; by (in the passive voice); [wèi] because of; for; to; [wéi] variant of 為|为[wei2]; as (i.e. in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; [wèi] variant of 為|为[wei4], because of; for; to; 
美,[Měi] the Americas; abbr. for 美洲[Mei3 zhou1]; USA; abbr. for 美國|美国[Mei3 guo2]; [měi] beautiful; very satisfactory; good; to be pleased with oneself; 
拉,[lā] to pull; to play (a bowed instrument); to drag; to draw; to chat; 
提,[tí] to carry (hanging down from the hand); to lift; to put forward; to mention; to raise (an issue); upwards character stroke; lifting brush stroke (in painting); scoop for measuring liquid; 
约,[yāo] to weigh in a balance or on a scale; [yuē] to make an appointment; to invite; approximately; pact; treaty; to economize; to restrict; to reduce (a fraction); concise; 
教,[Jiào] surname Jiao; [jiāo] to teach; [jiào] religion; teaching; to make; to cause; to tell; 
日,[Rì] abbr. for 日本[Ri4 ben3], Japan; [rì] sun; day; date, day of the month; 
时,[shí] old variant of 時|时[shi2]; [Shí] surname Shi; [shí] o'clock; time; when; hour; season; period; 
是,[shì] is; are; am; yes; to be; 
晚,[wǎn] evening; night; late; 
格,[gé] square; frame; rule; (legal) case; style; character; standard; pattern; (classical) to obstruct; to hinder; (classical) to arrive; to come; (classical) to investigate; to study exhaustively; 
死,[sǐ] to die; impassable; uncrossable; inflexible; rigid; extremely; damned; 
祝,[Zhù] surname Zhu; [zhù] to wish; to express good wishes; to pray; (old) wizard; 
每,[měi] each; every; 
比,[Bǐ] Belgium; Belgian; abbr. for 比利時|比利时[Bi3 li4 shi2]; [bǐ] (particle used for comparison and "-er than"); to compare; to contrast; to gesture (with hands); ratio; [bì] to associate with; to be near; 
活,[huó] to live; alive; living; work; workmanship; 
目,[mù] eye; item; section; list; catalogue; table of contents; order (taxonomy); goal; name; title; 
理,[lǐ] texture; grain (of wood); inner essence; intrinsic order; reason; logic; truth; science; natural science (esp. physics); to manage; to pay attention to; to run (affairs); to handle; to put in order; to tidy up; 
生,[shēng] to be born; to give birth; life; to grow; raw; uncooked; student; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
难,[nán] difficult (to...); problem; difficulty; difficult; not good; [nàn] disaster; distress; to scold; 
活动,[huó dòng] to exercise; to move about; to operate; to use connections (personal influence); loose; shaky; active; movable; activity; campaign; maneuver; behavior; CL:項|项[xiang4],個|个[ge4]; 
死亡,[sǐ wáng] to die; death; 
提供,[tí gōng] to offer; to supply; to provide; to furnish; 
约合,[yuē hé] approximately; about (some numerical value); 
事件,[shì jiàn] event; happening; incident; CL:個|个[ge4]; 
美元,[Měi yuán] American dollar; US dollar; 
总理,[zǒng lǐ] premier; prime minister; CL:個|个[ge4],位[wei4],名[ming2]; 
庆祝,[qìng zhù] to celebrate; 
至少,[zhì shǎo] at least; (to say the) least; 
家属,[jiā shǔ] family member; (family) dependent; 
补偿,[bǔ cháng] to compensate; to make up; 
重大,[zhòng dà] great; important; major; significant; 
西南,[xī nán] southwest; 
发生,[fā shēng] to happen; to occur; to take place; to break out; 
目前,[mù qián] at the present time; currently; 
踩踏,[cǎi tà] to trample on; 
伤者,[shāng zhě] casualty; victim (of an accident); wounded person; 
辛格,[Xīn gé] Singh (name); 
印度,[Yìn dù] India; 
返回,[fǎn huí] to return to; to come (or go) back; 
卢比,[lú bǐ] rupee (Indian currency) (loanword); 
造成,[zào chéng] to bring about; to create; to cause; 
决定,[jué dìng] to decide (to do something); to resolve; decision; CL:個|个[ge4],項|项[xiang4]; certainly; 
遇难,[yù nàn] to perish; to be killed; 
信众,[xìn zhòng] believers; worshippers; 
参加,[cān jiā] to participate; to take part; to join; 
印度教,[Yìn dù jiào] Hinduism; Indian religion; 
抚恤金,[fǔ xù jīn] compensation payment (for injury); relief payment; 
喀拉拉邦,[Kā lā lā bāng] Kerala (state in India); 
