我,[wǒ] I; me; my; 
到,[dào] to (a place); until (a time); up to; to go; to arrive; (verb complement denoting completion or result of an action); 
刻,[kè] quarter (hour); moment; to carve; to engrave; to cut; oppressive; classifier for short time intervals; 
近,[jìn] near; close to; approximately; 
办,[bàn] to do; to manage; to handle; to go about; to run; to set up; to deal with; 
过,[Guò] surname Guo; [guò] (experienced action marker); to cross; to go over; to pass (time); to celebrate (a holiday); to live; to get along; excessively; too-; 
助,[zhù] to help; to assist; 
化,[huā] variant of 花[hua1]; [huà] to make into; to change into; -ization; to ... -ize; to transform; abbr. for 化學|化学[hua4 xue2]; 
去,[qù] to go; to go to (a place); to cause to go or send (sb); to remove; to get rid of; (when used either before or after a verb) to go in order to do sth; to be apart from in space or time; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation); (of a time or an event etc) just passed or elapsed; 
反,[fǎn] contrary; in reverse; inside out or upside down; to reverse; to return; to oppose; opposite; against; anti-; to rebel; to use analogy; instead; abbr. for 反切[fan3 qie4] phonetic system; 
受,[shòu] to receive; to accept; to suffer; subjected to; to bear; to stand; pleasant; (passive marker); 
句,[gōu] variant of 勾[gou1]; [jù] sentence; clause; phrase; classifier for phrases or lines of verse; 
只,[zhǐ] only; merely; just; but; 
转,[zhuǎn] to convey; to forward (mail); to transfer; to turn; to shift; [zhuàn] to revolve; to turn; to circle about; to walk about; classifier for revolutions (per minute etc): revs, rpm; classifier for repeated actions; 
叫,[jiào] to shout; to call; to order; to ask; to be called; by (indicates agent in the passive mood); 
可,[kě] can; may; able to; to approve; to permit; to suit; (particle used for emphasis) certainly; very; [kè] see 可汗[ke4 han2]; 
身,[shēn] body; life; oneself; personally; one's morality and conduct; the main part of a structure or body; pregnant; classifier for sets of clothes: suit, twinset; Kangxi radical 158; 
跟,[gēn] heel; to follow closely; to go with; to marry sb (of woman); with; towards; as (compared to); from (different from); and (in addition to); 
后,[Hòu] surname Hou; [hòu] empress; queen; [hòu] back; behind; rear; afterwards; after; later; 
吗,[mǎ] see 嗎啡|吗啡, morphine; [ma] (question particle for "yes-no" questions); 
吧,[bā] bar (loanword) (serving drinks, or providing Internet access etc); to puff (on a pipe etc); (onom.) bang; abbr. for 貼吧|贴吧[tie1 ba1]; [ba] (modal particle indicating suggestion or surmise); ...right?; ...OK?; ...I presume.; 
听,[yǐn] smile (archaic); [tīng] to listen; to hear; to obey; a can (loanword from English "tin"); classifier for canned beverages; [tìng] (literary pronunciation, still advocated in Taiwan) to rule; to sentence; to allow; 
起,[qǐ] to rise; to raise; to get up; to set out; to start; to appear; to launch; to initiate (action); to draft; to establish; to get (from a depot or counter); verb suffix, to start; (before place or time) starting from; classifier for occurrences or unpredictable events: case, instance; classifier for groups: batch, group; 
赤,[chì] red; scarlet; bare; naked; 
呀,[ya] (particle equivalent to 啊 after a vowel, expressing surprise or doubt); 
告,[gào] to tell; to inform; to say; 
呢,[ne] particle indicating that a previously asked question is to be applied to the preceding word ("What about ...?", "And ...?"); particle for inquiring about location ("Where is ...?"); particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board ("ok?", "are you with me?"); (at the end of a declarative sentence) particle indicating continuation of a state or action; particle indicating strong affirmation; [ní] woolen material; 
回,[huí] to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book); 
在,[zài] (located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress); 
象,[xiàng] elephant; CL:隻|只[zhi1]; shape; form; appearance; to imitate; 
谨,[jǐn] cautious; careful; solemnly; sincerely (formal); 
坏,[huài] bad; spoiled; broken; to break down; (suffix) to the utmost; 
士,[Shì] surname Shi; [shì] member of the senior ministerial class (old); scholar (old); bachelor; honorific; first class military rank; specialist worker; 
声,[shēng] sound; voice; tone; noise; classifier for sounds; 
外,[wài] outside; in addition; foreign; external; 
谢,[Xiè] surname Xie; [xiè] to thank; to apologize; to wither (of flowers, leaves etc); to decline; 
多,[duō] many; much; often; a lot of; numerous; more; in excess; how (to what extent); multi-; Taiwan pr. [duo2] when it means "how"; 
够,[gòu] to reach; to be enough; 
大,[dà] big; huge; large; major; great; wide; deep; older (than); oldest; eldest; greatly; very much; (dialect) father; father's elder or younger brother; [dài] see 大夫[dai4 fu5]; 
诺,[nuò] promise; consent; 
天,[tiān] day; sky; heaven; 
失,[shī] to lose; to miss; to fail; 
说,[shuì] to persuade; [shuō] to speak; to say; to explain; to scold; to tell off; a theory (usually in compounds such as 日心说 heliocentric theory); 
话,[huà] dialect; language; spoken words; speech; talk; words; conversation; what sb said; CL:種|种[zhong3],席[xi2],句[ju4],口[kou3],番[fan1]; [huà] old variant of 話|话[hua4]; 
女,[nǔ:] female; woman; daughter; [rǔ] archaic variant of 汝[ru3]; 
诚,[chéng] honest; sincere; true; 
她,[tā] she; 
如,[rú] as; as if; such as; 
始,[shǐ] to begin; to start; then; only then; 
子,[zǐ] son; child; seed; egg; small thing; 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat; Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; [zi] (noun suffix); 
它,[tā] it; 
试,[shì] to test; to try; experiment; examination; test; 
实,[shí] real; true; honest; really; solid; fruit; seed; definitely; 
讲,[jiǎng] to speak; to explain; to negotiate; to emphasise; to be particular about; as far as sth is concerned; speech; lecture; 
家,[Jiā] surname Jia; [jiā] home; family; (polite) my (sister, uncle etc); classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian; CL:個|个[ge4]; 
言,[yán] words; speech; to say; to talk; 
就,[jiù] at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning; 
角,[Jué] surname Jue; [jiǎo] angle; corner; horn; horn-shaped; unit of money equal to 0.1 yuan; CL:個|个[ge4]; [jué] role (theater); to compete; ancient three legged wine vessel; third note of pentatonic scale; 
尽,[jǐn] to the greatest extent; (when used before a noun of location) furthest or extreme; to be within the limits of; to give priority to; [jìn] to use up; to exhaust; to end; to finish; to the utmost; exhausted; finished; to the limit (of sth); 
己,[jǐ] self; oneself; sixth of the ten Heavenly Stems 十天干[shi2 tian1 gan1]; sixth in order; letter "F" or roman "VI" in list "A, B, C", or "I, II, III" etc; hexa; 
希,[xī] to hope; to admire; variant of 稀[xi1]; 
见,[jiàn] to see; to meet; to appear (to be sth); to interview; [xiàn] to appear; also written 現|现[xian4]; 
帝,[dì] emperor; 
带,[dài] band; belt; girdle; ribbon; tire; area; zone; region; CL:條|条[tiao2]; to wear; to carry; to take along; to bear (i.e. to have); to lead; to bring; to look after; to raise; 
西,[Xī] the West; abbr. for Spain 西班牙[Xi1 ban1 ya2]; Spanish; [xī] west; 
被,[bèi] quilt; by; (indicates passive-voice clauses); (literary) to cover; to meet with; 
年,[Nián] surname Nian; [nián] year; CL:個|个[ge4]; 
并,[bìng] and; furthermore; also; together with; (not) at all; simultaneously; to combine; to join; to merge; [bìng] to combine; to amalgamate; [bìng] variant of 並|并[bing4]; 
床,[chuáng] bed; couch; classifier for beds; CL:張|张[zhang1]; 
开,[kāi] to open; to start; to turn on; to boil; to write out (a prescription, check, invoice etc); to operate (vehicle); abbr. for 開爾文|开尔文 degrees Kelvin; 
虔,[qián] to act with reverence; reverent; 
张,[Zhāng] surname Zhang; [zhāng] to open up; to spread; sheet of paper; classifier for flat objects, sheet; classifier for votes; 
形,[xíng] to appear; to look; form; shape; 
落,[là] to leave out; to be missing; to leave behind or forget to bring; to lag or fall behind; [lào] see 落枕[lao4 zhen3] and 落炕[lao4 kang4]; [luò] to fall or drop; (of the sun) to set; (of a tide) to go out; to lower; to decline or sink; to lag or fall behind; to fall onto; to rest with; to get or receive; to write down; whereabouts; settlement; 
很,[hěn] (adverb of degree); quite; very; awfully; 
徒,[Tú] surname Tu; [tú] disciple; apprentice; believer; on foot; bare or empty; to no avail; only; prison sentence; 
微,[Wēi] surname Wei; ancient Chinese state near present day Chongqing; Taiwan pr. [Wei2]; [wēi] tiny; miniature; profound; abtruse; to decline; one millionth part of; micro-; Taiwan pr. [wei2]; 
心,[xīn] heart; mind; intention; center; core; CL:顆|颗[ke1],個|个[ge4]; 
色,[sè] color; CL:種|种[zhong3]; look; appearance; sex; [shǎi] color; dice; 
忍,[rěn] to bear; to endure; to tolerate; to restrain oneself; 
忽,[Hū] surname Hu; [hū] to neglect; to overlook; to ignore; suddenly; 
自,[zì] from; self; oneself; since; 
怎,[zěn] how; 
能,[Néng] surname Neng; [néng] to be able to; to be capable of; ability; capability; able; capable; can possibly; (usually used in the negative) to have the possibility of; 
想,[xiǎng] to think; to believe; to suppose; to wish; to want; to miss (feel wistful about the absence of sb or sth); 
意,[Yì] Italy; Italian; abbr. for 意大利[Yi4 da4 li4]; [yì] idea; meaning; thought; to think; wish; desire; intention; to expect; to anticipate; 
感,[gǎn] to feel; to move; to touch; to affect; feeling; emotion; (suffix) sense of ~; 
而,[ér] and; as well as; and so; but (not); yet (not); (indicates causal relation); (indicates change of state); (indicates contrast); 
者,[zhě] (after a verb or adjective) one who (is) ...; (after a noun) person involved in ...; -er; -ist; (used after a number or 後|后[hou4] or 前[qian2] to refer to sth mentioned previously); (used after a term, to mark a pause before defining the term); (old) (used at the end of a command); (old) this; 
愿,[yuàn] to hope; to wish; to desire; hoped-for; ready; willing; sincere; 
缘,[yuán] cause; reason; karma; fate; predestined affinity; margin; hem; edge; along; 
给,[gěi] to; for; for the benefit of; to give; to allow; to do sth (for sb); (passive particle); [jǐ] to supply; to provide; 
所,[suǒ] actually; place; classifier for houses, small buildings, institutions etc; that which; particle introducing a relative clause or passive; CL:個|个[ge4]; 
打,[dá] dozen (loanword); [dǎ] to beat; to strike; to hit; to break; to type; to mix up; to build; to fight; to fetch; to make; to tie up; to issue; to shoot; to calculate; to play (a game); since; from; 
经,[Jīng] surname Jing; [jīng] classics; sacred book; scripture; to pass through; to undergo; to bear; to endure; warp (textile); longitude; menstruation; channel (TCM); abbr. for economics 經濟|经济[jing1 ji4]; 
扰,[rǎo] to disturb; 
找,[zhǎo] to try to find; to look for; to call on sb; to find; to seek; to return; to give change; 
把,[bǎ] to hold; to contain; to grasp; to take hold of; handle; particle marking the following noun as a direct object; classifier for objects with handle; classifier for small objects: handful; [bà] handle; 
拘,[jū] to capture; to restrain; to constrain; to adhere rigidly to; inflexible; 
终,[zhōng] end; finish; 
放,[fàng] to release; to free; to let go; to put; to place; to let out; to set off (fireworks); 
故,[gù] happening; instance; reason; cause; intentional; former; old; friend; therefore; hence; (of people) to die, dead; 
效,[xiào] effect; efficacy; to imitate; 
粗,[cū] coarse; rough; thick (for cylindrical objects); unfinished; vulgar; rude; crude; 
教,[Jiào] surname Jiao; [jiāo] to teach; [jiào] religion; teaching; to make; to cause; to tell; 
管,[Guǎn] surname Guan; [guǎn] to take care (of); to control; to manage; to be in charge of; to look after; to run; to care about; tube; pipe; woodwind; classifier for tube-shaped objects; particle similar to 把[ba3] in 管...叫 constructions; writing brush; (coll.) to; towards; 
旨,[zhǐ] imperial decree; purport; aim; purpose; 
算,[suàn] to regard as; to figure; to calculate; to compute; 
时,[shí] old variant of 時|时[shi2]; [Shí] surname Shi; [shí] o'clock; time; when; hour; season; period; 
笼,[lóng] basket; cage; flat bamboo basket used to serve dimsum 點心|点心[dian3 xin5]; to cover; to cage; to embrace; to manipulate through trickery; [lǒng] to cover; to cage; covering; also pr. [long2]; 
第,[dì] (prefix indicating ordinal number, e.g. first, number two etc); 
明,[Míng] Ming Dynasty (1368-1644); surname Ming; Ming (c. 2000 BC), fourth of the legendary Flame Emperors, 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God; [míng] bright; opposite: dark 暗[an4]; (of meaning) clear; to understand; next; public or open; wise; generic term for a sacrifice to the gods; 
祷,[dǎo] prayer; pray; supplication; 
是,[shì] is; are; am; yes; to be; 
有,[yǒu] to have; there is; there are; to exist; to be; 
朗,[lǎng] clear; bright; 
望,[wàng] full moon; to hope; to expect; to visit; to gaze (into the distance); to look towards; towards; 
期,[qī] a period of time; phase; stage; (used for issue of a periodical, courses of study); time; term; period; to hope; Taiwan pr. [qi2]; 
朱,[Zhū] surname Zhu; [zhū] vermilion; 
来,[lái] to come; to arrive; to come round; ever since; next; 
神,[Shén] God; abbr. for 神舟[Shen2 zhou1]; [shén] deity; soul; spirit; unusual; mysterious; lively; expressive; expression; look; CL:個|个[ge4]; (slang) awesome; amazing; 
果,[guǒ] fruit; result; resolute; indeed; if really; 
某,[mǒu] some; a certain; sb or sth indefinite; such-and-such; 
样,[yàng] manner; pattern; way; appearance; shape; CL:個|个[ge4]; 
止,[zhǐ] to stop; to prohibit; until; only; 
此,[cǐ] this; these; 
段,[Duàn] surname Duan; [duàn] paragraph; section; segment; stage (of a process); classifier for stories, periods of time, lengths of thread etc; 
毁,[huǐ] to destroy; to damage; to ruin; to defame; to slander; [huǐ] variant of 毀|毁[hui3]; to destroy by fire; a blaze; [huǐ] variant of 毀|毁[hui3]; to defame; to slander; 
母,[mǔ] mother; elderly female relative; origin; source; (of animals) female; 
每,[měi] each; every; 
真,[zhēn] really; truly; indeed; real; true; genuine; 
求,[qiú] to seek; to look for; to request; to demand; to beseech; 
看,[kān] to look after; to take care of; to watch; to guard; [kàn] to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (an illness); to depend on; to feel (that); (after verb) to give it a try; Watch out! (for a danger); 
没,[méi] (negative prefix for verbs); have not; not; [mò] drowned; to end; to die; to inundate; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
白,[Bái] surname Bai; [bái] white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera; 
法,[Fǎ] France; French; abbr. for 法國|法国[Fa3 guo2]; Taiwan pr. [Fa4]; [fǎ] law; method; way; Buddhist teaching; Legalist; 
泪,[lèi] tears; 
现,[xiàn] to appear; present; now; existing; current; 
淑,[shū] warm and virtuous; (used in given names); Taiwan pr. [shu2]; 
父,[fù] father; 
然,[rán] correct; right; so; thus; like this; -ly; 
照,[zhào] according to; in accordance with; to shine; to illuminate; to reflect; to look at (one's reflection); to take (a photo); photo; as requested; as before; 
熏,[xūn] to smoke; to fumigate; to assail the nostrils; to perfume; 
失去,[shī qù] to lose; 
,
一时,[yī shí] a period of time; a while; for a short while; temporary; momentary; at the same time; 
没有,[méi yǒu] haven't; hasn't; doesn't exist; to not have; to not be; 
,
求助,[qiú zhù] to request help; to appeal (for help); 
每天,[měi tiān] every day; everyday; 
来意,[lái yì] one's purpose in coming; 
神父,[shén fu] Christian priest or clergyman; (spiritual) father; 
明白,[míng bai] clear; obvious; unequivocal; to understand; to realize; 
祷告,[dǎo gào] to pray; prayer; 
时间,[shí jiān] time; period; CL:段[duan4]; 
时候,[shí hou] time; length of time; moment; period; 
笼子,[lóng zi] cage; coop; basket; container; 
旨意,[zhǐ yì] decree; order; 
算是,[suàn shì] considered to be; at last; 
教徒,[jiào tú] disciple; follower of a religion; 
效果,[xiào guǒ] result; effect; quality; CL:個|个[ge4]; 
粗话,[cū huà] vulgar language (esp. scatological insults); uncultured speech; 
拘谨,[jū jǐn] reserved; overcautious; 
终于,[zhōng yú] at last; in the end; finally; eventually; 
打扰,[dǎ rǎo] to disturb; to bother; to trouble; 
经过,[jīng guò] to pass; to go through; process; course; CL:個|个[ge4]; 
一起,[yī qǐ] in the same place; together; with; altogether (in total); 
愿望,[yuàn wàng] desire; wish; 
缘故,[yuán gù] reason; cause; 
感谢,[gǎn xiè] (express) thanks; gratitude; grateful; thankful; thanks; 
感化,[gǎn huà] corrective influence; to reform (a criminal); redemption (of a sinner); to influence (a malefactor to a better life); to guide sb back to the right path by repeated word and example; 
而且,[ér qiě] (not only ...) but also; moreover; in addition; furthermore; 
而是,[ér shì] rather; 
上帝,[Shàng dì] God; 
能够,[néng gòu] to be capable of; to be able to; can; 
忽然,[hū rán] suddenly; all of a sudden; 
自己,[zì jǐ] oneself; one's own; 
心想,[xīn xiǎng] to think to oneself; to think; to assume; 
形象,[xíng xiàng] image; form; figure; CL:個|个[ge4]; visualization; vivid; 
开始,[kāi shǐ] to begin; beginning; to start; initial; CL:個|个[ge4]; 
虔诚,[qián chéng] pious; devout; sincere; 
带回,[dài huí] to bring back; 
带到,[dài dào] to bring to; 
希望,[xī wàng] to wish for; to desire; hope; CL:個|个[ge4]; 
就是,[jiù shì] (emphasizes that sth is precisely or exactly as stated); precisely; exactly; even; if; just like; in the same way as; 
家里,[jiā lǐ] home; 
实现,[shí xiàn] to achieve; to implement; to realize; to bring about; 
它们,[tā men] they (for inanimate objects); 
女士,[nǔ: shì] lady; madam; CL:個|个[ge4],位[wei4]; Miss; Ms; 
失落,[shī luò] to lose (sth); to drop (sth); to feel a sense of loss; frustrated; disappointment; loss; 
话说,[huà shuō] It is said that ... (at the start of a narrative); to discuss; to recount; 
淑女,[shū nǔ:] wise and virtuous woman (possibly sarcastic or sneering); lady; 
说道,[shuō dào] to state; to say (the quoted words); [shuō dao] to discuss; reason (behind sth); 
高雅,[gāo yǎ] dainty; elegance; elegant; 
诺言,[nuò yán] promise; 
外人,[wài rén] outsider; foreigner; stranger; 
在此,[zài cǐ] hereto; here; 
上床,[shàng chuáng] to go to bed; (coll.) to have sex; 
听说,[tīng shuō] to hear (sth said); one hears (that); hearsay; listening and speaking; 
听到,[tīng dào] to hear; 
可能,[kě néng] might (happen); possible; probable; possibility; probability; maybe; perhaps; CL:個|个[ge4]; 
可是,[kě shì] but; however; (used for emphasis) indeed; 
只能,[zhǐ néng] can only; obliged to do sth; to have no other choice; 
转身,[zhuǎn shēn] (of a person) to turn round; to face about; (of a widow) to remarry (archaic); 
办法,[bàn fǎ] means; method; way (of doing sth); CL:條|条[tiao2],個|个[ge4]; 
刻意,[kè yì] meticulous; painstaking; deliberate; 
其实,[qí shí] actually; in fact; really; 
还是,[hái shi] or; still; nevertheless; had better; 
还有,[hái yǒu] furthermore; in addition; still; also; 
兴起,[xīng qǐ] to rise; to spring up; to burgeon; to be aroused; to come into vogue; 
这个,[zhè ge] this; this one; 
这么,[zhè me] so much; this much; how much?; this way; like this; 
这些,[zhè xiē] these; 
这样,[zhè yàng] this kind of; so; this way; like this; such; 
这里,[zhè lǐ] variant of 這裡|这里[zhe4 li3]; [zhè lǐ] here; 
停止,[tíng zhǐ] to stop; to halt; to cease; 
依照,[yī zhào] according to; in light of; 
那儿,[nà r] there; 
那里,[nà li] there; that place; also written 那裡|那里; [nà li] there; that place; 
以为,[yǐ wéi] to believe; to think; to consider; to be under the impression; 
什么,[shén me] what?; who?; something; anything; 
于是,[yú shì] thereupon; as a result; consequently; thus; hence; 
面色,[miàn sè] complexion; 
不但,[bù dàn] not only (... but also...); 
之后,[zhī hòu] afterwards; following; later; after; 
长期,[cháng qī] long term; long time; long range (of a forecast); 
主张,[zhǔ zhāng] to advocate; to stand for; view; position; stand; proposition; viewpoint; assertion; CL:個|个[ge4]; 
东西,[dōng xī] east and west; [dōng xi] thing; stuff; person; CL:個|个[ge4],件[jian4]; 
不是,[bú shi] fault; blame; [bù shì] no; is not; not; 
不忍,[bù rěn] cannot bear to; disturbed; 
不住,[bù zhù] repeatedly; continuously; constantly; unable to (resist, conceal etc); 
默默,[mò mò] in silence; not speaking; 
铁了心,[tiě le xīn] determined; unshakable; 
之所以,[zhī suǒ yǐ] the reason why; 
在一起,[zài yī qǐ] together; 
大部分,[dà bù fen] in large part; the greater part; the majority; 
怎么办,[zěn me bàn] what's to be done; 
一句话,[yī jù huà] in a word; in short; 
没想到,[méi xiǎng dào] didn't expect; 
泪如雨下,[lèi rú yǔ xià] tears falling like rain (idiom); 
