灾,[zāi] disaster; calamity; [zāi] variant of 災|灾[zai1]; [zāi] old variant of 災|灾[zai1]; 
行踪,[xíng zōng] whereabouts; (lose) track (of); 
灾情,[zāi qíng] disastrous situation; calamity; 
灾难,[zāi nàn] disaster; catastrophe; 
深夜,[shēn yè] very late at night; 
海啸,[hǎi xiào] tsunami; 
状况,[zhuàng kuàng] condition; state; situation; CL:個|个[ge4]; 
长期,[cháng qī] long term; long time; long range (of a forecast); 
生活,[shēng huó] life; activity; to live; livelihood; 
不明,[bù míng] not clear; unknown; to fail to understand; 
死亡,[sǐ wáng] to die; death; 
此外,[cǐ wài] besides; in addition; moreover; furthermore; 
确认,[què rèn] to confirm; to verify; confirmation; 
,
有人,[yǒu rén] someone; people; anyone; there is someone there; occupied (as in restroom); 
严峻,[yán jùn] grim; severe; rigorous; 
日电,[Rì diàn] NEC (Nippon Electronic Company); abbr. for 日電電子|日电电子; 
日本,[Rì běn] Japan; Japanese; 
指出,[zhǐ chū] to indicate; to point out; 
报道,[bào dào] to report (news); report; CL:篇[pian1],份[fen4]; 
罹难,[lí nàn] fatality; to die in an accident; to be killed; 
截至,[jié zhì] up to (a time); by (a time); 
惨重,[cǎn zhòng] disastrous; 
恶化,[è huà] to worsen; 
总数,[zǒng shù] total; sum; aggregate; 
强震,[qiáng zhèn] powerful earthquake; abbr. for 強烈地震|强烈地震; 
避难,[bì nàn] refuge; to take refuge; to seek asylum (political etc); 
灾民,[zāi mín] victim (of a disaster); 
为止,[wéi zhǐ] until; 
失踪,[shī zōng] to be missing; to disappear; unaccounted for; 
人数,[rén shù] number of people; 
警方,[jǐng fāng] police; 
处于,[chǔ yú] to be in (some state, position, or condition); 
合计,[hé jì] to add up the total; to figure what sth amounts to; to consider; 
另外,[lìng wài] additional; in addition; besides; separate; other; moreover; furthermore; 
其中,[qí zhōng] among; in; included among these; 
健康,[jiàn kāng] health; healthy; 
侵袭,[qīn xí] to invade and attack; 
依然,[yī rán] still; as before; 
通报,[tōng bào] to inform; to notify; to announce; circular; bulletin; (scientific) journal; 
今天,[jīn tiān] today; at the present; now; 
遍布,[biàn bù] to cover the whole (area); to be found throughout; 
接获,[jiē huò] to receive (a call, report etc); 
警察厅,[Jǐng chá tīng] National Police Agency (Japan); 
中新网,[Zhōng xīn wǎng] ChinaNews (China News Service); 
岩手县,[Yán shǒu xiàn] Iwate prefecture in north of Japan's main island Honshū 本州[Ben3 zhou1]; 
避难所,[bì nàn suǒ] refuge; asylum; 
宫城县,[Gōng chéng xiàn] Miyagi prefecture in north of Japan's main island Honshū 本州[Ben3 zhou1]; 
福岛县,[Fú dǎo xiàn] Fukushima prefecture in north Japan; 
中央社,[Zhōng yāng shè] Central News Agency (Taiwan); 
死亡人数,[sǐ wáng rén shù] number of people killed; death toll; 
沿海地区,[yán hǎi dì qū] coastland; coastal areas; 
下落不明,[xià luò bù míng] unaccounted; unknown whereabouts; 
