才,[cái] ability; talent; sb of a certain type; a capable individual; only; only then; just now; 
出,[chū] to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; classifier for dramas, plays, operas etc; 
击,[jī] to hit; to strike; to break; Taiwan pr. [ji2]; 
切,[qiē] to cut; to slice; tangent (math); [qiè] definitely; absolutely (not); (scoffing or dismissive interjection) Yeah, right.; Tut!; to grind; close to; eager; to correspond to; see also 反切[fan3 qie4]; 
到,[dào] to (a place); until (a time); up to; to go; to arrive; (verb complement denoting completion or result of an action); 
前,[qián] front; forward; ahead; first; top (followed by a number); future; ago; before; BC (e.g. 前293年); former; formerly; 
赛,[sài] to compete; competition; match; to surpass; better than; superior to; to excel; 
力,[Lì] surname Li; [lì] power; force; strength; ability; strenuously; 
动,[dòng] to use; to act; to move; to change; abbr. for 動詞|动词[dong4 ci2], verb; 
勇,[yǒng] brave; 
豪,[háo] grand; heroic; 
升,[shēng] to ascend; to rise to the rank of; to promote; to hoist; liter; measure for dry grain equal to one-tenth dou 斗[dou3]; 
华,[Huá] abbr. for China; [Huà] Mt Hua 華山|华山 in Shaanxi; surname Hua; [huā] old variant of 花[hua1]; flower; [huá] magnificent; splendid; flowery; 
卫,[Wèi] surname Wei; vassal state during the Zhou Dynasty (1066-221 BC), located in present day Henan and Hebei Provinces; [wèi] to guard; to protect; to defend; abbr. for 衛生|卫生, hygiene; health; abbr. for 衛生間|卫生间, toilet; 
去,[qù] to go; to go to (a place); to cause to go or send (sb); to remove; to get rid of; (when used either before or after a verb) to go in order to do sth; to be apart from in space or time; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation); (of a time or an event etc) just passed or elapsed; 
句,[gōu] variant of 勾[gou1]; [jù] sentence; clause; phrase; classifier for phrases or lines of verse; 
同,[tóng] like; same; similar; together; alike; with; 
象,[xiàng] elephant; CL:隻|只[zhi1]; shape; form; appearance; to imitate; 
后,[Hòu] surname Hou; [hòu] empress; queen; [hòu] back; behind; rear; afterwards; after; later; 
向,[Xiàng] surname Xiang; [xiàng] towards; to face; to turn towards; direction; to support; to side with; shortly before; formerly; always; all along; 
周,[Zhōu] surname Zhou; Zhou Dynasty (1046-256 BC); [zhōu] to make a circuit; to circle; circle; circumference; lap; cycle; complete; all; all over; thorough; to help financially; 
读,[dòu] comma; phrase marked by pause; [dú] to read; to study; reading of word (i.e. pronunciation), similar to 拼音[pin1 yin1]; 
呼,[hū] to call; to cry; to shout; to breath out; to exhale; 
说,[shuì] to persuade; [shuō] to speak; to say; to explain; to scold; to tell off; a theory (usually in compounds such as 日心说 heliocentric theory); 
和,[Hé] surname He; Japanese (food, clothes etc); [hé] and; together with; with; sum; union; peace; harmony; Taiwan pr. [han4] when it means "and"; [hè] to compose a poem in reply (to sb's poem) using the same rhyme sequence; to join in the singing; to chime in with others; [hú] to complete a set in mahjong or playing cards; [huó] soft; warm; [huò] to mix together; to blend; 
唤,[huàn] to call; 
回,[huí] to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book); 
该,[gāi] should; ought to; probably; must be; to deserve; to owe; to be sb's turn to do sth; that; the above-mentioned; 
国,[Guó] surname Guo; [guó] country; nation; state; national; CL:個|个[ge4]; 
话,[huà] dialect; language; spoken words; speech; talk; words; conversation; what sb said; CL:種|种[zhong3],席[xi2],句[ju4],口[kou3],番[fan1]; [huà] old variant of 話|话[hua4]; 
识,[shí] to know; knowledge; Taiwan pr. [shi4]; [zhì] to record; to write a footnote; 
在,[zài] (located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress); 
场,[cháng] threshing floor; classifier for events and happenings: spell, episode, bout; [chǎng] large place used for a specific purpose; stage; scene (of a play); classifier for sporting or recreational activities; classifier for number of exams; [cháng] variant of 場|场[chang2]; [chǎng] variant of 場|场[chang3]; 
士,[Shì] surname Shi; [shì] member of the senior ministerial class (old); scholar (old); bachelor; honorific; first class military rank; specialist worker; 
声,[shēng] sound; voice; tone; noise; classifier for sounds; 
大,[dà] big; huge; large; major; great; wide; deep; older (than); oldest; eldest; greatly; very much; (dialect) father; father's elder or younger brother; [dài] see 大夫[dai4 fu5]; 
设,[shè] to set up; to arrange; to establish; to found; to display; 
讲,[jiǎng] to speak; to explain; to negotiate; to emphasise; to be particular about; as far as sth is concerned; speech; lecture; 
天,[tiān] day; sky; heaven; 
头,[tóu] head; hair style; the top; end; beginning or end; a stub; remnant; chief; boss; side; aspect; first; leading; classifier for pigs or livestock; CL:個|个[ge4]; [tou] suff. for nouns; 
詹,[Zhān] surname Zhan; [zhān] excellent; verbose; 
夺,[duó] to seize; to take away forcibly; to wrest control of; to compete or strive for; to force one's way through; to leave out; to lose; 
要,[yāo] to demand; to request; to coerce; [yào] important; vital; to want; to ask for; will; going to (as future auxiliary); may; must; (used in a comparison) must be; probably; if; 
奥,[Aò] Austria; Austrian; abbr. for 奧地利|奥地利[Ao4 di4 li4]; Olympic; Olympics; abbr. for 奧林匹克|奥林匹克[Ao4 lin2 pi3 ke4]; [ào] obscure; mysterious; 
装,[zhuāng] adornment; to adorn; dress; clothing; costume (of an actor in a play); to play a role; to pretend; to install; to fix; to wrap (sth in a bag); to load; to pack; 
女,[nǔ:] female; woman; daughter; [rǔ] archaic variant of 汝[ru3]; 
好,[hǎo] good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness); (of an unmarried couple) to be close; to be keen on each other; [hào] to be fond of; to have a tendency to; to be prone to; 
行,[háng] a row; series; age order (of brothers); profession; professional; relating to company; [xíng] to walk; to go; to travel; a visit; temporary; makeshift; current; in circulation; to do; to perform; capable; competent; effective; all right; OK!; will do; behavior; conduct; Taiwan pr. [xing4] for the behavior-conduct sense; 
血,[xuè] blood; colloquial pr. [xie3]; CL:滴[di1],片[pian4]; 
,
荧,[yíng] a glimmer; glimmering; twinkling; fluorescence; phosphorescence; perplexed; dazzled and confused; planet Mars (arch.); 
家,[Jiā] surname Jia; [jiā] home; family; (polite) my (sister, uncle etc); classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian; CL:個|个[ge4]; 
容,[Róng] surname Rong; [róng] to hold; to contain; to allow; to tolerate; appearance; look; countenance; 
就,[jiù] at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning; 
英,[Yīng] United Kingdom; British; England; English; abbr. for 英國|英国[Ying1 guo2]; [yīng] brave; 
尸,[shī] person representing the dead (during burial ceremonies); to put a corpse on display (after execution); variant of 屍|尸[shi1]; corpse; [shī] corpse; 
屏,[bīng] see 屏營|屏营[bing1 ying2]; [bǐng] to get rid of; to put aside; to reject; to keep control; to hold (one's breath); [píng] (standing) screen; 
崛,[jué] towering as a peak; 
自,[zì] from; self; oneself; since; 
己,[jǐ] self; oneself; sixth of the ten Heavenly Stems 十天干[shi2 tian1 gan1]; sixth in order; letter "F" or roman "VI" in list "A, B, C", or "I, II, III" etc; hexa; 
师,[Shī] surname Shi; [shī] teacher; master; expert; model; army division; (old) troops; to dispatch troops; 
帝,[dì] emperor; 
能,[Néng] surname Neng; [néng] to be able to; to be capable of; ability; capability; able; capable; can possibly; (usually used in the negative) to have the possibility of; 
应,[Yìng] surname Ying; [yīng] to agree (to do sth); should; ought to; must; (legal) shall; [yìng] to answer; to respond; to comply with; to deal or cope with; 
胜,[shèng] victory; success; to beat; to defeat; to surpass; victorious; superior to; to get the better of; better than; surpassing; superb (of vista); beautiful (scenery); wonderful (view); (Taiwan pr. [sheng1]) able to bear; equal to (a task); 
建,[jiàn] to establish; to found; to set up; to build; to construct; 
而,[ér] and; as well as; and so; but (not); yet (not); (indicates causal relation); (indicates change of state); (indicates contrast); 
弃,[qì] to abandon; to relinquish; to discard; to throw away; 
当,[dāng] (onom.) dong; ding dong (bell); [dāng] to be; to act as; manage; withstand; when; during; ought; should; match equally; equal; same; obstruct; just at (a time or place); on the spot; right; just at; [dàng] at or in the very same...; suitable; adequate; fitting; proper; to replace; to regard as; to think; to pawn; (coll.) to fail (a student); 
影,[yǐng] picture; image; film; movie; photograph; reflection; shadow; trace; 
待,[dāi] to stay; [dài] to wait; to treat; to deal with; to need; going to (do sth); about to; intending to; 
者,[zhě] (after a verb or adjective) one who (is) ...; (after a noun) person involved in ...; -er; -ist; (used after a number or 後|后[hou4] or 前[qian2] to refer to sth mentioned previously); (used after a term, to mark a pause before defining the term); (old) (used at the end of a command); (old) this; 
得,[dé] to obtain; to get; to gain; to catch (a disease); proper; suitable; proud; contented; to allow; to permit; ready; finished; [de] structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc; [děi] to have to; must; ought to; to need to; 
心,[xīn] heart; mind; intention; center; core; CL:顆|颗[ke1],個|个[ge4]; 
老,[lǎo] prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity; old (of people); venerable (person); experienced; of long standing; always; all the time; of the past; very; outdated; (of meat etc) tough; 
志,[zhì] aspiration; ambition; the will; 
快,[kuài] rapid; quick; speed; rate; soon; almost; to make haste; clever; sharp (of knives or wits); forthright; plain-spoken; gratified; pleased; pleasant; 
给,[gěi] to; for; for the benefit of; to give; to allow; to do sth (for sb); (passive particle); [jǐ] to supply; to provide; 
总,[zǒng] always; to assemble; gather; total; overall; head; chief; general; in every case; 
红,[Hóng] surname Hong; [hóng] red; popular; revolutionary; bonus; 
您,[nín] you (courteous, as opposed to informal 你[ni3]); 
感,[gǎn] to feel; to move; to touch; to affect; feeling; emotion; (suffix) sense of ~; 
籍,[Jí] surname Ji; [jí] book or record; registry; roll; place of one's family or ancestral records; membership; 
慧,[huì] intelligent; 
我,[wǒ] I; me; my; 
等,[děng] class; rank; grade; equal to; same as; to wait for; to await; et cetera; and so on; et al. (and other authors); after; as soon as; once; 
战,[zhàn] to fight; fight; war; battle; 
笑,[xiào] laugh; smile; CL:個|个[ge4]; 
程,[Chéng] surname Cheng; [chéng] rule; order; regulations; formula; journey; procedure; sequence; 
祖,[Zǔ] surname Zu; [zǔ] ancestor; forefather; grandparents; 
抛,[pāo] to throw; to toss; to fling; to cast; to abandon; 
报,[bào] to announce; to inform; report; newspaper; recompense; revenge; CL:份[fen4],張|张[zhang1]; 
硝,[xiāo] saltpeter; to tan (leather); 
撒,[sā] to let go; to cast; to let loose; to discharge; to give expression to; [sǎ] to scatter; to sprinkle; to spill; 
放,[fàng] to release; to free; to let go; to put; to place; to let out; to set off (fireworks); 
知,[zhī] to know; to be aware; 
效,[xiào] effect; efficacy; to imitate; 
敬,[jìng] to respect; to venerate; to salute; to offer; 
瞧,[qiáo] to look at; to see; to see (a doctor); to visit; 
旗,[qí] banner; flag; (in Qing times) refers to Manchurian ruling class, from 八旗[ba1 qi2] eight banners; administrative subdivision in inner Mongolia equivalent to 縣|县[xian4] county; CL:面[mian4]; 
无,[wú] not to have; no; none; not; to lack; un-; -less; 
着,[zhāo] (chess) move; trick; all right!; (dialect) to add; [zháo] to touch; to come in contact with; to feel; to be affected by; to catch fire; to fall asleep; to burn; [zhe] aspect particle indicating action in progress; [zhuó] to wear (clothes); to contact; to use; to apply; 
时,[shí] old variant of 時|时[shi2]; [Shí] surname Shi; [shí] o'clock; time; when; hour; season; period; 
星,[xīng] star; satellite; small amount; 
是,[shì] is; are; am; yes; to be; 
智,[zhì] wisdom; knowledge; 
看,[kān] to look after; to take care of; to watch; to guard; [kàn] to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (an illness); to depend on; to feel (that); (after verb) to give it a try; Watch out! (for a danger); 
有,[yǒu] to have; there is; there are; to exist; to be; 
目,[mù] eye; item; section; list; catalogue; table of contents; order (taxonomy); goal; name; title; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
望,[wàng] full moon; to hope; to expect; to visit; to gaze (into the distance); to look towards; towards; 
样,[yàng] manner; pattern; way; appearance; shape; CL:個|个[ge4]; 
森,[sēn] forest; 
横,[héng] horizontal; across; (horizontal character stroke); [hèng] harsh and unreasonable; unexpected; 
次,[cì] next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time; 
武,[Wǔ] surname Wu; [wǔ] martial; military; 
疆,[jiāng] border; boundary; 
死,[sǐ] to die; impassable; uncrossable; inflexible; rigid; extremely; damned; 
母,[mǔ] mother; elderly female relative; origin; source; (of animals) female; 
每,[měi] each; every; 
电,[diàn] electric; electricity; electrical; 
比,[Bǐ] Belgium; Belgian; abbr. for 比利時|比利时[Bi3 li4 shi2]; [bǐ] (particle used for comparison and "-er than"); to compare; to contrast; to gesture (with hands); ratio; [bì] to associate with; to be near; 
用,[yòng] to use; to employ; to have to; to eat or drink; expense or outlay; usefulness; hence; therefore; 
永,[yǒng] forever; always; perpetual; 
生,[shēng] to be born; to give birth; life; to grow; raw; uncooked; student; 
泪,[lèi] tears; 
流,[liú] to flow; to disseminate; to circulate or spread; to move or drift; to degenerate; to banish or send into exile; stream of water or sth resembling one; class, rate or grade; 
理,[lǐ] texture; grain (of wood); inner essence; intrinsic order; reason; logic; truth; science; natural science (esp. physics); to manage; to pay attention to; to run (affairs); to handle; to put in order; to tidy up; 
滚,[gǔn] to boil; to roll; to take a hike; Get lost!; 
现,[xiàn] to appear; present; now; existing; current; 
演,[yǎn] to develop; to evolve; to practice; to perform; to play; to act; 
父,[fù] father; 
灿,[càn] glorious; bright; brilliant; lustrous; resplendent; 
爱,[ài] to love; affection; to be fond of; to like; 
烂,[làn] soft; mushy; well-cooked and soft; to rot; to decompose; rotten; worn out; chaotic; messy; utterly; thoroughly; crappy; bad; 
烟,[yān] cigarette or pipe tobacco; CL:根[gen1]; smoke; mist; vapour; CL:縷|缕[lu:3]; tobacco plant; (of the eyes) to be irritated by smoke; 
热,[rè] to warm up; to heat up; hot (of weather); heat; fervent; 
荧屏,[yíng píng] fluorescent screen; TV screen; 
热泪,[rè lèi] hot tears; 
灿烂,[càn làn] to glitter; brilliant; splendid; 
爱国,[ài guó] to love one's country; patriotic; 
演讲,[yǎn jiǎng] lecture; to make a speech; 
父母,[fù mǔ] father and mother; parents; 
滚滚,[gǔn gǔn] to surge on; to roll on; (slang) nickname for panda; 
现在,[xiàn zài] now; at present; at the moment; modern; current; nowadays; 
流出,[liú chū] to flow out; to disgorge; to effuse; 
永远,[yǒng yuǎn] forever; eternal; 
比赛,[bǐ sài] competition (sports etc); match; CL:場|场[chang3],次[ci4]; 
每当,[měi dāng] whenever; every time; on every; 
电影,[diàn yǐng] movie; film; CL:部[bu4],片[pian4],幕[mu4],場|场[chang3]; 
武装,[wǔ zhuāng] arms; equipment; to arm; military; armed (forces); 
有志,[yǒu zhì] to be ambitious; 
有力,[yǒu lì] powerful; forceful; vigorous; 
智慧,[zhì huì] wisdom; knowledge; intelligent; intelligence; 
无比,[wú bǐ] incomparable; matchless; 
敬爱,[jìng ài] respect and love; 
一样,[yī yàng] same; like; equal to; the same as; just like; 
放弃,[fàng qì] to renounce; to abandon; to give up; 
知识,[zhī shi] intellectual; knowledge-related; knowledge; CL:門|门[men2]; 
报效,[bào xiào] render service to repay kindness; 
硝烟,[xiāo yān] smoke (from guns); 
一切,[yī qiè] everything; every; all; 
祖国,[zǔ guó] ancestral land; homeland; used for PRC; CL:個|个[ge4]; 
战士,[zhàn shì] fighter; soldier; warrior; CL:個|个[ge4]; 
战场,[zhàn chǎng] battlefield; CL:個|个[ge4]; 
笑容,[xiào róng] smile; smiling expression; CL:副[fu4]; 
我们,[wǒ men] we; us; ourselves; our; 
感到,[gǎn dào] to feel; to sense; to have the feeling that; to think that; to move; to affect; 
总是,[zǒng shì] always; 
快要,[kuài yào] almost; nearly; almost all; 
心中,[xīn zhōng] central point; in one's thoughts; in one's heart; 
老师,[lǎo shī] teacher; CL:個|个[ge4],位[wei4]; 
待遇,[dài yù] treatment; pay; salary; status; rank; 
建设,[jiàn shè] to build; to construct; construction; constructive; 
应该,[yīng gāi] ought to; should; must; 
胜过,[shèng guò] to excel; to surpass; 
一次,[yī cì] first; first time; once; (math.) linear (of degree one); 
崛起,[jué qǐ] to rise abruptly (to a towering position); to tower over; to spring up; to emerge suddenly; the emergence (e.g. of a power); 
自己,[zì jǐ] oneself; one's own; 
自豪,[zì háo] proud (of one's achievements etc); 
就是,[jiù shì] (emphasizes that sth is precisely or exactly as stated); precisely; exactly; even; if; just like; in the same way as; 
英雄,[yīng xióng] hero; CL:個|个[ge4]; 
学习,[xué xí] to learn; to study; 
热血,[rè xuè] hot blood; warm-blooded (animal); endothermic (physiology); 
好象,[hǎo xiàng] to seem; to be like; 
好好,[hǎo hǎo] well; carefully; nicely; properly; 
行动,[xíng dòng] operation; action; to move; mobile; CL:個|个[ge4]; 
奥运,[Aò yùn] abbr. for 奧林匹克運動會|奥林匹克运动会; Olympic Games; the Olympics; 
夺得,[duó dé] to force one's way; to achieve by force; to seize (power); 
头颅,[tóu lú] head; skull; 
不能,[bù néng] cannot; must not; should not; 
大家,[dà jiā] everyone; influential family; great expert; 
大声,[dà shēng] loud voice; in a loud voice; loudly; 
国旗,[guó qí] flag (of a country); CL:面[mian4]; 
国家,[guó jiā] country; nation; state; CL:個|个[ge4]; 
回击,[huí jī] to fight back; to return fire; to counterattack; 
呼唤,[hū huàn] to call out (a name etc); to shout; 
两句,[liǎng jù] (say) a few words; 
读书,[dú shū] to read a book; to study; to attend school; 
,
勇士,[yǒng shì] a warrior; a brave person; 
前程,[qián chéng] future (career etc) prospects; 
冠军,[guàn jūn] champion; CL:個|个[ge4]; 
儿女,[ér nǔ:] children; sons and daughters; 
身为,[shēn wéi] in the capacity of; as; 
健儿,[jiàn ér] top athlete; heroic warrior; 
边疆,[biān jiāng] border area; borderland; frontier; frontier region; 
保卫,[bǎo wèi] to defend; to safeguard; 
过去,[guò qu] (in the) past; former; previous; to go over; to pass by; 
伟人,[wěi rén] great person; 
以后,[yǐ hòu] after; later; afterwards; following; later on; in the future; 
这样,[zhè yàng] this kind of; so; this way; like this; such; 
他们,[tā men] they; 
今天,[jīn tiān] today; at the present; now; 
亲爱,[qīn ài] dear; beloved; darling; 
阅读,[yuè dú] to read; reading; 
那些,[nà xiē] those; 
那样,[nà yàng] that kind; that sort; 
争光,[zhēng guāng] to win an honor; to strive to win a prize; 
书籍,[shū jí] books; works; 
中华,[Zhōng huá] China (alternate formal name); 
中国,[Zhōng guó] China; 
长大,[zhǎng dà] to grow up; 
题目,[tí mù] subject; title; topic; CL:個|个[ge4]; 
钱学森,[Qián Xué sēn] Qian Xuesen (1911-2009), Chinese scientist and aeronautical engineer; 
周总理,[Zhōu zǒng lǐ] Premier Zhou Enlai 周恩來|周恩来 (1898-1976); 
詹天佑,[Zhān Tiān yòu] Zhan Tianyou (1861-1919), Chinese railroad engineer; 
瞧不起,[qiáo bù qǐ] to look down upon; to hold in contempt; 
五星红旗,[wǔ xīng hóng qí] five-starred red flag (PRC national flag); 
帝国主义,[dì guó zhǔ yì] imperialism; 
