忽,[Hū] surname Hu; [hū] to neglect; to overlook; to ignore; suddenly; 
那,[Nā] surname Na; [Nuó] surname Nuo; [nǎ] variant of 哪[na3]; [nà] that; those; then (in that case); commonly pr. [nei4] before a classifier, esp. in Beijing; [nuó] (archaic) many; beautiful; how; old variant of 挪[nuo2]; 
只,[zhǐ] only; merely; just; but; 
逃,[táo] to escape; to run away; to flee; 
可,[kě] can; may; able to; to approve; to permit; to suit; (particle used for emphasis) certainly; very; [kè] see 可汗[ke4 han2]; 
进,[jìn] to advance; to enter; to come (or go) into; to receive or admit; to eat or drink; to submit or present; (used after a verb) into, in; to score a goal; 
吃,[chī] to eat; to consume; to eat at (a cafeteria etc); to eradicate; to destroy; to absorb; to suffer; to stammer (Taiwan pr. for this sense is [ji2]); 
味,[wèi] taste; smell; classifier for drugs (in TCM); 
咬,[yǎo] to bite; to nip; 
哈,[Hā] abbr. for 哈薩克斯坦|哈萨克斯坦[Ha1 sa4 ke4 si1 tan3], Kazakhstan; abbr. for 哈爾濱|哈尔滨[Ha1 er3 bin1], Harbin; [hā] laughter; yawn; [hǎ] a Pekinese; a pug; (dialect) to scold; 
这,[zhè] this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing); 
哪,[nǎ] how; which; [na] (particle equivalent to 啊 after noun ending in -n); [něi] which? (interrogative, followed by classifier or numeral-classifier); 
边,[biān] side; edge; margin; border; boundary; CL:個|个[ge4]; simultaneously; [bian] suffix of a noun of locality; 
商,[Shāng] the Shang dynasty, 16th to 11th century BC; [shāng] commerce; merchant; dealer; to consult; quotient; 2nd note in pentatonic scale; 
路,[Lù] surname Lu; [lù] road; CL:條|条[tiao2]; journey; route; line (bus etc); sort; kind; 
啊,[ā] interjection of surprise; Ah!; Oh!; [á] interjection expressing doubt or requiring answer; Eh?; what?; to show realization; to stress; [ǎ] interjection of surprise or doubt; Eh?; My!; what's up?; [à] interjection or grunt of agreement; uhm; Ah, OK; expression of recognition; Oh, it's you!; [a] modal particle ending sentence, showing affirmation, approval, or consent; 
啦,[lā] (onom.) sound of singing, cheering etc; (phonetic); (dialect) to chat; [la] sentence-final particle, contraction of 了啊, indicating exclamation; particle placed after each item in a list of examples; 
啪,[pā] (onom.) bang; pop; pow; 
回,[huí] to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book); 
跟,[gēn] heel; to follow closely; to go with; to marry sb (of woman); with; towards; as (compared to); from (different from); and (in addition to); 
在,[zài] (located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress); 
地,[de] -ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct; [dì] earth; ground; field; place; land; CL:片[pian4]; 
跑,[páo] (of an animal) to paw (the ground); [pǎo] to run; to run away; to escape; to run around (on errands etc); (of a gas or liquid) to leak or evaporate; (verb complement) away; off; 
声,[shēng] sound; voice; tone; noise; classifier for sounds; 
外,[wài] outside; in addition; foreign; external; 
多,[duō] many; much; often; a lot of; numerous; more; in excess; how (to what extent); multi-; Taiwan pr. [duo2] when it means "how"; 
大,[dà] big; huge; large; major; great; wide; deep; older (than); oldest; eldest; greatly; very much; (dialect) father; father's elder or younger brother; [dài] see 大夫[dai4 fu5]; 
起,[qǐ] to rise; to raise; to get up; to set out; to start; to appear; to launch; to initiate (action); to draft; to establish; to get (from a depot or counter); verb suffix, to start; (before place or time) starting from; classifier for occurrences or unpredictable events: case, instance; classifier for groups: batch, group; 
天,[tiān] day; sky; heaven; 
头,[tóu] head; hair style; the top; end; beginning or end; a stub; remnant; chief; boss; side; aspect; first; leading; classifier for pigs or livestock; CL:個|个[ge4]; [tou] suff. for nouns; 
好,[hǎo] good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness); (of an unmarried couple) to be close; to be keen on each other; [hào] to be fond of; to have a tendency to; to be prone to; 
走,[zǒu] to walk; to go; to run; to move (of vehicle); to visit; to leave; to go away; to die (euph.); from; through; away (in compound verbs, such as 撤走[che4 zou3]); to change (shape, form, meaning); 
负,[fù] to bear; to carry (on one's back); to turn one's back on; to be defeated; negative (math. etc); 
子,[zǐ] son; child; seed; egg; small thing; 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat; Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; [zi] (noun suffix); 
实,[shí] real; true; honest; really; solid; fruit; seed; definitely; 
说,[shuì] to persuade; [shuō] to speak; to say; to explain; to scold; to tell off; a theory (usually in compounds such as 日心说 heliocentric theory); 
对,[duì] right; correct; couple; pair; towards; at; for; to face; opposite; to treat (sb a certain way); to match together; to adjust; to fit; to suit; to answer; to reply; classifier: couple; 
觅,[mì] to seek; to find; [mì] old variant of 覓|觅[mi4]; 
小,[xiǎo] small; tiny; few; young; 
就,[jiù] at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning; 
尾,[wěi] tail; remainder; remnant; extremity; sixth of the 28 constellations; classifier for fish; [yǐ] horse's tail; pointed posterior section of a locust etc; 
见,[jiàn] to see; to meet; to appear (to be sth); to interview; [xiàn] to appear; also written 現|现[xian4]; 
层,[céng] layer; stratum; laminated; floor (of a building); storey; classifier for layers; repeated; sheaf (math.); 
山,[Shān] surname Shan; [shān] mountain; hill; anything that resembles a mountain; CL:座[zuo4]; bundled straw in which silkworms spin cocoons; gable; 
巴,[Bā] Ba state during Zhou dynasty (in east of modern Sichuan); abbr. for east Sichuan or Chongqing; surname Ba; abbr. for Palestine or Palestinian; abbr. for Pakistan; [bā] to long for; to wish; to cling to; to stick to; sth that sticks; close to; next to; spread open; informal abbr. for bus 巴士[ba1 shi4]; bar (unit of pressure); nominalizing suffix on certain nouns, such as 尾巴[wei3 ba5], tail; 
带,[dài] band; belt; girdle; ribbon; tire; area; zone; region; CL:條|条[tiao2]; to wear; to carry; to take along; to bear (i.e. to have); to lead; to bring; to look after; to raise; 
要,[yāo] to demand; to request; to coerce; [yào] important; vital; to want; to ask for; will; going to (as future auxiliary); may; must; (used in a comparison) must be; probably; if; 
弄,[lòng] lane; alley; [nòng] to do; to manage; to handle; to play with; to fool with; to mess with; to fix; to toy with; 
得,[dé] to obtain; to get; to gain; to catch (a disease); proper; suitable; proud; contented; to allow; to permit; ready; finished; [de] structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc; [děi] to have to; must; ought to; to need to; 
心,[xīn] heart; mind; intention; center; core; CL:顆|颗[ke1],個|个[ge4]; 
被,[bèi] quilt; by; (indicates passive-voice clauses); (literary) to cover; to meet with; 
行,[háng] a row; series; age order (of brothers); profession; professional; relating to company; [xíng] to walk; to go; to travel; a visit; temporary; makeshift; current; in circulation; to do; to perform; capable; competent; effective; all right; OK!; will do; behavior; conduct; Taiwan pr. [xing4] for the behavior-conduct sense; 
自,[zì] from; self; oneself; since; 
总,[zǒng] always; to assemble; gather; total; overall; head; chief; general; in every case; 
聪,[cōng] quick at hearing; wise; clever; sharp-witted; intelligent; acute; 
惨,[cǎn] miserable; wretched; cruel; inhuman; disastrous; tragic; dim; gloomy; 
想,[xiǎng] to think; to believe; to suppose; to wish; to want; to miss (feel wistful about the absence of sb or sth); 
我,[wǒ] I; me; my; 
把,[bǎ] to hold; to contain; to grasp; to take hold of; handle; particle marking the following noun as a direct object; classifier for objects with handle; classifier for small objects: handful; [bà] handle; 
拉,[lā] to pull; to play (a bowed instrument); to drag; to draw; to chat; 
掉,[diào] to fall; to drop; to lag behind; to lose; to go missing; to reduce; fall (in prices); to lose (value, weight etc); to wag; to swing; to turn; to change; to exchange; to swap; to show off; to shed (hair); (used after certain verbs to express completion, fulfillment, removal etc); 
提,[tí] to carry (hanging down from the hand); to lift; to put forward; to mention; to raise (an issue); upwards character stroke; lifting brush stroke (in painting); scoop for measuring liquid; 
放,[fàng] to release; to free; to let go; to put; to place; to let out; to set off (fireworks); 
聚,[jù] to congregate; to assemble; to mass; to gather together; to amass; to polymerize; 
断,[duàn] to break; to snap; to cut off; to give up or abstain from sth; to judge; (usu. used in the negative) absolutely; definitely; decidedly; 
方,[Fāng] surname Fang; [fāng] square; power or involution (mathematics); upright; honest; fair and square; direction; side; party (to a contract, dispute etc); place; method; prescription (medicine); just when; only or just; classifier for square things; abbr. for square or cubic meter; 
时,[shí] old variant of 時|时[shi2]; [Shí] surname Shi; [shí] o'clock; time; when; hour; season; period; 
给,[gěi] to; for; for the benefit of; to give; to allow; to do sth (for sb); (passive particle); [jǐ] to supply; to provide; 
明,[Míng] Ming Dynasty (1368-1644); surname Ming; Ming (c. 2000 BC), fourth of the legendary Flame Emperors, 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God; [míng] bright; opposite: dark 暗[an4]; (of meaning) clear; to understand; next; public or open; wise; generic term for a sacrifice to the gods; 
是,[shì] is; are; am; yes; to be; 
暗,[àn] dark; gloomy; hidden; secret; muddled; obscure; in the dark; 
结,[jiē] to bear fruit; to produce; firm; solid; [jié] knot; sturdy; bond; to tie; to bind; to check out (of a hotel); 
有,[yǒu] to have; there is; there are; to exist; to be; 
来,[lái] to come; to arrive; to come round; ever since; next; 
样,[yàng] manner; pattern; way; appearance; shape; CL:個|个[ge4]; 
等,[děng] class; rank; grade; equal to; same as; to wait for; to await; et cetera; and so on; et al. (and other authors); after; as soon as; once; 
欺,[qī] to take unfair advantage of; to deceive; to cheat; 
笑,[xiào] laugh; smile; CL:個|个[ge4]; 
水,[Shuǐ] surname Shui; [shuǐ] water; river; liquid; beverage; additional charges or income; (of clothes) classifier for number of washes; 
没,[méi] (negative prefix for verbs); have not; not; [mò] drowned; to end; to die; to inundate; 
知,[zhī] to know; to be aware; 
河,[hé] river; CL:條|条[tiao2],道[dao4]; 
着,[zhāo] (chess) move; trick; all right!; (dialect) to add; [zháo] to touch; to come in contact with; to feel; to be affected by; to catch fire; to fall asleep; to burn; [zhe] aspect particle indicating action in progress; [zhuó] to wear (clothes); to contact; to use; to apply; 
法,[Fǎ] France; French; abbr. for 法國|法国[Fa3 guo2]; Taiwan pr. [Fa4]; [fǎ] law; method; way; Buddhist teaching; Legalist; 
洞,[dòng] cave; hole; zero (unambiguous spoken form when spelling out numbers); CL:個|个[ge4]; 
烤,[kǎo] to roast; to bake; to broil; 
然,[rán] correct; right; so; thus; like this; -ly; 
物,[wù] thing; object; matter; abbr. for physics 物理; 
狐,[hú] fox; 
看,[kān] to look after; to take care of; to watch; to guard; [kàn] to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (an illness); to depend on; to feel (that); (after verb) to give it a try; Watch out! (for a danger); 
狸,[lí] raccoon dog; fox-like animal; 
狼,[láng] wolf; CL:匹[pi3],隻|只[zhi1],條|条[tiao2]; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
鱼,[Yú] surname Yu; [yú] fish; CL:條|条[tiao2],尾[wei3]; 
狐狸,[hú li] fox; fig. sly and treacherous person; 
河边,[hé biān] river bank; 
没有,[méi yǒu] haven't; hasn't; doesn't exist; to not have; to not be; 
欺负,[qī fu] to bully; 
样子,[yàng zi] appearance; manner; pattern; model; 
暗自,[àn zì] inwardly; to oneself; secretly; 
结了,[jié le] that's that; that's it; that will do; 
时候,[shí hou] time; length of time; moment; period; 
放进,[fàng jìn] to put into; 
高兴,[gāo xìng] happy; glad; willing (to do sth); in a cheerful mood; 
总是,[zǒng shì] always; 
聪明,[cōng ming] acute (of sight and hearing); clever; intelligent; bright; smart; 
忽然,[hū rán] suddenly; all of a sudden; 
一声,[yī shēng] first tone in Mandarin (high level tone); 
心里,[xīn li] chest; heart; mind; 
带路,[dài lù] to lead the way; to guide; to show the way; fig. to instruct; 
尾巴,[wěi ba] tail; [yǐ ba] (coll.) tail (of an animal); 
对付,[duì fu] to handle; to deal with; to cope; to get by with; 
觅食,[mì shí] to forage; to hunt for food; to scavenge; fig. to make a living; 
实在,[shí zài] really; actually; indeed; true; real; honest; dependable; (philosophy) reality; 
好多,[hǎo duō] many; quite a lot; much better; 
好久,[hǎo jiǔ] quite a while; 
大力,[dà lì] energetically; vigorously; 
地方,[dì fāng] region; regional (away from the central administration); local; [dì fang] area; place; space; room; territory; CL:處|处[chu4],個|个[ge4],塊|块[kuai4]; 
看见,[kàn jiàn] to see; to catch sight of; 
跟着,[gēn zhe] to follow after; immediately afterwards; 
商量,[shāng liang] to consult; to talk over; to discuss; 
哪知,[nǎ zhī] who would have imagined?; unexpectedly; 
哈哈,[hā hā] (onom.) laughing out loud; 
这下,[zhè xià] this time; 
这些,[zhè xiē] these; 
这样,[zhè yàng] this kind of; so; this way; like this; such; 
可以,[kě yǐ] can; may; possible; able to; 
只要,[zhǐ yào] if only; so long as; 
逃走,[táo zǒu] to escape; to flee; to run away; 
原来,[yuán lái] original; former; originally; formerly; at first; so, actually, as it turns out; 
动物,[dòng wù] animal; CL:隻|只[zhi1],群[qun2],個|个[ge4]; 
办法,[bàn fǎ] means; method; way (of doing sth); CL:條|条[tiao2],個|个[ge4]; 
到了,[dào liǎo] at last; finally; in the end; 
别人,[bié ren] other people; others; other person; 
出外,[chū wài] to go out; to leave for another place; 
从前,[cóng qián] previously; formerly; once upon a time; 
闻到,[wén dào] to smell; to sniff sth out; to perceive by smelling; 
一层,[yī céng] layer; 
不光,[bù guāng] not the only one; not only; 
上来,[shàng lái] to come up; to approach; (verb complement indicating success); 
香味,[xiāng wèi] fragrance; bouquet; sweet smell; CL:股[gu3]; 
回头,[huí tóu] to turn round; to turn one's head; later; by and by; 
不行了,[bù xíng le] on the point of death; dying; 
聚在一起,[jù zài yī qǐ] to get together; 
