时,[shí] old variant of 時|时[shi2]; [Shí] surname Shi; [shí] o'clock; time; when; hour; season; period; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
盒,[hé] small box; case; 
直,[Zhí] surname Zhi; Zhi (c. 2000 BC), fifth of the legendary Flame Emperors 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God; [zhí] straight; to straighten; fair and reasonable; frank; straightforward; (indicates continuing motion or action); vertical; vertical downward stroke in Chinese characters; 
盼,[pàn] to hope for; to long for; to expect; 
看,[kān] to look after; to take care of; to watch; to guard; [kàn] to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (an illness); to depend on; to feel (that); (after verb) to give it a try; Watch out! (for a danger); 
色,[sè] color; CL:種|种[zhong3]; look; appearance; sex; [shǎi] color; dice; 
着,[zhāo] (chess) move; trick; all right!; (dialect) to add; [zháo] to touch; to come in contact with; to feel; to be affected by; to catch fire; to fall asleep; to burn; [zhe] aspect particle indicating action in progress; [zhuó] to wear (clothes); to contact; to use; to apply; 
自,[zì] from; self; oneself; since; 
睡,[shuì] to sleep; to lie down; 
礼,[Lǐ] surname Li; abbr. for 禮記|礼记[Li3 ji4], Classic of Rites; [lǐ] gift; rite; ceremony; CL:份[fen4]; propriety; etiquette; courtesy; 
能,[Néng] surname Neng; [néng] to be able to; to be capable of; ability; capability; able; capable; can possibly; (usually used in the negative) to have the possibility of; 
种,[zhǒng] seed; species; kind; type; classifier: type, kind, sort; [zhòng] to plant; to grow; to cultivate; 
空,[kōng] empty; air; sky; in vain; [kòng] to empty; vacant; unoccupied; space; leisure; free time; 
笨,[bèn] stupid; foolish; silly; slow-witted; clumsy; 
美,[Měi] the Americas; abbr. for 美洲[Mei3 zhou1]; USA; abbr. for 美國|美国[Mei3 guo2]; [měi] beautiful; very satisfactory; good; to be pleased with oneself; 
箱,[xiāng] box; trunk; chest; 
回家,[huí jiā] to return home; 
笨重,[bèn zhòng] heavy; cumbersome; unwieldy; 
礼物,[lǐ wù] gift; present; CL:件[jian4],個|个[ge4],份[fen4]; 
着实,[zhuó shí] truly; indeed; severely; harshly; 
一种,[yī zhǒng] one kind of; one type of; 
丈夫,[zhàng fu] husband; CL:個|个[ge4]; 
生日,[shēng rì] birthday; CL:個|个[ge4]; 
期盼,[qī pàn] hope and expectation; to anticipate; to look forward to; to await expectantly; 
更加,[gèng jiā] more (than sth else); even more; 
一直,[yī zhí] straight (in a straight line); continuously; always; from the beginning of ... up to ...; all along; 
装有,[zhuāng yǒu] fitted with; 
想要,[xiǎng yào] to want to; to feel like; to fancy; to care for sb; desirous of; 
性感,[xìng gǎn] sex appeal; eroticism; sexuality; sexy; 
心中,[xīn zhōng] central point; in one's thoughts; in one's heart; 
巨大,[jù dà] huge; immense; very large; tremendous; gigantic; enormous; 
美丽,[měi lì] beautiful; 
告诉,[gào su] to tell; to inform; to let know; 
包装,[bāo zhuāng] to pack; to package; to wrap; packaging; 
到时,[dào shí] at that (future) time; 
内衣,[nèi yī] undergarment; underwear; CL:件[jian4]; 
健身,[jiàn shēn] to exercise; to keep fit; to work out; physical exercise; 
但是,[dàn shì] but; however; 
里面,[lǐ miàn] inside; interior; 
什么,[shén me] what?; who?; something; anything; 
东西,[dōng xī] east and west; [dōng xi] thing; stuff; person; CL:個|个[ge4],件[jian4]; 
,
黑色,[hēi sè] black; 
看上去,[kàn shang qu] it would appear; it seems (that); 
自行车,[zì xíng chē] bicycle; bike; CL:輛|辆[liang4]; 
也就是说,[yě jiù shì shuō] in other words; that is to say; so; thus; 
