掩,[yǎn] to cover up; to close; to surprise; 
头,[tóu] head; hair style; the top; end; beginning or end; a stub; remnant; chief; boss; side; aspect; first; leading; classifier for pigs or livestock; CL:個|个[ge4]; [tou] suff. for nouns; 
奇,[jī] odd (number); [qí] strange; odd; weird; wonderful; surprisingly; unusually; 
近,[jìn] near; close to; approximately; 
好,[hǎo] good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness); (of an unmarried couple) to be close; to be keen on each other; [hào] to be fond of; to have a tendency to; to be prone to; 
越,[Yuè] generic word for peoples or states of south China or south Asia at different historical periods; abbr. for Vietnam 越南; [yuè] to exceed; to climb over; to surpass; the more... the more; 
起,[qǐ] to rise; to raise; to get up; to set out; to start; to appear; to launch; to initiate (action); to draft; to establish; to get (from a depot or counter); verb suffix, to start; (before place or time) starting from; classifier for occurrences or unpredictable events: case, instance; classifier for groups: batch, group; 
如,[rú] as; as if; such as; 
走,[zǒu] to walk; to go; to run; to move (of vehicle); to visit; to leave; to go away; to die (euph.); from; through; away (in compound verbs, such as 撤走[che4 zou3]); to change (shape, form, meaning); 
质,[zhì] character; nature; quality; plain; to pawn; pledge; hostage; to question; Taiwan pr. [zhi2]; 
婚,[hūn] to marry; marriage; wedding; to take a wife; 
象,[xiàng] elephant; CL:隻|只[zhi1]; shape; form; appearance; to imitate; 
子,[zǐ] son; child; seed; egg; small thing; 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat; Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; [zi] (noun suffix); 
孤,[gū] lone; lonely; 
谁,[shéi] who; also pr. [shui2]; 
它,[tā] it; 
完,[wán] to finish; to be over; whole; complete; entire; 
要,[yāo] to demand; to request; to coerce; [yào] important; vital; to want; to ask for; will; going to (as future auxiliary); may; must; (used in a comparison) must be; probably; if; 
实,[shí] real; true; honest; really; solid; fruit; seed; definitely; 
被,[bèi] quilt; by; (indicates passive-voice clauses); (literary) to cover; to meet with; 
小,[xiǎo] small; tiny; few; young; 
蛋,[dàn] egg; oval-shaped; CL:個|个[ge4],打[da2]; 
尖,[jiān] point (of needle); sharp; shrewd; pointed; 
蒙,[Méng] surname Meng; [Měng] Mongol ethnic group; abbr. for Mongolia 蒙古國|蒙古国[Meng3 gu3 guo2]; Taiwan pr. [Meng2]; [mēng] (knocked) unconscious; dazed; stunned; [méng] to cover; ignorant; to suffer (misfortune); to receive (a favor); to cheat; 
就,[jiù] at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning; 
层,[céng] layer; stratum; laminated; floor (of a building); storey; classifier for layers; repeated; sheaf (math.); 
山,[Shān] surname Shan; [shān] mountain; hill; anything that resembles a mountain; CL:座[zuo4]; bundled straw in which silkworms spin cocoons; gable; 
落,[là] to leave out; to be missing; to leave behind or forget to bring; to lag or fall behind; [lào] see 落枕[lao4 zhen3] and 落炕[lao4 kang4]; [luò] to fall or drop; (of the sun) to set; (of a tide) to go out; to lower; to decline or sink; to lag or fall behind; to fall onto; to rest with; to get or receive; to write down; whereabouts; settlement; 
已,[yǐ] already; to stop; then; afterwards; 
草,[cǎo] grass; straw; manuscript; draft (of a document); careless; rough; CL:棵[ke1],撮[zuo3],株[zhu1],根[gen1]; [cào] variant of 肏[cao4]; 
带,[dài] band; belt; girdle; ribbon; tire; area; zone; region; CL:條|条[tiao2]; to wear; to carry; to take along; to bear (i.e. to have); to lead; to bring; to look after; to raise; 
色,[sè] color; CL:種|种[zhong3]; look; appearance; sex; [shǎi] color; dice; 
年,[Nián] surname Nian; [nián] year; CL:個|个[ge4]; 
座,[zuò] seat; base; stand; CL:個|个[ge4]; classifier for buildings, mountains and similar immovable objects; 
引,[yǐn] to draw (e.g. a bow); to pull; to stretch sth; to extend; to lengthen; to involve or implicate in; to attract; to lead; to guide; to leave; to provide evidence or justification for; old unit of distance equal to 10 丈[zhang4], one-thirtieth of a km or 33.33 meters; 
当,[dāng] (onom.) dong; ding dong (bell); [dāng] to be; to act as; manage; withstand; when; during; ought; should; match equally; equal; same; obstruct; just at (a time or place); on the spot; right; just at; [dàng] at or in the very same...; suitable; adequate; fitting; proper; to replace; to regard as; to think; to pawn; (coll.) to fail (a student); 
至,[zhì] to arrive; most; to; until; 
形,[xíng] to appear; to look; form; shape; 
总,[zǒng] always; to assemble; gather; total; overall; head; chief; general; in every case; 
戳,[chuō] to jab; to poke; to stab; to sprain; to blunt; to fuck (vulgar); to stand sth upright; 
户,[hù] a household; door; family; 
房,[Fáng] surname Fang; [fáng] house; room; CL:間|间[jian1]; branch of an extended family; classifier for family members (or concubines); 
臂,[bì] arm; 
所,[suǒ] actually; place; classifier for houses, small buildings, institutions etc; that which; particle introducing a relative clause or passive; CL:個|个[ge4]; 
腐,[fǔ] decay; rotten; 
手,[shǒu] hand; (formal) to hold; person engaged in certain types of work; person skilled in certain types of work; personal(ly); convenient; classifier for skill; CL:雙|双[shuang1],隻|只[zhi1]; 
结,[jiē] to bear fruit; to produce; firm; solid; [jié] knot; sturdy; bond; to tie; to bind; to check out (of a hotel); 
拱,[gǒng] to cup one's hands in salute; to surround; to arch; to dig earth with the snout; arched; 
经,[Jīng] surname Jing; [jīng] classics; sacred book; scripture; to pass through; to undergo; to bear; to endure; warp (textile); longitude; menstruation; channel (TCM); abbr. for economics 經濟|经济[jing1 ji4]; 
指,[zhǐ] finger; to point at or to; to indicate or refer to; to depend on; to count on; (of hair) to stand on end; 
糕,[gāo] cake; 
损,[sǔn] to decrease; to lose; to damage; to harm; (coll.) to speak sarcastically; to deride; caustic; mean; one of the 64 trigrams of the Book of Changes (old); 
立,[Lì] surname Li; [lì] to stand; to set up; to establish; to lay down; to draw up; at once; immediately; 
窿,[lóng] cavity; hole; 
窟,[kū] cave; hole; 
数,[shǔ] to count; to enumerate; to criticize (i.e. enumerate shortcomings); [shù] number; figure; several; CL:個|个[ge4]; [shuò] frequently; repeatedly; 
窗,[chuāng] shutter; window; CL:扇[shan4]; 
窄,[zhǎi] narrow; narrow-minded; badly off; 
方,[Fāng] surname Fang; [fāng] square; power or involution (mathematics); upright; honest; fair and square; direction; side; party (to a contract, dispute etc); place; method; prescription (medicine); just when; only or just; classifier for square things; abbr. for square or cubic meter; 
时,[shí] old variant of 時|时[shi2]; [Shí] surname Shi; [shí] o'clock; time; when; hour; season; period; 
空,[kōng] empty; air; sky; in vain; [kòng] to empty; vacant; unoccupied; space; leisure; free time; 
是,[shì] is; are; am; yes; to be; 
最,[zuì] most; the most; -est (superlative suffix); 
有,[yǒu] to have; there is; there are; to exist; to be; 
穹,[qióng] vault; dome; the sky; 
秃,[tū] bald; blunt; 
木,[Mù] surname Mu; [mù] tree; wood; coffin; wooden; simple; numb; one of the eight ancient musical instruments 八音[ba1 yin1]; 
礼,[Lǐ] surname Li; abbr. for 禮記|礼记[Li3 ji4], Classic of Rites; [lǐ] gift; rite; ceremony; CL:份[fen4]; propriety; etiquette; courtesy; 
磁,[cí] magnetic; magnetism; porcelain; 
矮,[ǎi] low; short (in length); 
朽,[xiǔ] rotten; 
杂,[zá] variant of 雜|杂[za2]; [zá] mixed; miscellaneous; various; to mix; 
知,[zhī] to know; to be aware; 
条,[tiáo] strip; item; article; clause (of law or treaty); classifier for long thin things (ribbon, river, road, trousers etc); 
来,[lái] to come; to arrive; to come round; ever since; next; 
构,[gòu] to construct; to form; to make up; to compose; literary composition; paper mulberry (Broussonetia papyrifera); 
果,[guǒ] fruit; result; resolute; indeed; if really; 
枝,[zhī] branch; classifier for sticks, rods, pencils etc; 
栅,[zhà] fence; also pr. [shan1]; 
栋,[dòng] classifier for houses or buildings; ridgepole (old); 
栏,[lán] fence; railing; hurdle; column or box (of text or other data); 
矗,[chù] lofty; upright; 
树,[shù] tree; CL:棵[ke1]; to cultivate; to set up; 
着,[zhāo] (chess) move; trick; all right!; (dialect) to add; [zháo] to touch; to come in contact with; to feel; to be affected by; to catch fire; to fall asleep; to burn; [zhe] aspect particle indicating action in progress; [zhuó] to wear (clothes); to contact; to use; to apply; 
样,[yàng] manner; pattern; way; appearance; shape; CL:個|个[ge4]; 
棵,[kē] classifier for trees, cabbages, plants etc; 
民,[Mín] surname Min; [mín] the people; nationality; citizen; 
灰,[huī] ash; dust; lime; gray; discouraged; dejected; 
看,[kān] to look after; to take care of; to watch; to guard; [kàn] to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (an illness); to depend on; to feel (that); (after verb) to give it a try; Watch out! (for a danger); 
特,[tè] special; unique; distinguished; especially; unusual; very; 
狭,[xiá] narrow; narrow-minded; [xiá] old variant of 狹|狭[xia2]; 
目,[mù] eye; item; section; list; catalogue; table of contents; order (taxonomy); goal; name; title; 
现,[xiàn] to appear; present; now; existing; current; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
玻,[bō] glass; 
电,[diàn] electric; electricity; electrical; 
璃,[lí] colored glaze; glass; 
甚,[shén] variant of 什[shen2]; [shèn] what; very; extremely; any; 
实际,[shí jì] reality; practice; practical; realistic; real; actual; 
甚至,[shèn zhì] even; so much so that; 
现象,[xiàn xiàng] appearance; phenomenon; CL:個|个[ge4],種|种[zhong3]; 
狭窄,[xiá zhǎi] narrow; 
上面,[shàng mian] on top of; above-mentioned; 
黑色,[hēi sè] black; 
树枝,[shù zhī] branch; twig; 
栏圈,[lán quān] pen; animal yard; 
矗立,[chù lì] to tower; standing tall and upright (of large building); 
杂草,[zá cǎo] weeds; 
木质,[mù zhì] wooden; 
木栅,[Mù zhà] Muzha (old spelling, Mucha), was a district in Taipei City merged with Jingmei is now called Wenshan; 
磁铁,[cí tiě] magnet; 
木头,[mù tou] slow-witted; blockhead; log (of wood, timber etc); CL:塊|块[kuai4],根[gen1]; 
有的,[yǒu de] (there are) some (who are...); some (exist); 
下落,[xià luò] whereabouts; to drop; to fall; 
穹顶,[qióng dǐng] dome; vault; domed roof; 
时候,[shí hou] time; length of time; moment; period; 
数目,[shù mù] amount; number; 
高地,[gāo dì] highland; upland; 
窗户,[chuāng hu] window; CL:個|个[ge4],扇[shan4]; 
掩埋,[yǎn mái] to bury; 
窟窿,[kū long] hole; pocket; cavity; loophole; debt; 
一样,[yī yàng] same; like; equal to; the same as; just like; 
损坏,[sǔn huài] to damage; to injure; 
指向,[zhǐ xiàng] to point towards; aimed at; facing; the direction indicated; 
拱形,[gǒng xíng] arch; 
手臂,[shǒu bì] arm; helper; 
结构,[jié gòu] structure; composition; makeup; architecture; CL:座[zuo4],個|个[ge4]; 
所以,[suǒ yǐ] therefore; as a result; so; the reason why; 
腐朽,[fǔ xiǔ] rotten; decayed; decadent; degenerate; 
房子,[fáng zi] house; building (single- or two-story); apartment; room; CL:棟|栋[dong4],幢[zhuang4],座[zuo4],套[tao4]; 
当中,[dāng zhōng] among; in the middle; in the center; 
带有,[dài yǒu] to have; to involve; 
已经,[yǐ jīng] already; 
山丘,[shān qiū] hill; 
尖塔,[jiān tǎ] spire; minaret; 
小小,[xiǎo xiǎo] very small; very few; very minor; 
蛋糕,[dàn gāo] cake; CL:塊|块[kuai4],個|个[ge4]; 
玻璃,[bō li] glass; nylon; plastic; CL:張|张[zhang1],塊|块[kuai4]; 
完全,[wán quán] complete; whole; totally; entirely; 
不堪,[bù kān] cannot bear; cannot stand; utterly; extremely; 
婚礼,[hūn lǐ] wedding ceremony; wedding; CL:場|场[chang3]; 
如果,[rú guǒ] if; in case; in the event that; 
如同,[rú tóng] like; as; 
好多,[hǎo duō] many; quite a lot; much better; 
好像,[hǎo xiàng] as if; to seem like; 
奇特,[qí tè] peculiar; unusual; queer; 
天空,[tiān kōng] sky; 
大于,[dà yú] greater than; bigger than; more than, >; 
这里,[zhè lǐ] variant of 這裡|这里[zhe4 li3]; [zhè lǐ] here; 
外墙,[wài qiáng] facade; external wall; 
远远,[yuǎn yuǎn] distant; 
夏天,[xià tiān] summer; CL:個|个[ge4]; 
地方,[dì fāng] region; regional (away from the central administration); local; [dì fang] area; place; space; room; territory; CL:處|处[chu4],個|个[ge4],塊|块[kuai4]; 
周围,[zhōu wéi] surroundings; environment; to encompass; 
吸引,[xī yǐn] to attract (interest, investment etc); CL:個|个[ge4]; 
向上,[xiàng shàng] upward; up; to advance; to try to improve oneself; to make progress; 
只是,[zhǐ shì] merely; simply; only; but; 
附近,[fù jìn] (in the) vicinity; nearby; neighboring; next to; 
发现,[fā xiàn] to find; to discover; 
几个,[jǐ ge] a few; several; how many; 
冰雹,[bīng báo] hail; hailstone; CL:場|场[chang2],粒[li4]; 
农民,[nóng mín] peasant; farmer; CL:個|个[ge4]; 
雷电,[léi diàn] thunder and lightning; 
共有,[gòng yǒu] to have altogether; in all; 
风雨,[fēng yǔ] wind and rain; the elements; trials and hardships; 
需要,[xū yào] to need; to want; to demand; to require; requirement; need; 
低矮,[dī ǎi] short; low; 
乌云,[wū yún] black cloud; 
顶上,[dǐng shàng] on top of; at the summit; 
不知,[bù zhī] not to know; unaware; unknowingly; fig. not to admit (defeat, hardships, tiredness etc); 
黝黑,[yǒu hēi] dark; suntanned; dark black color; 
光秃秃,[guāng tū tū] bald; bare; 
孤零零,[gū líng líng] lone; isolated and without help; all alone; solitary; 
数不多,[shù bù duō] a small number; one of a very few; 
有时候,[yǒu shí hou] sometimes; 
看起来,[kàn qǐ lái] seemingly; apparently; looks as if; appear to be; gives the impression that; seems on the face of it to be; 
灰蒙蒙,[huī mēng mēng] dusky; overcast (of weather); 
