晶,[jīng] crystal; 
还,[Huán] surname Huan; [hái] still; still in progress; still more; yet; even more; in addition; fairly; passably (good); as early as; even; also; else; [huán] to pay back; to return; 
先,[xiān] early; prior; former; in advance; first; 
刚,[gāng] hard; firm; strong; just; barely; exactly; 
别,[Bié] surname Bie; [bié] to leave; to depart; to separate; to distinguish; to classify; other; another; do not; must not; to pin; to stick (sth) in; [biè] to make sb change their ways, opinions etc; 
到,[dào] to (a place); until (a time); up to; to go; to arrive; (verb complement denoting completion or result of an action); 
前,[qián] front; forward; ahead; first; top (followed by a number); future; ago; before; BC (e.g. 前293年); former; formerly; 
午,[wǔ] 7th earthly branch: 11 a.m.-1 p.m., noon, 5th solar month (6th June-6th July), year of the Horse; 
去,[qù] to go; to go to (a place); to cause to go or send (sb); to remove; to get rid of; (when used either before or after a verb) to go in order to do sth; to be apart from in space or time; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation); (of a time or an event etc) just passed or elapsed; 
双,[Shuāng] surname Shuang; [shuāng] two; double; pair; both; 
过,[Guò] surname Guo; [guò] (experienced action marker); to cross; to go over; to pass (time); to celebrate (a holiday); to live; to get along; excessively; too-; 
受,[shòu] to receive; to accept; to suffer; subjected to; to bear; to stand; pleasant; (passive marker); 
口,[kǒu] mouth; classifier for things with mouths (people, domestic animals, cannons, wells etc); classifier for bites or mouthfuls; 
吃,[chī] to eat; to consume; to eat at (a cafeteria etc); to eradicate; to destroy; to absorb; to suffer; to stammer (Taiwan pr. for this sense is [ji2]); 
边,[biān] side; edge; margin; border; boundary; CL:個|个[ge4]; simultaneously; [bian] suffix of a noun of locality; 
后,[Hòu] surname Hou; [hòu] empress; queen; [hòu] back; behind; rear; afterwards; after; later; 
味,[wèi] taste; smell; classifier for drugs (in TCM); 
和,[Hé] surname He; Japanese (food, clothes etc); [hé] and; together with; with; sum; union; peace; harmony; Taiwan pr. [han4] when it means "and"; [hè] to compose a poem in reply (to sb's poem) using the same rhyme sequence; to join in the singing; to chime in with others; [hú] to complete a set in mahjong or playing cards; [huó] soft; warm; [huò] to mix together; to blend; 
唇,[chún] lip; 
路,[Lù] surname Lu; [lù] road; CL:條|条[tiao2]; journey; route; line (bus etc); sort; kind; 
喷,[pēn] to puff; to spout; to spray; to spurt; [pèn] (of a smell) strong; peak season (of a crop); (classifier for the ordinal number of a crop, in the context of multiple harvests); 
嘴,[zuǐ] mouth; beak; nozzle; spout (of teapot etc); CL:張|张[zhang1],個|个[ge4]; 
回,[huí] to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book); 
跑,[páo] (of an animal) to paw (the ground); [pǎo] to run; to run away; to escape; to run around (on errands etc); (of a gas or liquid) to leak or evaporate; (verb complement) away; off; 
在,[zài] (located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress); 
地,[de] -ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct; [dì] earth; ground; field; place; land; CL:片[pian4]; 
坐,[Zuò] surname Zuo; [zuò] to sit; to take a seat; to take (a bus, airplane etc); to bear fruit; variant of 座[zuo4]; 
多,[duō] many; much; often; a lot of; numerous; more; in excess; how (to what extent); multi-; Taiwan pr. [duo2] when it means "how"; 
天,[tiān] day; sky; heaven; 
好,[hǎo] good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness); (of an unmarried couple) to be close; to be keen on each other; [hào] to be fond of; to have a tendency to; to be prone to; 
趟,[tāng] to wade; to trample; to turn the soil; [tàng] classifier for times, round trips or rows; a time; a trip; 
起,[qǐ] to rise; to raise; to get up; to set out; to start; to appear; to launch; to initiate (action); to draft; to establish; to get (from a depot or counter); verb suffix, to start; (before place or time) starting from; classifier for occurrences or unpredictable events: case, instance; classifier for groups: batch, group; 
妈,[mā] ma; mom; mother; 
读,[dòu] comma; phrase marked by pause; [dú] to read; to study; reading of word (i.e. pronunciation), similar to 拼音[pin1 yin1]; 
子,[zǐ] son; child; seed; egg; small thing; 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat; Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; [zi] (noun suffix); 
字,[zì] letter; symbol; character; word; CL:個|个[ge4]; courtesy or style name traditionally given to males aged 20 in dynastic China; 
,
让,[ràng] to yield; to permit; to let sb do sth; to have sb do sth; to make sb (feel sad etc); 
解,[Xiè] surname Xie; [jiě] to divide; to break up; to split; to separate; to dissolve; to solve; to melt; to remove; to untie; to loosen; to open; to emancipate; to explain; to understand; to know; a solution; a dissection; [jiè] to transport under guard; [xiè] acrobatic display (esp. on horseback) (old); variant of 懈[xie4] and 邂[xie4] (old); 
完,[wán] to finish; to be over; whole; complete; entire; 
室,[Shì] surname Shi; [shì] room; work unit; grave; scabbard; family or clan; one of the 28 constellations of Chinese astronomy; 
家,[Jiā] surname Jia; [jiā] home; family; (polite) my (sister, uncle etc); classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian; CL:個|个[ge4]; 
角,[Jué] surname Jue; [jiǎo] angle; corner; horn; horn-shaped; unit of money equal to 0.1 yuan; CL:個|个[ge4]; [jué] role (theater); to compete; ancient three legged wine vessel; third note of pentatonic scale; 
就,[jiù] at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning; 
屋,[wū] house; room; CL:間|间[jian1],個|个[ge4]; 
觉,[jiào] a nap; a sleep; CL:場|场[chang2]; [jué] to feel; to find that; thinking; awake; aware; 
山,[Shān] surname Shan; [shān] mountain; hill; anything that resembles a mountain; CL:座[zuo4]; bundled straw in which silkworms spin cocoons; gable; 
己,[jǐ] self; oneself; sixth of the ten Heavenly Stems 十天干[shi2 tian1 gan1]; sixth in order; letter "F" or roman "VI" in list "A, B, C", or "I, II, III" etc; hexa; 
床,[chuáng] bed; couch; classifier for beds; CL:張|张[zhang1]; 
开,[kāi] to open; to start; to turn on; to boil; to write out (a prescription, check, invoice etc); to operate (vehicle); abbr. for 開爾文|开尔文 degrees Kelvin; 
弥,[mí] full; to fill; completely; more; [mí] brimming or overflowing; 
见,[jiàn] to see; to meet; to appear (to be sth); to interview; [xiàn] to appear; also written 現|现[xian4]; 
往,[wǎng] to go (in a direction); to; towards; (of a train) bound for; past; previous; 
得,[dé] to obtain; to get; to gain; to catch (a disease); proper; suitable; proud; contented; to allow; to permit; ready; finished; [de] structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc; [děi] to have to; must; ought to; to need to; 
快,[kuài] rapid; quick; speed; rate; soon; almost; to make haste; clever; sharp (of knives or wits); forthright; plain-spoken; gratified; pleased; pleasant; 
菜,[cài] dish (type of food); vegetable; cuisine; CL:盤|盘[pan2],道[dao4]; (coll.) (one's) type; 
我,[wǒ] I; me; my; 
莹,[yíng] luster of gems; 
戴,[Dài] surname Dai; [dài] to put on or wear (glasses, hat, gloves etc); to respect; to bear; to support; 
手,[shǒu] hand; (formal) to hold; person engaged in certain types of work; person skilled in certain types of work; personal(ly); convenient; classifier for skill; CL:雙|双[shuang1],隻|只[zhi1]; 
节,[jiē] see 節骨眼|节骨眼[jie1 gu5 yan3]; [jié] festival; holiday; node; joint; section; segment; part; to economize; to save; to abridge; moral integrity; classifier for segments, e.g. lessons, train wagons, biblical verses; CL:個|个[ge4]; 
打,[dá] dozen (loanword); [dǎ] to beat; to strike; to hit; to break; to type; to mix up; to build; to fight; to fetch; to make; to tie up; to issue; to shoot; to calculate; to play (a game); since; from; 
艾,[Aì] surname Ai; [ài] Chinese mugwort or wormwood; to stop or cut short; phonetic "ai" or "i"; abbr. for 艾滋病[ai4 zi1 bing4], AIDS; [yì] to mow; to cut; to reap; to redress; 
扮,[bàn] to disguise oneself as; to dress up; to play (a role); to put on (an expression); 
把,[bǎ] to hold; to contain; to grasp; to take hold of; handle; particle marking the following noun as a direct object; classifier for objects with handle; classifier for small objects: handful; [bà] handle; 
抹,[mā] to wipe; [mǒ] to smear; to wipe; to erase; classifier for wisps of cloud, light-beams etc; [mò] to plaster; to go around; to skirt; 
按,[àn] to press; to push; to leave aside or shelve; to control; to restrain; to keep one's hand on; to check or refer to; according to; in the light of; (of an editor or author) to make a comment; 
自,[zì] from; self; oneself; since; 
捧,[pěng] to clasp; to cup the hands; to hold up with both hands; to offer (esp. in cupped hands); to praise; to flatter; 
摸,[mō] to feel with the hand; to touch; to stroke; to grope; to steal; to abstract; [mó] variant of 摹[mo2]; 
撒,[sā] to let go; to cast; to let loose; to discharge; to give expression to; [sǎ] to scatter; to sprinkle; to spill; 
放,[fàng] to release; to free; to let go; to put; to place; to let out; to set off (fireworks); 
膏,[gāo] ointment; paste; CL:帖[tie3]; [gào] to moisten; to grease; to apply (cream, ointment); to dip a brush in ink; 
教,[Jiào] surname Jiao; [jiāo] to teach; [jiào] religion; teaching; to make; to cause; to tell; 
腿,[tuǐ] leg; CL:條|条[tiao2]; 
日,[Rì] abbr. for 日本[Ri4 ben3], Japan; [rì] sun; day; date, day of the month; 
时,[shí] old variant of 時|时[shi2]; [Shí] surname Shi; [shí] o'clock; time; when; hour; season; period; 
是,[shì] is; are; am; yes; to be; 
腕,[wàn] wrist; 
能,[Néng] surname Neng; [néng] to be able to; to be capable of; ability; capability; able; capable; can possibly; (usually used in the negative) to have the possibility of; 
有,[yǒu] to have; there is; there are; to exist; to be; 
朵,[duǒ] flower; earlobe; fig. item on both sides; classifier for flowers, clouds etc; 
来,[lái] to come; to arrive; to come round; ever since; next; 
聊,[liáo] to chat; to depend upon (literary); temporarily; just; slightly; 
校,[jiào] to proofread; to check; to compare; [xiào] school; military officer; CL:所[suo3]; 
样,[yàng] manner; pattern; way; appearance; shape; CL:個|个[ge4]; 
桌,[zhuō] table; 
耳,[ěr] ear; handle (archaeology); and that is all (classical Chinese); 
楚,[Chǔ] surname Chu; abbr. for Hubei 湖北省[Hu2 bei3 Sheng3] and Hunan 湖南省[Hu2 nan2 Sheng3] provinces together; Chinese kingdom during the Spring and Autumn and Warring States Periods (722-221 BC); [chǔ] distinct; clear; orderly; pain; suffering; deciduous bush used in Chinese medicine (genus Vitex); punishment cane (old); 
欢,[huān] variant of 歡|欢[huan1]; [huān] joyous; happy; pleased; [huān] hubbub; clamor; variant of 歡|欢[huan1]; [huān] a breed of horse; variant of 歡|欢[huan1]; 
绳,[shéng] rope; CL:根[gen1]; 
气,[qì] gas; air; smell; weather; to make angry; to annoy; to get angry; vital energy; qi; 
给,[gěi] to; for; for the benefit of; to give; to allow; to do sth (for sb); (passive particle); [jǐ] to supply; to provide; 
氛,[fēn] miasma; vapor; 
水,[Shuǐ] surname Shui; [shuǐ] water; river; liquid; beverage; additional charges or income; (of clothes) classifier for number of washes; 
洗,[xǐ] to wash; to bathe; to develop (photo); 
津,[jīn] saliva; sweat; a ferry crossing; a ford (river crossing); abbr. for Tianjin 天津; 
线,[xiàn] variant of 線|线[xian4]; [xiàn] thread; string; wire; line; CL:條|条[tiao2],股[gu3],根[gen1]; 
浓,[nóng] concentrated; dense; strong (smell etc); 
清,[Qīng] Qing or Ch'ing dynasty of Imperial China (1644-1911); surname Qing; [qīng] clear; distinct; quiet; just and honest; pure; to settle or clear up; to clean up or purge; 
红,[Hóng] surname Hong; [hóng] red; popular; revolutionary; bonus; 
满,[Mǎn] Manchu ethnic group; [mǎn] to fill; full; filled; packed; fully; completely; quite; to reach the limit; to satisfy; satisfied; contented; 
漂,[piāo] to float; to drift; [piǎo] to bleach; [piào] elegant; polished; 
糖,[táng] sugar; sweets; candy; CL:顆|颗[ke1],塊|块[kuai4]; 
漫,[màn] free; unrestrained; to inundate; 
点,[diǎn] point; dot; drop; speck; o'clock; point (in space or time); to draw a dot; to check on a list; to choose; to order (food in a restaurant); to touch briefly; to hint; to light; to ignite; to pour a liquid drop by drop; (old) one fifth of a two-hour watch 更[geng1]; dot stroke in Chinese characters; classifier for items; 
然,[rán] correct; right; so; thus; like this; -ly; 
粽,[zòng] rice dumplings wrapped in leaves; 
照,[zhào] according to; in accordance with; to shine; to illuminate; to reflect; to look at (one's reflection); to take (a photo); photo; as requested; as before; 
爱,[ài] to love; affection; to be fond of; to like; 
爸,[bà] father; dad; pa; papa; 
等,[děng] class; rank; grade; equal to; same as; to wait for; to await; et cetera; and so on; et al. (and other authors); after; as soon as; once; 
特,[tè] special; unique; distinguished; especially; unusual; very; 
端,[duān] end; extremity; item; port; to hold sth level with both hands; to carry; regular; 
珠,[zhū] bead; pearl; CL:粒[li4],顆|颗[ke1]; 
用,[yòng] to use; to employ; to have to; to eat or drink; expense or outlay; usefulness; hence; therefore; 
白,[Bái] surname Bai; [bái] white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera; 
睛,[jīng] eye; eyeball; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
直,[Zhí] surname Zhi; Zhi (c. 2000 BC), fifth of the legendary Flame Emperors 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God; [zhí] straight; to straighten; fair and reasonable; frank; straightforward; (indicates continuing motion or action); vertical; vertical downward stroke in Chinese characters; 
着,[zhāo] (chess) move; trick; all right!; (dialect) to add; [zháo] to touch; to come in contact with; to feel; to be affected by; to catch fire; to fall asleep; to burn; [zhe] aspect particle indicating action in progress; [zhuó] to wear (clothes); to contact; to use; to apply; 
看,[kān] to look after; to take care of; to watch; to guard; [kàn] to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (an illness); to depend on; to feel (that); (after verb) to give it a try; Watch out! (for a danger); 
眼,[yǎn] eye; small hole; crux (of a matter); CL:隻|只[zhi1],雙|双[shuang1]; classifier for big hollow things (wells, stoves, pots etc); 
黄,[Huáng] surname Huang or Hwang; [huáng] yellow; pornographic; to fall through; 
看见,[kàn jiàn] to see; to catch sight of; 
直到,[zhí dào] until; 
白糖,[bái táng] (refined) white sugar; 
特别,[tè bié] especially; special; particular; unusual; 
饭桌,[fàn zhuō] dining table; 
爸爸,[bà ba] (informal) father; CL:個|个[ge4],位[wei4]; 
然后,[rán hòu] after; then (afterwards); after that; afterwards; 
粽子,[zòng zi] glutinous rice and choice of filling wrapped in leaves and boiled; 
漂亮,[piào liang] pretty; beautiful; 
清楚,[qīng chu] clear; distinct; to understand thoroughly; to be clear about; 
红线,[hóng xiàn] red line; 
露珠,[lù zhū] dewdrop; 
气氛,[qì fēn] atmosphere; mood; 
欢乐,[huān lè] gaiety; gladness; glee; merriment; pleasure; happy; joyous; gay; 
桌子,[zhuō zi] table; desk; CL:張|张[zhang1],套[tao4]; 
耳朵,[ěr duo] ear; CL:隻|只[zhi1],個|个[ge4],對|对[dui4]; handle (on a cup); 
来到,[lái dào] to come; to arrive; 
晶莹,[jīng yíng] sparkling and translucent; 
一家,[yī jiā] the whole family; the same family; the family ... (when preceded by a family name); group; 
教室,[jiào shì] classroom; CL:間|间[jian1]; 
露水,[lù shuǐ] dew; fig. short-lasting; ephemeral; 
按照,[àn zhào] according to; in accordance with; in the light of; on the basis of; 
自己,[zì jǐ] oneself; one's own; 
打扮,[dǎ ban] to decorate; to dress; to make up; to adorn; manner of dressing; style of dress; 
手腕,[shǒu wàn] wrist; trickery; finesse; ability; skill; 
节日,[jié rì] holiday; festival; CL:個|个[ge4]; 
我们,[wǒ men] we; us; ourselves; our; 
快乐,[kuài lè] happy; merry; 
弥漫,[mí màn] to pervade; to fill the air; diffuse; everywhere present; about to inundate (water); permeated by (smoke); filled with (dust); to saturate (the air with fog, smoke etc); [mí màn] variant of 彌漫|弥漫[mi2 man4]; 
屋子,[wū zi] house; room; CL:間|间[jian1]; 
觉得,[jué de] to think; to feel; 
家里,[jiā lǐ] home; 
眼睛,[yǎn jing] eye; CL:隻|只[zhi1],雙|双[shuang1]; 
学习,[xué xí] to learn; to study; 
妈妈,[mā ma] mama; mommy; mother; CL:個|个[ge4],位[wei4]; 
读书,[dú shū] to read a book; to study; to attend school; 
好多,[hǎo duō] many; quite a lot; much better; 
起床,[qǐ chuáng] to get out of bed; to get up; 
起来,[qǐ lai] to stand up; to get up; [qi lai] (after a verb) indicating the beginning and continuation of an action or a state; indicating an upward movement (e.g. after 站[zhan4]); bringing things together (e.g. after 收拾[shou1 shi5]); (after a perception verb, e.g. 看[kan4]) expressing preliminary judgement; 
好像,[hǎo xiàng] as if; to seem like; 
回家,[huí jiā] to return home; 
唇膏,[chún gāo] lipstick; 
吃完,[chī wán] to finish eating; 
双手,[shuāng shǒu] both hands; 
充满,[chōng mǎn] full of; brimming with; very full; permeated; 
今天,[jīn tiān] today; at the present; now; 
进门,[jìn mén] to enter a door; to go in; to learn the basics of a subject; to join one's husband's household upon marriage; 
什么,[shén me] what?; who?; something; anything; 
享受,[xiǎng shòu] to enjoy; to live it up; pleasure; CL:種|种[zhong3]; 
习俗,[xí sú] custom; tradition; local tradition; convention; 
专门,[zhuān mén] specialist; specialized; customized; 
门口,[mén kǒu] doorway; gate; CL:個|个[ge4]; 
上山,[shàng shān] to go uphill; to spin cocoon (silkworms); to pass away; 
三角,[sān jiǎo] triangle; 
闻到,[wén dào] to smell; to sniff sth out; to perceive by smelling; 
一路,[yī lù] the whole journey; all the way; going the same way; going in the same direction; of the same kind; 
雄黄,[xióng huáng] realgar; red orpiment; 
一样,[yī yàng] same; like; equal to; the same as; just like; 
,
放学后,[fàng xué hòu] after school; 
一时间,[yī shí jiān] for a moment; momentarily; 
端午节,[Duān wǔ jié] Dragon Boat Festival (5th day of the 5th lunar month); 
一家人,[yī jiā rén] household; the whole family; 
香喷喷,[xiāng pēn pēn] delicious; savory; 
津津有味,[jīn jīn yǒu wèi] with keen interest pleasure (idiom); with gusto; to relish; eagerly; with great interest; 
