很,[hěn] (adverb of degree); quite; very; awfully; 
方,[Fāng] surname Fang; [fāng] square; power or involution (mathematics); upright; honest; fair and square; direction; side; party (to a contract, dispute etc); place; method; prescription (medicine); just when; only or just; classifier for square things; abbr. for square or cubic meter; 
时,[shí] old variant of 時|时[shi2]; [Shí] surname Shi; [shí] o'clock; time; when; hour; season; period; 
明,[Míng] Ming Dynasty (1368-1644); surname Ming; Ming (c. 2000 BC), fourth of the legendary Flame Emperors, 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God; [míng] bright; opposite: dark 暗[an4]; (of meaning) clear; to understand; next; public or open; wise; generic term for a sacrifice to the gods; 
是,[shì] is; are; am; yes; to be; 
最,[zuì] most; the most; -est (superlative suffix); 
有,[yǒu] to have; there is; there are; to exist; to be; 
朋,[péng] friend; 
杀,[shā] to kill; to murder; to fight; to weaken or reduce; to smart (dialect); to counteract; (used after a verb) extremely; 
来,[lái] to come; to arrive; to come round; ever since; next; 
某,[mǒu] some; a certain; sb or sth indefinite; such-and-such; 
树,[shù] tree; CL:棵[ke1]; to cultivate; to set up; 
棵,[kē] classifier for trees, cabbages, plants etc; 
榕,[róng] banyan tree; Ficus wightiana; 
没,[méi] (negative prefix for verbs); have not; not; [mò] drowned; to end; to die; to inundate; 
活,[huó] to live; alive; living; work; workmanship; 
海,[Hǎi] surname Hai; [hǎi] ocean; sea; CL:個|个[ge4],片[pian4]; great number of people or things; (dialect) numerous; 
滚,[gǔn] to boil; to roll; to take a hike; Get lost!; 
火,[Huǒ] surname Huo; [huǒ] fire; urgent; ammunition; fiery or flaming; internal heat (Chinese medicine); hot (popular); classifier for military units (old); 
然,[rán] correct; right; so; thus; like this; -ly; 
球,[qiú] ball; sphere; globe; CL:個|个[ge4]; ball game; match; CL:場|场[chang3]; 
生,[shēng] to be born; to give birth; life; to grow; raw; uncooked; student; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
着,[zhāo] (chess) move; trick; all right!; (dialect) to add; [zháo] to touch; to come in contact with; to feel; to be affected by; to catch fire; to fall asleep; to burn; [zhe] aspect particle indicating action in progress; [zhuó] to wear (clothes); to contact; to use; to apply; 
穷,[qióng] exhausted; poor; 
第,[dì] (prefix indicating ordinal number, e.g. first, number two etc); 
经,[Jīng] surname Jing; [jīng] classics; sacred book; scripture; to pass through; to undergo; to bear; to endure; warp (textile); longitude; menstruation; channel (TCM); abbr. for economics 經濟|经济[jing1 ji4]; 
而,[ér] and; as well as; and so; but (not); yet (not); (indicates causal relation); (indicates change of state); (indicates contrast); 
聪,[cōng] quick at hearing; wise; clever; sharp-witted; intelligent; acute; 
能,[Néng] surname Neng; [néng] to be able to; to be capable of; ability; capability; able; capable; can possibly; (usually used in the negative) to have the possibility of; 
脑,[nǎo] brain; mind; head; essence; 
脚,[jiǎo] foot; leg (of an animal or an object); base (of an object); CL:雙|双[shuang1],隻|只[zhi1]; classifier for kicks; [jué] variant of 角[jue2]; role; 
良,[liáng] good; very; very much; 
萤,[yíng] firefly; glow-worm; 
靠,[kào] to lean against or on; to stand by the side of; to come near to; to depend on; to trust; to fuck (vulgar); traditional military costume drama where the performers wear armor (old); 
虫,[chóng] lower form of animal life, including insects, insect larvae, worms and similar creatures; CL:條|条[tiao2],隻|只[zhi1]; person with a particular undesirable characteristic; 
袋,[dài] a pouch; bag; sack; pocket; 
要,[yāo] to demand; to request; to coerce; [yào] important; vital; to want; to ask for; will; going to (as future auxiliary); may; must; (used in a comparison) must be; probably; if; 
许,[Xǔ] surname Xu; [xǔ] to allow; to permit; to promise; to praise; somewhat; perhaps; 
说,[shuì] to persuade; [shuō] to speak; to say; to explain; to scold; to tell off; a theory (usually in compounds such as 日心说 heliocentric theory); 
贫,[pín] poor; inadequate; deficient; garrulous; 
走,[zǒu] to walk; to go; to run; to move (of vehicle); to visit; to leave; to go away; to die (euph.); from; through; away (in compound verbs, such as 撤走[che4 zou3]); to change (shape, form, meaning); 
路,[Lù] surname Lu; [lù] road; CL:條|条[tiao2]; journey; route; line (bus etc); sort; kind; 
身,[shēn] body; life; oneself; personally; one's morality and conduct; the main part of a structure or body; pregnant; classifier for sets of clothes: suit, twinset; Kangxi radical 158; 
边,[biān] side; edge; margin; border; boundary; CL:個|个[ge4]; simultaneously; [bian] suffix of a noun of locality; 
过,[Guò] surname Guo; [guò] (experienced action marker); to cross; to go over; to pass (time); to celebrate (a holiday); to live; to get along; excessively; too-; 
那,[Nā] surname Na; [Nuó] surname Nuo; [nǎ] variant of 哪[na3]; [nà] that; those; then (in that case); commonly pr. [nei4] before a classifier, esp. in Beijing; [nuó] (archaic) many; beautiful; how; old variant of 挪[nuo2]; 
里,[lǐ] variant of 裡|里[li3]; [lǐ] lining; interior; inside; internal; also written 裏|里[li3]; [Lǐ] Li (surname); [lǐ] li (Chinese mile); 500 meters (modern); home; hometown; village; neighborhood; administrative unit; 
金,[Jīn] surname Jin; surname Kim (Korean); Jurchen Jin dynasty (1115-1234); [jīn] gold; chemical element Au; generic term for lustrous and ductile metals; money; golden; highly respected; one of the eight ancient musical instruments 八音[ba1 yin1]; 
长,[cháng] length; long; forever; always; constantly; [zhǎng] chief; head; elder; to grow; to develop; to increase; to enhance; 
滚动,[gǔn dòng] to roll; lap (of a race); to roll over (e.g. investment); rolling; consecutive; rumble (of thunder); 
以前,[yǐ qián] before; formerly; previous; ago; 
七十,[qī shí] seventy; 70; 
然而,[rán ér] however; yet; but; 
或许,[huò xǔ] perhaps; maybe; 
善良,[shàn liáng] good and honest; kind-hearted; 
生下,[shēng xià] to give birth to; 
生活,[shēng huó] life; activity; to live; livelihood; 
农家,[Nóng jiā] School of Agriculture, school of thought of the Warring States Period (475-221 BC); [nóng jiā] peasant family; 
改变,[gǎi biàn] to change; to alter; to transform; 
孩子,[hái zi] child; 
七喜,[Qī xǐ] 7 Up (soft drink); Hedy Holding Co., PRC computer manufacturer; 
时候,[shí hou] time; length of time; moment; period; 
经过,[jīng guò] to pass; to go through; process; course; CL:個|个[ge4]; 
取名,[qǔ míng] to name; to be named; to christen; to seek fame; 
一边,[yī biān] one side; either side; on the one hand; on the other hand; doing while; 
聪明,[cōng ming] acute (of sight and hearing); clever; intelligent; bright; smart; 
地方,[dì fāng] region; regional (away from the central administration); local; [dì fang] area; place; space; room; territory; CL:處|处[chu4],個|个[ge4],塊|块[kuai4]; 
最好,[zuì hǎo] best; (you) had better (do what we suggest); 
脑袋,[nǎo dài] head; skull; brains; mental capability; CL:顆|颗[ke1],個|个[ge4]; 
地球,[dì qiú] the earth; CL:個|个[ge4]; 
他们,[tā men] they; 
朋友,[péng you] friend; CL:個|个[ge4],位[wei4]; 
尽头,[jìn tóu] end; extremity; limit; 
杀手,[shā shǒu] killer; murderer; hit man; (sports) formidable player; 
只能,[zhǐ néng] can only; obliged to do sth; to have no other choice; 
大大,[dà dà] greatly; enormously; uncle; 
医生,[yī shēng] doctor; CL:個|个[ge4],位[wei4],名[ming2]; 
树干,[shù gàn] tree trunk; 
夫妇,[fū fù] a (married) couple; husband and wife; CL:對|对[dui4]; 
贫穷,[pín qióng] poor; impoverished; 
当然,[dāng rán] only natural; as it should be; certainly; of course; without doubt; 
走路,[zǒu lù] to walk; to go on foot; 
榕树,[róng shù] banyan; 
黄金,[huáng jīn] gold; golden (opportunity); prime (time); 
身体,[shēn tǐ] (human) body; health; CL:具[ju4],個|个[ge4]; 
没有,[méi yǒu] haven't; hasn't; doesn't exist; to not have; to not be; 
可是,[kě shì] but; however; (used for emphasis) indeed; 
奇怪,[qí guài] strange; odd; to marvel; to be baffled; 
那里,[nà li] there; that place; also written 那裡|那里; [nà li] there; that place; 
海上,[hǎi shàng] maritime; 
海岸,[hǎi àn] coastal; seacoast; 
一对,[yī duì] couple; pair; 
长得,[zhǎng de] to look (pretty, the same etc); 
快乐,[kuài lè] happy; merry; 
萤火虫,[yíng huǒ chóng] firefly; glowworm; lightning bug; 
尤其是,[yóu qí shì] especially; most of all; above all; in particular; 
