怎,[zěn] how; 
念,[niàn] to read; to study (a degree course); to read aloud; to miss (sb); idea; remembrance; twenty (banker's anti-fraud numeral corresponding to 廿, 20); 
让,[ràng] to yield; to permit; to let sb do sth; to have sb do sth; to make sb (feel sad etc); 
角,[Jué] surname Jue; [jiǎo] angle; corner; horn; horn-shaped; unit of money equal to 0.1 yuan; CL:個|个[ge4]; [jué] role (theater); to compete; ancient three legged wine vessel; third note of pentatonic scale; 
衣,[yī] clothes; CL:件[jian4]; [yì] to dress; to wear; to put on (clothes); 
思,[sī] to think; to consider; 
意,[Yì] Italy; Italian; abbr. for 意大利[Yi4 da4 li4]; [yì] idea; meaning; thought; to think; wish; desire; intention; to expect; to anticipate; 
我,[wǒ] I; me; my; 
扯,[chě] to pull; to tear; (of cloth, thread etc) to buy; to chat; to gossip; 
把,[bǎ] to hold; to contain; to grasp; to take hold of; handle; particle marking the following noun as a direct object; classifier for objects with handle; classifier for small objects: handful; [bà] handle; 
新,[Xīn] abbr. for Xinjiang 新疆[Xin1 jiang1] or Singapore 新加坡[Xin1 jia1 po1]; surname Xin; [xīn] new; newly; meso- (chemistry); 
时,[shí] old variant of 時|时[shi2]; [Shí] surname Shi; [shí] o'clock; time; when; hour; season; period; 
是,[shì] is; are; am; yes; to be; 
有,[yǒu] to have; there is; there are; to exist; to be; 
朵,[duǒ] flower; earlobe; fig. item on both sides; classifier for flowers, clouds etc; 
来,[lái] to come; to arrive; to come round; ever since; next; 
样,[yàng] manner; pattern; way; appearance; shape; CL:個|个[ge4]; 
汪,[Wāng] surname Wang; [wāng] expanse of water; ooze; (onom.) bark; classifier for liquids: pool, puddle; 
舔,[tiǎn] to lick; to lap; 
没,[méi] (negative prefix for verbs); have not; not; [mò] drowned; to end; to die; to inundate; 
自,[zì] from; self; oneself; since; 
浩,[hào] grand; vast (water); 
脸,[liǎn] face; CL:張|张[zhang1],個|个[ge4]; 
点,[diǎn] point; dot; drop; speck; o'clock; point (in space or time); to draw a dot; to check on a list; to choose; to order (food in a restaurant); to touch briefly; to hint; to light; to ignite; to pour a liquid drop by drop; (old) one fifth of a two-hour watch 更[geng1]; dot stroke in Chinese characters; classifier for items; 
脱,[tuō] to shed; to take off; to escape; to get away from; 
然,[rán] correct; right; so; thus; like this; -ly; 
狗,[gǒu] dog; CL:隻|只[zhi1],條|条[tiao2]; 
现,[xiàn] to appear; present; now; existing; current; 
脚,[jiǎo] foot; leg (of an animal or an object); base (of an object); CL:雙|双[shuang1],隻|只[zhi1]; classifier for kicks; [jué] variant of 角[jue2]; role; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
看,[kān] to look after; to take care of; to watch; to guard; [kàn] to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (an illness); to depend on; to feel (that); (after verb) to give it a try; Watch out! (for a danger); 
耳,[ěr] ear; handle (archaeology); and that is all (classical Chinese); 
真,[zhēn] really; truly; indeed; real; true; genuine; 
着,[zhāo] (chess) move; trick; all right!; (dialect) to add; [zháo] to touch; to come in contact with; to feel; to be affected by; to catch fire; to fall asleep; to burn; [zhe] aspect particle indicating action in progress; [zhuó] to wear (clothes); to contact; to use; to apply; 
给,[gěi] to; for; for the benefit of; to give; to allow; to do sth (for sb); (passive particle); [jǐ] to supply; to provide; 
瞧,[qiáo] to look at; to see; to see (a doctor); to visit; 
知,[zhī] to know; to be aware; 
穿,[chuān] to bore through; to pierce; to perforate; to penetrate; to pass through; to dress; to wear; to put on; to thread; 
突,[tū] to dash; to move forward quickly; to bulge; to protrude; to break through; to rush out; sudden; Taiwan pr. [tu2]; 
红,[Hóng] surname Hong; [hóng] red; popular; revolutionary; bonus; 
走去,[zǒu qù] to walk over (to); 
突然,[tū rán] sudden; abrupt; unexpected; 
看看,[kàn kan] to take a look at; to examine; to survey; (coll.) pretty soon; 
耳朵,[ěr duo] ear; CL:隻|只[zhi1],個|个[ge4],對|对[dui4]; handle (on a cup); 
现在,[xiàn zài] now; at present; at the moment; modern; current; nowadays; 
点头,[diǎn tóu] to nod; 
浩浩,[hào hào] vast; expansive (universe); torrential (floods); 
没有,[méi yǒu] haven't; hasn't; doesn't exist; to not have; to not be; 
自己,[zì jǐ] oneself; one's own; 
汪汪,[wāng wāng] gleaming with tears; woof woof (sound of a dog barking); (literary) (of a body of water) broad and deep; 
怎么,[zěn me] how?; what?; why?; [zěn me] variant of 怎麼|怎么[zen3 me5]; 
一句,[yī jù] a line of verse; a sentence; 
念叨,[niàn dao] to talk about often; to discuss; to reminisce about; 
小狗,[xiǎo gǒu] pup; puppy; 
家里,[jiā lǐ] home; 
妈妈,[mā ma] mama; mommy; mother; CL:個|个[ge4],位[wei4]; 
着衣,[zhuó yī] to get dressed; 
天真,[tiān zhēn] naive; innocent; artless; 
起头,[qǐ tóu] to start; at first; beginning; 
起来,[qǐ lai] to stand up; to get up; [qi lai] (after a verb) indicating the beginning and continuation of an action or a state; indicating an upward movement (e.g. after 站[zhan4]); bringing things together (e.g. after 收拾[shou1 shi5]); (after a perception verb, e.g. 看[kan4]) expressing preliminary judgement; 
嘴里,[zuǐ lǐ] mouth; in the mouth; on one's lips; speech; words; 
低下,[dī xià] low status; lowly; to lower (one's head); 
过来,[guò lái] to come over; to manage; to handle; to be able to take care of; [guò lai] see 過來|过来[guo4 lai2]; 
一样,[yī yàng] same; like; equal to; the same as; just like; 
什么,[shén me] what?; who?; something; anything; 
逃跑,[táo pǎo] to flee from sth; to run away; to escape; 
于是,[yú shì] thereupon; as a result; consequently; thus; hence; 
不知,[bù zhī] not to know; unaware; unknowingly; fig. not to admit (defeat, hardships, tiredness etc); 
鞋子,[xié zi] shoe; 
下来,[xià lai] to come down; (after verb of motion, indicates motion down and towards us, also fig.); (indicates continuation from the past towards us); to be harvested (of crops); to be over (of a period of time); to go among the masses (said of leaders); 
顺口,[shùn kǒu] to read smoothly (of text); to blurt out (without thinking); to suit one's taste (of food); 
不好意思,[bù hǎo yì si] to feel embarrassed; to find it embarrassing; to be sorry (for inconveniencing sb); 
什么时候,[shén me shí hou] when?; at what time?; [shén me shí hou] when?; at what time?; 
