完,[wán] to finish; to be over; whole; complete; entire; 
几,[jī] small table; [jī] almost; [jǐ] how much; how many; several; a few; 
到,[dào] to (a place); until (a time); up to; to go; to arrive; (verb complement denoting completion or result of an action); 
加,[Jiā] abbr. for Canada 加拿大[Jia1 na2 da4]; [jiā] to add; plus; (used after an adverb such as 不, 大, 稍 etc, and before a disyllabic verb, to indicate that the action of the verb is applied to sth or sb previously mentioned); to apply (restrictions etc) to (sb); to give (support, consideration etc) to (sth); 
只,[zhǐ] only; merely; just; but; 
可,[kě] can; may; able to; to approve; to permit; to suit; (particle used for emphasis) certainly; very; [kè] see 可汗[ke4 han2]; 
说,[shuì] to persuade; [shuō] to speak; to say; to explain; to scold; to tell off; a theory (usually in compounds such as 日心说 heliocentric theory); 
吃,[chī] to eat; to consume; to eat at (a cafeteria etc); to eradicate; to destroy; to absorb; to suffer; to stammer (Taiwan pr. for this sense is [ji2]); 
话,[huà] dialect; language; spoken words; speech; talk; words; conversation; what sb said; CL:種|种[zhong3],席[xi2],句[ju4],口[kou3],番[fan1]; [huà] old variant of 話|话[hua4]; 
吗,[mǎ] see 嗎啡|吗啡, morphine; [ma] (question particle for "yes-no" questions); 
告,[gào] to tell; to inform; to say; 
诉,[sù] to complain; to sue; to tell; 
员,[yuán] person; employee; member; 
呢,[ne] particle indicating that a previously asked question is to be applied to the preceding word ("What about ...?", "And ...?"); particle for inquiring about location ("Where is ...?"); particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board ("ok?", "are you with me?"); (at the end of a declarative sentence) particle indicating continuation of a state or action; particle indicating strong affirmation; [ní] woolen material; 
和,[Hé] surname He; Japanese (food, clothes etc); [hé] and; together with; with; sum; union; peace; harmony; Taiwan pr. [han4] when it means "and"; [hè] to compose a poem in reply (to sb's poem) using the same rhyme sequence; to join in the singing; to chime in with others; [hú] to complete a set in mahjong or playing cards; [huó] soft; warm; [huò] to mix together; to blend; 
嗯,[ēn] (a groaning sound); [èn] (nonverbal grunt as interjection); OK, yeah; what?; [en] interjection indicating approval, appreciation or agreement; 
因,[yīn] cause; reason; because; 
要,[yāo] to demand; to request; to coerce; [yào] important; vital; to want; to ask for; will; going to (as future auxiliary); may; must; (used in a comparison) must be; probably; if; 
园,[Yuán] surname Yuan; [yuán] land used for growing plants; site used for public recreation; 
在,[zài] (located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress); 
堡,[bǎo] an earthwork; castle; position of defense; stronghold; used in place names, often as phonetic bao for "burg" or "bad"; [pù] variant of 鋪|铺[pu4]; used in place names; 
多,[duō] many; much; often; a lot of; numerous; more; in excess; how (to what extent); multi-; Taiwan pr. [duo2] when it means "how"; 
蟑,[zhāng] cockroach; 
大,[dà] big; huge; large; major; great; wide; deep; older (than); oldest; eldest; greatly; very much; (dialect) father; father's elder or younger brother; [dài] see 大夫[dai4 fu5]; 
天,[tiān] day; sky; heaven; 
螂,[láng] dragonfly; mantis; 
女,[nǔ:] female; woman; daughter; [rǔ] archaic variant of 汝[ru3]; 
蛋,[dàn] egg; oval-shaped; CL:個|个[ge4],打[da2]; 
能,[Néng] surname Neng; [néng] to be able to; to be capable of; ability; capability; able; capable; can possibly; (usually used in the negative) to have the possibility of; 
奶,[nǎi] breast; milk; to breastfeed; 
老,[lǎo] prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity; old (of people); venerable (person); experienced; of long standing; always; all the time; of the past; very; outdated; (of meat etc) tough; 
姑,[gū] paternal aunt; husband's sister; husband's mother (old); nun; for the time being (literary); 
练,[liàn] to practice; to train; to drill; to perfect (one's skill); exercise; 
娘,[niáng] mother; young lady; 
子,[zǐ] son; child; seed; egg; small thing; 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat; Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; [zi] (noun suffix); 
,
孩,[hái] child; 
不,[bù] (negative prefix); not; no; 
小,[xiǎo] small; tiny; few; young; 
少,[shǎo] few; less; to lack; to be missing; to stop (doing sth); seldom; [shào] young; 
就,[jiù] at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning; 
当,[dāng] (onom.) dong; ding dong (bell); [dāng] to be; to act as; manage; withstand; when; during; ought; should; match equally; equal; same; obstruct; just at (a time or place); on the spot; right; just at; [dàng] at or in the very same...; suitable; adequate; fitting; proper; to replace; to regard as; to think; to pawn; (coll.) to fail (a student); 
想,[xiǎng] to think; to believe; to suppose; to wish; to want; to miss (feel wistful about the absence of sb or sth); 
我,[wǒ] I; me; my; 
所,[suǒ] actually; place; classifier for houses, small buildings, institutions etc; that which; particle introducing a relative clause or passive; CL:個|个[ge4]; 
算,[suàn] to regard as; to figure; to calculate; to compute; 
指,[zhǐ] finger; to point at or to; to indicate or refer to; to depend on; to count on; (of hair) to stand on end; 
教,[Jiào] surname Jiao; [jiāo] to teach; [jiào] religion; teaching; to make; to cause; to tell; 
时,[shí] old variant of 時|时[shi2]; [Shí] surname Shi; [shí] o'clock; time; when; hour; season; period; 
笨,[bèn] stupid; foolish; silly; slow-witted; clumsy; 
是,[shì] is; are; am; yes; to be; 
晨,[chén] morning; dawn; daybreak; 
知,[zhī] to know; to be aware; 
有,[yǒu] to have; there is; there are; to exist; to be; 
术,[shù] method; technique; [zhú] various genera of flowers of Asteracea family (daisies and chrysanthemums), including Atractylis lancea; 
来,[lái] to come; to arrive; to come round; ever since; next; 
汉,[Hàn] Han ethnic group; Chinese (language); the Han dynasty (206 BC-220 AD); [hàn] man; 
着,[zhāo] (chess) move; trick; all right!; (dialect) to add; [zháo] to touch; to come in contact with; to feel; to be affected by; to catch fire; to fall asleep; to burn; [zhe] aspect particle indicating action in progress; [zhuó] to wear (clothes); to contact; to use; to apply; 
父,[fù] father; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
爸,[bà] father; dad; pa; papa; 
男,[nán] male; Baron, lowest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; CL:個|个[ge4]; 
玩,[wán] toy; sth used for amusement; curio or antique (Taiwan pr. [wan4]); to play; to have fun; to trifle with; to keep sth for entertainment; 
现,[xiàn] to appear; present; now; existing; current; 
问,[wèn] to ask; 
现在,[xiàn zài] now; at present; at the moment; modern; current; nowadays; 
男孩,[nán hái] boy; CL:個|个[ge4]; 
父亲,[fù qīn] father; also pr. [fu4 qin5]; CL:個|个[ge4]; 
汉堡,[Hàn bǎo] Hamburg (German city); [hàn bǎo] hamburger (loanword); 
晨练,[chén liàn] morning exercise; 
知道,[zhī dào] to know; to become aware of; also pr. [zhi1 dao5]; 
长大,[zhǎng dà] to grow up; 
时候,[shí hou] time; length of time; moment; period; 
笨蛋,[bèn dàn] fool; idiot; 
所以,[suǒ yǐ] therefore; as a result; so; the reason why; 
算术,[suàn shù] arithmetic; sums (mathematics as primary school subject); 
姑娘,[gū niang] girl; young woman; young lady; daughter; paternal aunt (old); CL:個|个[ge4]; 
奶奶,[nǎi nai] (informal) grandma (paternal grandmother); (respectful) mistress of the house; CL:位[wei4]; (coll.) boobies; breasts; 
老人,[lǎo rén] old man or woman; the elderly; one's aged parents or grandparents; 
女孩,[nǔ: hái] girl; lass; 
女儿,[nǔ: ér] daughter; 
天天,[tiān tiān] every day; 
多少,[duō shǎo] number; amount; somewhat; [duō shao] how much; how many; which (number); as much as; 
爸爸,[bà ba] (informal) father; CL:個|个[ge4],位[wei4]; 
因为,[yīn wèi] because; owing to; on account of; 
告诉,[gào su] to tell; to inform; to let know; 
吃完,[chī wán] to finish eating; 
可以,[kě yǐ] can; may; possible; able to; 
说话,[shuō huà] to speak; to say; to talk; to gossip; to tell stories; talk; word; 
公园,[gōng yuán] park (for public recreation); CL:個|个[ge4],座[zuo4]; 
儿子,[ér zi] son; 
起来,[qǐ lai] to stand up; to get up; [qi lai] (after a verb) indicating the beginning and continuation of an action or a state; indicating an upward movement (e.g. after 站[zhan4]); bringing things together (e.g. after 收拾[shou1 shi5]); (after a perception verb, e.g. 看[kan4]) expressing preliminary judgement; 
他们,[tā men] they; 
什么,[shén me] what?; who?; something; anything; 
退休,[tuì xiū] to retire; retirement (from work); 
人员,[rén yuán] staff; crew; personnel; CL:個|个[ge4]; 
不要,[bù yào] don't!; must not; 
那么,[nà me] like that; in that way; or so; so; so very much; about; in that case; 
个人,[gè rén] individual; personal; oneself; 
蟑螂,[zhāng láng] cockroach; 
为什么,[wèi shén me] why?; for what reason?; 
知道了,[zhī dào le] OK!; Got it!; 
