悦,[yuè] pleased; 
包,[Bāo] surname Bao; [bāo] to cover; to wrap; to hold; to include; to take charge of; to contract (to or for); package; wrapper; container; bag; to hold or embrace; bundle; packet; CL:個|个[ge4],隻|只[zhi1]; 
半,[bàn] half; semi-; incomplete; (after a number) and a half; 
过,[Guò] surname Guo; [guò] (experienced action marker); to cross; to go over; to pass (time); to celebrate (a holiday); to live; to get along; excessively; too-; 
原,[yuán] former; original; primary; raw; level; cause; source; 
身,[shēn] body; life; oneself; personally; one's morality and conduct; the main part of a structure or body; pregnant; classifier for sets of clothes: suit, twinset; Kangxi radical 158; 
友,[yǒu] friend; 
双,[Shuāng] surname Shuang; [shuāng] two; double; pair; both; 
发,[fā] to send out; to show (one's feeling); to issue; to develop; classifier for gunshots (rounds); [fà] hair; Taiwan pr. [fa3]; 
趣,[qù] interesting; to interest; 
只,[zhǐ] only; merely; just; but; 
可,[kě] can; may; able to; to approve; to permit; to suit; (particle used for emphasis) certainly; very; [kè] see 可汗[ke4 han2]; 
起,[qǐ] to rise; to raise; to get up; to set out; to start; to appear; to launch; to initiate (action); to draft; to establish; to get (from a depot or counter); verb suffix, to start; (before place or time) starting from; classifier for occurrences or unpredictable events: case, instance; classifier for groups: batch, group; 
向,[Xiàng] surname Xiang; [xiàng] towards; to face; to turn towards; direction; to support; to side with; shortly before; formerly; always; all along; 
说,[shuì] to persuade; [shuō] to speak; to say; to explain; to scold; to tell off; a theory (usually in compounds such as 日心说 heliocentric theory); 
听,[yǐn] smile (archaic); [tīng] to listen; to hear; to obey; a can (loanword from English "tin"); classifier for canned beverages; [tìng] (literary pronunciation, still advocated in Taiwan) to rule; to sentence; to allow; 
啊,[ā] interjection of surprise; Ah!; Oh!; [á] interjection expressing doubt or requiring answer; Eh?; what?; to show realization; to stress; [ǎ] interjection of surprise or doubt; Eh?; My!; what's up?; [à] interjection or grunt of agreement; uhm; Ah, OK; expression of recognition; Oh, it's you!; [a] modal particle ending sentence, showing affirmation, approval, or consent; 
喜,[xǐ] to be fond of; to like; to enjoy; to be happy; to feel pleased; happiness; delight; glad; 
让,[ràng] to yield; to permit; to let sb do sth; to have sb do sth; to make sb (feel sad etc); 
回,[huí] to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book); 
西,[Xī] the West; abbr. for Spain 西班牙[Xi1 ban1 ya2]; Spanish; [xī] west; 
圆,[yuán] circle; round; circular; spherical; (of the moon) full; unit of Chinese currency (Yuan); tactful; to justify; 
在,[zài] (located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress); 
袋,[dài] a pouch; bag; sack; pocket; 
地,[de] -ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct; [dì] earth; ground; field; place; land; CL:片[pian4]; 
天,[tiān] day; sky; heaven; 
膊,[bó] shoulder; upper arm; 
头,[tóu] head; hair style; the top; end; beginning or end; a stub; remnant; chief; boss; side; aspect; first; leading; classifier for pigs or livestock; CL:個|个[ge4]; [tou] suff. for nouns; 
她,[tā] she; 
好,[hǎo] good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness); (of an unmarried couple) to be close; to be keen on each other; [hào] to be fond of; to have a tendency to; to be prone to; 
脑,[nǎo] brain; mind; head; essence; 
胳,[gē] armpit; 
如,[rú] as; as if; such as; 
胖,[pán] healthy; at ease; [pàng] fat; plump; 
妈,[mā] ma; mom; mother; 
背,[bēi] to be burdened; to carry on the back or shoulder; [bèi] the back of a body or object; to turn one's back; to hide something from; to learn by heart; to recite from memory; unlucky (slang); hard of hearing; 
妹,[mèi] younger sister; 
姐,[jiě] older sister; 
子,[zǐ] son; child; seed; egg; small thing; 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat; Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; [zi] (noun suffix); 
它,[tā] it; 
聪,[cōng] quick at hearing; wise; clever; sharp-witted; intelligent; acute; 
家,[Jiā] surname Jia; [jiā] home; family; (polite) my (sister, uncle etc); classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian; CL:個|个[ge4]; 
密,[Mì] surname Mi; name of an ancient state; [mì] secret; confidential; close; thick; dense; 
对,[duì] right; correct; couple; pair; towards; at; for; to face; opposite; to treat (sb a certain way); to match together; to adjust; to fit; to suit; to answer; to reply; classifier: couple; 
小,[xiǎo] small; tiny; few; young; 
耳,[ěr] ear; handle (archaeology); and that is all (classical Chinese); 
耐,[nài] capable of enduring; able to tolerate; patient; durable; hardy; resistant; 
就,[jiù] at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning; 
带,[dài] band; belt; girdle; ribbon; tire; area; zone; region; CL:條|条[tiao2]; to wear; to carry; to take along; to bear (i.e. to have); to lead; to bring; to look after; to raise; 
翘,[qiáo] outstanding; to raise; [qiào] to stick up; to rise on one end; to tilt; 
形,[xíng] to appear; to look; form; shape; 
得,[dé] to obtain; to get; to gain; to catch (a disease); proper; suitable; proud; contented; to allow; to permit; ready; finished; [de] structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc; [děi] to have to; must; ought to; to need to; 
急,[jí] urgent; pressing; rapid; hurried; worried; to make (sb) anxious; 
给,[gěi] to; for; for the benefit of; to give; to allow; to do sth (for sb); (passive particle); [jǐ] to supply; to provide; 
紧,[jǐn] tight; strict; close at hand; near; urgent; tense; hard up; short of money; to tighten; 
穷,[qióng] exhausted; poor; 
我,[wǒ] I; me; my; 
手,[shǒu] hand; (formal) to hold; person engaged in certain types of work; person skilled in certain types of work; personal(ly); convenient; classifier for skill; CL:雙|双[shuang1],隻|只[zhi1]; 
拍,[pāi] to pat; to clap; to slap; to swat; to take (a photo); to shoot (a film); racket (sports); beat (music); 
拿,[ná] to hold; to seize; to catch; to apprehend; to take; (used in the same way as 把[ba3]: to mark the following noun as a direct object); 
秘,[bì] see 秘魯|秘鲁[Bi4 lu3]; [mì] secret; secretary; 
挨,[āi] in order; in sequence; close to; adjacent to; [ái] to suffer; to endure; to pull through (hard times); to delay; to stall; to play for time; to dawdle; 
接,[jiē] to receive; to answer (the phone); to meet or welcome sb; to connect; to catch; to join; to extend; to take one's turn on duty; to take over for sb; 
神,[Shén] God; abbr. for 神舟[Shen2 zhou1]; [shén] deity; soul; spirit; unusual; mysterious; lively; expressive; expression; look; CL:個|个[ge4]; (slang) awesome; amazing; 
摇,[Yáo] surname Yao; [yáo] to shake; to rock; to row; 
睛,[jīng] eye; eyeball; 
无,[wú] not to have; no; none; not; to lack; un-; -less; 
着,[zhāo] (chess) move; trick; all right!; (dialect) to add; [zháo] to touch; to come in contact with; to feel; to be affected by; to catch fire; to fall asleep; to burn; [zhe] aspect particle indicating action in progress; [zhuó] to wear (clothes); to contact; to use; to apply; 
是,[shì] is; are; am; yes; to be; 
更,[gēng] to change or replace; to experience; one of the five two hour periods into which the night was formerly divided; watch (e.g. of a sentry or guard); [gèng] more; even more; further; still; still more; 
有,[yǒu] to have; there is; there are; to exist; to be; 
眼,[yǎn] eye; small hole; crux (of a matter); CL:隻|只[zhi1],雙|双[shuang1]; classifier for big hollow things (wells, stoves, pots etc); 
朋,[péng] friend; 
朵,[duǒ] flower; earlobe; fig. item on both sides; classifier for flowers, clouds etc; 
来,[lái] to come; to arrive; to come round; ever since; next; 
极,[jí] extremely; pole (geography, physics); utmost; top; 
真,[zhēn] really; truly; indeed; real; true; genuine; 
果,[guǒ] fruit; result; resolute; indeed; if really; 
样,[yàng] manner; pattern; way; appearance; shape; CL:個|个[ge4]; 
看,[kān] to look after; to take care of; to watch; to guard; [kàn] to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (an illness); to depend on; to feel (that); (after verb) to give it a try; Watch out! (for a danger); 
次,[cì] next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time; 
欢,[huān] variant of 歡|欢[huan1]; [huān] joyous; happy; pleased; [huān] hubbub; clamor; variant of 歡|欢[huan1]; [huān] a breed of horse; variant of 歡|欢[huan1]; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
烈,[liè] ardent; intense; fierce; stern; upright; to give one's life for a noble cause; exploits; achievements; 
熊,[Xióng] surname Xiong; [xióng] bear; to scold; to rebuke; brilliant light; to shine brightly; 
爱,[ài] to love; affection; to be fond of; to like; 
猜,[cāi] to guess; 
玩,[wán] toy; sth used for amusement; curio or antique (Taiwan pr. [wan4]); to play; to have fun; to trifle with; to keep sth for entertainment; 
白,[Bái] surname Bai; [bái] white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera; 
珍,[zhēn] precious thing; treasure; culinary delicacy; rare; valuable; to value highly; 
用,[yòng] to use; to employ; to have to; to eat or drink; expense or outlay; usefulness; hence; therefore; 
珠,[zhū] bead; pearl; CL:粒[li4],顆|颗[ke1]; 
班,[Bān] surname Ban; [bān] team; class; squad; work shift; ranking; CL:個|个[ge4]; classifier for groups; 
珍珠,[zhēn zhū] pearl; CL:顆|颗[ke1]; 
鼻子,[bí zi] nose; CL:個|个[ge4],隻|只[zhi1]; 
欢乐,[huān lè] gaiety; gladness; glee; merriment; pleasure; happy; joyous; gay; 
样子,[yàng zi] appearance; manner; pattern; model; 
极了,[jí le] extremely; exceedingly; 
真是,[zhēn shi] indeed; truly; (coll.) (used to express disapproval, annoyance etc about sth); 
有趣,[yǒu qù] interesting; fascinating; amusing; 
眼睛,[yǎn jing] eye; CL:隻|只[zhi1],雙|双[shuang1]; 
无穷,[wú qióng] endless; boundless; inexhaustible; 
摇头,[yáo tóu] to shake one's head; 
接过,[jiē guò] to take (sth proffered); 
神秘,[shén mì] mysterious; mystery; 
拿出,[ná chū] to take out; to put out; to provide; to put forward (a proposal); to come up with (evidence); 
悦耳,[yuè ěr] sweet-sounding; beautiful (of sound); 
一对,[yī duì] couple; pair; 
紧紧,[jǐn jǐn] closely; tightly; 
一样,[yī yàng] same; like; equal to; the same as; just like; 
带来,[dài lái] to bring; to bring about; to produce; 
小小,[xiǎo xiǎo] very small; very few; very minor; 
小姐,[xiǎo jie] young lady; miss; (slang) prostitute; CL:個|个[ge4],位[wei4]; 
耳朵,[ěr duo] ear; CL:隻|只[zhi1],個|个[ge4],對|对[dui4]; handle (on a cup); 
它们,[tā men] they (for inanimate objects); 
妈妈,[mā ma] mama; mommy; mother; CL:個|个[ge4],位[wei4]; 
背包,[bēi bāo] knapsack; rucksack; infantry pack; field pack; blanket roll; CL:個|个[ge4]; 
如果,[rú guǒ] if; in case; in the event that; 
下班,[xià bān] to finish work; to get off work; 
好玩,[hǎo wán] amusing; fun; interesting; [hào wán] to be playful; to be fond of one's fun; 
胳膊,[gē bo] arm; CL:隻|只[zhi1],條|条[tiao2],雙|双[shuang1]; 
玩具,[wán jù] plaything; toy; 
脑袋,[nǎo dài] head; skull; brains; mental capability; CL:顆|颗[ke1],個|个[ge4]; 
天天,[tiān tiān] every day; 
东西,[dōng xī] east and west; [dōng xi] thing; stuff; person; CL:個|个[ge4],件[jian4]; 
回来,[huí lai] to return; to come back; 
喜欢,[xǐ huan] to like; to be fond of; 
向前,[xiàng qián] forward; onward; 
可爱,[kě ài] adorable; cute; lovely; 
发出,[fā chū] to issue (an order, decree etc); to send out; to dispatch; to produce a sound; to let out (a laugh); 
原来,[yuán lái] original; former; originally; formerly; at first; so, actually, as it turns out; 
身体,[shēn tǐ] (human) body; health; CL:具[ju4],個|个[ge4]; 
音乐,[yīn yuè] music; CL:張|张[zhang1],曲[qu3],段[duan4]; 
动听,[dòng tīng] pleasant to listen to; 
几次,[jǐ cì] several times; 
连连,[lián lián] repeatedly; again and again; 
亲密,[qīn mì] intimate; close; 
兮兮,[xī xī] (particle used to exaggerate certain adjectives, in particular 神經兮兮|神经兮兮, 髒兮兮|脏兮兮, 可憐兮兮|可怜兮兮, and 慘兮兮|惨兮兮); 
全身,[quán shēn] whole body; em (typography); 
今天,[jīn tiān] today; at the present; now; 
陪伴,[péi bàn] to accompany; 
什么,[shén me] what?; who?; something; anything; 
雪白,[xuě bái] snow white; 
半圆形,[bàn yuán xíng] semi-circular; 
在一起,[zài yī qǐ] together; 
不得了,[bù dé liǎo] desperately serious; disastrous; extremely; exceedingly; 
胖乎乎,[pàng hū hū] chubby; 
好朋友,[hǎo péng you] good friend; (slang) a visit from Aunt Flo (menstrual period); 
兴高采烈,[xìng gāo cǎi liè] happy and excited (idiom); in high spirits; in great delight; 
急不可耐,[jí bù kě nài] unable to wait; 
