末,[mò] tip; end; final stage; latter part; inessential detail; powder; dust; opera role of old man; 
开,[kāi] to open; to start; to turn on; to boil; to write out (a prescription, check, invoice etc); to operate (vehicle); abbr. for 開爾文|开尔文 degrees Kelvin; 
慢,[màn] slow; 
成,[Chéng] surname Cheng; [chéng] to succeed; to finish; to complete; to accomplish; to become; to turn into; to be all right; OK!; one tenth; 
房,[Fáng] surname Fang; [fáng] house; room; CL:間|间[jian1]; branch of an extended family; classifier for family members (or concubines); 
捞,[lāo] to fish up; to dredge up; 
撒,[sā] to let go; to cast; to let loose; to discharge; to give expression to; [sǎ] to scatter; to sprinkle; to spill; 
放,[fàng] to release; to free; to let go; to put; to place; to let out; to set off (fireworks); 
料,[liào] material; stuff; grain; feed; to expect; to anticipate; to guess; 
时,[shí] old variant of 時|时[shi2]; [Shí] surname Shi; [shí] o'clock; time; when; hour; season; period; 
下,[xià] down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action; 
材,[cái] material; timber; ability; aptitude; a capable individual; coffin (old); 
黄,[Huáng] surname Huang or Hwang; [huáng] yellow; pornographic; to fall through; 
条,[tiáo] strip; item; article; clause (of law or treaty); classifier for long thin things (ribbon, river, road, trousers etc); 
根,[gēn] root; basis; classifier for long slender objects, e.g. cigarettes, guitar strings; CL:條|条[tiao2]; radical (chemistry); 
水,[Shuǐ] surname Shui; [shuǐ] water; river; liquid; beverage; additional charges or income; (of clothes) classifier for number of washes; 
汁,[zhī] juice; 
汤,[Tāng] surname Tang; [shāng] rushing current; [tāng] soup; hot or boiling water; decoction of medicinal herbs; water in which sth has been boiled; 
油,[yóu] oil; fat; grease; petroleum; to apply tung oil, paint or varnish; oily; greasy; glib; cunning; 
法,[Fǎ] France; French; abbr. for 法國|法国[Fa3 guo2]; Taiwan pr. [Fa4]; [fǎ] law; method; way; Buddhist teaching; Legalist; 
洗,[xǐ] to wash; to bathe; to develop (photo); 
炒,[chǎo] to sauté; to stir-fry; to speculate; to hype; to fire (sb); 
烧,[shāo] to burn; to cook; to stew; to bake; to roast; to boil (tea, water etc); fever; 
煮,[zhǔ] to cook; to boil; 
熟,[shú] cooked (of food); ripe (of fruit); mature (of seeds); familiar; skilled; done; also pr. [shou2]; 
猪,[zhū] hog; pig; swine; CL:口[kou3],頭|头[tou2]; 
瓜,[guā] melon; gourd; squash; 
生,[shēng] to be born; to give birth; life; to grow; raw; uncooked; student; 
用,[yòng] to use; to employ; to have to; to eat or drink; expense or outlay; usefulness; hence; therefore; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
碗,[wǎn] bowl; cup; CL:隻|只[zhi1],個|个[ge4]; 
稀,[xī] rare; uncommon; watery; sparse; 
粒,[lì] grain; granule; classifier for small round things (peas, bullets, peanuts, pills, grains etc); 
粗,[cū] coarse; rough; thick (for cylindrical objects); unfinished; vulgar; rude; crude; 
翻,[fān] to turn over; to flip over; to overturn; to rummage through; to translate; to decode; to double; to climb over or into; to cross; 
肉,[ròu] meat; flesh; pulp (of a fruit); (coll.) (of a fruit) squashy; (of a person) flabby; irresolute; 
花,[Huā] surname Hua; [huā] flower; blossom; CL:朵[duo3],支[zhi1],束[shu4],把[ba3],盆[pen2],簇[cu4]; fancy pattern; florid; to spend (money, time); 
菇,[gū] mushroom; 
要,[yāo] to demand; to request; to coerce; [yào] important; vital; to want; to ask for; will; going to (as future auxiliary); may; must; (used in a comparison) must be; probably; if; 
语,[yǔ] dialect; language; speech; [yù] to tell to; 
调,[diào] to transfer; to move (troops or cadres); to investigate; to enquire into; accent; view; argument; key (in music); mode (music); tune; tone; melody; [tiáo] to harmonize; to reconcile; to blend; to suit well; to season (food); to provoke; to incite; 
过,[Guò] surname Guo; [guò] (experienced action marker); to cross; to go over; to pass (time); to celebrate (a holiday); to live; to get along; excessively; too-; 
酒,[jiǔ] wine (esp. rice wine); liquor; spirits; alcoholic beverage; CL:杯[bei1],瓶[ping2],罐[guan4],桶[tong3],缸[gang1]; 
酱,[jiàng] thick paste of fermented soybean; marinated in soy paste; paste; jam; 
锅,[guō] pot; pan; boiler; CL:口[kou3],隻|只[zhi1]; 
面,[miàn] face; side; surface; aspect; top; classifier for flat surfaces such as drums, mirrors, flags etc; 
食,[shí] to eat; food; animal feed; eclipse; [sì] to feed; 
香,[xiāng] fragrant; sweet smelling; aromatic; savory or appetizing; (to eat) with relish; (of sleep) sound; perfume or spice; joss or incense stick; CL:根[gen1]; 
煮熟,[zhǔ shóu] boil; 
肉末,[ròu mò] ground meat; 
厨房,[chú fáng] kitchen; CL:間|间[jian1]; 
花生,[huā shēng] peanut; groundnut; CL:粒[li4]; 
凉水,[liáng shuǐ] cool water; unboiled water; 
做法,[zuò fǎ] way of handling sth; method for making; work method; recipe; practice; CL:個|个[ge4]; 
黄瓜,[huáng guā] cucumber; CL:條|条[tiao2]; 
即可,[jí kě] equivalent to 就可以; can then (do sth); can immediately (do sth); (do sth) and that will suffice; 
调料,[tiáo liào] condiment; seasoning; flavoring; 
慢慢,[màn màn] slowly; 
洗净,[xǐ jìng] to wash clean; 
五香,[wǔ xiāng] five spice seasoned; incorporating the five basic flavors of Chinese cooking (sweet, sour, bitter, savory, salty); 
啤酒,[pí jiǔ] beer (loanword); CL:杯[bei1],瓶[ping2],罐[guan4],桶[tong3],缸[gang1]; 
烧开,[shāo kāi] to boil; 
面条,[miàn tiáo] noodles; 
剩下,[shèng xià] to remain; left over; 
食用,[shí yòng] food product; to use as food; edible; 
翻炒,[fān chǎo] to stir-fry; 
香味,[xiāng wèi] fragrance; bouquet; sweet smell; CL:股[gu3]; 
香菇,[xiāng gū] shiitake (Lentinus edodes), an edible mushroom; 
材料,[cái liào] material; data; makings; stuff; CL:個|个[ge4],種|种[zhong3]; 
一定要,[yī dìng yào] must; 
