得,[dé] to obtain; to get; to gain; to catch (a disease); proper; suitable; proud; contented; to allow; to permit; ready; finished; [de] structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc; [děi] to have to; must; ought to; to need to; 
万,[Mò] see 万俟[Mo4 qi2]; [Wàn] surname Wan; [wàn] ten thousand; a great number; 
尼,[ní] Buddhist nun; (often used in phonetic spellings); 
居,[Jū] surname Ju; [jī] (archaic) sentence-final particle expressing a doubting attitude; [jū] to reside; to be (in a certain position); to store up; to be at a standstill; residence; house; restaurant; classifier for bedrooms; 
者,[zhě] (after a verb or adjective) one who (is) ...; (after a noun) person involved in ...; -er; -ist; (used after a number or 後|后[hou4] or 前[qian2] to refer to sth mentioned previously); (used after a term, to mark a pause before defining the term); (old) (used at the end of a command); (old) this; 
州,[zhōu] prefecture; (old) province; (old) administrative division; state (e.g. of US); oblast (Russia); canton (Switzerland); 
已,[yǐ] already; to stop; then; afterwards; 
度,[dù] to pass; to spend (time); measure; limit; extent; degree of intensity; degree (angles, temperature etc); kilowatt-hour; classifier for events and occurrences; [duó] to estimate; Taiwan pr. [duo4]; 
延,[Yán] surname Yan; [yán] to prolong; to extend; to delay; 
美,[Měi] the Americas; abbr. for 美洲[Mei3 zhou1]; USA; abbr. for 美國|美国[Mei3 guo2]; [měi] beautiful; very satisfactory; good; to be pleased with oneself; 
弗,[fú] not; 
缅,[Miǎn] Myanmar (formerly Burma) (abbr. for 緬甸|缅甸[Mian3 dian4]); [miǎn] distant; remote; detailed; 
影,[yǐng] picture; image; film; movie; photograph; reflection; shadow; trace; 
很,[hěn] (adverb of degree); quite; very; awfully; 
三,[Sān] surname San; [sān] three; 3; 
纳,[Nà] surname Na; [nà] to receive; to accept; to enjoy; to bring into; to pay (tax etc); nano- (one billionth); to reinforce sole of shoes or stockings by close sewing; 
成,[Chéng] surname Cheng; [chéng] to succeed; to finish; to complete; to accomplish; to become; to turn into; to be all right; OK!; one tenth; 
约,[yāo] to weigh in a balance or on a scale; [yuē] to make an appointment; to invite; approximately; pact; treaty; to economize; to restrict; to reduce (a fraction); concise; 
或,[huò] maybe; perhaps; might; possibly; or; 
报,[bào] to announce; to inform; report; newspaper; recompense; revenge; CL:份[fen4],張|张[zhang1]; 
拉,[lā] to pull; to play (a bowed instrument); to drag; to draw; to chat; 
括,[kuò] to enclose; to include; also pr. [gua1]; 
据,[jù] variant of 據|据[ju4]; [jū] see 拮据[jie2 ju1]; [jù] variant of 據|据[ju4]; [jù] according to; to act in accordance with; to depend on; to seize; to occupy; 
米,[Mǐ] surname Mi; [mǐ] rice; CL:粒[li4]; meter (classifier); 
推,[tuī] to push; to cut; to refuse; to reject; to decline; to shirk (responsibility); to put off; to delay; to push forward; to nominate; to elect; massage; 
篮,[lán] basket; goal; 
提,[tí] to carry (hanging down from the hand); to lift; to put forward; to mention; to raise (an issue); upwards character stroke; lifting brush stroke (in painting); scoop for measuring liquid; 
第,[dì] (prefix indicating ordinal number, e.g. first, number two etc); 
数,[shǔ] to count; to enumerate; to criticize (i.e. enumerate shortcomings); [shù] number; figure; several; CL:個|个[ge4]; [shuò] frequently; repeatedly; 
断,[duàn] to break; to snap; to cut off; to give up or abstain from sth; to judge; (usu. used in the negative) absolutely; definitely; decidedly; 
目,[mù] eye; item; section; list; catalogue; table of contents; order (taxonomy); goal; name; title; 
斯,[Sī] Slovakia; Slovak; abbr. for 斯洛伐克[Si1 luo4 fa2 ke4]; [sī] (phonetic); this; 
新,[Xīn] abbr. for Xinjiang 新疆[Xin1 jiang1] or Singapore 新加坡[Xin1 jia1 po1]; surname Xin; [xīn] new; newly; meso- (chemistry); 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
旅,[lǔ:] trip; travel; to travel; brigade (army); 
留,[liú] to leave (a message etc); to retain; to stay; to remain; to keep; to preserve; 
易,[Yì] surname Yi; abbr. for 易經|易经[Yi4 jing1], the Book of Changes; [yì] easy; amiable; to change; to exchange; 
晚,[wǎn] evening; night; late; 
暴,[Bào] surname Bao; [bào] sudden; violent; cruel; to show or expose; to injure; 
电,[diàn] electric; electricity; electrical; 
有,[yǒu] to have; there is; there are; to exist; to be; 
期,[qī] a period of time; phase; stage; (used for issue of a periodical, courses of study); time; term; period; to hope; Taiwan pr. [qi2]; 
球,[qiú] ball; sphere; globe; CL:個|个[ge4]; ball game; match; CL:場|场[chang3]; 
本,[běn] roots or stems of plants; origin; source; this; the current; root; foundation; basis; classifier for books, periodicals, files etc; originally; 
构,[gòu] to construct; to form; to make up; to compose; literary composition; paper mulberry (Broussonetia papyrifera); 
班,[Bān] surname Ban; [bān] team; class; squad; work shift; ranking; CL:個|个[ge4]; classifier for groups; 
格,[gé] square; frame; rule; (legal) case; style; character; standard; pattern; (classical) to obstruct; to hinder; (classical) to arrive; to come; (classical) to investigate; to study exhaustively; 
次,[cì] next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time; 
此,[cǐ] this; these; 
步,[Bù] surname Bu; [bù] a step; a pace; walk; march; stages in a process; situation; 
现,[xiàn] to appear; present; now; existing; current; 
死,[sǐ] to die; impassable; uncrossable; inflexible; rigid; extremely; damned; 
狂,[kuáng] mad; wild; violent; 
民,[Mín] surname Min; [mín] the people; nationality; citizen; 
气,[qì] gas; air; smell; weather; to make angry; to annoy; to get angry; vital energy; qi; 
牛,[Niú] surname Niu; [niú] ox; cow; bull; CL:條|条[tiao2],頭|头[tou2]; (slang) awesome; 
法,[Fǎ] France; French; abbr. for 法國|法国[Fa3 guo2]; Taiwan pr. [Fa4]; [fǎ] law; method; way; Buddhist teaching; Legalist; 
波,[Bō] Poland; Polish; abbr. for 波蘭|波兰[Bo1 lan2]; [bō] wave; ripple; storm; surge; 
消,[xiāo] to disappear; to vanish; to eliminate; to spend (time); have to; need; 
温,[Wēn] surname Wen; [wēn] warm; lukewarm; temperature; to warm up; mild; soft; tender; to review; to revise; epidemic; 
满,[Mǎn] Manchu ethnic group; [mǎn] to fill; full; filled; packed; fully; completely; quite; to reach the limit; to satisfy; satisfied; contented; 
游,[Yóu] surname You; [yóu] to swim; variant of 遊|游[you2]; [yóu] to walk; to tour; to roam; to travel; 
滞,[zhì] sluggish; 
马,[Mǎ] surname Ma; abbr. for Malaysia 馬來西亞|马来西亚[Ma3 lai2 xi1 ya4]; [mǎ] horse; CL:匹[pi3]; horse or cavalry piece in Chinese chess; knight in Western chess; 
滞留,[zhì liú] to detain; retention; 
气象,[qì xiàng] meteorological feature; CL:個|个[ge4]; meteorology; atmosphere; ambience; scene; 
死亡,[sǐ wáng] to die; death; 
狂风,[kuáng fēng] gale; squall; whole gale (meteorology); 
不要,[bù yào] don't!; must not; 
构成,[gòu chéng] to constitute; to form; to compose; to make up; to configure (computing); 
期间,[qī jiān] period of time; time; time period; period; CL:個|个[ge4]; 
暴风,[bào fēng] storm wind; storm (force 11 wind); 
旅行,[lǔ: xíng] to travel; journey; trip; CL:趟[tang4],次[ci4],個|个[ge4]; 
严寒,[yán hán] bitter cold; severe winter; 
断电,[duàn diàn] power cut; electric power failure; 
目前,[mù qián] at the present time; currently; 
提醒,[tí xǐng] to remind; to call attention to; to warn of; 
推迟,[tuī chí] to postpone; to put off; to defer; 
篮球,[lán qiú] basketball; CL:個|个[ge4],隻|只[zhi1]; 
举行,[jǔ xíng] to hold (a meeting, ceremony etc); 
人们,[rén men] people; 
人员,[rén yuán] staff; crew; personnel; CL:個|个[ge4]; 
位于,[wèi yú] to be located at; to be situated at; to lie; 
假期,[jià qī] vacation; 
延误,[yán wu] to delay; to be held up; to miss (an opportunity); delay; holdup; 
美国,[Měi guó] United States; USA; US; 
居民,[jū mín] resident; inhabitant; 
部门,[bù mén] department; branch; section; division; CL:個|个[ge4]; 
部分,[bù fen] part; share; section; piece; CL:個|个[ge4]; 
家中,[jiā zhōng] one's family; 
威胁,[wēi xié] to threaten; to menace; 
至少,[zhì shǎo] at least; (to say the) least; 
天气,[tiān qì] weather; 
航班,[háng bān] scheduled flight; flight number; plane; scheduled sailing; sailing number; passenger ship; 
大雪,[Dà xuě] Daxue or Great Snow, 21st of the 24 solar terms 二十四節氣|二十四节气 7th-21st December; 
外出,[wài chū] to go out; to go away (on a trip etc); 
地区,[dì qū] local; regional; district (not necessarily formal administrative unit); region; area; as suffix to city name, means prefecture or county (area administered by a prefecture level city or county level city); CL:個|个[ge4]; 
充满,[chōng mǎn] full of; brimming with; very full; permeated; 
公牛,[gōng niú] bull; 
英寸,[yīng cùn] inch (unit of length equal to 2.54 cm.); 
因此,[yīn cǐ] thus; consequently; as a result; 
因为,[yīn wèi] because; owing to; on account of; 
行人,[xíng rén] pedestrian; traveler on foot; passer-by; official responsible for arranging audiences with the emperor; 
温和,[wēn hé] mild; gentle; moderate; [wēn huo] lukewarm; 
袭击,[xí jī] attack (esp. surprise attack); raid; to attack; 
各处,[gè chù] every place; 
遭遇,[zāo yù] to meet with; to encounter; (bitter) experience; 
警告,[jǐng gào] to warn; to admonish; 
取消,[qǔ xiāo] to cancel; cancellation; 
计划,[jì huà] plan; project; program; to plan; to map out; CL:個|个[ge4],項|项[xiang4]; 
发出,[fā chū] to issue (an order, decree etc); to send out; to dispatch; to produce a sound; to let out (a laugh); 
原本,[yuán běn] originally; original; 
厚度,[hòu dù] thickness; 
厘米,[lí mǐ] centimeter; also written 釐米|厘米; [lí mǐ] centimeter; also written 厘米; 
即将,[jí jiāng] on the eve of; to be about to; to be on the verge of; 
危险,[wēi xiǎn] danger; dangerous; 
超过,[chāo guò] to surpass; to exceed; to outstrip; 
凛冽,[lǐn liè] biting cold; 
路况,[lù kuàng] road condition(s) (e.g. surface, traffic flow etc); 
出游,[chū yóu] to go on a tour; to have an outing; 
出现,[chū xiàn] to appear; to arise; to emerge; to show up; 
造成,[zào chéng] to bring about; to create; to cause; 
北部,[Běi bù] Tonkin (region in Vietnam); [běi bù] northern part; 
包括,[bāo kuò] to comprise; to include; to involve; to incorporate; to consist of; 
,
步行者,[bù xíng zhě] pedestrian; 
圣诞节,[Shèng dàn jié] Christmas time; Christmas season; Christmas; 
芝加哥,[Zhī jiā gē] Chicago, USA; 
据报道,[jù bào dào] according to a report; It is reported that...; 
缅因州,[Miǎn yīn zhōu] Maine, US state; 
新英格兰,[Xīn Yīng gé lán] New England; 
肯塔基州,[Kěn tǎ jī zhōu] Kentucky, US state; 
受到影响,[shòu dào yǐng xiǎng] affected (usually adversely); to suffer; 
印第安纳,[Yìn dì ān nà] Indiana, US state; 
成千上万,[chéng qiān shàng wàn] lit. by the thousands and tens of thousands (idiom); untold numbers; innumerable; thousands upon thousands; 
俄亥俄州,[E2 hài é zhōu] Ohio; 
阿肯色州,[A1 kěn sè zhōu] Arkansas, US state; 
得克萨斯州,[Dé kè sà sī zhōu] Texas, US state; 
弗吉尼亚州,[Fú jí ní yà zhōu] Virginia, US state; 
印第安纳州,[Yìn dì ān nà zhōu] Indiana, US state; 
宾夕法尼亚州,[Bīn xī fǎ ní yà zhōu] Pennsylvania; 
路易斯安那州,[Lù yì sī ān nà zhōu] Louisiana, US state; 
俄克拉何马州,[E2 kè lā hé mǎ zhōu] Oklahoma, US state; 
印第安纳波利斯,[Yìn dì ān nà bō lì sī] Indianapolis, Indiana; 
