掺,[chān] variant of 攙|搀[chan1]; to mix; [shǎn] to grasp; 
化,[huā] variant of 花[hua1]; [huà] to make into; to change into; -ization; to ... -ize; to transform; abbr. for 化學|化学[hua4 xue2]; 
过,[Guò] surname Guo; [guò] (experienced action marker); to cross; to go over; to pass (time); to celebrate (a holiday); to live; to get along; excessively; too-; 
历,[lì] old variant of 曆|历[li4]; old variant of 歷|历[li4]; [lì] calendar; [lì] old variant of 歷|历[li4]; [lì] to experience; to undergo; to pass through; all; each; every; history; 
软,[ruǎn] soft; flexible; [ruǎn] variant of 軟|软[ruan3]; 
又,[yòu] (once) again; also; both... and...; and yet; (used for emphasis) anyway; 
发,[fā] to send out; to show (one's feeling); to issue; to develop; classifier for gunshots (rounds); [fà] hair; Taiwan pr. [fa3]; 
身,[shēn] body; life; oneself; personally; one's morality and conduct; the main part of a structure or body; pregnant; classifier for sets of clothes: suit, twinset; Kangxi radical 158; 
古,[Gǔ] surname Gu; [gǔ] ancient; old; paleo-; 
起,[qǐ] to rise; to raise; to get up; to set out; to start; to appear; to launch; to initiate (action); to draft; to establish; to get (from a depot or counter); verb suffix, to start; (before place or time) starting from; classifier for occurrences or unpredictable events: case, instance; classifier for groups: batch, group; 
只,[zhǐ] only; merely; just; but; 
质,[zhì] character; nature; quality; plain; to pawn; pledge; hostage; to question; Taiwan pr. [zhi2]; 
诞,[dàn] birth; birthday; brag; boast; to increase; 
叫,[jiào] to shout; to call; to order; to ask; to be called; by (indicates agent in the passive mood); 
史,[Shǐ] surname Shi; [shǐ] history; annals; title of an official historian in ancient China; 
号,[háo] roar; cry; CL:個|个[ge4]; [hào] ordinal number; day of a month; mark; sign; business establishment; size; ship suffix; horn (wind instrument); bugle call; assumed name; to take a pulse; classifier used to indicate number of people; 
合,[gě] 100 ml; one-tenth of a peck; measure for dry grain equal to one-tenth of sheng 升 or liter, or one-hundredth dou 斗; [hé] to close; to join; to fit; to be equal to; whole; together; round (in battle); conjunction (astronomy); 1st note of pentatonic scale; old variant of 盒[he2]; 
同,[tóng] like; same; similar; together; alike; with; 
名,[míng] name; noun (part of speech); place (e.g. among winners); famous; classifier for people; 
记,[jì] to record; to note; to remember; mark; sign; classifier for blows, kicks, shots; 
要,[yāo] to demand; to request; to coerce; [yào] important; vital; to want; to ask for; will; going to (as future auxiliary); may; must; (used in a comparison) must be; probably; if; 
后,[Hòu] surname Hou; [hòu] empress; queen; [hòu] back; behind; rear; afterwards; after; later; 
表,[biǎo] exterior surface; family relationship via females; to show (one's opinion); a model; a table (listing information); a form; a meter (measuring sth); 
含,[hán] to keep; to contain; to suck (keep in your mouth without chewing); 
和,[Hé] surname He; Japanese (food, clothes etc); [hé] and; together with; with; sum; union; peace; harmony; Taiwan pr. [han4] when it means "and"; [hè] to compose a poem in reply (to sb's poem) using the same rhyme sequence; to join in the singing; to chime in with others; [hú] to complete a set in mahjong or playing cards; [huó] soft; warm; [huò] to mix together; to blend; 
品,[pǐn] article; commodity; product; goods; kind; grade; rank; character; disposition; nature; temperament; variety; to taste sth; to sample; to criticize; to comment; to judge; to size up; 
因,[yīn] cause; reason; because; 
英,[Yīng] United Kingdom; British; England; English; abbr. for 英國|英国[Ying1 guo2]; [yīng] brave; 
国,[Guó] surname Guo; [guó] country; nation; state; national; CL:個|个[ge4]; 
芯,[xīn] lamp pith; wick; [xìn] core; 
土,[Tǔ] Tu (ethnic group); surname Tu; [tǔ] earth; dust; clay; local; indigenous; crude opium; unsophisticated; one of the eight ancient musical instruments 八音[ba1 yin1]; 
在,[zài] (located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress); 
块,[kuài] lump (of earth); chunk; piece; classifier for pieces of cloth, cake, soap etc; colloquial word for yuan (or other unit of currency such as Hong Kong or US dollar etc), usually as 塊錢|块钱; 
墨,[Mò] surname Mo; abbr. for 墨西哥[Mo4 xi1 ge1], Mexico; [mò] ink stick; China ink; CL:塊|块[kuai4]; corporal punishment consisting of tattooing characters on the victim's forehead; 
多,[duō] many; much; often; a lot of; numerous; more; in excess; how (to what extent); multi-; Taiwan pr. [duo2] when it means "how"; 
够,[gòu] to reach; to be enough; 
大,[dà] big; huge; large; major; great; wide; deep; older (than); oldest; eldest; greatly; very much; (dialect) father; father's elder or younger brother; [dài] see 大夫[dai4 fu5]; 
天,[tiān] day; sky; heaven; 
头,[tóu] head; hair style; the top; end; beginning or end; a stub; remnant; chief; boss; side; aspect; first; leading; classifier for pigs or livestock; CL:個|个[ge4]; [tou] suff. for nouns; 
色,[sè] color; CL:種|种[zhong3]; look; appearance; sex; [shǎi] color; dice; 
夹,[jiā] to press from either side; to place in between; to sandwich; to carry sth under armpit; wedged between; between; to intersperse; to mix; to mingle; clip; folder; Taiwan pr. [jia2]; [jiá] double-layered; lined (garment); [jià] Taiwan pr. used in 夾生|夹生[jia1 sheng1] and 夾竹桃|夹竹桃[jia1 zhu2 tao2]; [jiá] variant of 夾|夹[jia2]; 
套,[tào] cover; sheath; to encase; a case; to overlap; to interleave; bend (of a river or mountain range, in place names); harness; classifier for sets, collections; tau (Greek letter Ττ); 
好,[hǎo] good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness); (of an unmarried couple) to be close; to be keen on each other; [hào] to be fond of; to have a tendency to; to be prone to; 
至,[zhì] to arrive; most; to; until; 
孔,[Kǒng] surname Kong; [kǒng] hole; CL:個|个[ge4]; classifier for cave dwellings; 
字,[zì] letter; symbol; character; word; CL:個|个[ge4]; courtesy or style name traditionally given to males aged 20 in dynastic China; 
自,[zì] from; self; oneself; since; 
,
它,[tā] it; 
定,[dìng] to set; to fix; to determine; to decide; to order; 
实,[shí] real; true; honest; really; solid; fruit; seed; definitely; 
室,[Shì] surname Shi; [shì] room; work unit; grave; scabbard; family or clan; one of the 28 constellations of Chinese astronomy; 
家,[Jiā] surname Jia; [jiā] home; family; (polite) my (sister, uncle etc); classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian; CL:個|个[ge4]; 
容,[Róng] surname Rong; [róng] to hold; to contain; to allow; to tolerate; appearance; look; countenance; 
脏,[zàng] viscera; (anatomy) organ; [zāng] dirty; filthy; 
将,[jiāng] will; shall; to use; to take; to checkmate; just a short while ago; [jiàng] general; commander-in-chief (military); king (chess piece); to command; to lead; [qiāng] to desire; to invite; to request; 
小,[xiǎo] small; tiny; few; young; 
少,[shǎo] few; less; to lack; to be missing; to stop (doing sth); seldom; [shào] young; 
尔,[ěr] variant of 爾|尔[er3]; [ěr] thus; so; like that; you; thou; 
就,[jiù] at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning; 
能,[Néng] surname Neng; [néng] to be able to; to be capable of; ability; capability; able; capable; can possibly; (usually used in the negative) to have the possibility of; 
属,[shǔ] category; genus (taxonomy); family members; dependents; to belong to; subordinate to; affiliated with; be born in the year of (one of the 12 animals); to be; to prove to be; to constitute; [zhǔ] to join together; to fix one's attention on; to concentrate on; 
己,[jǐ] self; oneself; sixth of the ten Heavenly Stems 十天干[shi2 tian1 gan1]; sixth in order; letter "F" or roman "VI" in list "A, B, C", or "I, II, III" etc; hexa; 
巴,[Bā] Ba state during Zhou dynasty (in east of modern Sichuan); abbr. for east Sichuan or Chongqing; surname Ba; abbr. for Palestine or Palestinian; abbr. for Pakistan; [bā] to long for; to wish; to cling to; to stick to; sth that sticks; close to; next to; spread open; informal abbr. for bus 巴士[ba1 shi4]; bar (unit of pressure); nominalizing suffix on certain nouns, such as 尾巴[wei3 ba5], tail; 
带,[dài] band; belt; girdle; ribbon; tire; area; zone; region; CL:條|条[tiao2]; to wear; to carry; to take along; to bear (i.e. to have); to lead; to bring; to look after; to raise; 
常,[Cháng] surname Chang; [cháng] always; ever; often; frequently; common; general; constant; 
耐,[nài] capable of enduring; able to tolerate; patient; durable; hardy; resistant; 
年,[Nián] surname Nian; [nián] year; CL:個|个[ge4]; 
而,[ér] and; as well as; and so; but (not); yet (not); (indicates causal relation); (indicates change of state); (indicates contrast); 
并,[bìng] and; furthermore; also; together with; (not) at all; simultaneously; to combine; to join; to merge; [bìng] to combine; to amalgamate; [bìng] variant of 並|并[bing4]; 
羊,[Yáng] surname Yang; [yáng] sheep; goat; CL:頭|头[tou2],隻|只[zhi1]; 
度,[dù] to pass; to spend (time); measure; limit; extent; degree of intensity; degree (angles, temperature etc); kilowatt-hour; classifier for events and occurrences; [duó] to estimate; Taiwan pr. [duo4]; 
弄,[lòng] lane; alley; [nòng] to do; to manage; to handle; to play with; to fool with; to mess with; to fix; to toy with; 
罗,[Luó] surname Luo; [luó] gauze; to collect; to gather; to catch; to sift; 
归,[Guī] surname Gui; [guī] to return; to go back to; to give back to; (of a responsibility) to be taken care of by; to belong to; to gather together; (used between two identical verbs) despite; to marry (of a woman) (old); division on the abacus with a one-digit divisor; 
很,[hěn] (adverb of degree); quite; very; awfully; 
得,[dé] to obtain; to get; to gain; to catch (a disease); proper; suitable; proud; contented; to allow; to permit; ready; finished; [de] structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc; [děi] to have to; must; ought to; to need to; 
德,[Dé] Germany; German; abbr. for 德國|德国[De2 guo2]; [dé] virtue; goodness; morality; ethics; kindness; favor; character; kind; 
缺,[quē] deficiency; lack; scarce; vacant post; to run short of; 
性,[xìng] nature; character; property; quality; attribute; sexuality; sex; gender; suffix forming adjective from verb; suffix forming noun from adjective, corresponding to -ness or -ity; essence; CL:個|个[ge4]; 
悠,[yōu] long or drawn out; remote in time or space; leisurely; to swing; pensive; worried; 
绘,[huì] to draw; to paint; 
成,[Chéng] surname Cheng; [chéng] to succeed; to finish; to complete; to accomplish; to become; to turn into; to be all right; OK!; one tenth; 
纸,[zhǐ] variant of 紙|纸[zhi3]; [zhǐ] paper; CL:張|张[zhang1],沓[da2]; classifier for documents, letter etc; 
我,[wǒ] I; me; my; 
纯,[chún] pure; simple; unmixed; genuine; 
所,[suǒ] actually; place; classifier for houses, small buildings, institutions etc; that which; particle introducing a relative clause or passive; CL:個|个[ge4]; 
纪,[Jǐ] surname Ji; also pr. [Ji4]; [jì] order; discipline; age; era; period; to chronicle; 
粉,[fěn] powder; cosmetic face powder; food prepared from starch; noodles or pasta made from any kind of flour; whitewash; white; pink; 
手,[shǒu] hand; (formal) to hold; person engaged in certain types of work; person skilled in certain types of work; personal(ly); convenient; classifier for skill; CL:雙|双[shuang1],隻|只[zhi1]; 
找,[zhǎo] to try to find; to look for; to call on sb; to find; to seek; to return; to give change; 
把,[bǎ] to hold; to contain; to grasp; to take hold of; handle; particle marking the following noun as a direct object; classifier for objects with handle; classifier for small objects: handful; [bà] handle; 
折,[shé] to break (e.g. stick or bone); a loss; [zhē] to turn sth over; to turn upside down; to tip sth out (of a container); [zhé] to break; to fracture; to snap; to suffer loss; to bend; to twist; to turn; to change direction; convinced; to convert into (currency); discount; rebate; tenth (in price); classifier for theatrical scenes; to fold; accounts book; 
类,[lèi] kind; type; class; category; similar; like; to resemble; 
简,[jiǎn] simple; uncomplicated; letter; to choose; to select; bamboo strips used for writing (old); 
收,[shōu] to receive; to accept; to collect; to put away; to restrain; to stop; in care of (used on address line after name); 
放,[fàng] to release; to free; to let go; to put; to place; to let out; to set off (fireworks); 
等,[děng] class; rank; grade; equal to; same as; to wait for; to await; et cetera; and so on; et al. (and other authors); after; as soon as; once; 
断,[duàn] to break; to snap; to cut off; to give up or abstain from sth; to judge; (usu. used in the negative) absolutely; definitely; decidedly; 
既,[jì] already; since; both... (and...); 
时,[shí] old variant of 時|时[shi2]; [Shí] surname Shi; [shí] o'clock; time; when; hour; season; period; 
笔,[bǐ] pen; pencil; writing brush; to write or compose; the strokes of Chinese characters; classifier for sums of money, deals; CL:支[zhi1],枝[zhi1]; 
易,[Yì] surname Yi; abbr. for 易經|易经[Yi4 jing1], the Book of Changes; [yì] easy; amiable; to change; to exchange; 
是,[shì] is; are; am; yes; to be; 
有,[yǒu] to have; there is; there are; to exist; to be; 
窑,[yáo] kiln; oven; coal pit; cave dwelling; (coll.) brothel; [yáo] variant of 窯|窑[yao2]; 
期,[qī] a period of time; phase; stage; (used for issue of a periodical, courses of study); time; term; period; to hope; Taiwan pr. [qi2]; 
末,[mò] tip; end; final stage; latter part; inessential detail; powder; dust; opera role of old man; 
条,[tiáo] strip; item; article; clause (of law or treaty); classifier for long thin things (ribbon, river, road, trousers etc); 
来,[lái] to come; to arrive; to come round; ever since; next; 
松,[Sōng] surname Song; [sōng] pine; CL:棵[ke1]; 
称,[chèn] to fit; balanced; suitable; [chēng] to weigh; to state; to name; name; appellation; to praise; [chèng] variant of 秤[cheng4]; steelyard; 
标,[biāo] the topmost branches of a tree; surface; sign; to mark; (outward) sign; indication; prize; award; bid; 
样,[yàng] manner; pattern; way; appearance; shape; CL:個|个[ge4]; 
根,[gēn] root; basis; classifier for long slender objects, e.g. cigarettes, guitar strings; CL:條|条[tiao2]; radical (chemistry); 
棒,[bàng] stick; club; cudgel; smart; capable; strong; wonderful; classifier for legs of a relay race; 
此,[cǐ] this; these; 
母,[mǔ] mother; elderly female relative; origin; source; (of animals) female; 
比,[Bǐ] Belgium; Belgian; abbr. for 比利時|比利时[Bi3 li4 shi2]; [bǐ] (particle used for comparison and "-er than"); to compare; to contrast; to gesture (with hands); ratio; [bì] to associate with; to be near; 
科,[kē] branch of study; administrative section; division; field; branch; stage directions; family (taxonomy); rules; laws; to mete out (punishment); to levy (taxes etc); to fine sb; CL:個|个[ge4]; 
治,[zhì] to rule; to govern; to manage; to control; to harness (a river); to treat (a disease); to wipe out (a pest); to punish; to research; 
法,[Fǎ] France; French; abbr. for 法國|法国[Fa3 guo2]; Taiwan pr. [Fa4]; [fǎ] law; method; way; Buddhist teaching; Legalist; 
种,[zhǒng] seed; species; kind; type; classifier: type, kind, sort; [zhòng] to plant; to grow; to cultivate; 
浅,[jiān] sound of moving water; [qiǎn] shallow; light (color); 
深,[shēn] close; deep; late; profound; dark (of color, water etc); 
示,[shì] to show; to reveal; 
混,[hún] confused; dirty; to mix; muddy; variant of 渾|浑[hun2]; [hùn] to mix; to mingle; muddled; to drift along; to muddle along; to pass for; to get along with sb; thoughtless; reckless; 
磺,[huáng] sulfur; 
源,[yuán] root; source; origin; 
点,[diǎn] point; dot; drop; speck; o'clock; point (in space or time); to draw a dot; to check on a list; to choose; to order (food in a restaurant); to touch briefly; to hint; to light; to ignite; to pour a liquid drop by drop; (old) one fifth of a two-hour watch 更[geng1]; dot stroke in Chinese characters; classifier for items; 
烧,[shāo] to burn; to cook; to stew; to bake; to roast; to boil (tea, water etc); fever; 
硬,[yìng] hard; stiff; strong; firm; resolutely; doggedly; good (quality); able (person); 
牧,[Mù] surname Mu; [mù] to herd; to breed livestock; to govern (old); government official (old); 
硫,[liú] sulfur (chemistry); 
物,[wù] thing; object; matter; abbr. for physics 物理; 
王,[Wáng] surname Wang; [wáng] king or monarch; best or strongest of its type; grand; great; [wàng] to rule; to reign over; 
现,[xiàn] to appear; present; now; existing; current; 
矿,[kuàng] ore; mine; [kuàng] variant of 礦|矿[kuang4]; 
甚,[shén] variant of 什[shen2]; [shèn] what; very; extremely; any; 
石,[Shí] surname Shi; [dàn] dry measure for grain equal to ten dou 斗; ten pecks; one hundred liters; [shí] rock; stone; stone inscription; one of the eight ancient musical instruments 八音[ba1 yin1]; 
生,[shēng] to be born; to give birth; life; to grow; raw; uncooked; student; 
着,[zhāo] (chess) move; trick; all right!; (dialect) to add; [zháo] to touch; to come in contact with; to feel; to be affected by; to catch fire; to fall asleep; to burn; [zhe] aspect particle indicating action in progress; [zhuó] to wear (clothes); to contact; to use; to apply; 
用,[yòng] to use; to employ; to have to; to eat or drink; expense or outlay; usefulness; hence; therefore; 
真,[zhēn] really; truly; indeed; real; true; genuine; 
画,[huà] to draw; picture; painting; CL:幅[fu2],張|张[zhang1]; classifier for paintings etc; variant of 劃|划[hua4]; 
留,[liú] to leave (a message etc); to retain; to stay; to remain; to keep; to preserve; 
看,[kān] to look after; to take care of; to watch; to guard; [kàn] to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (an illness); to depend on; to feel (that); (after verb) to give it a try; Watch out! (for a danger); 
痕,[hén] scar; traces; 
皇,[Huáng] emperor; surname Huang; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
因此,[yīn cǐ] thus; consequently; as a result; 
痕迹,[hén jì] vestige; mark; trace; 
皇家,[huáng jiā] royal; imperial household; 
留下,[liú xià] to leave behind; to stay behind; to remain; to keep; not to let (sb) go; 
用于,[yòng yú] use in; use on; use for; 
真是,[zhēn shi] indeed; truly; (coll.) (used to express disapproval, annoyance etc about sth); 
生产,[shēng chǎn] to produce; to manufacture; to give birth to a child; 
甚至,[shèn zhì] even; so much so that; 
石墨,[shí mò] black lead; graphite; plumbago; 
现代,[Xiàn dài] Hyundai, South Korean company; [xiàn dài] modern times; modern age; modern era; 
矿物,[kuàng wù] mineral; 
一样,[yī yàng] same; like; equal to; the same as; just like; 
硫磺,[liú huáng] sulfur; 
烧制,[shāo zhì] to fire (in a kiln); 
硬度,[yìng dù] hardness; 
混合,[hùn hé] to mix; to blend; 
深浅,[shēn qiǎn] deep or shallow; depth (of the sea); limits of decorum; 
法国,[Fǎ guó] France; French; 
比例,[bǐ lì] proportion; scale; 
黏土,[nián tǔ] clay; loam; 
松香,[sōng xiāng] rosin; pine rosin; 
有人,[yǒu rén] someone; people; anyone; there is someone there; occupied (as in restroom); 
时期,[shí qī] period; phase; CL:個|个[ge4]; 
放进,[fàng jìn] to put into; 
一带,[yī dài] region; district; 
简陋,[jiǎn lòu] simple and crude; 
折断,[zhé duàn] to snap sth off; to break; 
所有,[suǒ yǒu] all; to have; to possess; to own; 
所以,[suǒ yǐ] therefore; as a result; so; the reason why; 
我们,[wǒ men] we; us; ourselves; our; 
成了,[chéng le] to be done; to be ready; that's enough!; that will do!; 
悠久,[yōu jiǔ] long (tradition, history etc); 
绘画,[huì huà] drawing; painting; 
德国,[Dé guó] Germany; German; 
缺点,[quē diǎn] weak point; fault; shortcoming; disadvantage; CL:個|个[ge4]; 
弄脏,[nòng zāng] to make dirty; to defile; to smear; 
并不,[bìng bù] not at all; emphatically not; 
年前,[nián qián] ...years ago; 
而且,[ér qiě] (not only ...) but also; moreover; in addition; furthermore; 
常用,[cháng yòng] in common usage; 
耐用,[nài yòng] durable; 
就是,[jiù shì] (emphasizes that sth is precisely or exactly as stated); precisely; exactly; even; if; just like; in the same way as; 
能够,[néng gòu] to be capable of; to be able to; can; 
容易,[róng yì] easy; likely; liable (to); 
字母,[zì mǔ] letter (of the alphabet); CL:個|个[ge4]; 
自己,[zì jǐ] oneself; one's own; 
好用,[hǎo yòng] useful; serviceable; effective; handy; easy to use; 
头上,[tóu shàng] overhead; above; 
国土,[guó tǔ] country's territory; national land; 
皇室,[huáng shì] royal family; imperial household; member of the royal family; 
英国,[Yīng guó] United Kingdom 聯合王國|联合王国[Lian2 he2 wang2 guo2]; United Kingdom of Great Britain and Northern Ireland; abbr. for England 英格蘭|英格兰[Ying1 ge2 lan2]; 
后来,[hòu lái] afterwards; later; 
表示,[biǎo shì] to express; to show; to say; to state; to indicate; to mean; 
名叫,[míng jiào] called; named; 
一种,[yī zhǒng] one kind of; one type of; 
记号,[jì hao] notation; seal; 
只有,[zhǐ yǒu] only; 
诞生,[dàn shēng] to be born; 
一类,[yī lèi] same type; category 1 (i.e. class A); 
质量,[zhì liàng] quality; (physics) mass; CL:個|个[ge4]; 
不久,[bù jiǔ] not long (after); before too long; soon; soon after; 
起来,[qǐ lai] to stand up; to get up; [qi lai] (after a verb) indicating the beginning and continuation of an action or a state; indicating an upward movement (e.g. after 站[zhan4]); bringing things together (e.g. after 收拾[shou1 shi5]); (after a perception verb, e.g. 看[kan4]) expressing preliminary judgement; 
起源,[qǐ yuán] origin; to originate; to come from; 
发现,[fā xiàn] to find; to discover; 
身上,[shēn shang] on the body; at hand; among; 
