悔,[huǐ] to regret; 
偷,[tōu] to steal; to pilfer; to snatch; thief; stealthily; 
还,[Huán] surname Huan; [hái] still; still in progress; still more; yet; even more; in addition; fairly; passably (good); as early as; even; also; else; [huán] to pay back; to return; 
儿,[ér] son; [r] non-syllabic diminutive suffix; retroflex final; 
过,[Guò] surname Guo; [guò] (experienced action marker); to cross; to go over; to pass (time); to celebrate (a holiday); to live; to get along; excessively; too-; 
再,[zài] again; once more; re-; second; another; then (after sth, and not until then); 
出,[chū] to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; classifier for dramas, plays, operas etc; 
到,[dào] to (a place); until (a time); up to; to go; to arrive; (verb complement denoting completion or result of an action); 
前,[qián] front; forward; ahead; first; top (followed by a number); future; ago; before; BC (e.g. 前293年); former; formerly; 
边,[biān] side; edge; margin; border; boundary; CL:個|个[ge4]; simultaneously; [bian] suffix of a noun of locality; 
原,[yuán] former; original; primary; raw; level; cause; source; 
起,[qǐ] to rise; to raise; to get up; to set out; to start; to appear; to launch; to initiate (action); to draft; to establish; to get (from a depot or counter); verb suffix, to start; (before place or time) starting from; classifier for occurrences or unpredictable events: case, instance; classifier for groups: batch, group; 
去,[qù] to go; to go to (a place); to cause to go or send (sb); to remove; to get rid of; (when used either before or after a verb) to go in order to do sth; to be apart from in space or time; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation); (of a time or an event etc) just passed or elapsed; 
又,[yòu] (once) again; also; both... and...; and yet; (used for emphasis) anyway; 
发,[fā] to send out; to show (one's feeling); to issue; to develop; classifier for gunshots (rounds); [fà] hair; Taiwan pr. [fa3]; 
象,[xiàng] elephant; CL:隻|只[zhi1]; shape; form; appearance; to imitate; 
后,[Hòu] surname Hou; [hòu] empress; queen; [hòu] back; behind; rear; afterwards; after; later; 
说,[shuì] to persuade; [shuō] to speak; to say; to explain; to scold; to tell off; a theory (usually in compounds such as 日心说 heliocentric theory); 
记,[jì] to record; to note; to remember; mark; sign; classifier for blows, kicks, shots; 
和,[Hé] surname He; Japanese (food, clothes etc); [hé] and; together with; with; sum; union; peace; harmony; Taiwan pr. [han4] when it means "and"; [hè] to compose a poem in reply (to sb's poem) using the same rhyme sequence; to join in the singing; to chime in with others; [hú] to complete a set in mahjong or playing cards; [huó] soft; warm; [huò] to mix together; to blend; 
回,[huí] to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book); 
认,[rèn] to recognize; to know; to admit; 
在,[zài] (located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress); 
天,[tiān] day; sky; heaven; 
失,[shī] to lose; to miss; to fail; 
好,[hǎo] good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness); (of an unmarried couple) to be close; to be keen on each other; [hào] to be fond of; to have a tendency to; to be prone to; 
子,[zǐ] son; child; seed; egg; small thing; 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat; Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; [zi] (noun suffix); 
孩,[hái] child; 
言,[yán] words; speech; to say; to talk; 
定,[dìng] to set; to fix; to determine; to decide; to order; 
家,[Jiā] surname Jia; [jiā] home; family; (polite) my (sister, uncle etc); classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian; CL:個|个[ge4]; 
观,[Guàn] surname Guan; [guān] to look at; to watch; to observe; to behold; to advise; concept; point of view; outlook; [guàn] Taoist monastery; palace gate watchtower; platform; 
容,[Róng] surname Rong; [róng] to hold; to contain; to allow; to tolerate; appearance; look; countenance; 
对,[duì] right; correct; couple; pair; towards; at; for; to face; opposite; to treat (sb a certain way); to match together; to adjust; to fit; to suit; to answer; to reply; classifier: couple; 
小,[xiǎo] small; tiny; few; young; 
西,[Xī] the West; abbr. for Spain 西班牙[Xi1 ban1 ya2]; Spanish; [xī] west; 
就,[jiù] at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning; 
居,[Jū] surname Ju; [jī] (archaic) sentence-final particle expressing a doubting attitude; [jū] to reside; to be (in a certain position); to store up; to be at a standstill; residence; house; restaurant; classifier for bedrooms; 
山,[Shān] surname Shan; [shān] mountain; hill; anything that resembles a mountain; CL:座[zuo4]; bundled straw in which silkworms spin cocoons; gable; 
形,[xíng] to appear; to look; form; shape; 
行,[háng] a row; series; age order (of brothers); profession; professional; relating to company; [xíng] to walk; to go; to travel; a visit; temporary; makeshift; current; in circulation; to do; to perform; capable; competent; effective; all right; OK!; will do; behavior; conduct; Taiwan pr. [xing4] for the behavior-conduct sense; 
心,[xīn] heart; mind; intention; center; core; CL:顆|颗[ke1],個|个[ge4]; 
臆,[yì] feelings; opinion; thoughts; 
忘,[wàng] to forget; to overlook; to neglect; 
胡,[Hú] surname Hu; [hú] non-Han people, esp. from central Asia; reckless; outrageous; what?; why?; to complete a winning hand at mahjong (also written 和[hu2]); 
怀,[Huái] surname Huai; [huái] bosom; heart; mind; to think of; to harbor in one's mind; to conceive (a child); 
第,[dì] (prefix indicating ordinal number, e.g. first, number two etc); 
怎,[zěn] how; 
种,[zhǒng] seed; species; kind; type; classifier: type, kind, sort; [zhòng] to plant; to grow; to cultivate; 
上,[shǎng] see 上聲|上声[shang3 sheng1]; [shàng] on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); 
情,[qíng] feeling; emotion; passion; situation; 
想,[xiǎng] to think; to believe; to suppose; to wish; to want; to miss (feel wistful about the absence of sb or sth); 
神,[Shén] God; abbr. for 神舟[Shen2 zhou1]; [shén] deity; soul; spirit; unusual; mysterious; lively; expressive; expression; look; CL:個|个[ge4]; (slang) awesome; amazing; 
意,[Yì] Italy; Italian; abbr. for 意大利[Yi4 da4 li4]; [yì] idea; meaning; thought; to think; wish; desire; intention; to expect; to anticipate; 
我,[wǒ] I; me; my; 
才,[cái] ability; talent; sb of a certain type; a capable individual; only; only then; just now; 
找,[zhǎo] to try to find; to look for; to call on sb; to find; to seek; to return; to give change; 
砍,[kǎn] to chop; to cut down; to throw sth at sb; 
把,[bǎ] to hold; to contain; to grasp; to take hold of; handle; particle marking the following noun as a direct object; classifier for objects with handle; classifier for small objects: handful; [bà] handle; 
斧,[fǔ] hatchet; 
看,[kān] to look after; to take care of; to watch; to guard; [kàn] to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (an illness); to depend on; to feel (that); (after verb) to give it a try; Watch out! (for a danger); 
断,[duàn] to break; to snap; to cut off; to give up or abstain from sth; to judge; (usu. used in the negative) absolutely; definitely; decidedly; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
早,[zǎo] early; morning; Good morning!; long ago; prematurely; 
疑,[yí] to doubt; to misbelieve; to suspect; 
时,[shí] old variant of 時|时[shi2]; [Shí] surname Shi; [shí] o'clock; time; when; hour; season; period; 
是,[shì] is; are; am; yes; to be; 
有,[yǒu] to have; there is; there are; to exist; to be; 
用,[yòng] to use; to employ; to have to; to eat or drink; expense or outlay; usefulness; hence; therefore; 
本,[běn] roots or stems of plants; origin; source; this; the current; root; foundation; basis; classifier for books, periodicals, files etc; originally; 
来,[lái] to come; to arrive; to come round; ever since; next; 
柴,[Chái] surname Chai; [chái] firewood; lean (of meat); thin (of a person); 
树,[shù] tree; CL:棵[ke1]; to cultivate; to set up; 
根,[gēn] root; basis; classifier for long slender objects, e.g. cigarettes, guitar strings; CL:條|条[tiao2]; radical (chemistry); 
现,[xiàn] to appear; present; now; existing; current; 
棵,[kē] classifier for trees, cabbages, plants etc; 
没,[méi] (negative prefix for verbs); have not; not; [mò] drowned; to end; to die; to inundate; 
猜,[cāi] to guess; 
注,[zhù] to inject; to pour into; to concentrate; to pay attention; stake (gambling); classifier for sums of money; variant of 註|注[zhu4]; [zhù] to register; to annotate; note; comment; 
孩子,[hái zi] child; 
注意,[zhù yì] to take note of; to pay attention to; 
猜疑,[cāi yí] to suspect; to have misgivings; suspicious; misgivings; 
根本,[gēn běn] fundamental; basic; root; simply; absolutely (not); (not) at all; CL:個|个[ge4]; 
现在,[xiàn zài] now; at present; at the moment; modern; current; nowadays; 
有人,[yǒu rén] someone; people; anyone; there is someone there; occupied (as in restroom); 
早就,[zǎo jiù] already at an earlier time; 
断定,[duàn dìng] to conclude; to determine; to come to a judgment; 
斧子,[fǔ zi] axe; hatchet; CL:把[ba3]; 
看出,[kàn chū] to make out; to see; 
找到,[zhǎo dào] to find; 
上山,[shàng shān] to go uphill; to spin cocoon (silkworms); to pass away; 
神情,[shén qíng] look; expression; 
怎么,[zěn me] how?; what?; why?; [zěn me] variant of 怎麼|怎么[zen3 me5]; 
怀疑,[huái yí] to doubt; to suspect; doubt; suspicion; skeptical; 
不是,[bú shi] fault; blame; [bù shì] no; is not; not; 
忘记,[wàng jì] to forget; 
胡乱,[hú luàn] careless; reckless; casually; absent-mindedly; at will; at random; any old how; 
心里,[xīn li] chest; heart; mind; 
形容,[xíng róng] to describe; description; appearance; look; 
小偷,[xiǎo tōu] thief; 
家伙,[jiā huo] household dish, implement or furniture; domestic animal; (coll.) guy; chap; weapon; 
没有,[méi yǒu] haven't; hasn't; doesn't exist; to not have; to not be; 
言行,[yán xíng] words and actions; what one says and what one does; 
回家,[huí jiā] to return home; 
认为,[rèn wéi] to believe; to think; to consider; to feel; 
后来,[hòu lái] afterwards; later; 
后悔,[hòu huǐ] to regret; to repent; 
发现,[fā xiàn] to find; to discover; 
原来,[yuán lái] original; former; originally; formerly; at first; so, actually, as it turns out; 
前天,[qián tiān] the day before yesterday; 
儿子,[ér zi] son; 
偷去,[tōu qù] to steal; to make off with; stolen; 
人们,[rén men] people; 
这里,[zhè lǐ] variant of 這裡|这里[zhe4 li3]; [zhè lǐ] here; 
于是,[yú shì] thereupon; as a result; consequently; thus; hence; 
主观,[zhǔ guān] subjective; 
那个,[nà ge] that one; also pr. [nei4 ge5]; 
那种,[nà zhǒng] that; that kind of; that sort of; that type of; 
丢失,[diū shī] to lose; lost; 
邻居,[lín jū] neighbor; next door; CL:個|个[ge4]; 
东西,[dōng xī] east and west; [dōng xi] thing; stuff; person; CL:個|个[ge4],件[jian4]; 
随便,[suí biàn] as one wishes; as one pleases; at random; negligent; casual; wanton; 
第二天,[dì èr tiān] next day; the morrow; 
想起来,[xiǎng qi lai] to remember; to recall; 
