我,[wǒ] I; me; my; 
是,[shì] is; are; am; yes; to be; 
本,[běn] roots or stems of plants; origin; source; this; the current; root; foundation; basis; classifier for books, periodicals, files etc; originally; 
来,[lái] to come; to arrive; to come round; ever since; next; 
枪,[Qiāng] surname Qiang; [qiāng] gun; firearm; rifle; spear; thing with shape or function similar to a gun; CL:支[zhi1],把[ba3],桿|杆[gan3],條|条[tiao2],枝[zhi1]; to substitute for another person in a test; to knock; classifier for rifle shots; [qiāng] variant of 槍|枪[qiang1]; rifle; spear; 
根,[gēn] root; basis; classifier for long slender objects, e.g. cigarettes, guitar strings; CL:條|条[tiao2]; radical (chemistry); 
桶,[tǒng] bucket; (trash) can; barrel (of oil etc); CL:個|个[ge4],隻|只[zhi1]; 
楚,[Chǔ] surname Chu; abbr. for Hubei 湖北省[Hu2 bei3 Sheng3] and Hunan 湖南省[Hu2 nan2 Sheng3] provinces together; Chinese kingdom during the Spring and Autumn and Warring States Periods (722-221 BC); [chǔ] distinct; clear; orderly; pain; suffering; deciduous bush used in Chinese medicine (genus Vitex); punishment cane (old); 
死,[sǐ] to die; impassable; uncrossable; inflexible; rigid; extremely; damned; 
每,[měi] each; every; 
气,[qì] gas; air; smell; weather; to make angry; to annoy; to get angry; vital energy; qi; 
清,[Qīng] Qing or Ch'ing dynasty of Imperial China (1644-1911); surname Qing; [qīng] clear; distinct; quiet; just and honest; pure; to settle or clear up; to clean up or purge; 
满,[Mǎn] Manchu ethnic group; [mǎn] to fill; full; filled; packed; fully; completely; quite; to reach the limit; to satisfy; satisfied; contented; 
烟,[yān] cigarette or pipe tobacco; CL:根[gen1]; smoke; mist; vapour; CL:縷|缕[lu:3]; tobacco plant; (of the eyes) to be irritated by smoke; 
熏,[xūn] to smoke; to fumigate; to assail the nostrils; to perfume; 
爸,[bà] father; dad; pa; papa; 
狠,[hěn] fierce; very; 
现,[xiàn] to appear; present; now; existing; current; 
班,[Bān] surname Ban; [bān] team; class; squad; work shift; ranking; CL:個|个[ge4]; classifier for groups; 
理,[lǐ] texture; grain (of wood); inner essence; intrinsic order; reason; logic; truth; science; natural science (esp. physics); to manage; to pay attention to; to run (affairs); to handle; to put in order; to tidy up; 
生,[shēng] to be born; to give birth; life; to grow; raw; uncooked; student; 
疮,[chuāng] sore; skin ulcer; 
痛,[tòng] ache; pain; sorrow; deeply; thoroughly; 
痰,[tán] phlegm; spittle; 
百,[Bǎi] surname Bai; [bǎi] hundred; numerous; all kinds of; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
盒,[hé] small box; case; 
看,[kān] to look after; to take care of; to watch; to guard; [kàn] to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (an illness); to depend on; to feel (that); (after verb) to give it a try; Watch out! (for a danger); 
着,[zhāo] (chess) move; trick; all right!; (dialect) to add; [zháo] to touch; to come in contact with; to feel; to be affected by; to catch fire; to fall asleep; to burn; [zhe] aspect particle indicating action in progress; [zhuó] to wear (clothes); to contact; to use; to apply; 
知,[zhī] to know; to be aware; 
离,[lí] mythical beast (archaic); [Lí] surname Li; [lí] to leave; to part from; to be away from; (in giving distances) from; without (sth); independent of; one of the Eight Trigrams 八卦[ba1 gua4], symbolizing fire; ☲; 
绕,[rào] to wind; to coil (thread); to rotate around; to spiral; to move around; to go round (an obstacle); to by-pass; to make a detour; to confuse; to perplex; [rào] variant of 繞|绕[rao4], to rotate around; to spiral; to move around; to go round (an obstacle); to by-pass; to make a detour; 
,
翻,[fān] to turn over; to flip over; to overturn; to rummage through; to translate; to decode; to double; to climb over or into; to cross; 
而,[ér] and; as well as; and so; but (not); yet (not); (indicates causal relation); (indicates change of state); (indicates contrast); 
肺,[fèi] lung; CL:個|个[ge4]; 
自,[zì] from; self; oneself; since; 
苦,[kǔ] bitter; hardship; pain; to suffer; to bring suffering to; painstakingly; 
莫,[Mò] surname Mo; [mò] do not; there is none who; 
被,[bèi] quilt; by; (indicates passive-voice clauses); (literary) to cover; to meet with; 
西,[Xī] the West; abbr. for Spain 西班牙[Xi1 ban1 ya2]; Spanish; [xī] west; 
见,[jiàn] to see; to meet; to appear (to be sth); to interview; [xiàn] to appear; also written 現|现[xian4]; 
觉,[jiào] a nap; a sleep; CL:場|场[chang2]; [jué] to feel; to find that; thinking; awake; aware; 
让,[ràng] to yield; to permit; to let sb do sth; to have sb do sth; to make sb (feel sad etc); 
记,[jì] to record; to note; to remember; mark; sign; classifier for blows, kicks, shots; 
诉,[sù] to complain; to sue; to tell; 
话,[huà] dialect; language; spoken words; speech; talk; words; conversation; what sb said; CL:種|种[zhong3],席[xi2],句[ju4],口[kou3],番[fan1]; [huà] old variant of 話|话[hua4]; 
该,[gāi] should; ought to; probably; must be; to deserve; to owe; to be sb's turn to do sth; that; the above-mentioned; 
请,[qǐng] to ask; to invite; please (do sth); to treat (to a meal etc); to request; 
谁,[shéi] who; also pr. [shui2]; 
走,[zǒu] to walk; to go; to run; to move (of vehicle); to visit; to leave; to go away; to die (euph.); from; through; away (in compound verbs, such as 撤走[che4 zou3]); to change (shape, form, meaning); 
身,[shēn] body; life; oneself; personally; one's morality and conduct; the main part of a structure or body; pregnant; classifier for sets of clothes: suit, twinset; Kangxi radical 158; 
还,[Huán] surname Huan; [hái] still; still in progress; still more; yet; even more; in addition; fairly; passably (good); as early as; even; also; else; [huán] to pay back; to return; 
这,[zhè] this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing); 
进,[jìn] to advance; to enter; to come (or go) into; to receive or admit; to eat or drink; to submit or present; (used after a verb) into, in; to score a goal; 
那,[Nā] surname Na; [Nuó] surname Nuo; [nǎ] variant of 哪[na3]; [nà] that; those; then (in that case); commonly pr. [nei4] before a classifier, esp. in Beijing; [nuó] (archaic) many; beautiful; how; old variant of 挪[nuo2]; 
都,[Dū] surname Du; [dōu] all; both; entirely; (used for emphasis) even; already; (not) at all; [dū] capital city; metropolis; 
酸,[suān] sour; tart; sick at heart; grieved; sore; aching; pedantic; impractical; an acid; 
里,[lǐ] variant of 裡|里[li3]; [lǐ] lining; interior; inside; internal; also written 裏|里[li3]; [Lǐ] Li (surname); [lǐ] li (Chinese mile); 500 meters (modern); home; hometown; village; neighborhood; administrative unit; 
锁,[suǒ] to lock up; to lock; lock; CL:把[ba3]; [suǒ] old variant of 鎖|锁[suo3]; 
间,[jiān] between; among; within a definite time or space; room; section of a room or lateral space between two pairs of pillars; classifier for rooms; [jiàn] gap; to separate; to thin out (seedlings); to sow discontent; 
抽烟,[chōu yān] to smoke (a cigarette, tobacco); 
反锁,[fǎn suǒ] locked in (with the door locked from the outside); 
担心,[dān xīn] anxious; worried; uneasy; to worry; to be anxious; 
鼻子,[bí zi] nose; CL:個|个[ge4],隻|只[zhi1]; 
看见,[kàn jiàn] to see; to catch sight of; 
常常,[cháng cháng] frequently; usually; often; 
回来,[huí lai] to return; to come back; 
发现,[fā xiàn] to find; to discover; 
当时,[dāng shí] then; at that time; while; 
下班,[xià bān] to finish work; to get off work; 
缭绕,[liáo rào] to curl up; to linger on (sound); 
剩下,[shèng xià] to remain; left over; 
心里,[xīn li] chest; heart; mind; 
健康,[jiàn kāng] health; healthy; 
丢下,[diū xià] to abandon; 
自己,[zì jǐ] oneself; one's own; 
十分,[shí fēn] to divide into ten equal parts; very; hundred percent; completely; extremely; utterly; absolutely; 
每天,[měi tiān] every day; everyday; 
莫大,[mò dà] greatest; most important; 
每当,[měi dāng] whenever; every time; on every; 
悄悄,[qiāo qiāo] quietly; secretly; stealthily; quiet; worried; Taiwan pr. [qiao3 qiao3]; 
偷偷,[tōu tōu] stealthily; secretly; covertly; furtively; on the sly; 
清楚,[qīng chu] clear; distinct; to understand thoroughly; to be clear about; 
吐痰,[tǔ tán] to spit; to expectorate; 
满满,[mǎn mǎn] full; closely packed; 
记得,[jì de] to remember; 
上班,[shàng bān] to go to work; to be on duty; to start work; to go to the office; 
烟枪,[yān qiāng] opium pipe; 
感到,[gǎn dào] to feel; to sense; to have the feeling that; to think that; to move; to affect; 
感觉,[gǎn jué] to feel; to become aware of; feeling; sense; perception; CL:個|个[ge4]; 
爸爸,[bà ba] (informal) father; CL:個|个[ge4],位[wei4]; 
谁知,[shéi zhī] lit. who knows; who would have thought; unexpectedly; unpredictably; 
云雾,[yún wù] clouds and mist; 
不见,[bù jiàn] not to see; not to meet; to have disappeared; to be missing; 
现在,[xiàn zài] now; at present; at the moment; modern; current; nowadays; 
还是,[hái shi] or; still; nevertheless; had better; 
孩子,[hái zi] child; 
这个,[zhè ge] this; this one; 
房间,[fáng jiān] room; CL:間|间[jian1],個|个[ge4]; 
告诉,[gào su] to tell; to inform; to let know; 
那天,[nà tiān] that day; the other day; 
那时,[nà shí] then; at that time; in those days; 
生气,[shēng qì] to get angry; to take offense; angry; vitality; liveliness; 
为了,[wèi le] in order to; for the purpose of; so as to; 
香烟,[xiāng yān] cigarette; smoke from burning incense; CL:支[zhi1],條|条[tiao2]; 
痛苦,[tòng kǔ] pain; suffering; painful; CL:個|个[ge4]; 
咳嗽,[ké sou] to cough; CL:陣|阵[zhen4]; 
我们,[wǒ men] we; us; ourselves; our; 
一句话,[yī jù huà] in a word; in short; 
怎么办,[zěn me bàn] what's to be done; 
尼古丁,[ní gǔ dīng] nicotine (loanword); 
垃圾桶,[lā jī tǒng] rubbish bin; trash can; garbage can; Taiwan pr. [le4 se4 tong3]; 
千疮百孔,[qiān chuāng bǎi kǒng] riddled with gaping wounds; afflicted with all ills; 
