摆,[bǎi] to arrange; to exhibit; to move to and fro; a pendulum; 
匀,[yún] even; well-distributed; uniform; to distribute evenly; to share; 
包,[Bāo] surname Bao; [bāo] to cover; to wrap; to hold; to include; to take charge of; to contract (to or for); package; wrapper; container; bag; to hold or embrace; bundle; packet; CL:個|个[ge4],隻|只[zhi1]; 
部,[bù] ministry; department; section; part; division; troops; board; classifier for works of literature, films, machines etc; 
十,[shí] ten; 10; 
郁,[yù] variant of 鬱|郁[yu4]; [Yù] surname Yu; [yù] elegant; [yù] old variant of 鬱|郁[yu4]; [Yù] surname Yu; [yù] dense (growth); melancholy; 
单,[Shàn] surname Shan; [dān] bill; list; form; single; only; sole; odd number; CL:個|个[ge4]; 
即,[jí] namely; that is; i.e.; prompt; at once; at present; even if; prompted (by the occasion); to approach; to come into contact; to assume (office); to draw near; 
那,[Nā] surname Na; [Nuó] surname Nuo; [nǎ] variant of 哪[na3]; [nà] that; those; then (in that case); commonly pr. [nei4] before a classifier, esp. in Beijing; [nuó] (archaic) many; beautiful; how; old variant of 挪[nuo2]; 
去,[qù] to go; to go to (a place); to cause to go or send (sb); to remove; to get rid of; (when used either before or after a verb) to go in order to do sth; to be apart from in space or time; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation); (of a time or an event etc) just passed or elapsed; 
友,[yǒu] friend; 
反,[fǎn] contrary; in reverse; inside out or upside down; to reverse; to return; to oppose; opposite; against; anti-; to rebel; to use analogy; instead; abbr. for 反切[fan3 qie4] phonetic system; 
道,[dào] direction; way; road; path; CL:條|条[tiao2],股[gu3]; principle; truth; morality; reason; skill; method; Dao (of Daoism); to say; to speak; to talk; classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process; province (of Korea or Japan); 
发,[fā] to send out; to show (one's feeling); to issue; to develop; classifier for gunshots (rounds); [fà] hair; Taiwan pr. [fa3]; 
这,[zhè] this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing); 
取,[qǔ] to take; to get; to choose; to fetch; 
过,[Guò] surname Guo; [guò] (experienced action marker); to cross; to go over; to pass (time); to celebrate (a holiday); to live; to get along; excessively; too-; 
口,[kǒu] mouth; classifier for things with mouths (people, domestic animals, cannons, wells etc); classifier for bites or mouthfuls; 
身,[shēn] body; life; oneself; personally; one's morality and conduct; the main part of a structure or body; pregnant; classifier for sets of clothes: suit, twinset; Kangxi radical 158; 
赤,[chì] red; scarlet; bare; naked; 
只,[zhǐ] only; merely; just; but; 
资,[zī] resources; capital; to provide; to supply; to support; money; expense; 
可,[kě] can; may; able to; to approve; to permit; to suit; (particle used for emphasis) certainly; very; [kè] see 可汗[ke4 han2]; 
调,[diào] to transfer; to move (troops or cadres); to investigate; to enquire into; accent; view; argument; key (in music); mode (music); tune; tone; melody; [tiáo] to harmonize; to reconcile; to blend; to suit well; to season (food); to provoke; to incite; 
叶,[xié] to be in harmony; [Yè] surname Ye; [yè] leaf; page; lobe; (historical) period; 
吃,[chī] to eat; to consume; to eat at (a cafeteria etc); to eradicate; to destroy; to absorb; to suffer; to stammer (Taiwan pr. for this sense is [ji2]); 
合,[gě] 100 ml; one-tenth of a peck; measure for dry grain equal to one-tenth of sheng 升 or liter, or one-hundredth dou 斗; [hé] to close; to join; to fit; to be equal to; whole; together; round (in battle); conjunction (astronomy); 1st note of pentatonic scale; old variant of 盒[he2]; 
同,[tóng] like; same; similar; together; alike; with; 
后,[Hòu] surname Hou; [hòu] empress; queen; [hòu] back; behind; rear; afterwards; after; later; 
吧,[bā] bar (loanword) (serving drinks, or providing Internet access etc); to puff (on a pipe etc); (onom.) bang; abbr. for 貼吧|贴吧[tie1 ba1]; [ba] (modal particle indicating suggestion or surmise); ...right?; ...OK?; ...I presume.; 
呢,[ne] particle indicating that a previously asked question is to be applied to the preceding word ("What about ...?", "And ...?"); particle for inquiring about location ("Where is ...?"); particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board ("ok?", "are you with me?"); (at the end of a declarative sentence) particle indicating continuation of a state or action; particle indicating strong affirmation; [ní] woolen material; 
味,[wèi] taste; smell; classifier for drugs (in TCM); 
和,[Hé] surname He; Japanese (food, clothes etc); [hé] and; together with; with; sum; union; peace; harmony; Taiwan pr. [han4] when it means "and"; [hè] to compose a poem in reply (to sb's poem) using the same rhyme sequence; to join in the singing; to chime in with others; [hú] to complete a set in mahjong or playing cards; [huó] soft; warm; [huò] to mix together; to blend; 
品,[pǐn] article; commodity; product; goods; kind; grade; rank; character; disposition; nature; temperament; variety; to taste sth; to sample; to criticize; to comment; to judge; to size up; 
圈,[juān] to confine; to lock up; to pen in; [juàn] pen (pig); a fold; [quān] circle; ring; loop; classifier for loops, orbits, laps of race etc; CL:個|个[ge4]; to surround; to circle; 
在,[zài] (located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress); 
地,[de] -ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct; [dì] earth; ground; field; place; land; CL:片[pian4]; 
复,[fù] to go and return; to return; to resume; to return to a normal or original state; to repeat; again; to recover; to restore; to turn over; to reply; to answer; to reply to a letter; to retaliate; to carry out; [fù] to repeat; to double; to overlap; complex (not simple); compound; composite; double; diplo-; duplicate; overlapping; to duplicate; [fù] variant of 復|复[fu4]; to reply to a letter; 
说,[shuì] to persuade; [shuō] to speak; to say; to explain; to scold; to tell off; a theory (usually in compounds such as 日心说 heliocentric theory); 
多,[duō] many; much; often; a lot of; numerous; more; in excess; how (to what extent); multi-; Taiwan pr. [duo2] when it means "how"; 
该,[gāi] should; ought to; probably; must be; to deserve; to owe; to be sb's turn to do sth; that; the above-mentioned; 
大,[dà] big; huge; large; major; great; wide; deep; older (than); oldest; eldest; greatly; very much; (dialect) father; father's elder or younger brother; [dài] see 大夫[dai4 fu5]; 
词,[cí] old variant of 詞|词[ci2]; [cí] word; statement; speech; lyrics; CL:組|组[zu3],個|个[ge4]; classical Chinese poem; CL:首[shou3]; 
天,[tiān] day; sky; heaven; 
好,[hǎo] good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness); (of an unmarried couple) to be close; to be keen on each other; [hào] to be fond of; to have a tendency to; to be prone to; 
记,[jì] to record; to note; to remember; mark; sign; classifier for blows, kicks, shots; 
西,[Xī] the West; abbr. for Spain 西班牙[Xi1 ban1 ya2]; Spanish; [xī] west; 
姜,[Jiāng] surname Jiang; 
字,[zì] letter; symbol; character; word; CL:個|个[ge4]; courtesy or style name traditionally given to males aged 20 in dynastic China; 
葱,[cōng] scallion; green onion; 
孜,[zī] hard-working; industrious; 
菜,[cài] dish (type of food); vegetable; cuisine; CL:盤|盘[pan2],道[dao4]; (coll.) (one's) type; 
完,[wán] to finish; to be over; whole; complete; entire; 
花,[Huā] surname Hua; [huā] flower; blossom; CL:朵[duo3],支[zhi1],束[shu4],把[ba3],盆[pen2],簇[cu4]; fancy pattern; florid; to spend (money, time); 
定,[dìng] to set; to fix; to determine; to decide; to order; 
家,[Jiā] surname Jia; [jiā] home; family; (polite) my (sister, uncle etc); classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian; CL:個|个[ge4]; 
将,[jiāng] will; shall; to use; to take; to checkmate; just a short while ago; [jiàng] general; commander-in-chief (military); king (chess piece); to command; to lead; [qiāng] to desire; to invite; to request; 
小,[xiǎo] small; tiny; few; young; 
至,[zhì] to arrive; most; to; until; 
层,[céng] layer; stratum; laminated; floor (of a building); storey; classifier for layers; repeated; sheaf (math.); 
带,[dài] band; belt; girdle; ribbon; tire; area; zone; region; CL:條|条[tiao2]; to wear; to carry; to take along; to bear (i.e. to have); to lead; to bring; to look after; to raise; 
自,[zì] from; self; oneself; since; 
干,[gān] old variant of 乾|干[gan1]; [Gān] surname Gan; [gān] dry; clean; in vain; dried food; foster; adoptive; to ignore; [gān] variant of 乾|干[gan1]; [gān] to concern; to interfere; shield; stem; [gàn] tree trunk; main part of sth; to manage; to work; to do; capable; cadre; to kill (slang); to fuck (vulgar); 
年,[Nián] surname Nian; [nián] year; CL:個|个[ge4]; 
应,[Yìng] surname Ying; [yīng] to agree (to do sth); should; ought to; must; (legal) shall; [yìng] to answer; to respond; to comply with; to deal or cope with; 
腹,[fù] abdomen; stomach; belly; 
底,[de] (equivalent to 的 as possessive particle); [dǐ] background; bottom; base; end (of the month, year etc); remnants; 
店,[diàn] inn; shop; store; CL:家[jia1]; 
度,[dù] to pass; to spend (time); measure; limit; extent; degree of intensity; degree (angles, temperature etc); kilowatt-hour; classifier for events and occurrences; [duó] to estimate; Taiwan pr. [duo4]; 
式,[shì] type; form; pattern; style; 
彼,[bǐ] that; those; (one) another; 
很,[hěn] (adverb of degree); quite; very; awfully; 
得,[dé] to obtain; to get; to gain; to catch (a disease); proper; suitable; proud; contented; to allow; to permit; ready; finished; [de] structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc; [děi] to have to; must; ought to; to need to; 
惯,[guàn] accustomed to; used to; indulge; to spoil (a child); 
想,[xiǎng] to think; to believe; to suppose; to wish; to want; to miss (feel wistful about the absence of sb or sth); 
感,[gǎn] to feel; to move; to touch; to affect; feeling; emotion; (suffix) sense of ~; 
懂,[dǒng] to understand; to comprehend; 
成,[Chéng] surname Cheng; [chéng] to succeed; to finish; to complete; to accomplish; to become; to turn into; to be all right; OK!; one tenth; 
我,[wǒ] I; me; my; 
找,[zhǎo] to try to find; to look for; to call on sb; to find; to seek; to return; to give change; 
抹,[mā] to wipe; [mǒ] to smear; to wipe; to erase; classifier for wisps of cloud, light-beams etc; [mò] to plaster; to go around; to skirt; 
括,[kuò] to enclose; to include; also pr. [gua1]; 
指,[zhǐ] finger; to point at or to; to indicate or refer to; to depend on; to count on; (of hair) to stand on end; 
腌,[yān] variant of 醃|腌[yan1]; 
控,[kòng] to control; to accuse; to charge; to sue; to invert a container to empty it; (suffix) (slang) buff; enthusiast; devotee; -phile or -philia; 
能,[Néng] surname Neng; [néng] to be able to; to be capable of; ability; capability; able; capable; can possibly; (usually used in the negative) to have the possibility of; 
胡,[Hú] surname Hu; [hú] non-Han people, esp. from central Asia; reckless; outrageous; what?; why?; to complete a winning hand at mahjong (also written 和[hu2]); 
撒,[sā] to let go; to cast; to let loose; to discharge; to give expression to; [sǎ] to scatter; to sprinkle; to spill; 
放,[fàng] to release; to free; to let go; to put; to place; to let out; to set off (fireworks); 
料,[liào] material; stuff; grain; feed; to expect; to anticipate; to guess; 
背,[bēi] to be burdened; to carry on the back or shoulder; [bèi] the back of a body or object; to turn one's back; to hide something from; to learn by heart; to recite from memory; unlucky (slang); hard of hearing; 
方,[Fāng] surname Fang; [fāng] square; power or involution (mathematics); upright; honest; fair and square; direction; side; party (to a contract, dispute etc); place; method; prescription (medicine); just when; only or just; classifier for square things; abbr. for square or cubic meter; 
肠,[cháng] intestines; [cháng] old variant of 腸|肠[chang2]; 
时,[shí] old variant of 時|时[shi2]; [Shí] surname Shi; [shí] o'clock; time; when; hour; season; period; 
是,[shì] is; are; am; yes; to be; 
更,[gēng] to change or replace; to experience; one of the five two hour periods into which the night was formerly divided; watch (e.g. of a sentry or guard); [gèng] more; even more; further; still; still more; 
有,[yǒu] to have; there is; there are; to exist; to be; 
本,[běn] roots or stems of plants; origin; source; this; the current; root; foundation; basis; classifier for books, periodicals, files etc; originally; 
而,[ér] and; as well as; and so; but (not); yet (not); (indicates causal relation); (indicates change of state); (indicates contrast); 
材,[cái] material; timber; ability; aptitude; a capable individual; coffin (old); 
翻,[fān] to turn over; to flip over; to overturn; to rummage through; to translate; to decode; to double; to climb over or into; to cross; 
条,[tiáo] strip; item; article; clause (of law or treaty); classifier for long thin things (ribbon, river, road, trousers etc); 
果,[guǒ] fruit; result; resolute; indeed; if really; 
梗,[gěng] branch; stem; stalk; CL:根[gen1]; to block; to hinder; 
椒,[jiāo] pepper; 
正,[zhēng] first month of the lunar year; [zhèng] just (right); main; upright; straight; correct; positive; greater than zero; principle; to correct; to rectify; 
此,[cǐ] this; these; 
水,[Shuǐ] surname Shui; [shuǐ] water; river; liquid; beverage; additional charges or income; (of clothes) classifier for number of washes; 
网,[wǎng] net; network; 
没,[méi] (negative prefix for verbs); have not; not; [mò] drowned; to end; to die; to inundate; 
结,[jiē] to bear fruit; to produce; firm; solid; [jié] knot; sturdy; bond; to tie; to bind; to check out (of a hotel); 
油,[yóu] oil; fat; grease; petroleum; to apply tung oil, paint or varnish; oily; greasy; glib; cunning; 
洗,[xǐ] to wash; to bathe; to develop (photo); 
组,[Zǔ] surname Zu; [zǔ] to form; to organize; group; team; classifier for sets, series, groups of people, batteries; 
浓,[nóng] concentrated; dense; strong (smell etc); 
纸,[zhǐ] variant of 紙|纸[zhi3]; [zhǐ] paper; CL:張|张[zhang1],沓[da2]; classifier for documents, letter etc; 
海,[Hǎi] surname Hai; [hǎi] ocean; sea; CL:個|个[ge4],片[pian4]; great number of people or things; (dialect) numerous; 
滤,[lù:] to strain; to filter; 
烘,[hōng] to bake; to heat by fire; to set off by contrast; 
约,[yāo] to weigh in a balance or on a scale; [yuē] to make an appointment; to invite; approximately; pact; treaty; to economize; to restrict; to reduce (a fraction); concise; 
烤,[kǎo] to roast; to bake; to broil; 
红,[Hóng] surname Hong; [hóng] red; popular; revolutionary; bonus; 
粉,[fěn] powder; cosmetic face powder; food prepared from starch; noodles or pasta made from any kind of flour; whitewash; white; pink; 
热,[rè] to warm up; to heat up; hot (of weather); heat; fervent; 
烹,[pēng] cooking method; to boil sb alive (capital punishment in Imperial China); 
箱,[xiāng] box; trunk; chest; 
然,[rán] correct; right; so; thus; like this; -ly; 
熇,[kǎo] dry; 
片,[piān] disk; sheet; [piàn] thin piece; flake; a slice; film; TV play; to slice; to carve thin; partial; incomplete; one-sided; classifier for slices, tablets, tract of land, area of water; classifier for CDs, movies, DVDs etc; used with numeral 一[yi1]: classifier for scenario, scene, feeling, atmosphere, sound etc; 
现,[xiàn] to appear; present; now; existing; current; 
用,[yòng] to use; to employ; to have to; to eat or drink; expense or outlay; usefulness; hence; therefore; 
由,[yóu] to follow; from; it is for...to; reason; cause; because of; due to; to; to leave it (to sb); by (introduces passive verb); 
百,[Bǎi] surname Bai; [bǎi] hundred; numerous; all kinds of; 
科,[kē] branch of study; administrative section; division; field; branch; stage directions; family (taxonomy); rules; laws; to mete out (punishment); to levy (taxes etc); to fine sb; CL:個|个[ge4]; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
盐,[yán] salt; CL:粒[li4]; 
盘,[pán] plate; dish; tray; board; hard drive (computing); to build; to coil; to check; to examine; to transfer (property); to make over; classifier for food: dish, helping; to coil; classifier for coils of wire; classifier for games of chess; 
种,[zhǒng] seed; species; kind; type; classifier: type, kind, sort; [zhòng] to plant; to grow; to cultivate; 
真,[zhēn] really; truly; indeed; real; true; genuine; 
知,[zhī] to know; to be aware; 
鳞,[lín] scales (of fish); 
知道,[zhī dào] to know; to become aware of; also pr. [zhi1 dao5]; 
一种,[yī zhǒng] one kind of; one type of; 
,
烤箱,[kǎo xiāng] oven; 
烤盘,[kǎo pán] baking tray; 
烘烤,[hōng kǎo] to roast; to bake; 
鲫鱼,[jì yú] Crucian carp; 
浓郁,[nóng yù] rich; strong; heavy (fragrance); dense; full-bodied; intense; 
洗净,[xǐ jìng] to wash clean; 
组成,[zǔ chéng] to form; to make up; to constitute; 
没错,[méi cuò] that's right; sure!; rest assured!; that's good; can't go wrong; 
结果,[jiē guǒ] to bear fruit; CL:個|个[ge4]; [jié guǒ] outcome; result; conclusion; in the end; as a result; to kill; to dispatch; 
水分,[shuǐ fèn] moisture content; (fig.) overstatement; padding; 
网友,[wǎng yǒu] online friend; Internet user; 
材料,[cái liào] material; data; makings; stuff; CL:個|个[ge4],種|种[zhong3]; 
本地,[běn dì] local; this locality; 
方式,[fāng shì] way (of life); pattern; style; mode; manner; CL:個|个[ge4]; 
料酒,[liào jiǔ] cooking wine; 
摆放,[bǎi fàng] to set up; to arrange; to lay out; 
一道,[yī dào] together; 
上海,[Shàng hǎi] Shanghai municipality, central east China, abbr. to 滬|沪[Hu4]; 
指出,[zhǐ chū] to indicate; to point out; 
腌制,[yān zhì] marinated; to make by pickling, salting or curing; 
应该,[yīng gāi] ought to; should; must; 
带有,[dài yǒu] to have; to involve; 
自然,[zì rán] nature; natural; naturally; 
小时,[xiǎo shí] hour; CL:個|个[ge4]; 
完全,[wán quán] complete; whole; totally; entirely; 
花椒,[huā jiāo] Sichuan pepper; Chinese prickly ash; 
孜然,[zī rán] cumin (Cuminum cyminum); 
菜单,[cài dān] menu; CL:份[fen4],張|张[zhang1]; 
字典,[zì diǎn] dictionary; character dictionary; CL:本[ben3]; 
好多,[hǎo duō] many; quite a lot; much better; 
西部,[xī bù] western part; 
好吃,[hǎo chī] tasty; delicious; [hào chī] to be fond of eating; to be gluttonous; 
记得,[jì de] to remember; 
大家,[dà jiā] everyone; influential family; great expert; 
词典,[cí diǎn] dictionary (of Chinese compound words); also written 辭典|辞典[ci2 dian3]; CL:部[bu4],本[ben3]; 
多种,[duō zhǒng] many kinds of; multiple; diverse; multi-; 
复合,[fù hé] to be reunited; [fù hé] complex; compound; hybrid; 
盘底,[pán dǐ] to interrogate and get to the bottom of sth; 
调料,[tiáo liào] condiment; seasoning; flavoring; 
只是,[zhǐ shì] merely; simply; only; but; 
资料,[zī liào] material; resources; data; information; profile (Internet); CL:份[fen4],個|个[ge4]; 
口感,[kǒu gǎn] taste; texture (of food); how food feels in the mouth; 
口味,[kǒu wèi] a person's preferences; tastes (in food); flavor; 
身上,[shēn shang] on the body; at hand; among; 
取出,[qǔ chū] to take out; to extract; to draw out; 
发现,[fā xiàn] to find; to discover; 
反正,[fǎn zhèng] anyway; in any case; to come over from the enemy's side; 
即可,[jí kě] equivalent to 就可以; can then (do sth); can immediately (do sth); (do sth) and that will suffice; 
那是,[nà shi] (coll.) of course; naturally; indeed; 
十三,[shí sān] thirteen; 13; 
包括,[bāo kuò] to comprise; to include; to involve; to incorporate; to consist of; 
加料,[jiā liào] to feed in; to load (raw material, supplies, fuel etc); to supply; fortified (with added material); 
分钟,[fēn zhōng] minute; 
分别,[fēn bié] to part or leave each other; to distinguish; difference; in different ways; differently; separately or individually; 
再入,[zài rù] to re-enter; 
做出,[zuò chū] to put out; to issue; 
今天,[jīn tiān] today; at the present; now; 
香醋,[xiāng cù] aromatic vinegar; balsamic vinegar; 
为此,[wèi cǐ] for this reason; with regards to this; in this respect; in order to do this; to this end; 
香菜,[xiāng cài] coriander; cilantro; Coriandrum sativum; 
中层,[zhōng céng] middle-ranking; 
两面,[liǎng miàn] both sides; 
风味,[fēng wèi] distinctive flavor; distinctive style; 
不是,[bú shi] fault; blame; [bù shì] no; is not; not; 
不同,[bù tóng] different; distinct; not the same; not alike; 
饭店,[fàn diàn] restaurant; hotel; CL:家[jia1],個|个[ge4]; 
上都,[Shàng dū] Shangdu, also known as Xanadu, summer capital of the Yuan Dynasty (1279-1368); 
香味,[xiāng wèi] fragrance; bouquet; sweet smell; CL:股[gu3]; 
香料,[xiāng liào] spice; flavoring; condiment; perfume; 
香油,[xiāng yóu] sesame oil; perfumed oil; 
可能,[kě néng] might (happen); possible; probable; possibility; probability; maybe; perhaps; CL:個|个[ge4]; 
为什么,[wèi shén me] why?; for what reason?; 
香菜叶,[xiāng cài yè] coriander leaf; 
一年多,[yī nián duō] more than a year; 
胡椒粉,[hú jiāo fěn] ground pepper (i.e. powder); 
约定俗成,[yuē dìng sú chéng] established by popular usage (idiom); common usage agreement; customary convention; 
百科全书,[bǎi kē quán shū] encyclopedia; CL:本[ben3],集[ji2]; 
习惯成自然,[xí guàn chéng zì rán] habit becomes nature (idiom); get used to something and it seems inevitable; second nature; 
