掏,[tāo] to fish out (from pocket); to scoop; 
英,[Yīng] United Kingdom; British; England; English; abbr. for 英國|英国[Ying1 guo2]; [yīng] brave; 
好,[hǎo] good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness); (of an unmarried couple) to be close; to be keen on each other; [hào] to be fond of; to have a tendency to; to be prone to; 
花,[Huā] surname Hua; [huā] flower; blossom; CL:朵[duo3],支[zhi1],束[shu4],把[ba3],盆[pen2],簇[cu4]; fancy pattern; florid; to spend (money, time); 
子,[zǐ] son; child; seed; egg; small thing; 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat; Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; [zi] (noun suffix); 
孤,[gū] lone; lonely; 
舞,[wǔ] to dance; to wield; to brandish; 
定,[dìng] to set; to fix; to determine; to decide; to order; 
小,[xiǎo] small; tiny; few; young; 
自,[zì] from; self; oneself; since; 
脚,[jiǎo] foot; leg (of an animal or an object); base (of an object); CL:雙|双[shuang1],隻|只[zhi1]; classifier for kicks; [jué] variant of 角[jue2]; role; 
就,[jiù] at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning; 
屋,[wū] house; room; CL:間|间[jian1],個|个[ge4]; 
己,[jǐ] self; oneself; sixth of the ten Heavenly Stems 十天干[shi2 tian1 gan1]; sixth in order; letter "F" or roman "VI" in list "A, B, C", or "I, II, III" etc; hexa; 
床,[chuáng] bed; couch; classifier for beds; CL:張|张[zhang1]; 
往,[wǎng] to go (in a direction); to; towards; (of a train) bound for; past; previous; 
得,[dé] to obtain; to get; to gain; to catch (a disease); proper; suitable; proud; contented; to allow; to permit; ready; finished; [de] structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc; [děi] to have to; must; ought to; to need to; 
心,[xīn] heart; mind; intention; center; core; CL:顆|颗[ke1],個|个[ge4]; 
胡,[Hú] surname Hu; [hú] non-Han people, esp. from central Asia; reckless; outrageous; what?; why?; to complete a winning hand at mahjong (also written 和[hu2]); 
快,[kuài] rapid; quick; speed; rate; soon; almost; to make haste; clever; sharp (of knives or wits); forthright; plain-spoken; gratified; pleased; pleasant; 
耍,[Shuǎ] surname Shua; [shuǎ] to play with; to wield; to act (cool etc); to display (a skill, one's temper etc); 
忽,[Hū] surname Hu; [hū] to neglect; to overlook; to ignore; suddenly; 
老,[lǎo] prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity; old (of people); venerable (person); experienced; of long standing; always; all the time; of the past; very; outdated; (of meat etc) tough; 
怕,[Pà] surname Pa; [pà] to be afraid; to fear; to dread; to be unable to endure; perhaps; 
慕,[mù] to admire; 
手,[shǒu] hand; (formal) to hold; person engaged in certain types of work; person skilled in certain types of work; personal(ly); convenient; classifier for skill; CL:雙|双[shuang1],隻|只[zhi1]; 
翩,[piān] to fly fast; 
扭,[niǔ] to turn; to twist; to wring; to sprain; to swing one's hips; 
把,[bǎ] to hold; to contain; to grasp; to take hold of; handle; particle marking the following noun as a direct object; classifier for objects with handle; classifier for small objects: handful; [bà] handle; 
拿,[ná] to hold; to seize; to catch; to apprehend; to take; (used in the same way as 把[ba3]: to mark the following noun as a direct object); 
,
笑,[xiào] laugh; smile; CL:個|个[ge4]; 
竟,[jìng] unexpectedly; actually; to go so far as to; indeed; 
摔,[shuāi] to throw down; to fall; to drop and break; 
窗,[chuāng] shutter; window; CL:扇[shan4]; 
是,[shì] is; are; am; yes; to be; 
有,[yǒu] to have; there is; there are; to exist; to be; 
朝,[Cháo] abbr. for 朝鮮|朝鲜[Chao2 xian3] Korea; [cháo] imperial or royal court; government; dynasty; reign of a sovereign or emperor; court or assembly held by a sovereign or emperor; to make a pilgrimage to; facing; towards; [zhāo] morning; 
来,[lái] to come; to arrive; to come round; ever since; next; 
果,[guǒ] fruit; result; resolute; indeed; if really; 
穿,[chuān] to bore through; to pierce; to perforate; to penetrate; to pass through; to dress; to wear; to put on; to thread; 
样,[yàng] manner; pattern; way; appearance; shape; CL:個|个[ge4]; 
梦,[mèng] dream; CL:場|场[chang2],個|个[ge4]; 
空,[kōng] empty; air; sky; in vain; [kòng] to empty; vacant; unoccupied; space; leisure; free time; 
欢,[huān] variant of 歡|欢[huan1]; [huān] joyous; happy; pleased; [huān] hubbub; clamor; variant of 歡|欢[huan1]; [huān] a breed of horse; variant of 歡|欢[huan1]; 
神,[Shén] God; abbr. for 神舟[Shen2 zhou1]; [shén] deity; soul; spirit; unusual; mysterious; lively; expressive; expression; look; CL:個|个[ge4]; (slang) awesome; amazing; 
歌,[gē] song; CL:支[zhi1],首[shou3]; to sing; 
睡,[shuì] to sleep; to lie down; 
此,[cǐ] this; these; 
气,[qì] gas; air; smell; weather; to make angry; to annoy; to get angry; vital energy; qi; 
水,[Shuǐ] surname Shui; [shuǐ] water; river; liquid; beverage; additional charges or income; (of clothes) classifier for number of washes; 
法,[Fǎ] France; French; abbr. for 法國|法国[Fa3 guo2]; Taiwan pr. [Fa4]; [fǎ] law; method; way; Buddhist teaching; Legalist; 
洁,[jié] clean; 
着,[zhāo] (chess) move; trick; all right!; (dialect) to add; [zháo] to touch; to come in contact with; to feel; to be affected by; to catch fire; to fall asleep; to burn; [zhe] aspect particle indicating action in progress; [zhuó] to wear (clothes); to contact; to use; to apply; 
活,[huó] to live; alive; living; work; workmanship; 
眯,[mí] to blind (as with dust); Taiwan pr. [mi3]; 
深,[shēn] close; deep; late; profound; dark (of color, water etc); 
真,[zhēn] really; truly; indeed; real; true; genuine; 
然,[rán] correct; right; so; thus; like this; -ly; 
熊,[Xióng] surname Xiong; [xióng] bear; to scold; to rebuke; brilliant light; to shine brightly; 
爱,[ài] to love; affection; to be fond of; to like; 
爷,[yé] grandpa; old gentleman; 
片,[piān] disk; sheet; [piàn] thin piece; flake; a slice; film; TV play; to slice; to carve thin; partial; incomplete; one-sided; classifier for slices, tablets, tract of land, area of water; classifier for CDs, movies, DVDs etc; used with numeral 一[yi1]: classifier for scenario, scene, feeling, atmosphere, sound etc; 
玩,[wán] toy; sth used for amusement; curio or antique (Taiwan pr. [wan4]); to play; to have fun; to trifle with; to keep sth for entertainment; 
看,[kān] to look after; to take care of; to watch; to guard; [kàn] to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (an illness); to depend on; to feel (that); (after verb) to give it a try; Watch out! (for a danger); 
现,[xiàn] to appear; present; now; existing; current; 
瓶,[píng] bottle; vase; pitcher; CL:個|个[ge4]; classifier for wine and liquids; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
留,[liú] to leave (a message etc); to retain; to stay; to remain; to keep; to preserve; 
白,[Bái] surname Bai; [bái] white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera; 
鼠,[shǔ] rat; mouse; CL:隻|只[zhi1]; 
留下,[liú xià] to leave behind; to stay behind; to remain; to keep; not to let (sb) go; 
玩耍,[wán shuǎ] to enjoy oneself; an entertainment; to play (of children); 
深深,[shēn shēn] deep; profound; 
真是,[zhēn shi] indeed; truly; (coll.) (used to express disapproval, annoyance etc about sth); 
马上,[mǎ shàng] at once; right away; immediately; on horseback (i.e. by military force); 
洁白,[jié bái] spotlessly white; pure white; 
歌声,[gē shēng] singing voice; fig. original voice of a poet; 
欢快,[huān kuài] cheerful and lighthearted; lively; 
梦见,[mèng jiàn] to dream; to see in a dream; 
空中,[kōng zhōng] in the sky; in the air; 
果然,[guǒ rán] really; sure enough; as expected; if indeed; 
穿上,[chuān shang] to put on (clothes etc); 
摔伤,[shuāi shāng] bump; bruise; child's injury from falling; 
掏出,[tāo chū] to fish out; to take out (from a pocket, bag etc); 
竟然,[jìng rán] unexpectedly; to one's surprise; in spite of everything; in that crazy way; actually; to go as far as to; 
一样,[yī yàng] same; like; equal to; the same as; just like; 
一片,[yī piàn] piece; slice; 
笑语,[xiào yǔ] talking and laughing; cheerful talk; 
拿起,[ná qǐ] to pick up; 
,
手里,[shǒu lǐ] in hand; (a situation is) in sb's hands; 
雪花,[xuě huā] snowflake; 
忽然,[hū rán] suddenly; all of a sudden; 
下雪,[xià xuě] to snow; 
老鼠,[lǎo shǔ] rat; mouse; CL:隻|只[zhi1]; 
快活,[kuài huo] happy; cheerful; 
心里,[xīn li] chest; heart; mind; 
,
小心,[xiǎo xīn] to be careful; to take care; 
脚印,[jiǎo yìn] footprint; 
小屋,[xiǎo wū] cabin; lodge; cottage; chalet; hut; shed; 
自己,[zì jǐ] oneself; one's own; 
不怕,[bù pà] fearless; not worried (by setbacks or difficulties); even if; even though; 
什么,[shén me] what?; who?; something; anything; 
瓶子,[píng zi] bottle; CL:個|个[ge4]; 
奇迹,[qí jì] miracle; miraculous; wonder; marvel; 
大地,[dà dì] earth; mother earth; 
从此,[cóng cǐ] from now on; since then; henceforth; 
地上,[dì shang] on the ground; on the floor; 
衣袋,[yī dài] pocket; 
衣裳,[yī shang] clothes; 
吵醒,[chǎo xǐng] to wake sb up with a noise; 
可爱,[kě ài] adorable; cute; lovely; 
可是,[kě shì] but; however; (used for emphasis) indeed; 
只是,[zhǐ shì] merely; simply; only; but; 
只得,[zhǐ dé] to have no alternative but to; to be obliged to; 
受伤,[shòu shāng] to sustain injuries; wounded (in an accident etc); harmed; 
发现,[fā xiàn] to find; to discover; 
他们,[tā men] they; 
原来,[yuán lái] original; former; originally; formerly; at first; so, actually, as it turns out; 
办法,[bàn fǎ] means; method; way (of doing sth); CL:條|条[tiao2],個|个[ge4]; 
到了,[dào liǎo] at last; finally; in the end; 
出现,[chū xiàn] to appear; to arise; to emerge; to show up; 
再也,[zài yě] (not) any more; 
伙伴,[huǒ bàn] partner; companion; comrade; 
传来,[chuán lái] (of a sound) to come through; to be heard; (of news) to arrive; 
还是,[hái shi] or; still; nevertheless; had better; 
,
蒲公英,[pú gōng yīng] dandelion; Taraxacum mongolicum; 
孤零零,[gū líng líng] lone; isolated and without help; all alone; solitary; 
老爷爷,[lǎo yé ye] (coll.) father's father's father; paternal great-grandfather; 
说不定,[shuō bu dìng] can't say for sure; maybe; 
笑眯眯,[xiào mī mī] beaming; all smiles; 
一会儿,[yī huì r] a moment; a while; in a moment; now...now...; also pr. [yi1 hui3 r5]; 
一口气,[yī kǒu qì] one breath; in one breath; at a stretch; 
自言自语,[zì yán zì yǔ] to talk to oneself; to think aloud; to soliloquize; 
活蹦乱跳,[huó bèng luàn tiào] to leap and frisk about (idiom); lively; healthy and active; 
载歌载舞,[zài gē zài wǔ] singing and dancing (idiom); festive celebrations; 
翩翩起舞,[piān piān qǐ wǔ] (to start) dancing lightly and gracefully; 
