料,[liào] material; stuff; grain; feed; to expect; to anticipate; to guess; 
就,[jiù] at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning; 
层,[céng] layer; stratum; laminated; floor (of a building); storey; classifier for layers; repeated; sheaf (math.); 
屑,[xiè] bits; fragments; crumbs; filings; trifling; trivial; to condescend to; 
已,[yǐ] already; to stop; then; afterwards; 
布,[bù] cloth; to declare; to announce; to spread; to make known; 
常,[Cháng] surname Chang; [cháng] always; ever; often; frequently; common; general; constant; 
干,[gān] old variant of 乾|干[gan1]; [Gān] surname Gan; [gān] dry; clean; in vain; dried food; foster; adoptive; to ignore; [gān] variant of 乾|干[gan1]; [gān] to concern; to interfere; shield; stem; [gàn] tree trunk; main part of sth; to manage; to work; to do; capable; cadre; to kill (slang); to fuck (vulgar); 
应,[Yìng] surname Ying; [yīng] to agree (to do sth); should; ought to; must; (legal) shall; [yìng] to answer; to respond; to comply with; to deal or cope with; 
底,[de] (equivalent to 的 as possessive particle); [dǐ] background; bottom; base; end (of the month, year etc); remnants; 
开,[kāi] to open; to start; to turn on; to boil; to write out (a prescription, check, invoice etc); to operate (vehicle); abbr. for 開爾文|开尔文 degrees Kelvin; 
式,[shì] type; form; pattern; style; 
很,[hěn] (adverb of degree); quite; very; awfully; 
得,[dé] to obtain; to get; to gain; to catch (a disease); proper; suitable; proud; contented; to allow; to permit; ready; finished; [de] structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc; [děi] to have to; must; ought to; to need to; 
您,[nín] you (courteous, as opposed to informal 你[ni3]); 
想,[xiǎng] to think; to believe; to suppose; to wish; to want; to miss (feel wistful about the absence of sb or sth); 
慢,[màn] slow; 
成,[Chéng] surname Cheng; [chéng] to succeed; to finish; to complete; to accomplish; to become; to turn into; to be all right; OK!; one tenth; 
我,[wǒ] I; me; my; 
或,[huò] maybe; perhaps; might; possibly; or; 
打,[dá] dozen (loanword); [dǎ] to beat; to strike; to hit; to break; to type; to mix up; to build; to fight; to fetch; to make; to tie up; to issue; to shoot; to calculate; to play (a game); since; from; 
把,[bǎ] to hold; to contain; to grasp; to take hold of; handle; particle marking the following noun as a direct object; classifier for objects with handle; classifier for small objects: handful; [bà] handle; 
抹,[mā] to wipe; [mǒ] to smear; to wipe; to erase; classifier for wisps of cloud, light-beams etc; [mò] to plaster; to go around; to skirt; 
拌,[bàn] to mix; to mix in; to toss (a salad); 
拔,[bá] to pull up; to pull out; to draw out by suction; to select; to pick; to stand out (above level); to surpass; to seize; 
拿,[ná] to hold; to seize; to catch; to apprehend; to take; (used in the same way as 把[ba3]: to mark the following noun as a direct object); 
按,[àn] to press; to push; to leave aside or shelve; to control; to restrain; to keep one's hand on; to check or refer to; according to; in the light of; (of an editor or author) to make a comment; 
捣,[dǎo] pound; beat; hull; attack; disturb; stir; 
插,[chā] to insert; stick in; pierce; to take part in; to interfere; to interpose; 
搅,[jiǎo] to disturb; to annoy; to mix; to stir; 
撮,[cuō] to pick up (a powder etc) with the fingertips; to scoop up; to collect together; to extract; to gather up; classifier: pinch; [zuǒ] classifier for hair or grass: tuft; 
放,[fàng] to release; to free; to let go; to put; to place; to let out; to set off (fireworks); 
丁,[Dīng] surname Ding; [dīng] fourth of the ten Heavenly Stems 十天干[shi2 tian1 gan1]; fourth in order; letter "D" or roman "IV" in list "A, B, C", or "I, II, III" etc; butyl; cubes (of food); 
新,[Xīn] abbr. for Xinjiang 新疆[Xin1 jiang1] or Singapore 新加坡[Xin1 jia1 po1]; surname Xin; [xīn] new; newly; meso- (chemistry); 
方,[Fāng] surname Fang; [fāng] square; power or involution (mathematics); upright; honest; fair and square; direction; side; party (to a contract, dispute etc); place; method; prescription (medicine); just when; only or just; classifier for square things; abbr. for square or cubic meter; 
时,[shí] old variant of 時|时[shi2]; [Shí] surname Shi; [shí] o'clock; time; when; hour; season; period; 
是,[shì] is; are; am; yes; to be; 
最,[zuì] most; the most; -est (superlative suffix); 
有,[yǒu] to have; there is; there are; to exist; to be; 
木,[Mù] surname Mu; [mù] tree; wood; coffin; wooden; simple; numb; one of the eight ancient musical instruments 八音[ba1 yin1]; 
材,[cái] material; timber; ability; aptitude; a capable individual; coffin (old); 
来,[lái] to come; to arrive; to come round; ever since; next; 
果,[guǒ] fruit; result; resolute; indeed; if really; 
样,[yàng] manner; pattern; way; appearance; shape; CL:個|个[ge4]; 
植,[zhí] to plant; 
止,[zhǐ] to stop; to prohibit; until; only; 
比,[Bǐ] Belgium; Belgian; abbr. for 比利時|比利时[Bi3 li4 shi2]; [bǐ] (particle used for comparison and "-er than"); to compare; to contrast; to gesture (with hands); ratio; [bì] to associate with; to be near; 
毫,[háo] hair; drawing brush; (in the) least; one thousandth; currency unit, 0.1 yuan; 
水,[Shuǐ] surname Shui; [shuǐ] water; river; liquid; beverage; additional charges or income; (of clothes) classifier for number of washes; 
求,[qiú] to seek; to look for; to request; to demand; to beseech; 
没,[méi] (negative prefix for verbs); have not; not; [mò] drowned; to end; to die; to inundate; 
油,[yóu] oil; fat; grease; petroleum; to apply tung oil, paint or varnish; oily; greasy; glib; cunning; 
法,[Fǎ] France; French; abbr. for 法國|法国[Fa3 guo2]; Taiwan pr. [Fa4]; [fǎ] law; method; way; Buddhist teaching; Legalist; 
泥,[ní] mud; clay; paste; pulp; [nì] restrained; 
测,[cè] side; to lean; to survey; to measure; conjecture; 
涂,[tú] to apply (paint etc); to smear; to daub; to blot out; to scribble; to scrawl; (literary) mud; street; [Tú] surname Tu; [tú] variant of 途[tu2]; 
淘,[táo] to wash; to clean out; to cleanse; to eliminate; to dredge; 
混,[hún] confused; dirty; to mix; muddy; variant of 渾|浑[hun2]; [hùn] to mix; to mingle; muddled; to drift along; to muddle along; to pass for; to get along with sb; thoughtless; reckless; 
鸡,[jī] fowl; chicken; CL:隻|只[zhi1]; (slang) prostitute; 
温,[Wēn] surname Wen; [wēn] warm; lukewarm; temperature; to warm up; mild; soft; tender; to review; to revise; epidemic; 
点,[diǎn] point; dot; drop; speck; o'clock; point (in space or time); to draw a dot; to check on a list; to choose; to order (food in a restaurant); to touch briefly; to hint; to light; to ignite; to pour a liquid drop by drop; (old) one fifth of a two-hour watch 更[geng1]; dot stroke in Chinese characters; classifier for items; 
然,[rán] correct; right; so; thus; like this; -ly; 
煮,[zhǔ] to cook; to boil; 
煲,[bāo] pot or saucepan; to boil; cook or heat; 
熟,[shú] cooked (of food); ripe (of fruit); mature (of seeds); familiar; skilled; done; also pr. [shou2]; 
牙,[yá] tooth; ivory; CL:顆|颗[ke1]; 
牛,[Niú] surname Niu; [niú] ox; cow; bull; CL:條|条[tiao2],頭|头[tou2]; (slang) awesome; 
物,[wù] thing; object; matter; abbr. for physics 物理; 
瓶,[píng] bottle; vase; pitcher; CL:個|个[ge4]; classifier for wine and liquids; 
甜,[tián] sweet; 
用,[yòng] to use; to employ; to have to; to eat or drink; expense or outlay; usefulness; hence; therefore; 
电,[diàn] electric; electricity; electrical; 
鲜,[xiǎn] variant of 鮮|鲜[xian3]; [xiǎn] variant of 尟|鲜[xian3]; [xiān] fresh; bright (in color); delicious; tasty; delicacy; aquatic foods; [xiǎn] few; rare; [xiān] fish; old variant of 鮮|鲜[xian1]; [xiǎn] old variant of 鮮|鲜[xian3]; 
白,[Bái] surname Bai; [bái] white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
盐,[yán] salt; CL:粒[li4]; 
盖,[Gě] surname Ge; [gài] lid; top; cover; canopy; to cover; to conceal; to build; 
直,[Zhí] surname Zhi; Zhi (c. 2000 BC), fifth of the legendary Flame Emperors 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God; [zhí] straight; to straighten; fair and reasonable; frank; straightforward; (indicates continuing motion or action); vertical; vertical downward stroke in Chinese characters; 
着,[zhāo] (chess) move; trick; all right!; (dialect) to add; [zháo] to touch; to come in contact with; to feel; to be affected by; to catch fire; to fall asleep; to burn; [zhe] aspect particle indicating action in progress; [zhuó] to wear (clothes); to contact; to use; to apply; 
碎,[suì] to break down; to break into pieces; fragmentary; 
碗,[wǎn] bowl; cup; CL:隻|只[zhi1],個|个[ge4]; 
碟,[dié] dish; plate; 
等,[děng] class; rank; grade; equal to; same as; to wait for; to await; et cetera; and so on; et al. (and other authors); after; as soon as; once; 
签,[qiān] to sign one's name; visa; variant of 籤|签[qian1]; [qiān] Japanese variant of 籤|签[qian1]; [qiān] inscribed bamboo stick (used in divination, gambling, drawing lots etc); small wood sliver; label; tag; 
籽,[zǐ] seeds; 
粉,[fěn] powder; cosmetic face powder; food prepared from starch; noodles or pasta made from any kind of flour; whitewash; white; pink; 
精,[jīng] essence; extract; vitality; energy; semen; sperm; mythical goblin spirit; highly perfected; elite; the pick of sth; proficient (refined ability); extremely (fine); selected rice (archaic); 
糕,[gāo] cake; 
糖,[táng] sugar; sweets; candy; CL:顆|颗[ke1],塊|块[kuai4]; 
约,[yāo] to weigh in a balance or on a scale; [yuē] to make an appointment; to invite; approximately; pact; treaty; to economize; to restrict; to reduce (a fraction); concise; 
经,[Jīng] surname Jing; [jīng] classics; sacred book; scripture; to pass through; to undergo; to bear; to endure; warp (textile); longitude; menstruation; channel (TCM); abbr. for economics 經濟|经济[jing1 ji4]; 
继,[jì] to continue; to follow after; to go on with; to succeed; to inherit; then; afterwards; 
续,[xù] to continue; to replenish; 
翻,[fān] to turn over; to flip over; to overturn; to rummage through; to translate; to decode; to double; to climb over or into; to cross; 
者,[zhě] (after a verb or adjective) one who (is) ...; (after a noun) person involved in ...; -er; -ist; (used after a number or 後|后[hou4] or 前[qian2] to refer to sth mentioned previously); (used after a term, to mark a pause before defining the term); (old) (used at the end of a command); (old) this; 
能,[Néng] surname Neng; [néng] to be able to; to be capable of; ability; capability; able; capable; can possibly; (usually used in the negative) to have the possibility of; 
自,[zì] from; self; oneself; since; 
至,[zhì] to arrive; most; to; until; 
芒,[máng] awn (of cereals); arista (of grain); tip (of a blade); Miscanthus sinensis (type of grass); variant of 邙, Mt Mang at Luoyang in Henan; 
花,[Huā] surname Hua; [huā] flower; blossom; CL:朵[duo3],支[zhi1],束[shu4],把[ba3],盆[pen2],簇[cu4]; fancy pattern; florid; to spend (money, time); 
苏,[sū] see 囉囌|啰苏[luo1 su1]; [sū] variant of 蘇|苏[su1]; to revive; [Sū] surname Su; abbr. for Soviet Union 蘇維埃|苏维埃 or 蘇聯|苏联; abbr. for Jiangsu province 江蘇|江苏; abbr. for Suzhou city 蘇州|苏州; [sū] Perilla frutescens (Chinese basil or wild red basil); place name; to revive; used as phonetic in transliteration; [sū] old variant of 蘇|苏[su1]; 
茶,[chá] tea; tea plant; CL:杯[bei1],壺|壶[hu2]; 
草,[cǎo] grass; straw; manuscript; draft (of a document); careless; rough; CL:棵[ke1],撮[zuo3],株[zhu1],根[gen1]; [cào] variant of 肏[cao4]; 
莓,[méi] berry; strawberry; 
菠,[bō] spinach; 
萝,[luó] radish; 
葵,[kuí] sunflower; 
蕉,[jiāo] banana; [qiáo] see 蕉萃[qiao2 cui4]; 
蛋,[dàn] egg; oval-shaped; CL:個|个[ge4],打[da2]; 
表,[biǎo] exterior surface; family relationship via females; to show (one's opinion); a model; a table (listing information); a form; a meter (measuring sth); 
西,[Xī] the West; abbr. for Spain 西班牙[Xi1 ban1 ya2]; Spanish; [xī] west; 
要,[yāo] to demand; to request; to coerce; [yào] important; vital; to want; to ask for; will; going to (as future auxiliary); may; must; (used in a comparison) must be; probably; if; 
觉,[jiào] a nap; a sleep; CL:場|场[chang2]; [jué] to feel; to find that; thinking; awake; aware; 
让,[ràng] to yield; to permit; to let sb do sth; to have sb do sth; to make sb (feel sad etc); 
试,[shì] to test; to try; experiment; examination; test; 
话,[huà] dialect; language; spoken words; speech; talk; words; conversation; what sb said; CL:種|种[zhong3],席[xi2],句[ju4],口[kou3],番[fan1]; [huà] old variant of 話|话[hua4]; 
该,[gāi] should; ought to; probably; must be; to deserve; to owe; to be sb's turn to do sth; that; the above-mentioned; 
请,[qǐng] to ask; to invite; please (do sth); to treat (to a meal etc); to request; 
起,[qǐ] to rise; to raise; to get up; to set out; to start; to appear; to launch; to initiate (action); to draft; to establish; to get (from a depot or counter); verb suffix, to start; (before place or time) starting from; classifier for occurrences or unpredictable events: case, instance; classifier for groups: batch, group; 
跳,[tiào] to jump; to hop; to skip over; to bounce; to palpitate; 
转,[zhuǎn] to convey; to forward (mail); to transfer; to turn; to shift; [zhuàn] to revolve; to turn; to circle about; to walk about; classifier for revolutions (per minute etc): revs, rpm; classifier for repeated actions; 
轻,[qīng] light; easy; gentle; soft; reckless; unimportant; frivolous; small in number; unstressed; neutral; to disparage; 
这,[zhè] this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing); 
进,[jìn] to advance; to enter; to come (or go) into; to receive or admit; to eat or drink; to submit or present; (used after a verb) into, in; to score a goal; 
,
道,[dào] direction; way; road; path; CL:條|条[tiao2],股[gu3]; principle; truth; morality; reason; skill; method; Dao (of Daoism); to say; to speak; to talk; classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process; province (of Korea or Japan); 
部,[bù] ministry; department; section; part; division; troops; board; classifier for works of literature, films, machines etc; 
里,[lǐ] variant of 裡|里[li3]; [lǐ] lining; interior; inside; internal; also written 裏|里[li3]; [Lǐ] Li (surname); [lǐ] li (Chinese mile); 500 meters (modern); home; hometown; village; neighborhood; administrative unit; 
量,[liáng] to measure; [liàng] capacity; quantity; amount; to estimate; abbr. for 量詞|量词[liang4 ci2], classifier (in Chinese grammar); measure word; 
钟,[Zhōng] surname Zhong; [zhōng] handleless cup; goblet; to concentrate; variant of 鐘|钟[zhong1]; [zhōng] clock; o'clock; time as measured in hours and minutes; bell; CL:架[jia4],座[zuo4]; 
锅,[guō] pot; pan; boiler; CL:口[kou3],隻|只[zhi1]; 
间,[jiān] between; among; within a definite time or space; room; section of a room or lateral space between two pairs of pillars; classifier for rooms; [jiàn] gap; to separate; to thin out (seedlings); to sow discontent; 
闸,[zhá] old variant of 閘|闸[zha2]; sluice; lock (on waterway); [zhá] gear; brake; sluice; lock (on waterway); electric switch or circuit breaker; 
需,[xū] to require; to need; to want; necessity; need; 
面,[miàn] face; side; surface; aspect; top; classifier for flat surfaces such as drums, mirrors, flags etc; 
额,[é] variant of 額|额[e2]; [é] forehead; horizontal tablet or inscribed board; specified number or amount; 
饭,[fàn] food; cuisine; cooked rice; meal; CL:碗[wan3],頓|顿[dun4]; 
饼,[bǐng] round flat cake; cookie; cake; pastry; CL:張|张[zhang1]; 
香,[xiāng] fragrant; sweet smelling; aromatic; savory or appetizing; (to eat) with relish; (of sleep) sound; perfume or spice; joss or incense stick; CL:根[gen1]; 
一起,[yī qǐ] in the same place; together; with; altogether (in total); 
反之,[fǎn zhī] on the other hand...; conversely...; 
白糖,[bái táng] (refined) white sugar; 
搅拌,[jiǎo bàn] to stir; to agitate; 
的话,[de huà] if (coming after a conditional clause); 
完成,[wán chéng] to complete; to accomplish; 
反转,[fǎn zhuǎn] reversal; inversion; to reverse; to invert (upside down, inside out, back to front, white to black etc); 
使用,[shǐ yòng] to use; to employ; to apply; to make use of; 
直至,[zhí zhì] lasting until; up till (the present); 
室温,[shì wēn] room temperature; 
新鲜,[xīn xiān] fresh (experience, food etc); freshness; novel; uncommon; 
碎屑,[suì xiè] fragment; clastic (i.e. broken into fragments); 
不同,[bù tóng] different; distinct; not the same; not alike; 
方法,[fāng fǎ] method; way; means; CL:個|个[ge4]; 
碟子,[dié zi] saucer; small dish; CL:盤|盘[pan2]; 
出来,[chū lái] to come out; to appear; to arise; [chu lai] (after a verb, indicates coming out, completion of an action, or ability to discern or detect); 
一下,[yī xià] (used after a verb) give it a go; to do (sth for a bit to give it a try); one time; once; in a while; all of a sudden; all at once; 
时间,[shí jiān] time; period; CL:段[duan4]; 
一面,[yī miàn] one side; one aspect; simultaneously... (and...); one's whole face; 
是否,[shì fǒu] whether (or not); if; is or isn't; 
可以,[kě yǐ] can; may; possible; able to; 
最后,[zuì hòu] final; last; finally; ultimate; 
最好,[zuì hǎo] best; (you) had better (do what we suggest); 
,
经常,[jīng cháng] frequently; constantly; regularly; often; day-to-day; everyday; daily; 
分钟,[fēn zhōng] minute; 
继续,[jì xù] to continue; to proceed with; to go on with; 
木制,[mù zhì] wooden; 
已经,[yǐ jīng] already; 
翻转,[fān zhuǎn] to roll; to turn over; to invert; to flip; 
材料,[cái liào] material; data; makings; stuff; CL:個|个[ge4],種|种[zhong3]; 
黄油,[huáng yóu] butter; CL:盒[he2]; 
布丁,[bù dīng] pudding (loanword); 
自发,[zì fā] spontaneous; 
一些,[yī xiē] some; a few; a little; 
常温,[cháng wēn] room temperature; ordinary temperatures; 
芒果,[máng guǒ] mango; 
鸡蛋,[jī dàn] (chicken) egg; hen's egg; CL:個|个[ge4],打[da2]; 
代表,[dài biǎo] representative; delegate; CL:位[wei4],個|个[ge4],名[ming2]; to represent; to stand for; on behalf of; in the name of; 
香蕉,[xiāng jiāo] banana; CL:枝[zhi1],根[gen1],個|个[ge4],把[ba3]; 
制作,[zhì zuò] to make; to manufacture; 
茶匙,[chá chí] teaspoon; 
比如,[bǐ rú] for example; for instance; such as; 
草莓,[cǎo méi] strawberry; CL:顆|颗[ke1]; (Taiwan) hickey; love bite; 
应该,[yīng gāi] ought to; should; must; 
毫升,[háo shēng] milliliter; 
菠萝,[bō luó] pineapple; 
味道,[wèi dao] flavor; smell; hint of; 
水果,[shuǐ guǒ] fruit; CL:個|个[ge4]; 
葵花,[kuí huā] sunflower; 
底部,[dǐ bù] bottom; 
为止,[wéi zhǐ] until; 
蛋糕,[dàn gāo] cake; CL:塊|块[kuai4],個|个[ge4]; 
没有,[méi yǒu] haven't; hasn't; doesn't exist; to not have; to not be; 
开关,[kāi guān] power switch; to open a gate; 
西式,[xī shì] Western style; 
刷子,[shuā zi] brush; scrub; CL:把[ba3]; 
要求,[yāo qiú] to request; to require; to stake a claim; to ask; to demand; CL:點|点[dian3]; 
以上,[yǐ shàng] that level or higher; that amount or more; the above-mentioned; 
觉得,[jué de] to think; to feel; 
加入,[jiā rù] to become a member; to join; to mix into; to participate in; to add in; 
测试,[cè shì] to test (machinery etc); to test (students); test; quiz; exam; beta (software); 
均匀,[jūn yún] even; well-distributed; homogeneous; 
涂抹,[tú mǒ] to paint; to smear; to apply (makeup etc); to doodle; to erase; to obliterate; 
其他,[qí tā] other; (sth or sb) else; the rest; 
塑料,[sù liào] plastics; CL:種|种[zhong3]; 
混合,[hùn hé] to mix; to blend; 
跳闸,[tiào zhá] (of a circuit breaker or switch) to trip; 
慢慢,[màn màn] slowly; 
勺子,[sháo zi] scoop; ladle; CL:把[ba3]; 
