下,[xià] down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action; 
黄,[Huáng] surname Huang or Hwang; [huáng] yellow; pornographic; to fall through; 
夏,[Xià] the Xia or Hsia dynasty c. 2000 BC; Xia of the Sixteen Kingdoms (407-432); surname Xia; [xià] summer; 
说,[shuì] to persuade; [shuō] to speak; to say; to explain; to scold; to tell off; a theory (usually in compounds such as 日心说 heliocentric theory); 
多,[duō] many; much; often; a lot of; numerous; more; in excess; how (to what extent); multi-; Taiwan pr. [duo2] when it means "how"; 
天,[tiān] day; sky; heaven; 
头,[tóu] head; hair style; the top; end; beginning or end; a stub; remnant; chief; boss; side; aspect; first; leading; classifier for pigs or livestock; CL:個|个[ge4]; [tou] suff. for nouns; 
让,[ràng] to yield; to permit; to let sb do sth; to have sb do sth; to make sb (feel sad etc); 
她,[tā] she; 
好,[hǎo] good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness); (of an unmarried couple) to be close; to be keen on each other; [hào] to be fond of; to have a tendency to; to be prone to; 
姑,[gū] paternal aunt; husband's sister; husband's mother (old); nun; for the time being (literary); 
要,[yāo] to demand; to request; to coerce; [yào] important; vital; to want; to ask for; will; going to (as future auxiliary); may; must; (used in a comparison) must be; probably; if; 
娘,[niáng] mother; young lady; 
害,[hài] to do harm to; to cause trouble to; harm; evil; calamity; 
对,[duì] right; correct; couple; pair; towards; at; for; to face; opposite; to treat (sb a certain way); to match together; to adjust; to fit; to suit; to answer; to reply; classifier: couple; 
草,[cǎo] grass; straw; manuscript; draft (of a document); careless; rough; CL:棵[ke1],撮[zuo3],株[zhu1],根[gen1]; [cào] variant of 肏[cao4]; 
小,[xiǎo] small; tiny; few; young; 
就,[jiù] at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning; 
常,[Cháng] surname Chang; [cháng] always; ever; often; frequently; common; general; constant; 
心,[xīn] heart; mind; intention; center; core; CL:顆|颗[ke1],個|个[ge4]; 
忽,[Hū] surname Hu; [hū] to neglect; to overlook; to ignore; suddenly; 
色,[sè] color; CL:種|种[zhong3]; look; appearance; sex; [shǎi] color; dice; 
怎,[zěn] how; 
能,[Néng] surname Neng; [néng] to be able to; to be capable of; ability; capability; able; capable; can possibly; (usually used in the negative) to have the possibility of; 
悔,[huǐ] to regret; 
成,[Chéng] surname Cheng; [chéng] to succeed; to finish; to complete; to accomplish; to become; to turn into; to be all right; OK!; one tenth; 
我,[wǒ] I; me; my; 
把,[bǎ] to hold; to contain; to grasp; to take hold of; handle; particle marking the following noun as a direct object; classifier for objects with handle; classifier for small objects: handful; [bà] handle; 
掉,[diào] to fall; to drop; to lag behind; to lose; to go missing; to reduce; fall (in prices); to lose (value, weight etc); to wag; to swing; to turn; to change; to exchange; to swap; to show off; to shed (hair); (used after certain verbs to express completion, fulfillment, removal etc); 
春,[Chūn] surname Chun; [chūn] spring (time); gay; joyful; youthful; love; lust; life; 
绿,[lù:] green; 
是,[shì] is; are; am; yes; to be; 
有,[yǒu] to have; there is; there are; to exist; to be; 
秋,[Qiū] surname Qiu; [qiū] autumn; fall; harvest time; a swing; 
来,[lái] to come; to arrive; to come round; ever since; next; 
真,[zhēn] really; truly; indeed; real; true; genuine; 
染,[rǎn] to dye; to catch (a disease); to acquire (bad habits etc); to contaminate; to add color washes to a painting; 
样,[yàng] manner; pattern; way; appearance; shape; CL:個|个[ge4]; 
欢,[huān] variant of 歡|欢[huan1]; [huān] joyous; happy; pleased; [huān] hubbub; clamor; variant of 歡|欢[huan1]; [huān] a breed of horse; variant of 歡|欢[huan1]; 
深,[shēn] close; deep; late; profound; dark (of color, water etc); 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
漂,[piāo] to float; to drift; [piǎo] to bleach; [piào] elegant; polished; 
然,[rán] correct; right; so; thus; like this; -ly; 
变成,[biàn chéng] to change into; to turn into; to become; 
漂亮,[piào liang] pretty; beautiful; 
高兴,[gāo xìng] happy; glad; willing (to do sth); in a cheerful mood; 
有了,[yǒu le] I've got a solution!; to have a bun in the oven (abbr. for 有了胎[you3 le5 tai1]); 
秋天,[qiū tiān] autumn; CL:個|个[ge4]; 
春天,[chūn tiān] spring (season); CL:個|个[ge4]; 
不会,[bù huì] improbable; unlikely; will not (act, happen etc); not able; not having learned to do sth; 
下来,[xià lai] to come down; (after verb of motion, indicates motion down and towards us, also fig.); (indicates continuation from the past towards us); to be harvested (of crops); to be over (of a period of time); to go among the masses (said of leaders); 
非常,[fēi cháng] unusual; extraordinary; extreme; very; exceptional; 
姑娘,[gū niang] girl; young woman; young lady; daughter; paternal aunt (old); CL:個|个[ge4]; 
头发,[tóu fa] hair (on the head); 
夏天,[xià tiān] summer; CL:個|个[ge4]; 
喜欢,[xǐ huan] to like; to be fond of; 
后悔,[hòu huǐ] to regret; to repent; 
身体,[shēn tǐ] (human) body; health; CL:具[ju4],個|个[ge4]; 
只能,[zhǐ néng] can only; obliged to do sth; to have no other choice; 
深绿,[shēn lù:] dark green; 
原来,[yuán lái] original; former; originally; formerly; at first; so, actually, as it turns out; 
这下,[zhè xià] this time; 
这样,[zhè yàng] this kind of; so; this way; like this; such; 
冬天,[dōng tiān] winter; CL:個|个[ge4]; 
那么,[nà me] like that; in that way; or so; so; so very much; about; in that case; 
伤心,[shāng xīn] to grieve; to be broken-hearted; to feel deeply hurt; 
不要,[bù yào] don't!; must not; 
伤害,[shāng hài] to injure; to harm; 
银色,[yín sè] silver (color); 
不过,[bù guò] only; merely; no more than; but; however; anyway (to get back to a previous topic); 
青色,[qīng sè] cyan; blue-green; 
忽然,[hū rán] suddenly; all of a sudden; 
金黄色,[jīn huáng sè] gold color; 
对不起,[duì bu qǐ] unworthy; to let down; I'm sorry; excuse me; pardon me; if you please; sorry? (please repeat); 
来不及,[lái bu jí] there's not enough time (to do sth); it's too late (to do sth); 
怎么回事,[zěn me huí shì] what's the matter?; what's going on?; how could that be?; how did that come about?; what's it all about?; 
